step,train_loss,train_accuracy,pairwise_loss,learning_rate,wall_clock_time_sec,val_loss,val_accuracy,val_nll,val_ece,val_brier,val_positive_logit_mean,val_hard_negative_logit_mean,val_margin_mean,val_positive_drive_mean,val_positive_resistance_mean,val_hard_negative_drive_mean,val_hard_negative_resistance_mean,val_sample_uncertainty_mean,val_ambiguity_mean,val_class_resistance_mean,val_resistance_noise_corr,val_resistance_occlusion_corr
1,1.6097406148910522,0.1875,0.0,0.001,0.0008609294891357422,,,,,,,,,,,,,,,,,
2,1.6046282052993774,0.25,0.0,0.001,0.0016331672668457031,,,,,,,,,,,,,,,,,
3,1.6165915727615356,0.25,0.0,0.001,0.0023491382598876953,,,,,,,,,,,,,,,,,
4,1.6074426174163818,0.21875,0.0,0.001,0.0030732154846191406,,,,,,,,,,,,,,,,,
5,1.6139799356460571,0.1875,0.0,0.001,0.0037920475006103516,,,,,,,,,,,,,,,,,
6,1.6312369108200073,0.09375,0.0,0.001,0.0044820308685302734,,,,,,,,,,,,,,,,,
7,1.6086688041687012,0.21875,0.0,0.001,0.0052950382232666016,,,,,,,,,,,,,,,,,
8,1.6221463680267334,0.15625,0.0,0.001,0.006036996841430664,,,,,,,,,,,,,,,,,
9,1.597277045249939,0.21875,0.0,0.001,0.006771087646484375,,,,,,,,,,,,,,,,,
10,1.5917361974716187,0.28125,0.0,0.001,0.007502079010009766,1.6153266429901123,0.1953125,1.6153266429901123,0.025008097290992737,0.8023821115493774,0.002057923935353756,0.10260824859142303,-0.1005503311753273,nan,nan,nan,nan,nan,nan,nan,nan,nan
11,1.6151254177093506,0.21875,0.0,0.001,0.008677959442138672,,,,,,,,,,,,,,,,,
12,1.6308215856552124,0.0625,0.0,0.001,0.009474039077758789,,,,,,,,,,,,,,,,,
13,1.5826421976089478,0.40625,0.0,0.001,0.010347127914428711,,,,,,,,,,,,,,,,,
14,1.597161054611206,0.21875,0.0,0.001,0.011075258255004883,,,,,,,,,,,,,,,,,
15,1.6036713123321533,0.3125,0.0,0.001,0.011916160583496094,,,,,,,,,,,,,,,,,
16,1.6271851062774658,0.1875,0.0,0.001,0.012641191482543945,,,,,,,,,,,,,,,,,
17,1.5995666980743408,0.21875,0.0,0.001,0.013434886932373047,,,,,,,,,,,,,,,,,
18,1.6191809177398682,0.21875,0.0,0.001,0.01420903205871582,,,,,,,,,,,,,,,,,
19,1.6043998003005981,0.1875,0.0,0.001,0.015011072158813477,,,,,,,,,,,,,,,,,
20,1.6218535900115967,0.15625,0.0,0.001,0.01582813262939453,1.6162856817245483,0.1953125,1.6162856817245483,0.03578272461891174,0.8027825951576233,0.003087613731622696,0.13250687718391418,-0.1294192671775818,nan,nan,nan,nan,nan,nan,nan,nan,nan
21,1.6427831649780273,0.125,0.0,0.001,0.017033100128173828,,,,,,,,,,,,,,,,,
22,1.6171982288360596,0.1875,0.0,0.001,0.017885923385620117,,,,,,,,,,,,,,,,,
23,1.6220911741256714,0.15625,0.0,0.001,0.018786191940307617,,,,,,,,,,,,,,,,,
24,1.6274235248565674,0.125,0.0,0.001,0.019617080688476562,,,,,,,,,,,,,,,,,
25,1.5802850723266602,0.4375,0.0,0.001,0.020481109619140625,,,,,,,,,,,,,,,,,
26,1.6204403638839722,0.125,0.0,0.001,0.021386146545410156,,,,,,,,,,,,,,,,,
27,1.5920569896697998,0.3125,0.0,0.001,0.02226114273071289,,,,,,,,,,,,,,,,,
28,1.6174087524414062,0.125,0.0,0.001,0.023190021514892578,,,,,,,,,,,,,,,,,
29,1.6102501153945923,0.25,0.0,0.001,0.024164199829101562,,,,,,,,,,,,,,,,,
30,1.6148213148117065,0.15625,0.0,0.001,0.025085926055908203,1.6109143495559692,0.1953125,1.6109143495559692,0.018095165491104126,0.8005974888801575,-0.0022322421427816153,0.05486616492271423,-0.05709840729832649,nan,nan,nan,nan,nan,nan,nan,nan,nan
