step,train_loss,train_accuracy,ce_loss,pairwise_loss,learning_rate,wall_clock_time_sec,val_loss,val_accuracy,val_nll,val_ece,val_brier,val_positive_logit_mean,val_hard_negative_logit_mean,val_margin_mean,val_positive_drive_mean,val_positive_resistance_mean,val_hard_negative_drive_mean,val_hard_negative_resistance_mean,val_sample_uncertainty_mean,val_ambiguity_mean,val_class_resistance_mean,val_resistance_noise_corr,val_resistance_occlusion_corr
1,1.6171401739120483,0.125,1.6166657209396362,0.009488502517342567,0.001,0.04251909255981445,,,,,,,,,,,,,,,,,
2,1.6056662797927856,0.15625,1.605236530303955,0.008596138097345829,0.001,0.08420991897583008,,,,,,,,,,,,,,,,,
3,1.558477520942688,0.40625,1.5580805540084839,0.007938763126730919,0.001,0.12567877769470215,,,,,,,,,,,,,,,,,
4,1.6342220306396484,0.0625,1.6338515281677246,0.007408884819597006,0.001,0.16672301292419434,,,,,,,,,,,,,,,,,
5,1.5814775228500366,0.28125,1.581125020980835,0.007049347274005413,0.001,0.20811796188354492,,,,,,,,,,,,,,,,,
6,1.5965955257415771,0.15625,1.5962629318237305,0.006651596166193485,0.001,0.24882888793945312,,,,,,,,,,,,,,,,,
7,1.5380183458328247,0.46875,1.5377070903778076,0.0062253535725176334,0.001,0.28968381881713867,,,,,,,,,,,,,,,,,
8,1.581655502319336,0.1875,1.5813634395599365,0.005841209553182125,0.001,0.33144497871398926,,,,,,,,,,,,,,,,,
9,1.591735601425171,0.28125,1.5914597511291504,0.005517361219972372,0.001,0.37314391136169434,,,,,,,,,,,,,,,,,
10,1.542545199394226,0.40625,1.5422850847244263,0.005202768370509148,0.001,0.4143209457397461,1.670203685760498,0.1953125,1.670203685760498,0.13216054439544678,0.8276065587997437,0.10486136376857758,0.5774774551391602,-0.47261613607406616,0.4589143693447113,2.1264703273773193,2.364682197570801,1.4998877048492432,0.6776576042175293,1.239374041557312,0.20009230077266693,0.05025383457541466,-0.043759144842624664
11,1.5162749290466309,0.28125,1.5160293579101562,0.0049104997888207436,0.001,0.5234019756317139,,,,,,,,,,,,,,,,,
12,1.517417550086975,0.40625,1.5171829462051392,0.004691079258918762,0.001,0.5647847652435303,,,,,,,,,,,,,,,,,
13,1.5158246755599976,0.375,1.515599250793457,0.004508460406213999,0.001,0.6072258949279785,,,,,,,,,,,,,,,,,
14,1.4534047842025757,0.40625,1.4531879425048828,0.00433716643601656,0.001,0.648784875869751,,,,,,,,,,,,,,,,,
15,1.5345216989517212,0.28125,1.5343058109283447,0.004318510182201862,0.001,0.6898288726806641,,,,,,,,,,,,,,,,,
16,1.5120898485183716,0.3125,1.5118716955184937,0.00436335289850831,0.001,0.7354497909545898,,,,,,,,,,,,,,,,,
17,1.3608139753341675,0.59375,1.3605878353118896,0.004521864000707865,0.001,0.7780499458312988,,,,,,,,,,,,,,,,,
18,1.4854135513305664,0.4375,1.4851725101470947,0.004821953363716602,0.001,0.8197166919708252,,,,,,,,,,,,,,,,,
19,1.458140254020691,0.375,1.4578862190246582,0.005080430768430233,0.001,0.8603267669677734,,,,,,,,,,,,,,,,,
20,1.3909602165222168,0.53125,1.3906915187835693,0.005372827872633934,0.001,0.9017539024353027,1.7433301210403442,0.1953125,1.7433301210403442,0.2216280996799469,0.8675324320793152,0.17012226581573486,0.8906940221786499,-0.720571756362915,0.498081237077713,2.411130905151367,3.115863800048828,1.4931455850601196,0.5949336886405945,1.6059043407440186,0.20008566975593567,0.057108573615550995,-0.03240364044904709
21,1.3793659210205078,0.40625,1.3790786266326904,0.005746675189584494,0.001,1.0110228061676025,,,,,,,,,,,,,,,,,
22,1.4430032968521118,0.375,1.4426947832107544,0.006170277483761311,0.001,1.0522949695587158,,,,,,,,,,,,,,,,,
23,1.344584584236145,0.59375,1.3442587852478027,0.0065148151479661465,0.001,1.0939908027648926,,,,,,,,,,,,,,,,,
24,1.3757250308990479,0.46875,1.375382661819458,0.0068468935787677765,0.001,1.1369318962097168,,,,,,,,,,,,,,,,,
25,1.150768756866455,0.84375,1.150409460067749,0.007185664959251881,0.001,1.179481029510498,,,,,,,,,,,,,,,,,
26,1.214039921760559,0.65625,1.2136613130569458,0.007571747992187738,0.001,1.2213890552520752,,,,,,,,,,,,,,,,,
27,1.1773377656936646,0.65625,1.1769413948059082,0.007926790975034237,0.001,1.263124942779541,,,,,,,,,,,,,,,,,
28,1.3189499378204346,0.53125,1.3185338973999023,0.008320961147546768,0.001,1.3044490814208984,,,,,,,,,,,,,,,,,
29,1.2247098684310913,0.625,1.2242786884307861,0.008623006753623486,0.001,1.346374750137329,,,,,,,,,,,,,,,,,
30,1.1600239276885986,0.65625,1.15957772731781,0.008925129659473896,0.001,1.3891949653625488,1.8490371704101562,0.1953125,1.8490371704101562,0.3055437207221985,0.924835205078125,0.25401967763900757,1.2176294326782227,-0.9636096954345703,0.35074684023857117,2.314112901687622,4.0267157554626465,1.2886909246444702,0.3936995565891266,1.7109125852584839,0.20001891255378723,0.06100878864526749,-0.029498247429728508
