step,train_loss,train_accuracy,pairwise_loss,learning_rate,wall_clock_time_sec,val_loss,val_accuracy,val_nll,val_ece,val_brier,val_positive_logit_mean,val_hard_negative_logit_mean,val_margin_mean,val_positive_drive_mean,val_positive_resistance_mean,val_hard_negative_drive_mean,val_hard_negative_resistance_mean,val_sample_uncertainty_mean,val_ambiguity_mean,val_class_resistance_mean,val_resistance_noise_corr,val_resistance_occlusion_corr
1,1.6504408121109009,0.125,0.0,0.001,0.009435176849365234,,,,,,,,,,,,,,,,,
2,1.6345499753952026,0.1875,0.0,0.001,0.010850191116333008,,,,,,,,,,,,,,,,,
3,1.6242725849151611,0.1875,0.0,0.001,0.01161813735961914,,,,,,,,,,,,,,,,,
4,1.6277192831039429,0.15625,0.0,0.001,0.012289047241210938,,,,,,,,,,,,,,,,,
5,1.6070021390914917,0.21875,0.0,0.001,0.012828350067138672,,,,,,,,,,,,,,,,,
6,1.6291115283966064,0.15625,0.0,0.001,0.013331413269042969,,,,,,,,,,,,,,,,,
7,1.6130787134170532,0.1875,0.0,0.001,0.013845205307006836,,,,,,,,,,,,,,,,,
8,1.5999466180801392,0.25,0.0,0.001,0.014385223388671875,,,,,,,,,,,,,,,,,
9,1.600208044052124,0.1875,0.0,0.001,0.01491403579711914,,,,,,,,,,,,,,,,,
10,1.6172595024108887,0.15625,0.0,0.001,0.015561103820800781,1.6073625087738037,0.234375,1.6073625087738037,0.019007787108421326,0.7991455793380737,0.056906409561634064,0.1207612082362175,-0.06385481357574463,nan,nan,nan,nan,nan,nan,nan,nan,nan
11,1.5869756937026978,0.375,0.0,0.001,0.016865015029907227,,,,,,,,,,,,,,,,,
12,1.6147791147232056,0.09375,0.0,0.001,0.017531156539916992,,,,,,,,,,,,,,,,,
13,1.5952889919281006,0.1875,0.0,0.001,0.01850128173828125,,,,,,,,,,,,,,,,,
14,1.582558512687683,0.28125,0.0,0.001,0.019414186477661133,,,,,,,,,,,,,,,,,
15,1.6255234479904175,0.0625,0.0,0.001,0.020104408264160156,,,,,,,,,,,,,,,,,
16,1.6160252094268799,0.0625,0.0,0.001,0.020786285400390625,,,,,,,,,,,,,,,,,
17,1.64448881149292,0.09375,0.0,0.001,0.021429061889648438,,,,,,,,,,,,,,,,,
18,1.6083439588546753,0.3125,0.0,0.001,0.022074222564697266,,,,,,,,,,,,,,,,,
19,1.6348398923873901,0.09375,0.0,0.001,0.02274632453918457,,,,,,,,,,,,,,,,,
20,1.5925434827804565,0.15625,0.0,0.001,0.023383140563964844,1.6132192611694336,0.1875,1.6132192611694336,0.03545328974723816,0.8015924692153931,0.04507608339190483,0.15673579275608063,-0.11165972054004669,nan,nan,nan,nan,nan,nan,nan,nan,nan
21,1.6089439392089844,0.09375,0.0,0.001,0.024370193481445312,,,,,,,,,,,,,,,,,
22,1.6401935815811157,0.09375,0.0,0.001,0.02503228187561035,,,,,,,,,,,,,,,,,
23,1.6012599468231201,0.1875,0.0,0.001,0.02572321891784668,,,,,,,,,,,,,,,,,
24,1.6258857250213623,0.0625,0.0,0.001,0.02682018280029297,,,,,,,,,,,,,,,,,
25,1.599136233329773,0.125,0.0,0.001,0.027764081954956055,,,,,,,,,,,,,,,,,
26,1.62356698513031,0.09375,0.0,0.001,0.02863621711730957,,,,,,,,,,,,,,,,,
27,1.6228675842285156,0.25,0.0,0.001,0.029445171356201172,,,,,,,,,,,,,,,,,
28,1.6095974445343018,0.28125,0.0,0.001,0.03016805648803711,,,,,,,,,,,,,,,,,
29,1.596156358718872,0.25,0.0,0.001,0.030953407287597656,,,,,,,,,,,,,,,,,
30,1.5960414409637451,0.28125,0.0,0.001,0.03170204162597656,1.614547848701477,0.1953125,1.614547848701477,0.028702452778816223,0.8020454049110413,0.047071970999240875,0.1539696455001831,-0.10689765959978104,nan,nan,nan,nan,nan,nan,nan,nan,nan
