step,train_loss,train_accuracy,pairwise_loss,learning_rate,wall_clock_time_sec,val_loss,val_accuracy,val_nll,val_ece,val_brier,val_positive_logit_mean,val_hard_negative_logit_mean,val_margin_mean,val_positive_drive_mean,val_positive_resistance_mean,val_hard_negative_drive_mean,val_hard_negative_resistance_mean,val_sample_uncertainty_mean,val_ambiguity_mean,val_class_resistance_mean,val_resistance_noise_corr,val_resistance_occlusion_corr
1,1.6088874340057373,0.15625,0.018835701048374176,0.001,0.0019800662994384766,,,,,,,,,,,,,,,,,
2,1.6147786378860474,0.125,0.018639061599969864,0.001,0.003704071044921875,,,,,,,,,,,,,,,,,
3,1.6074546575546265,0.1875,0.01859692484140396,0.001,0.005979061126708984,,,,,,,,,,,,,,,,,
4,1.5998023748397827,0.3125,0.01854211464524269,0.001,0.00746607780456543,,,,,,,,,,,,,,,,,
5,1.6121571063995361,0.1875,0.018484454602003098,0.001,0.00890803337097168,,,,,,,,,,,,,,,,,
6,1.6113840341567993,0.1875,0.018504731357097626,0.001,0.010502099990844727,,,,,,,,,,,,,,,,,
7,1.6131525039672852,0.125,0.018565604463219643,0.001,0.0129241943359375,,,,,,,,,,,,,,,,,
8,1.598347544670105,0.25,0.018581923097372055,0.001,0.014877080917358398,,,,,,,,,,,,,,,,,
9,1.6097506284713745,0.1875,0.018585797399282455,0.001,0.016527175903320312,,,,,,,,,,,,,,,,,
10,1.6112054586410522,0.1875,0.018566103652119637,0.001,0.018032073974609375,1.6117610931396484,0.1953125,1.6117610931396484,0.01669834554195404,0.8009310960769653,-0.05936720594763756,-0.006705804727971554,-0.05266140401363373,-0.43527382612228394,0.8923501968383789,0.14751943945884705,0.891481339931488,0.6923457384109497,0.0,0.20003926753997803,0.05557218939065933,0.04486367478966713
11,1.6045732498168945,0.25,0.01853157952427864,0.001,0.020930051803588867,,,,,,,,,,,,,,,,,
12,1.607165813446045,0.25,0.018570663407444954,0.001,0.023620128631591797,,,,,,,,,,,,,,,,,
13,1.6099566221237183,0.1875,0.018646875396370888,0.001,0.025576114654541016,,,,,,,,,,,,,,,,,
14,1.6194484233856201,0.1875,0.018727321177721024,0.001,0.0276181697845459,,,,,,,,,,,,,,,,,
15,1.6165623664855957,0.15625,0.018879389390349388,0.001,0.03032398223876953,,,,,,,,,,,,,,,,,
16,1.6130954027175903,0.1875,0.019028332084417343,0.001,0.032540082931518555,,,,,,,,,,,,,,,,,
17,1.6015337705612183,0.21875,0.019198523834347725,0.001,0.03440523147583008,,,,,,,,,,,,,,,,,
18,1.6206172704696655,0.125,0.019309621304273605,0.001,0.03647804260253906,,,,,,,,,,,,,,,,,
19,1.602197527885437,0.25,0.01942007802426815,0.001,0.038993120193481445,,,,,,,,,,,,,,,,,
20,1.6081968545913696,0.125,0.019561052322387695,0.001,0.04104113578796387,1.6115436553955078,0.1953125,1.6115436553955078,0.015254035592079163,0.8008464574813843,-0.05473389849066734,-0.004476158879697323,-0.050257742404937744,-0.45100972056388855,0.8942192792892456,0.16192838549613953,0.8932100534439087,0.6941754817962646,0.0,0.20007631182670593,0.07606879621744156,0.08650339394807816
21,1.6029294729232788,0.21875,0.019665677100419998,0.001,0.044207096099853516,,,,,,,,,,,,,,,,,
22,1.6229783296585083,0.09375,0.019817177206277847,0.001,0.04679393768310547,,,,,,,,,,,,,,,,,
23,1.6215988397598267,0.09375,0.019972311332821846,0.001,0.049043893814086914,,,,,,,,,,,,,,,,,
24,1.6098008155822754,0.25,0.020147280767560005,0.001,0.051072120666503906,,,,,,,,,,,,,,,,,
25,1.6147114038467407,0.21875,0.02032669261097908,0.001,0.053236961364746094,,,,,,,,,,,,,,,,,
26,1.6046432256698608,0.15625,0.020448988303542137,0.001,0.05626487731933594,,,,,,,,,,,,,,,,,
27,1.6165508031845093,0.15625,0.020563574507832527,0.001,0.058676958084106445,,,,,,,,,,,,,,,,,
28,1.616094946861267,0.15625,0.020652031525969505,0.001,0.061466217041015625,,,,,,,,,,,,,,,,,
29,1.5893949270248413,0.40625,0.020770546048879623,0.001,0.06463408470153809,,,,,,,,,,,,,,,,,
30,1.6137944459915161,0.1875,0.020923353731632233,0.001,0.06701517105102539,1.6114200353622437,0.1875,1.6114200353622437,0.02538895606994629,0.800807774066925,-0.05684835463762283,0.00021763300173915923,-0.05706598609685898,-0.4712200164794922,0.8947668075561523,0.1990053951740265,0.8938223719596863,0.6946712136268616,0.0,0.2001434564590454,0.057493340224027634,0.1158805638551712
