step,train_loss,train_accuracy,ce_loss,pairwise_loss,learning_rate,wall_clock_time_sec,val_loss,val_accuracy,val_nll,val_ece,val_brier,val_positive_logit_mean,val_hard_negative_logit_mean,val_margin_mean,val_positive_drive_mean,val_positive_resistance_mean,val_hard_negative_drive_mean,val_hard_negative_resistance_mean,val_sample_uncertainty_mean,val_ambiguity_mean,val_class_resistance_mean,val_resistance_noise_corr,val_resistance_occlusion_corr
1,1.6168434619903564,0.1875,1.6168434619903564,0.0,0.001,0.05902719497680664,,,,,,,,,,,,,,,,,
2,1.6043694019317627,0.1875,1.6043694019317627,0.0,0.001,0.10293722152709961,,,,,,,,,,,,,,,,,
3,1.6013119220733643,0.28125,1.6013119220733643,0.0,0.001,0.14655423164367676,,,,,,,,,,,,,,,,,
4,1.5908769369125366,0.25,1.5908769369125366,0.0,0.001,0.1898653507232666,,,,,,,,,,,,,,,,,
5,1.6270630359649658,0.15625,1.6270630359649658,0.0,0.001,0.23459625244140625,,,,,,,,,,,,,,,,,
6,1.5786913633346558,0.1875,1.5786913633346558,0.0,0.001,0.2776491641998291,,,,,,,,,,,,,,,,,
7,1.5866183042526245,0.3125,1.5866183042526245,0.0,0.001,0.3244180679321289,,,,,,,,,,,,,,,,,
8,1.5789406299591064,0.25,1.5789406299591064,0.0,0.001,0.37485527992248535,,,,,,,,,,,,,,,,,
9,1.5677882432937622,0.3125,1.5677882432937622,0.0,0.001,0.4261002540588379,,,,,,,,,,,,,,,,,
10,1.532069206237793,0.3125,1.532069206237793,0.0,0.001,0.47097229957580566,1.651706337928772,0.1953125,1.651706337928772,0.07860738039016724,0.8171017169952393,-0.04736822098493576,0.28462743759155273,-0.3319956362247467,nan,nan,nan,nan,nan,nan,nan,nan,nan
11,1.4945722818374634,0.5,1.4945722818374634,0.0,0.001,0.5860443115234375,,,,,,,,,,,,,,,,,
12,1.5234241485595703,0.25,1.5234241485595703,0.0,0.001,0.6297461986541748,,,,,,,,,,,,,,,,,
13,1.5633840560913086,0.3125,1.5633840560913086,0.0,0.001,0.672924280166626,,,,,,,,,,,,,,,,,
14,1.4640133380889893,0.5,1.4640133380889893,0.0,0.001,0.7163331508636475,,,,,,,,,,,,,,,,,
15,1.5448319911956787,0.3125,1.5448319911956787,0.0,0.001,0.7598090171813965,,,,,,,,,,,,,,,,,
16,1.4888113737106323,0.34375,1.4888113737106323,0.0,0.001,0.8025741577148438,,,,,,,,,,,,,,,,,
17,1.467326283454895,0.4375,1.467326283454895,0.0,0.001,0.846074104309082,,,,,,,,,,,,,,,,,
18,1.3905577659606934,0.46875,1.3905577659606934,0.0,0.001,0.890087366104126,,,,,,,,,,,,,,,,,
19,1.4184061288833618,0.4375,1.4184061288833618,0.0,0.001,0.9338922500610352,,,,,,,,,,,,,,,,,
20,1.5158815383911133,0.28125,1.5158815383911133,0.0,0.001,0.9774291515350342,1.7085241079330444,0.1953125,1.7085241079330444,0.13778550922870636,0.8406252861022949,-0.0845312848687172,0.4707743525505066,-0.5553056597709656,nan,nan,nan,nan,nan,nan,nan,nan,nan
21,1.3756473064422607,0.4375,1.3756473064422607,0.0,0.001,1.0963780879974365,,,,,,,,,,,,,,,,,
22,1.388373851776123,0.46875,1.388373851776123,0.0,0.001,1.1397202014923096,,,,,,,,,,,,,,,,,
23,1.393165111541748,0.40625,1.393165111541748,0.0,0.001,1.1832630634307861,,,,,,,,,,,,,,,,,
24,1.3905574083328247,0.3125,1.3905574083328247,0.0,0.001,1.227607250213623,,,,,,,,,,,,,,,,,
25,1.381136417388916,0.4375,1.381136417388916,0.0,0.001,1.2711641788482666,,,,,,,,,,,,,,,,,
26,1.3605455160140991,0.34375,1.3605455160140991,0.0,0.001,1.3157942295074463,,,,,,,,,,,,,,,,,
27,1.4128073453903198,0.3125,1.4128073453903198,0.0,0.001,1.3600761890411377,,,,,,,,,,,,,,,,,
28,1.225402593612671,0.59375,1.225402593612671,0.0,0.001,1.403440237045288,,,,,,,,,,,,,,,,,
29,1.3168271780014038,0.625,1.3168271780014038,0.0,0.001,1.4481291770935059,,,,,,,,,,,,,,,,,
30,1.2604215145111084,0.59375,1.2604215145111084,0.0,0.001,1.492220163345337,1.8029146194458008,0.1953125,1.8029146194458008,0.2180328071117401,0.8833575248718262,-0.13473007082939148,0.6933808922767639,-0.828110933303833,nan,nan,nan,nan,nan,nan,nan,nan,nan
