step,train_loss,train_accuracy,pairwise_loss,learning_rate,wall_clock_time_sec,val_loss,val_accuracy,val_nll,val_ece,val_brier,val_positive_logit_mean,val_hard_negative_logit_mean,val_margin_mean,val_positive_drive_mean,val_positive_resistance_mean,val_hard_negative_drive_mean,val_hard_negative_resistance_mean,val_sample_uncertainty_mean,val_ambiguity_mean,val_class_resistance_mean,val_update_gate_mean,val_precision_mean,val_resistance_noise_corr,val_resistance_occlusion_corr,val_support_evidence_corr,val_conflict_resistance_corr
1,1.6091405153274536,0.3125,0.0,0.001,0.014426946640014648,,,,,,,,,,,,,,,,,,,,,
2,1.6095082759857178,0.15625,0.0,0.001,0.029152870178222656,,,,,,,,,,,,,,,,,,,,,
3,1.6153531074523926,0.125,0.0,0.001,0.04058694839477539,,,,,,,,,,,,,,,,,,,,,
4,1.6095561981201172,0.1875,0.0,0.001,0.05127692222595215,,,,,,,,,,,,,,,,,,,,,
5,1.6109555959701538,0.1875,0.0,0.001,0.06607675552368164,,,,,,,,,,,,,,,,,,,,,
6,1.6086061000823975,0.28125,0.0,0.001,0.0819387435913086,,,,,,,,,,,,,,,,,,,,,
7,1.609102725982666,0.21875,0.0,0.001,0.09835195541381836,,,,,,,,,,,,,,,,,,,,,
8,1.6077278852462769,0.1875,0.0,0.001,0.11367011070251465,,,,,,,,,,,,,,,,,,,,,
9,1.6098487377166748,0.1875,0.0,0.001,0.12681007385253906,,,,,,,,,,,,,,,,,,,,,
10,1.6111010313034058,0.0625,0.0,0.001,0.13950586318969727,1.6095466613769531,0.1953125,1.6095466613769531,0.007750838994979858,0.8000442981719971,-7.05196289345622e-05,0.014586241915822029,-0.014656761661171913,-0.0038008266128599644,0.6933811902999878,-0.0032701371237635612,0.6936265230178833,nan,nan,nan,0.05855131149291992,0.2498999536037445,-0.071732297539711,-0.09406058490276337,nan,nan
11,1.6092588901519775,0.21875,0.0,0.001,0.1605989933013916,,,,,,,,,,,,,,,,,,,,,
12,1.6077194213867188,0.21875,0.0,0.001,0.17128992080688477,,,,,,,,,,,,,,,,,,,,,
13,1.6086949110031128,0.15625,0.0,0.001,0.18645095825195312,,,,,,,,,,,,,,,,,,,,,
14,1.607495903968811,0.15625,0.0,0.001,0.1999809741973877,,,,,,,,,,,,,,,,,,,,,
15,1.6125797033309937,0.125,0.0,0.001,0.21442294120788574,,,,,,,,,,,,,,,,,,,,,
16,1.6077995300292969,0.21875,0.0,0.001,0.22773385047912598,,,,,,,,,,,,,,,,,,,,,
17,1.6067757606506348,0.28125,0.0,0.001,0.23942184448242188,,,,,,,,,,,,,,,,,,,,,
18,1.606623649597168,0.25,0.0,0.001,0.2538290023803711,,,,,,,,,,,,,,,,,,,,,
19,1.615098476409912,0.09375,0.0,0.001,0.2656428813934326,,,,,,,,,,,,,,,,,,,,,
20,1.613903522491455,0.21875,0.0,0.001,0.2783830165863037,1.6092050075531006,0.1953125,1.6092050075531006,0.010179996490478516,0.7999080419540405,-0.001116843894124031,0.021933887153863907,-0.02305072918534279,-0.006197796203196049,0.6937536001205444,-0.0038455568719655275,0.6935005784034729,nan,nan,nan,0.0587790384888649,0.25093257427215576,0.013666234910488129,0.006345431320369244,nan,nan
21,1.6097519397735596,0.1875,0.0,0.001,0.29720377922058105,,,,,,,,,,,,,,,,,,,,,
22,1.610255241394043,0.0625,0.0,0.001,0.3106710910797119,,,,,,,,,,,,,,,,,,,,,
23,1.6065016984939575,0.28125,0.0,0.001,0.32416510581970215,,,,,,,,,,,,,,,,,,,,,
24,1.6139934062957764,0.09375,0.0,0.001,0.34068989753723145,,,,,,,,,,,,,,,,,,,,,
25,1.6093735694885254,0.125,0.0,0.001,0.364534854888916,,,,,,,,,,,,,,,,,,,,,
26,1.613442301750183,0.09375,0.0,0.001,0.3774399757385254,,,,,,,,,,,,,,,,,,,,,
27,1.6096547842025757,0.15625,0.0,0.001,0.38887596130371094,,,,,,,,,,,,,,,,,,,,,
28,1.6130439043045044,0.15625,0.0,0.001,0.405897855758667,,,,,,,,,,,,,,,,,,,,,
29,1.6110711097717285,0.21875,0.0,0.001,0.4199528694152832,,,,,,,,,,,,,,,,,,,,,
30,1.6067721843719482,0.25,0.0,0.001,0.43192291259765625,1.6090501546859741,0.234375,1.6090501546859741,0.031439706683158875,0.799843966960907,4.072787123732269e-05,0.012485676445066929,-0.01244494877755642,-0.002058847574517131,0.6933162808418274,-0.006589692085981369,0.6934380531311035,nan,nan,nan,0.06013534218072891,0.257093220949173,-0.03263382241129875,0.1379815936088562,nan,nan
