step,train_loss,train_accuracy,pairwise_loss,learning_rate,wall_clock_time_sec,val_loss,val_accuracy,val_nll,val_ece,val_brier,val_positive_logit_mean,val_hard_negative_logit_mean,val_margin_mean,val_positive_drive_mean,val_positive_resistance_mean,val_hard_negative_drive_mean,val_hard_negative_resistance_mean,val_sample_uncertainty_mean,val_ambiguity_mean,val_class_resistance_mean,val_update_gate_mean,val_precision_mean,val_resistance_noise_corr,val_resistance_occlusion_corr,val_support_evidence_corr,val_conflict_resistance_corr
1,1.7103195190429688,0.21875,0.01543405931442976,0.001,0.0029458999633789062,,,,,,,,,,,,,,,,,,,,,
2,1.6452347040176392,0.28125,0.015552396886050701,0.001,0.00523686408996582,,,,,,,,,,,,,,,,,,,,,
3,1.5959140062332153,0.25,0.015669113025069237,0.001,0.0070362091064453125,,,,,,,,,,,,,,,,,,,,,
4,1.5686125755310059,0.25,0.015818530693650246,0.001,0.009638071060180664,,,,,,,,,,,,,,,,,,,,,
5,1.6586544513702393,0.21875,0.015985187143087387,0.001,0.012351036071777344,,,,,,,,,,,,,,,,,,,,,
6,1.7469795942306519,0.1875,0.016143765300512314,0.001,0.0144500732421875,,,,,,,,,,,,,,,,,,,,,
7,1.7070305347442627,0.21875,0.016305241733789444,0.001,0.01644420623779297,,,,,,,,,,,,,,,,,,,,,
8,1.6540815830230713,0.25,0.016445284709334373,0.001,0.0191500186920166,,,,,,,,,,,,,,,,,,,,,
9,1.6416147947311401,0.15625,0.016556957736611366,0.001,0.021992206573486328,,,,,,,,,,,,,,,,,,,,,
10,1.6002241373062134,0.15625,0.016690509393811226,0.001,0.023873090744018555,1.6478161811828613,0.1875,1.6478161811828613,0.07007116079330444,0.8144283890724182,0.00034210458397865295,0.27310213446617126,-0.2727600336074829,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11,1.6366487741470337,0.125,0.016868580132722855,0.001,0.027935028076171875,,,,,,,,,,,,,,,,,,,,,
12,1.6405032873153687,0.3125,0.017063850536942482,0.001,0.030445098876953125,,,,,,,,,,,,,,,,,,,,,
13,1.631550669670105,0.1875,0.01716669462621212,0.001,0.032457828521728516,,,,,,,,,,,,,,,,,,,,,
14,1.5625157356262207,0.25,0.01723744347691536,0.001,0.03534889221191406,,,,,,,,,,,,,,,,,,,,,
15,1.5827341079711914,0.25,0.017264829948544502,0.001,0.03819108009338379,,,,,,,,,,,,,,,,,,,,,
16,1.5930486917495728,0.21875,0.01725464127957821,0.001,0.04078412055969238,,,,,,,,,,,,,,,,,,,,,
17,1.6238198280334473,0.28125,0.01722964085638523,0.001,0.043797969818115234,,,,,,,,,,,,,,,,,,,,,
18,1.6033728122711182,0.34375,0.017268819734454155,0.001,0.047240257263183594,,,,,,,,,,,,,,,,,,,,,
19,1.6196932792663574,0.21875,0.01738506741821766,0.001,0.0500330924987793,,,,,,,,,,,,,,,,,,,,,
20,1.5644543170928955,0.25,0.017507873475551605,0.001,0.053446054458618164,1.6206303834915161,0.1953125,1.6206303834915161,0.04746916890144348,0.8046201467514038,-0.0029542248230427504,0.1766519546508789,-0.17960618436336517,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
21,1.6426644325256348,0.09375,0.01748776063323021,0.001,0.05741691589355469,,,,,,,,,,,,,,,,,,,,,
22,1.6185699701309204,0.25,0.017471004277467728,0.001,0.06180715560913086,,,,,,,,,,,,,,,,,,,,,
23,1.623490571975708,0.15625,0.017481151968240738,0.001,0.06470012664794922,,,,,,,,,,,,,,,,,,,,,
24,1.5914729833602905,0.21875,0.017477285116910934,0.001,0.0675041675567627,,,,,,,,,,,,,,,,,,,,,
25,1.6263095140457153,0.15625,0.017462193965911865,0.001,0.07183718681335449,,,,,,,,,,,,,,,,,,,,,
26,1.605143666267395,0.28125,0.01745651476085186,0.001,0.07471203804016113,,,,,,,,,,,,,,,,,,,,,
27,1.6073845624923706,0.25,0.017493873834609985,0.001,0.07889413833618164,,,,,,,,,,,,,,,,,,,,,
28,1.603477954864502,0.3125,0.017553776502609253,0.001,0.08220696449279785,,,,,,,,,,,,,,,,,,,,,
29,1.6105828285217285,0.125,0.017664188519120216,0.001,0.0866401195526123,,,,,,,,,,,,,,,,,,,,,
30,1.5848078727722168,0.21875,0.017681367695331573,0.001,0.09006619453430176,1.6128915548324585,0.1953125,1.6128915548324585,0.03395724296569824,0.8013889789581299,0.0016215150244534016,0.12300834059715271,-0.1213868260383606,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
