step,train_loss,train_accuracy,pairwise_loss,learning_rate,wall_clock_time_sec,val_loss,val_accuracy,val_nll,val_ece,val_brier,val_positive_logit_mean,val_hard_negative_logit_mean,val_margin_mean,val_positive_drive_mean,val_positive_resistance_mean,val_hard_negative_drive_mean,val_hard_negative_resistance_mean,val_sample_uncertainty_mean,val_ambiguity_mean,val_class_resistance_mean,val_update_gate_mean,val_precision_mean,val_resistance_noise_corr,val_resistance_occlusion_corr,val_support_evidence_corr,val_conflict_resistance_corr
1,1.6088943481445312,0.15625,0.018835701048374176,0.001,0.004065990447998047,,,,,,,,,,,,,,,,,,,,,
2,1.614850640296936,0.125,0.018639061599969864,0.001,0.008693933486938477,,,,,,,,,,,,,,,,,,,,,
3,1.6074522733688354,0.1875,0.01859688013792038,0.001,0.013416051864624023,,,,,,,,,,,,,,,,,,,,,
4,1.5996589660644531,0.3125,0.0185428224503994,0.001,0.01799297332763672,,,,,,,,,,,,,,,,,,,,,
5,1.612236499786377,0.1875,0.01848633401095867,0.001,0.023195981979370117,,,,,,,,,,,,,,,,,,,,,
6,1.6114832162857056,0.1875,0.01850796490907669,0.001,0.027727842330932617,,,,,,,,,,,,,,,,,,,,,
7,1.6132383346557617,0.125,0.018569789826869965,0.001,0.0336909294128418,,,,,,,,,,,,,,,,,,,,,
8,1.5978032350540161,0.25,0.018584754317998886,0.001,0.04176902770996094,,,,,,,,,,,,,,,,,,,,,
9,1.609760046005249,0.1875,0.018588606268167496,0.001,0.0502018928527832,,,,,,,,,,,,,,,,,,,,,
10,1.6113423109054565,0.1875,0.01856825314462185,0.001,0.0573880672454834,1.6119593381881714,0.1953125,1.6119593381881714,0.01725095510482788,0.8010101914405823,-0.05305963754653931,0.0020728474482893944,-0.055132485926151276,-0.4352259337902069,0.6944243907928467,0.14516454935073853,0.6069844961166382,0.6979309320449829,-0.3107563853263855,0.2000390589237213,nan,nan,-0.004285383969545364,0.011457858607172966,nan,nan
11,1.6042896509170532,0.25,0.018532322719693184,0.001,0.06583786010742188,,,,,,,,,,,,,,,,,,,,,
12,1.6072170734405518,0.25,0.01857328601181507,0.001,0.07248115539550781,,,,,,,,,,,,,,,,,,,,,
13,1.6099787950515747,0.1875,0.018652338534593582,0.001,0.0770559310913086,,,,,,,,,,,,,,,,,,,,,
14,1.620308756828308,0.1875,0.01873592473566532,0.001,0.08404207229614258,,,,,,,,,,,,,,,,,,,,,
15,1.6174529790878296,0.15625,0.018891215324401855,0.001,0.09076690673828125,,,,,,,,,,,,,,,,,,,,,
16,1.6135611534118652,0.1875,0.019039729610085487,0.001,0.09718608856201172,,,,,,,,,,,,,,,,,,,,,
17,1.6010282039642334,0.21875,0.01920909807085991,0.001,0.10470104217529297,,,,,,,,,,,,,,,,,,,,,
18,1.6217336654663086,0.125,0.019320109859108925,0.001,0.1110239028930664,,,,,,,,,,,,,,,,,,,,,
19,1.6016169786453247,0.25,0.019428249448537827,0.001,0.1192619800567627,,,,,,,,,,,,,,,,,,,,,
20,1.6079822778701782,0.125,0.019570883363485336,0.001,0.1265709400177002,1.611822485923767,0.1953125,1.611822485923767,0.015856653451919556,0.8009580373764038,-0.044558875262737274,0.009008072316646576,-0.05356694757938385,-0.44938310980796814,0.5726158618927002,0.15396542847156525,0.43423911929130554,0.6849573254585266,-0.3179711699485779,0.20007631182670593,nan,nan,0.006687334273010492,0.05388084426522255,nan,nan
21,1.6024059057235718,0.21875,0.01967834308743477,0.001,0.14001202583312988,,,,,,,,,,,,,,,,,,,,,
22,1.6240283250808716,0.09375,0.019836638122797012,0.001,0.14765596389770508,,,,,,,,,,,,,,,,,,,,,
23,1.6226540803909302,0.09375,0.019994191825389862,0.001,0.15738987922668457,,,,,,,,,,,,,,,,,,,,,
24,1.609614610671997,0.25,0.020168036222457886,0.001,0.1652829647064209,,,,,,,,,,,,,,,,,,,,,
25,1.615030288696289,0.21875,0.02034682407975197,0.001,0.17282581329345703,,,,,,,,,,,,,,,,,,,,,
26,1.6047346591949463,0.15625,0.02046659216284752,0.001,0.18097686767578125,,,,,,,,,,,,,,,,,,,,,
27,1.6172139644622803,0.15625,0.020577814429998398,0.001,0.188154935836792,,,,,,,,,,,,,,,,,,,,,
28,1.6167798042297363,0.15625,0.020659880712628365,0.001,0.19500398635864258,,,,,,,,,,,,,,,,,,,,,
29,1.5876569747924805,0.40625,0.020769137889146805,0.001,0.20179986953735352,,,,,,,,,,,,,,,,,,,,,
30,1.614194393157959,0.1875,0.020920898765325546,0.001,0.20856094360351562,1.6117057800292969,0.1875,1.6117057800292969,0.026769518852233887,0.8009255528450012,-0.04454662650823593,0.01806795597076416,-0.06261458247900009,-0.46612608432769775,0.5124556422233582,0.20452980697155,0.34958890080451965,0.648846447467804,-0.34197258949279785,0.2001430094242096,nan,nan,-0.012052147649228573,0.10666730254888535,nan,nan
