step,train_loss,train_accuracy,pairwise_loss,learning_rate,wall_clock_time_sec,val_loss,val_accuracy,val_nll,val_ece,val_brier,val_positive_logit_mean,val_hard_negative_logit_mean,val_margin_mean,val_positive_drive_mean,val_positive_resistance_mean,val_hard_negative_drive_mean,val_hard_negative_resistance_mean,val_sample_uncertainty_mean,val_ambiguity_mean,val_class_resistance_mean,val_update_gate_mean,val_precision_mean,val_resistance_noise_corr,val_resistance_occlusion_corr,val_support_evidence_corr,val_conflict_resistance_corr
1,1.609390139579773,0.3125,0.0,0.001,0.009625911712646484,,,,,,,,,,,,,,,,,,,,,
2,1.6092290878295898,0.25,0.0,0.001,0.02287912368774414,,,,,,,,,,,,,,,,,,,,,
3,1.6093132495880127,0.28125,0.0,0.001,0.031868934631347656,,,,,,,,,,,,,,,,,,,,,
4,1.6085790395736694,0.25,0.0,0.001,0.041372060775756836,,,,,,,,,,,,,,,,,,,,,
5,1.6105014085769653,0.1875,0.0,0.001,0.05556488037109375,,,,,,,,,,,,,,,,,,,,,
6,1.6106722354888916,0.1875,0.0,0.001,0.06622505187988281,,,,,,,,,,,,,,,,,,,,,
7,1.6072068214416504,0.25,0.0,0.001,0.07479310035705566,,,,,,,,,,,,,,,,,,,,,
8,1.610734462738037,0.15625,0.0,0.001,0.08479189872741699,,,,,,,,,,,,,,,,,,,,,
9,1.6103525161743164,0.21875,0.0,0.001,0.09816098213195801,,,,,,,,,,,,,,,,,,,,,
10,1.6083834171295166,0.21875,0.0,0.001,0.10892701148986816,1.6102920770645142,0.1875,1.6102920770645142,0.018280774354934692,0.800342857837677,-0.064675472676754,-0.040620334446430206,-0.02405514009296894,0.002228217199444771,0.6940937042236328,0.05588911473751068,0.679905891418457,nan,nan,nan,0.056494615972042084,0.2405962198972702,-0.00827078614383936,0.11039962619543076,nan,nan
11,1.6060551404953003,0.28125,0.0,0.001,0.12363290786743164,,,,,,,,,,,,,,,,,,,,,
12,1.6084949970245361,0.1875,0.0,0.001,0.13318300247192383,,,,,,,,,,,,,,,,,,,,,
13,1.6030004024505615,0.3125,0.0,0.001,0.14296579360961914,,,,,,,,,,,,,,,,,,,,,
14,1.6181697845458984,0.0625,0.0,0.001,0.15574884414672852,,,,,,,,,,,,,,,,,,,,,
15,1.6068557500839233,0.21875,0.0,0.001,0.16924500465393066,,,,,,,,,,,,,,,,,,,,,
16,1.6077351570129395,0.21875,0.0,0.001,0.18070197105407715,,,,,,,,,,,,,,,,,,,,,
17,1.610679030418396,0.1875,0.0,0.001,0.18935418128967285,,,,,,,,,,,,,,,,,,,,,
18,1.6036616563796997,0.3125,0.0,0.001,0.20026612281799316,,,,,,,,,,,,,,,,,,,,,
19,1.607258915901184,0.1875,0.0,0.001,0.2126939296722412,,,,,,,,,,,,,,,,,,,,,
20,1.6127572059631348,0.09375,0.0,0.001,0.22387480735778809,1.611444115638733,0.1875,1.611444115638733,0.021509692072868347,0.8008005619049072,-0.06456498056650162,-0.023992598056793213,-0.040572382509708405,0.0023059691302478313,0.6953845024108887,0.09554316103458405,0.6674433350563049,nan,nan,nan,0.0552949458360672,0.2351880967617035,0.02273682877421379,0.10702894628047943,nan,nan
21,1.6177476644515991,0.125,0.0,0.001,0.241286039352417,,,,,,,,,,,,,,,,,,,,,
22,1.6012088060379028,0.34375,0.0,0.001,0.25113415718078613,,,,,,,,,,,,,,,,,,,,,
23,1.6147350072860718,0.15625,0.0,0.001,0.2652268409729004,,,,,,,,,,,,,,,,,,,,,
24,1.609115481376648,0.125,0.0,0.001,0.2770729064941406,,,,,,,,,,,,,,,,,,,,,
25,1.605116605758667,0.375,0.0,0.001,0.2910299301147461,,,,,,,,,,,,,,,,,,,,,
26,1.596030354499817,0.3125,0.0,0.001,0.3045310974121094,,,,,,,,,,,,,,,,,,,,,
27,1.6040304899215698,0.34375,0.0,0.001,0.3158690929412842,,,,,,,,,,,,,,,,,,,,,
28,1.6072039604187012,0.1875,0.0,0.001,0.32903409004211426,,,,,,,,,,,,,,,,,,,,,
29,1.6005288362503052,0.21875,0.0,0.001,0.34256601333618164,,,,,,,,,,,,,,,,,,,,,
30,1.6066031455993652,0.28125,0.0,0.001,0.35724806785583496,1.6134116649627686,0.1875,1.6134116649627686,0.025750786066055298,0.8015692234039307,-0.06276991963386536,-0.0028866331558674574,-0.05988328903913498,0.00457026157528162,0.6971578001976013,0.14918486773967743,0.6524080038070679,nan,nan,nan,0.05417265743017197,0.23014120757579803,0.0522979237139225,0.09427668154239655,nan,nan
