step,train_loss,train_accuracy,pairwise_loss,learning_rate,wall_clock_time_sec,val_loss,val_accuracy,val_nll,val_ece,val_brier,val_positive_logit_mean,val_hard_negative_logit_mean,val_margin_mean,val_positive_drive_mean,val_positive_resistance_mean,val_hard_negative_drive_mean,val_hard_negative_resistance_mean,val_sample_uncertainty_mean,val_ambiguity_mean,val_class_resistance_mean,val_update_gate_mean,val_precision_mean,val_resistance_noise_corr,val_resistance_occlusion_corr,val_support_evidence_corr,val_conflict_resistance_corr
1,1.609513759613037,0.1875,0.0,0.001,0.00792384147644043,,,,,,,,,,,,,,,,,,,,,
2,1.6094639301300049,0.1875,0.0,0.001,0.016070842742919922,,,,,,,,,,,,,,,,,,,,,
3,1.6089900732040405,0.25,0.0,0.001,0.024609088897705078,,,,,,,,,,,,,,,,,,,,,
4,1.6107596158981323,0.125,0.0,0.001,0.032566070556640625,,,,,,,,,,,,,,,,,,,,,
5,1.6079751253128052,0.28125,0.0,0.001,0.040387868881225586,,,,,,,,,,,,,,,,,,,,,
6,1.6083741188049316,0.125,0.0,0.001,0.04856395721435547,,,,,,,,,,,,,,,,,,,,,
7,1.6089686155319214,0.28125,0.0,0.001,0.056529998779296875,,,,,,,,,,,,,,,,,,,,,
8,1.6067848205566406,0.3125,0.0,0.001,0.06391406059265137,,,,,,,,,,,,,,,,,,,,,
9,1.6092164516448975,0.1875,0.0,0.001,0.07439899444580078,,,,,,,,,,,,,,,,,,,,,
10,1.6113741397857666,0.15625,0.0,0.001,0.08291411399841309,1.6103969812393188,0.1953125,1.6103969812393188,0.008451268076896667,0.8003806471824646,-0.06358636915683746,-0.04636383056640625,-0.017222542315721512,0.002698215888813138,0.6940953135490417,0.03749338164925575,0.6857033967971802,nan,nan,nan,0.05679946392774582,0.2419726550579071,0.076742984354496,-0.022440144792199135,nan,nan
11,1.6102650165557861,0.28125,0.0,0.001,0.09551167488098145,,,,,,,,,,,,,,,,,,,,,
12,1.6057955026626587,0.28125,0.0,0.001,0.10712599754333496,,,,,,,,,,,,,,,,,,,,,
13,1.6068296432495117,0.28125,0.0,0.001,0.11583089828491211,,,,,,,,,,,,,,,,,,,,,
14,1.609534502029419,0.21875,0.0,0.001,0.12425088882446289,,,,,,,,,,,,,,,,,,,,,
15,1.603456974029541,0.3125,0.0,0.001,0.1329517364501953,,,,,,,,,,,,,,,,,,,,,
16,1.6096079349517822,0.21875,0.0,0.001,0.14189696311950684,,,,,,,,,,,,,,,,,,,,,
17,1.609742522239685,0.15625,0.0,0.001,0.15046191215515137,,,,,,,,,,,,,,,,,,,,,
18,1.5972501039505005,0.34375,0.0,0.001,0.15986084938049316,,,,,,,,,,,,,,,,,,,,,
19,1.6044502258300781,0.15625,0.0,0.001,0.16879677772521973,,,,,,,,,,,,,,,,,,,,,
20,1.6060487031936646,0.21875,0.0,0.001,0.17722392082214355,1.6124402284622192,0.1953125,1.6124402284622192,0.020110785961151123,0.80120849609375,-0.06227055937051773,0.008339488878846169,-0.07061004638671875,0.0022612428292632103,0.69914311170578,0.17824885249137878,0.6561703085899353,nan,nan,nan,0.05549965053796768,0.2361099272966385,0.061092816293239594,0.05198536440730095,nan,nan
21,1.5853707790374756,0.4375,0.0,0.001,0.18909597396850586,,,,,,,,,,,,,,,,,,,,,
22,1.615304946899414,0.15625,0.0,0.001,0.1988680362701416,,,,,,,,,,,,,,,,,,,,,
23,1.6057430505752563,0.1875,0.0,0.001,0.20929479598999023,,,,,,,,,,,,,,,,,,,,,
24,1.606709599494934,0.21875,0.0,0.001,0.21848487854003906,,,,,,,,,,,,,,,,,,,,,
25,1.6156556606292725,0.1875,0.0,0.001,0.22809791564941406,,,,,,,,,,,,,,,,,,,,,
26,1.5994220972061157,0.1875,0.0,0.001,0.2404308319091797,,,,,,,,,,,,,,,,,,,,,
27,1.6326467990875244,0.0625,0.0,0.001,0.2493748664855957,,,,,,,,,,,,,,,,,,,,,
28,1.6132677793502808,0.21875,0.0,0.001,0.2590148448944092,,,,,,,,,,,,,,,,,,,,,
29,1.5775824785232544,0.375,0.0,0.001,0.26889991760253906,,,,,,,,,,,,,,,,,,,,,
30,1.6111609935760498,0.21875,0.0,0.001,0.2789268493652344,1.61784029006958,0.1875,1.61784029006958,0.0367983877658844,0.8034094572067261,-0.05895984172821045,0.06341183930635452,-0.12237167358398438,-0.00809157732874155,0.7101758718490601,0.32035574316978455,0.6281127333641052,nan,nan,nan,0.05482759326696396,0.23308497667312622,0.05958928167819977,0.08569608628749847,nan,nan
