step,train_loss,train_accuracy,ce_loss,pairwise_loss,learning_rate,wall_clock_time_sec,val_loss,val_accuracy,val_nll,val_ece,val_brier,val_positive_logit_mean,val_hard_negative_logit_mean,val_margin_mean,val_positive_drive_mean,val_positive_resistance_mean,val_hard_negative_drive_mean,val_hard_negative_resistance_mean,val_sample_uncertainty_mean,val_ambiguity_mean,val_class_resistance_mean,val_resistance_noise_corr,val_resistance_occlusion_corr
1,1.6246165037155151,0.1875,1.6244347095489502,0.003636271459981799,0.001,0.0891568660736084,,,,,,,,,,,,,,,,,
2,1.6056758165359497,0.25,1.6054925918579102,0.003664595540612936,0.001,0.1743450164794922,,,,,,,,,,,,,,,,,
3,1.5995192527770996,0.1875,1.5993402004241943,0.0035812363494187593,0.001,0.25856471061706543,,,,,,,,,,,,,,,,,
4,1.5923686027526855,0.34375,1.5921951532363892,0.003470044583082199,0.001,0.3427088260650635,,,,,,,,,,,,,,,,,
5,1.61923086643219,0.1875,1.6190659999847412,0.003297897521406412,0.001,0.4274277687072754,,,,,,,,,,,,,,,,,
6,1.5592070817947388,0.34375,1.5590506792068481,0.003127244533970952,0.001,0.509192943572998,,,,,,,,,,,,,,,,,
7,1.5876654386520386,0.21875,1.5875180959701538,0.002947246190160513,0.001,0.5910508632659912,,,,,,,,,,,,,,,,,
8,1.5805742740631104,0.25,1.5804362297058105,0.0027614361606538296,0.001,0.673321008682251,,,,,,,,,,,,,,,,,
9,1.5903514623641968,0.3125,1.5902204513549805,0.0026198229752480984,0.001,0.7585427761077881,,,,,,,,,,,,,,,,,
10,1.5817570686340332,0.25,1.581631064414978,0.0025211027823388577,0.001,0.8409857749938965,1.6358566284179688,0.1953125,1.6358566284179688,0.0798487663269043,0.8113316893577576,0.05562414228916168,0.3515714108943939,-0.29594725370407104,0.38625872135162354,1.712430477142334,1.7540943622589111,1.297614574432373,0.6908668279647827,0.8137612342834473,0.2000376135110855,0.053409747779369354,-0.055822450667619705
11,1.5389810800552368,0.40625,1.5388569831848145,0.0024822386913001537,0.001,1.055142879486084,,,,,,,,,,,,,,,,,
12,1.514410376548767,0.40625,1.5142877101898193,0.0024523239117115736,0.001,1.1387128829956055,,,,,,,,,,,,,,,,,
13,1.5162757635116577,0.34375,1.516154170036316,0.002432753099128604,0.001,1.2257966995239258,,,,,,,,,,,,,,,,,
14,1.5063698291778564,0.3125,1.5062472820281982,0.002450656844303012,0.001,1.3213677406311035,,,,,,,,,,,,,,,,,
15,1.5256929397583008,0.34375,1.525567650794983,0.0025061401538550854,0.001,1.4122869968414307,,,,,,,,,,,,,,,,,
16,1.5015432834625244,0.40625,1.50141441822052,0.002577976556494832,0.001,1.5087838172912598,,,,,,,,,,,,,,,,,
17,1.5767462253570557,0.25,1.5766128301620483,0.002667414490133524,0.001,1.5995798110961914,,,,,,,,,,,,,,,,,
18,1.5104222297668457,0.375,1.5102871656417847,0.0027015216182917356,0.001,1.691267728805542,,,,,,,,,,,,,,,,,
19,1.4616738557815552,0.375,1.4615356922149658,0.0027621828485280275,0.001,1.7805848121643066,,,,,,,,,,,,,,,,,
20,1.4075579643249512,0.46875,1.4074137210845947,0.002884597983211279,0.001,1.8705427646636963,1.6970494985580444,0.1953125,1.6970494985580444,0.16811144351959229,0.8414466381072998,0.147208571434021,0.725143313407898,-0.5779348611831665,0.5355584025382996,2.1294708251953125,2.7014620304107666,1.4841222763061523,0.6232614517211914,1.2978322505950928,0.20005656778812408,0.05928250774741173,-0.03563005477190018
21,1.4121642112731934,0.5,1.412010908126831,0.0030650764238089323,0.001,2.1029539108276367,,,,,,,,,,,,,,,,,
22,1.5660194158554077,0.375,1.56585693359375,0.0032485388219356537,0.001,2.1924359798431396,,,,,,,,,,,,,,,,,
23,1.4882818460464478,0.40625,1.488114833831787,0.003339397255331278,0.001,2.283874034881592,,,,,,,,,,,,,,,,,
24,1.4134941101074219,0.46875,1.413325548171997,0.0033711791038513184,0.001,2.373807907104492,,,,,,,,,,,,,,,,,
25,1.409981369972229,0.5,1.4098105430603027,0.0034157470799982548,0.001,2.46726393699646,,,,,,,,,,,,,,,,,
26,1.2869633436203003,0.625,1.2867906093597412,0.003454212099313736,0.001,2.555295944213867,,,,,,,,,,,,,,,,,
27,1.382877230644226,0.46875,1.3826985359191895,0.003573257476091385,0.001,2.6445560455322266,,,,,,,,,,,,,,,,,
28,1.4312726259231567,0.4375,1.431089997291565,0.0036524503957480192,0.001,2.7353999614715576,,,,,,,,,,,,,,,,,
29,1.2514885663986206,0.65625,1.2513023614883423,0.0037245224229991436,0.001,2.8262977600097656,,,,,,,,,,,,,,,,,
30,1.3024938106536865,0.65625,1.3023037910461426,0.0038004897069185972,0.001,2.91599178314209,1.8326666355133057,0.1953125,1.8326666355133057,0.31454896926879883,0.9259928464889526,0.1976180076599121,1.1149059534072876,-0.9172879457473755,0.3490055501461029,2.1994497776031494,3.670802116394043,1.0650599002838135,0.46842625737190247,1.5234417915344238,0.20003017783164978,0.06486991047859192,-0.025837404653429985
