step,train_loss,train_accuracy,ce_loss,pairwise_loss,learning_rate,wall_clock_time_sec,val_loss,val_accuracy,val_nll,val_ece,val_brier,val_positive_logit_mean,val_hard_negative_logit_mean,val_margin_mean,val_positive_drive_mean,val_positive_resistance_mean,val_hard_negative_drive_mean,val_hard_negative_resistance_mean,val_sample_uncertainty_mean,val_ambiguity_mean,val_class_resistance_mean,val_resistance_noise_corr,val_resistance_occlusion_corr
1,1.6094976663589478,0.125,1.6094976663589478,0.0,0.001,0.08832001686096191,,,,,,,,,,,,,,,,,
2,1.6099672317504883,0.125,1.6099672317504883,0.0,0.001,0.1704692840576172,,,,,,,,,,,,,,,,,
3,1.608782172203064,0.21875,1.608782172203064,0.0,0.001,0.25395631790161133,,,,,,,,,,,,,,,,,
4,1.6101163625717163,0.25,1.6101163625717163,0.0,0.001,0.3425562381744385,,,,,,,,,,,,,,,,,
5,1.6086610555648804,0.21875,1.6086610555648804,0.0,0.001,0.4298591613769531,,,,,,,,,,,,,,,,,
6,1.6110944747924805,0.1875,1.6110944747924805,0.0,0.001,0.5133330821990967,,,,,,,,,,,,,,,,,
7,1.6079261302947998,0.28125,1.6079261302947998,0.0,0.001,0.5955331325531006,,,,,,,,,,,,,,,,,
8,1.609673261642456,0.25,1.609673261642456,0.0,0.001,0.6840603351593018,,,,,,,,,,,,,,,,,
9,1.6070343255996704,0.34375,1.6070343255996704,0.0,0.001,0.8093521595001221,,,,,,,,,,,,,,,,,
10,1.6079332828521729,0.25,1.6079332828521729,0.0,0.001,0.8926181793212891,1.6101691722869873,0.1953125,1.6101691722869873,0.007082551717758179,0.8002901673316956,-0.06501434743404388,-0.05336243286728859,-0.011651919223368168,-0.0013876466546207666,0.6946862936019897,0.029183976352214813,0.692304253578186,nan,nan,nan,0.04701925814151764,0.09126994013786316
11,1.6076815128326416,0.375,1.6076815128326416,0.0,0.001,1.1221630573272705,,,,,,,,,,,,,,,,,
12,1.6070427894592285,0.28125,1.6070427894592285,0.0,0.001,1.2043163776397705,,,,,,,,,,,,,,,,,
13,1.6060959100723267,0.34375,1.6060959100723267,0.0,0.001,1.2877943515777588,,,,,,,,,,,,,,,,,
14,1.6067705154418945,0.375,1.6067705154418945,0.0,0.001,1.3704521656036377,,,,,,,,,,,,,,,,,
15,1.607920527458191,0.25,1.607920527458191,0.0,0.001,1.4535062313079834,,,,,,,,,,,,,,,,,
16,1.6023902893066406,0.28125,1.6023902893066406,0.0,0.001,1.5363500118255615,,,,,,,,,,,,,,,,,
17,1.5949585437774658,0.3125,1.5949585437774658,0.0,0.001,1.6190721988677979,,,,,,,,,,,,,,,,,
18,1.5972869396209717,0.21875,1.5972869396209717,0.0,0.001,1.7025432586669922,,,,,,,,,,,,,,,,,
19,1.5976742506027222,0.34375,1.5976742506027222,0.0,0.001,1.7870962619781494,,,,,,,,,,,,,,,,,
20,1.5778110027313232,0.375,1.5778110027313232,0.0,0.001,1.8746161460876465,1.6162962913513184,0.1953125,1.6162962913513184,0.027484595775604248,0.8027336001396179,-0.06651857495307922,0.037224218249320984,-0.10374278575181961,-0.02386670932173729,0.7040397524833679,0.2732889652252197,0.6262631416320801,nan,nan,nan,0.05251706391572952,-0.09093312919139862
21,1.5764575004577637,0.3125,1.5764575004577637,0.0,0.001,2.0935239791870117,,,,,,,,,,,,,,,,,
22,1.578291893005371,0.34375,1.578291893005371,0.0,0.001,2.1771132946014404,,,,,,,,,,,,,,,,,
23,1.5503861904144287,0.46875,1.5503861904144287,0.0,0.001,2.261742115020752,,,,,,,,,,,,,,,,,
24,1.5123120546340942,0.34375,1.5123120546340942,0.0,0.001,2.343306064605713,,,,,,,,,,,,,,,,,
25,1.4766581058502197,0.53125,1.4766581058502197,0.0,0.001,2.4255802631378174,,,,,,,,,,,,,,,,,
26,1.569046974182129,0.3125,1.569046974182129,0.0,0.001,2.5084080696105957,,,,,,,,,,,,,,,,,
27,1.508857250213623,0.34375,1.508857250213623,0.0,0.001,2.5913732051849365,,,,,,,,,,,,,,,,,
28,1.392407774925232,0.34375,1.392407774925232,0.0,0.001,2.676265001296997,,,,,,,,,,,,,,,,,
29,1.4260562658309937,0.3125,1.4260562658309937,0.0,0.001,2.761113166809082,,,,,,,,,,,,,,,,,
30,1.3731794357299805,0.4375,1.3731794357299805,0.0,0.001,2.8442540168762207,2.188143491744995,0.1953125,2.188143491744995,0.4430949091911316,1.0659031867980957,0.33014971017837524,1.8374627828598022,-1.5073131322860718,-0.18778619170188904,1.0231249332427979,2.318415403366089,0.19121073186397552,nan,nan,nan,0.035067424178123474,-0.107365682721138
