step,train_loss,train_accuracy,ce_loss,pairwise_loss,learning_rate,wall_clock_time_sec,val_loss,val_accuracy,val_nll,val_ece,val_brier,val_positive_logit_mean,val_hard_negative_logit_mean,val_margin_mean,val_positive_drive_mean,val_positive_resistance_mean,val_hard_negative_drive_mean,val_hard_negative_resistance_mean,val_sample_uncertainty_mean,val_ambiguity_mean,val_class_resistance_mean,val_resistance_noise_corr,val_resistance_occlusion_corr
1,1.7837551832199097,0.1875,1.7837551832199097,0.010701391845941544,0.001,0.10048627853393555,,,,,,,,,,,,,,,,,
2,1.5449950695037842,0.3125,1.5449950695037842,0.010929172858595848,0.001,0.1883382797241211,,,,,,,,,,,,,,,,,
3,1.8040966987609863,0.15625,1.8040966987609863,0.010987061075866222,0.001,0.27062129974365234,,,,,,,,,,,,,,,,,
4,1.705628752708435,0.21875,1.705628752708435,0.011165213771164417,0.001,0.35098910331726074,,,,,,,,,,,,,,,,,
5,1.6204452514648438,0.28125,1.6204452514648438,0.011305086314678192,0.001,0.43107032775878906,,,,,,,,,,,,,,,,,
6,1.5768510103225708,0.28125,1.5768510103225708,0.011411928571760654,0.001,0.5117943286895752,,,,,,,,,,,,,,,,,
7,1.547080397605896,0.34375,1.547080397605896,0.011475278995931149,0.001,0.590095043182373,,,,,,,,,,,,,,,,,
8,1.6152544021606445,0.25,1.6152544021606445,0.0114592295140028,0.001,0.685192346572876,,,,,,,,,,,,,,,,,
9,1.5071406364440918,0.375,1.5071406364440918,0.011455954052507877,0.001,0.7809059619903564,,,,,,,,,,,,,,,,,
10,1.523031234741211,0.34375,1.523031234741211,0.011386556550860405,0.001,0.8653502464294434,1.8205620050430298,0.1953125,1.8205620050430298,0.19500532746315002,0.8739702701568604,0.10931827127933502,0.8821173906326294,-0.7727991342544556,nan,nan,nan,nan,nan,nan,nan,nan,nan
11,1.5685844421386719,0.3125,1.5685844421386719,0.011252878233790398,0.001,1.0760042667388916,,,,,,,,,,,,,,,,,
12,1.469667673110962,0.25,1.469667673110962,0.011132764630019665,0.001,1.1558701992034912,,,,,,,,,,,,,,,,,
13,1.4948320388793945,0.28125,1.4948320388793945,0.010989829897880554,0.001,1.235889196395874,,,,,,,,,,,,,,,,,
14,1.539263129234314,0.28125,1.539263129234314,0.010885333642363548,0.001,1.3301382064819336,,,,,,,,,,,,,,,,,
15,1.457040786743164,0.34375,1.457040786743164,0.010793833062052727,0.001,1.4120781421661377,,,,,,,,,,,,,,,,,
16,1.4977796077728271,0.375,1.4977796077728271,0.01069418340921402,0.001,1.492906093597412,,,,,,,,,,,,,,,,,
17,1.3385589122772217,0.40625,1.3385589122772217,0.010625718161463737,0.001,1.5733602046966553,,,,,,,,,,,,,,,,,
18,1.357757806777954,0.5,1.357757806777954,0.0105005893856287,0.001,1.6539552211761475,,,,,,,,,,,,,,,,,
19,1.400516390800476,0.4375,1.400516390800476,0.010369141586124897,0.001,1.7351691722869873,,,,,,,,,,,,,,,,,
20,1.4178375005722046,0.375,1.4178375005722046,0.01026640273630619,0.001,1.816249132156372,1.8496551513671875,0.1953125,1.8496551513671875,0.2757580876350403,0.909149169921875,0.13200542330741882,1.0680545568466187,-0.9360491633415222,nan,nan,nan,nan,nan,nan,nan,nan,nan
21,1.375657081604004,0.40625,1.375657081604004,0.010166401043534279,0.001,2.0402002334594727,,,,,,,,,,,,,,,,,
22,1.3073091506958008,0.34375,1.3073091506958008,0.010043221525847912,0.001,2.1205971240997314,,,,,,,,,,,,,,,,,
23,1.4315569400787354,0.4375,1.4315569400787354,0.009869890287518501,0.001,2.199507236480713,,,,,,,,,,,,,,,,,
24,1.414284110069275,0.34375,1.414284110069275,0.00968275498598814,0.001,2.2800562381744385,,,,,,,,,,,,,,,,,
25,1.2774274349212646,0.46875,1.2774274349212646,0.009558095596730709,0.001,2.360680341720581,,,,,,,,,,,,,,,,,
26,1.222078800201416,0.5,1.222078800201416,0.009392580017447472,0.001,2.4407401084899902,,,,,,,,,,,,,,,,,
27,1.2935070991516113,0.46875,1.2935070991516113,0.009200161322951317,0.001,2.5193891525268555,,,,,,,,,,,,,,,,,
28,1.1138970851898193,0.6875,1.1138970851898193,0.009041323326528072,0.001,2.5993731021881104,,,,,,,,,,,,,,,,,
29,1.1893764734268188,0.5625,1.1893764734268188,0.008855095133185387,0.001,2.678971290588379,,,,,,,,,,,,,,,,,
30,1.1560031175613403,0.5,1.1560031175613403,0.008704936131834984,0.001,2.758939266204834,1.9551564455032349,0.1953125,1.9551564455032349,0.3329514265060425,0.9537664651870728,0.11914423108100891,1.259143352508545,-1.1399991512298584,nan,nan,nan,nan,nan,nan,nan,nan,nan
