step,train_loss,train_accuracy,ce_loss,pairwise_loss,learning_rate,wall_clock_time_sec,val_loss,val_accuracy,val_nll,val_ece,val_brier,val_positive_logit_mean,val_hard_negative_logit_mean,val_margin_mean,val_positive_drive_mean,val_positive_resistance_mean,val_hard_negative_drive_mean,val_hard_negative_resistance_mean,val_sample_uncertainty_mean,val_ambiguity_mean,val_class_resistance_mean,val_resistance_noise_corr,val_resistance_occlusion_corr
1,1.5970698595046997,0.25,1.596665382385254,0.008089776150882244,0.001,0.0843658447265625,,,,,,,,,,,,,,,,,
2,1.6143121719360352,0.21875,1.6139585971832275,0.0070703765377402306,0.001,0.16715192794799805,,,,,,,,,,,,,,,,,
3,1.603860855102539,0.34375,1.603541374206543,0.006389993242919445,0.001,0.2520010471343994,,,,,,,,,,,,,,,,,
4,1.5909768342971802,0.25,1.5906904935836792,0.00572678167372942,0.001,0.33284521102905273,,,,,,,,,,,,,,,,,
5,1.5755846500396729,0.25,1.5753306150436401,0.005080385133624077,0.001,0.41364502906799316,,,,,,,,,,,,,,,,,
6,1.598152756690979,0.21875,1.5979292392730713,0.004470605403184891,0.001,0.49364209175109863,,,,,,,,,,,,,,,,,
7,1.5829089879989624,0.25,1.5827094316482544,0.003990170545876026,0.001,0.5738918781280518,,,,,,,,,,,,,,,,,
8,1.605117678642273,0.25,1.6049401760101318,0.0035505343694239855,0.001,0.6542670726776123,,,,,,,,,,,,,,,,,
9,1.5485155582427979,0.40625,1.548354983329773,0.003211365547031164,0.001,0.7370059490203857,,,,,,,,,,,,,,,,,
10,1.5791997909545898,0.21875,1.5790573358535767,0.002848987001925707,0.001,0.8172781467437744,1.6154757738113403,0.1953125,1.6154757738113403,0.041685596108436584,0.8025583028793335,0.0027713081799447536,0.1522771418094635,-0.1495058238506317,-0.035433974117040634,0.8973183035850525,1.0539723634719849,0.8974806666374207,0.6973274946212769,0.0,0.1999766230583191,0.07536797225475311,0.12154737114906311
11,1.5934101343154907,0.3125,1.5932823419570923,0.0025553349405527115,0.001,1.0481510162353516,,,,,,,,,,,,,,,,,
12,1.581892728805542,0.3125,1.5817766189575195,0.002321959240362048,0.001,1.1308188438415527,,,,,,,,,,,,,,,,,
13,1.5653680562973022,0.375,1.5652616024017334,0.0021292276214808226,0.001,1.2112231254577637,,,,,,,,,,,,,,,,,
14,1.5330225229263306,0.375,1.532923698425293,0.0019764909520745277,0.001,1.2925782203674316,,,,,,,,,,,,,,,,,
15,1.5235295295715332,0.46875,1.5234370231628418,0.001849473686888814,0.001,1.3754971027374268,,,,,,,,,,,,,,,,,
16,1.5859534740447998,0.21875,1.5858654975891113,0.0017598159611225128,0.001,1.4579379558563232,,,,,,,,,,,,,,,,,
17,1.5820894241333008,0.375,1.5820039510726929,0.00170829554554075,0.001,1.5395281314849854,,,,,,,,,,,,,,,,,
18,1.5439872741699219,0.3125,1.5439034700393677,0.0016765331383794546,0.001,1.6195039749145508,,,,,,,,,,,,,,,,,
19,1.4804950952529907,0.375,1.480412483215332,0.0016512743895873427,0.001,1.7042429447174072,,,,,,,,,,,,,,,,,
20,1.5523923635482788,0.28125,1.5523117780685425,0.0016115831676870584,0.001,1.7935681343078613,1.659872055053711,0.1953125,1.659872055053711,0.13531863689422607,0.8244357109069824,0.1121998280286789,0.5606232285499573,-0.4484233856201172,0.292245477437973,0.9002866744995117,2.218168258666992,0.9002468585968018,0.7002654075622559,0.0,0.19999812543392181,0.17676053941249847,0.0007141679525375366
21,1.534979224205017,0.34375,1.5348987579345703,0.0016091198194772005,0.001,2.0221540927886963,,,,,,,,,,,,,,,,,
22,1.4851467609405518,0.40625,1.4850647449493408,0.0016407329821959138,0.001,2.1268720626831055,,,,,,,,,,,,,,,,,
23,1.5070065259933472,0.375,1.506921410560608,0.0017029095906764269,0.001,2.247802972793579,,,,,,,,,,,,,,,,,
24,1.5146591663360596,0.34375,1.5145692825317383,0.0017965445294976234,0.001,2.344572067260742,,,,,,,,,,,,,,,,,
25,1.3931998014450073,0.53125,1.393103837966919,0.0019181172829121351,0.001,2.4396140575408936,,,,,,,,,,,,,,,,,
26,1.3815690279006958,0.59375,1.3814634084701538,0.002112693153321743,0.001,2.5284171104431152,,,,,,,,,,,,,,,,,
27,1.4686920642852783,0.46875,1.4685739278793335,0.002361989114433527,0.001,2.6155121326446533,,,,,,,,,,,,,,,,,
28,1.4505871534347534,0.5,1.450457215309143,0.00259855343028903,0.001,2.7048568725585938,,,,,,,,,,,,,,,,,
29,1.4476656913757324,0.53125,1.447524070739746,0.002831520978361368,0.001,2.793972969055176,,,,,,,,,,,,,,,,,
30,1.405239462852478,0.5,1.4050854444503784,0.0030791854951530695,0.001,2.8828189373016357,1.7218647003173828,0.1953125,1.7218647003173828,0.20579513907432556,0.857003927230835,0.201706200838089,0.8705797791481018,-0.6688735485076904,0.3786151111125946,0.9007179737091064,2.976268768310547,0.9009411334991455,0.700680673122406,0.0,0.20000216364860535,0.17544271051883698,0.023772886022925377
