step,train_loss,train_accuracy,ce_loss,pairwise_loss,learning_rate,wall_clock_time_sec,val_loss,val_accuracy,val_nll,val_ece,val_brier,val_positive_logit_mean,val_hard_negative_logit_mean,val_margin_mean,val_positive_drive_mean,val_positive_resistance_mean,val_hard_negative_drive_mean,val_hard_negative_resistance_mean,val_sample_uncertainty_mean,val_ambiguity_mean,val_class_resistance_mean,val_resistance_noise_corr,val_resistance_occlusion_corr
1,1.6099799871444702,0.09375,1.6099799871444702,0.0,0.001,0.08035707473754883,,,,,,,,,,,,,,,,,
2,1.6098992824554443,0.15625,1.6098992824554443,0.0,0.001,0.16391611099243164,,,,,,,,,,,,,,,,,
3,1.609613299369812,0.21875,1.609613299369812,0.0,0.001,0.24716806411743164,,,,,,,,,,,,,,,,,
4,1.6115529537200928,0.1875,1.6115529537200928,0.0,0.001,0.330045223236084,,,,,,,,,,,,,,,,,
5,1.6104320287704468,0.15625,1.6104320287704468,0.0,0.001,0.41258907318115234,,,,,,,,,,,,,,,,,
6,1.6120775938034058,0.125,1.6120775938034058,0.0,0.001,0.4946141242980957,,,,,,,,,,,,,,,,,
7,1.6075438261032104,0.25,1.6075438261032104,0.0,0.001,0.5753421783447266,,,,,,,,,,,,,,,,,
8,1.6113399267196655,0.09375,1.6113399267196655,0.0,0.001,0.656425952911377,,,,,,,,,,,,,,,,,
9,1.6095540523529053,0.1875,1.6095540523529053,0.0,0.001,0.7374839782714844,,,,,,,,,,,,,,,,,
10,1.6088329553604126,0.21875,1.6088329553604126,0.0,0.001,0.8187739849090576,1.6109741926193237,0.1875,1.6109741926193237,0.017057478427886963,0.8006088733673096,-0.0029033925384283066,0.020223330706357956,-0.023126721382141113,1.7926853615790606e-05,0.6931447982788086,0.0033927401527762413,0.6930726766586304,nan,nan,nan,-0.08491639792919159,0.10666350275278091
11,1.6046805381774902,0.25,1.6046805381774902,0.0,0.001,1.0297021865844727,,,,,,,,,,,,,,,,,
12,1.6058940887451172,0.3125,1.6058940887451172,0.0,0.001,1.1108810901641846,,,,,,,,,,,,,,,,,
13,1.5995031595230103,0.28125,1.5995031595230103,0.0,0.001,1.1926209926605225,,,,,,,,,,,,,,,,,
14,1.5975302457809448,0.375,1.5975302457809448,0.0,0.001,1.2745909690856934,,,,,,,,,,,,,,,,,
15,1.5973780155181885,0.1875,1.5973780155181885,0.0,0.001,1.3572101593017578,,,,,,,,,,,,,,,,,
16,1.5873873233795166,0.25,1.5873873233795166,0.0,0.001,1.439676284790039,,,,,,,,,,,,,,,,,
17,1.5802724361419678,0.34375,1.5802724361419678,0.0,0.001,1.5232110023498535,,,,,,,,,,,,,,,,,
18,1.5984020233154297,0.1875,1.5984020233154297,0.0,0.001,1.6032302379608154,,,,,,,,,,,,,,,,,
19,1.575789451599121,0.4375,1.575789451599121,0.0,0.001,1.6843512058258057,,,,,,,,,,,,,,,,,
20,1.5399959087371826,0.125,1.5399959087371826,0.0,0.001,1.768146276473999,1.6447076797485352,0.1953125,1.6447076797485352,0.07597151398658752,0.8143949508666992,-0.038852132856845856,0.27563005685806274,-0.314482182264328,-0.009604844264686108,0.6962723135948181,0.011940828524529934,0.699454665184021,nan,nan,nan,-0.04989353194832802,0.1318138986825943
21,1.5699572563171387,0.21875,1.5699572563171387,0.0,0.001,1.9900071620941162,,,,,,,,,,,,,,,,,
22,1.5815672874450684,0.21875,1.5815672874450684,0.0,0.001,2.072962999343872,,,,,,,,,,,,,,,,,
23,1.5153244733810425,0.28125,1.5153244733810425,0.0,0.001,2.158759117126465,,,,,,,,,,,,,,,,,
24,1.4547028541564941,0.375,1.4547028541564941,0.0,0.001,2.240859270095825,,,,,,,,,,,,,,,,,
25,1.4680949449539185,0.34375,1.4680949449539185,0.0,0.001,2.321319103240967,,,,,,,,,,,,,,,,,
26,1.3692083358764648,0.34375,1.3692083358764648,0.0,0.001,2.4043519496917725,,,,,,,,,,,,,,,,,
27,1.3295326232910156,0.4375,1.3295326232910156,0.0,0.001,2.4881420135498047,,,,,,,,,,,,,,,,,
28,1.5423104763031006,0.15625,1.5423104763031006,0.0,0.001,2.571998119354248,,,,,,,,,,,,,,,,,
29,1.492611050605774,0.34375,1.492611050605774,0.0,0.001,2.655046224594116,,,,,,,,,,,,,,,,,
30,1.6540964841842651,0.125,1.6540964841842651,0.0,0.001,2.7367610931396484,2.3393938541412354,0.1953125,2.3393938541412354,0.4227104187011719,1.0663487911224365,-0.15927447378635406,1.5302863121032715,-1.6895607709884644,-0.03562266752123833,0.7080313563346863,0.050343748182058334,0.7258097529411316,nan,nan,nan,-0.035096511244773865,0.13976815342903137
