run_id,timestamp,status,reason,mode,task_name,model_name,dataset_name,seed,device,git_commit,hostname,python_version,torch_version,torchvision_version,cuda_available,num_params,trainable_params,total_train_time_sec,best_metric,final_metric,run_dir,metrics_json
probe_all_noise_should_choose_null_sigmoid_gate_sum_seed0,2026-04-24T08:51:43Z,COMPLETED,,smoke,mechanism_probe,sigmoid_gate_sum,all_noise_should_choose_null,0,cpu,19568db,BMW-Pro.local,3.12.12,2.10.0,unavailable,False,0,0,0.0009522438049316406,0.0,0.0,reports/mechanism_probes/runs/20260424_085143_probe_all_noise_should_choose_null_sigmoid_gate_sum_seed0,"{""accuracy"": 0.0, ""attractor_diversity"": NaN, ""best_metric"": 0.0, ""final_diagnostics"": {""null_weight_mean"": 0.0, ""null_weight_std"": 0.0, ""update_strength_mean"": 0.1438896805047989, ""update_strength_std"": 0.0}, ""final_metric"": 0.0, ""max_responsibility"": 0.125, ""null_weight"": 0.0, ""resistance_conflict_correlation"": NaN, ""responsibility_entropy"": 2.079441547393799, ""step"": 1, ""step_time_sec"": 0.0004253387451171875, ""total_train_time_sec"": 0.0009522438049316406, ""train_loss"": 0.0, ""update_gate"": 0.1438896805047989, ""update_norm"": 0.0, ""wall_clock_time_sec"": 0.0004253387451171875}"
probe_all_noise_should_choose_null_sigmoid_gate_mean_seed0,2026-04-24T08:51:43Z,COMPLETED,,smoke,mechanism_probe,sigmoid_gate_mean,all_noise_should_choose_null,0,cpu,19568db,BMW-Pro.local,3.12.12,2.10.0,unavailable,False,0,0,0.0007779598236083984,0.0,0.0,reports/mechanism_probes/runs/20260424_085143_probe_all_noise_should_choose_null_sigmoid_gate_mean_seed0,"{""accuracy"": 0.0, ""attractor_diversity"": NaN, ""best_metric"": 0.0, ""final_diagnostics"": {""null_weight_mean"": 0.0, ""null_weight_std"": 0.0, ""update_strength_mean"": 0.01798621006309986, ""update_strength_std"": 0.0}, ""final_metric"": 0.0, ""max_responsibility"": 0.125, ""null_weight"": 0.0, ""resistance_conflict_correlation"": NaN, ""responsibility_entropy"": 2.079441547393799, ""step"": 1, ""step_time_sec"": 0.00019693374633789062, ""total_train_time_sec"": 0.0007779598236083984, ""train_loss"": 0.0, ""update_gate"": 0.01798621006309986, ""update_norm"": 0.0, ""wall_clock_time_sec"": 0.00019693374633789062}"
probe_all_noise_should_choose_null_responsibility_no_null_seed0,2026-04-24T08:51:43Z,COMPLETED,,smoke,mechanism_probe,responsibility_no_null,all_noise_should_choose_null,0,cpu,19568db,BMW-Pro.local,3.12.12,2.10.0,unavailable,False,0,0,0.0009560585021972656,0.0,0.0,reports/mechanism_probes/runs/20260424_085143_probe_all_noise_should_choose_null_responsibility_no_null_seed0,"{""accuracy"": 0.0, ""attractor_diversity"": NaN, ""best_metric"": 0.0, ""final_diagnostics"": {""null_weight_mean"": 0.0, ""null_weight_std"": 0.0, ""update_strength_mean"": 1.0, ""update_strength_std"": 0.0}, ""final_metric"": 0.0, ""max_responsibility"": 0.125, ""null_weight"": 0.0, ""resistance_conflict_correlation"": NaN, ""responsibility_entropy"": 2.079441547393799, ""step"": 1, ""step_time_sec"": 0.0005021095275878906, ""total_train_time_sec"": 0.0009560585021972656, ""train_loss"": 0.0, ""update_gate"": 1.0, ""update_norm"": 0.0, ""wall_clock_time_sec"": 0.0005009174346923828}"
probe_all_noise_should_choose_null_responsibility_null_seed0,2026-04-24T08:51:43Z,COMPLETED,,smoke,mechanism_probe,responsibility_null,all_noise_should_choose_null,0,cpu,19568db,BMW-Pro.local,3.12.12,2.10.0,unavailable,False,0,0,0.0009748935699462891,1.0,1.0,reports/mechanism_probes/runs/20260424_085143_probe_all_noise_should_choose_null_responsibility_null_seed0,"{""accuracy"": 1.0, ""attractor_diversity"": NaN, ""best_metric"": 1.0, ""final_diagnostics"": {""null_weight_mean"": 0.8722007870674133, ""null_weight_std"": 0.0, ""update_strength_mean"": 0.12779921293258667, ""update_strength_std"": 0.0}, ""final_metric"": 1.0, ""max_responsibility"": 0.01597491465508938, ""null_weight"": 0.8722007870674133, ""resistance_conflict_correlation"": NaN, ""responsibility_entropy"": 0.5286719799041748, ""step"": 1, ""step_time_sec"": 0.00047898292541503906, ""total_train_time_sec"": 0.0009748935699462891, ""train_loss"": 0.0, ""update_gate"": 0.12779921293258667, ""update_norm"": 0.0, ""wall_clock_time_sec"": 0.00047779083251953125}"
probe_all_noise_should_choose_null_thresholded_null_seed0,2026-04-24T08:51:43Z,COMPLETED,,smoke,mechanism_probe,thresholded_null,all_noise_should_choose_null,0,cpu,19568db,BMW-Pro.local,3.12.12,2.10.0,unavailable,False,0,0,0.0008649826049804688,1.0,1.0,reports/mechanism_probes/runs/20260424_085143_probe_all_noise_should_choose_null_thresholded_null_seed0,"{""accuracy"": 1.0, ""attractor_diversity"": NaN, ""best_metric"": 1.0, ""final_diagnostics"": {""null_weight_mean"": 0.8722007870674133, ""null_weight_std"": 0.0, ""update_strength_mean"": 0.12779921293258667, ""update_strength_std"": 0.0}, ""final_metric"": 1.0, ""max_responsibility"": 0.01597491465508938, ""null_weight"": 0.8722007870674133, ""resistance_conflict_correlation"": NaN, ""responsibility_entropy"": 0.5286719799041748, ""step"": 1, ""step_time_sec"": 0.00041294097900390625, ""total_train_time_sec"": 0.0008649826049804688, ""train_loss"": 0.0, ""update_gate"": 0.12779921293258667, ""update_norm"": 0.0, ""wall_clock_time_sec"": 0.00041294097900390625}"
probe_all_noise_should_choose_null_precision_update_seed0,2026-04-24T08:51:43Z,COMPLETED,,smoke,mechanism_probe,precision_update,all_noise_should_choose_null,0,cpu,19568db,BMW-Pro.local,3.12.12,2.10.0,unavailable,False,0,0,0.0009069442749023438,0.0,0.0,reports/mechanism_probes/runs/20260424_085143_probe_all_noise_should_choose_null_precision_update_seed0,"{""accuracy"": 0.0, ""attractor_diversity"": NaN, ""best_metric"": 0.0, ""final_diagnostics"": {""null_weight_mean"": 0.0, ""null_weight_std"": 0.0, ""update_strength_mean"": 1.0, ""update_strength_std"": 0.0}, ""final_metric"": 0.0, ""max_responsibility"": 0.125, ""null_weight"": 0.0, ""resistance_conflict_correlation"": NaN, ""responsibility_entropy"": 2.079441547393799, ""step"": 1, ""step_time_sec"": 0.00023603439331054688, ""total_train_time_sec"": 0.0009069442749023438, ""train_loss"": 0.0, ""update_gate"": 1.0, ""update_norm"": 0.0, ""wall_clock_time_sec"": 0.00023603439331054688}"
probe_all_noise_should_choose_null_sigmoid_update_seed0,2026-04-24T08:51:44Z,COMPLETED,,smoke,mechanism_probe,sigmoid_update,all_noise_should_choose_null,0,cpu,19568db,BMW-Pro.local,3.12.12,2.10.0,unavailable,False,0,0,0.0007143020629882812,0.0,0.0,reports/mechanism_probes/runs/20260424_085143_probe_all_noise_should_choose_null_sigmoid_update_seed0,"{""accuracy"": 0.0, ""attractor_diversity"": NaN, ""best_metric"": 0.0, ""final_diagnostics"": {""null_weight_mean"": 0.0, ""null_weight_std"": 0.0, ""update_strength_mean"": 1.0, ""update_strength_std"": 0.0}, ""final_metric"": 0.0, ""max_responsibility"": 0.125, ""null_weight"": 0.0, ""resistance_conflict_correlation"": NaN, ""responsibility_entropy"": 2.079441547393799, ""step"": 1, ""step_time_sec"": 0.0002269744873046875, ""total_train_time_sec"": 0.0007143020629882812, ""train_loss"": 0.0, ""update_gate"": 1.0, ""update_norm"": 0.0, ""wall_clock_time_sec"": 0.0002269744873046875}"
probe_one_strong_signal_many_weak_noise_sigmoid_gate_sum_seed0,2026-04-24T08:51:44Z,COMPLETED,,smoke,mechanism_probe,sigmoid_gate_sum,one_strong_signal_many_weak_noise,0,cpu,19568db,BMW-Pro.local,3.12.12,2.10.0,unavailable,False,0,0,0.0008461475372314453,0.0,0.0,reports/mechanism_probes/runs/20260424_085144_probe_one_strong_signal_many_weak_noise_sigmoid_gate_sum_seed0,"{""accuracy"": 0.0, ""attractor_diversity"": NaN, ""best_metric"": 0.0, ""final_diagnostics"": {""null_weight_mean"": 0.0, ""null_weight_std"": 0.0, ""responsibility_entropy_mean"": 1.5793206691741943, ""update_strength_mean"": 1.0, ""update_strength_std"": 0.0}, ""final_metric"": 0.0, ""max_responsibility"": 0.5393885374069214, ""null_weight"": 0.0, ""resistance_conflict_correlation"": NaN, ""responsibility_entropy"": 1.5793206691741943, ""step"": 1, ""step_time_sec"": 0.0003361701965332031, ""total_train_time_sec"": 0.0008461475372314453, ""train_loss"": 0.0, ""update_gate"": 1.0, ""update_norm"": 0.0, ""wall_clock_time_sec"": 0.0003361701965332031}"
probe_one_strong_signal_many_weak_noise_sigmoid_gate_mean_seed0,2026-04-24T08:51:44Z,COMPLETED,,smoke,mechanism_probe,sigmoid_gate_mean,one_strong_signal_many_weak_noise,0,cpu,19568db,BMW-Pro.local,3.12.12,2.10.0,unavailable,False,0,0,0.0008220672607421875,0.0,0.0,reports/mechanism_probes/runs/20260424_085144_probe_one_strong_signal_many_weak_noise_sigmoid_gate_mean_seed0,"{""accuracy"": 0.0, ""attractor_diversity"": NaN, ""best_metric"": 0.0, ""final_diagnostics"": {""null_weight_mean"": 0.0, ""null_weight_std"": 0.0, ""responsibility_entropy_mean"": 1.5793206691741943, ""update_strength_mean"": 0.2302912175655365, ""update_strength_std"": 0.004734526854008436}, ""final_metric"": 0.0, ""max_responsibility"": 0.5393885374069214, ""null_weight"": 0.0, ""resistance_conflict_correlation"": NaN, ""responsibility_entropy"": 1.5793206691741943, ""step"": 1, ""step_time_sec"": 0.0002541542053222656, ""total_train_time_sec"": 0.0008220672607421875, ""train_loss"": 0.0, ""update_gate"": 0.2302912175655365, ""update_norm"": 0.0, ""wall_clock_time_sec"": 0.0002541542053222656}"
probe_one_strong_signal_many_weak_noise_responsibility_no_null_seed0,2026-04-24T08:51:44Z,COMPLETED,,smoke,mechanism_probe,responsibility_no_null,one_strong_signal_many_weak_noise,0,cpu,19568db,BMW-Pro.local,3.12.12,2.10.0,unavailable,False,0,0,0.0008702278137207031,1.0,1.0,reports/mechanism_probes/runs/20260424_085144_probe_one_strong_signal_many_weak_noise_responsibility_no_null_seed0,"{""accuracy"": 1.0, ""attractor_diversity"": NaN, ""best_metric"": 1.0, ""final_diagnostics"": {""null_weight_mean"": 0.0, ""null_weight_std"": 0.0, ""responsibility_entropy_mean"": 0.05173012614250183, ""update_strength_mean"": 1.0, ""update_strength_std"": 0.0}, ""final_metric"": 1.0, ""max_responsibility"": 0.993499755859375, ""null_weight"": 0.0, ""resistance_conflict_correlation"": NaN, ""responsibility_entropy"": 0.05173012614250183, ""step"": 1, ""step_time_sec"": 0.00043702125549316406, ""total_train_time_sec"": 0.0008702278137207031, ""train_loss"": 0.0, ""update_gate"": 1.0, ""update_norm"": 0.0, ""wall_clock_time_sec"": 0.00043702125549316406}"
