step,train_loss,train_accuracy,ce_loss,pairwise_loss,learning_rate,wall_clock_time_sec,val_loss,val_accuracy,val_nll,val_ece,val_brier,val_positive_logit_mean,val_hard_negative_logit_mean,val_margin_mean,val_positive_drive_mean,val_positive_resistance_mean,val_hard_negative_drive_mean,val_hard_negative_resistance_mean,val_sample_uncertainty_mean,val_ambiguity_mean,val_class_resistance_mean,val_resistance_noise_corr,val_resistance_occlusion_corr
1,1.6166236400604248,0.125,1.6166236400604248,0.009488502517342567,0.001,0.2179698944091797,,,,,,,,,,,,,,,,,
2,1.6052970886230469,0.15625,1.6052970886230469,0.009565510787069798,0.001,0.5253949165344238,,,,,,,,,,,,,,,,,
3,1.558905839920044,0.40625,1.558905839920044,0.009464194998145103,0.001,0.6823890209197998,,,,,,,,,,,,,,,,,
4,1.6331464052200317,0.0625,1.6331464052200317,0.009367035701870918,0.001,0.9507241249084473,,,,,,,,,,,,,,,,,
5,1.5819743871688843,0.28125,1.5819743871688843,0.009422716684639454,0.001,1.124074935913086,,,,,,,,,,,,,,,,,
6,1.5965434312820435,0.15625,1.5965434312820435,0.009385988116264343,0.001,1.27518892288208,,,,,,,,,,,,,,,,,
7,1.539443850517273,0.4375,1.539443850517273,0.009301118552684784,0.001,1.425520896911621,,,,,,,,,,,,,,,,,
8,1.5813443660736084,0.1875,1.5813443660736084,0.009196755476295948,0.001,1.614530086517334,,,,,,,,,,,,,,,,,
9,1.5900932550430298,0.28125,1.5900932550430298,0.009169106371700764,0.001,1.7562081813812256,,,,,,,,,,,,,,,,,
10,1.5431963205337524,0.40625,1.5431963205337524,0.009117351844906807,0.001,1.9063720703125,1.6661442518234253,0.1953125,1.6661442518234253,0.12512770295143127,0.8254624605178833,0.1431652009487152,0.5962832570075989,-0.45311808586120605,0.4684334397315979,0.8965704441070557,2.365738868713379,0.8970236778259277,0.6964715123176575,0.0,0.2000957876443863,0.008346856571733952,0.07059794664382935
11,1.5195220708847046,0.28125,1.5195220708847046,0.009041709825396538,0.001,2.279568910598755,,,,,,,,,,,,,,,,,
12,1.5182037353515625,0.375,1.5182037353515625,0.00901181809604168,0.001,2.4332869052886963,,,,,,,,,,,,,,,,,
13,1.5187609195709229,0.375,1.5187609195709229,0.008984571322798729,0.001,2.592395067214966,,,,,,,,,,,,,,,,,
14,1.4554777145385742,0.40625,1.4554777145385742,0.008917954750359058,0.001,2.757688045501709,,,,,,,,,,,,,,,,,
15,1.5349613428115845,0.28125,1.5349613428115845,0.009031358174979687,0.001,2.9078800678253174,,,,,,,,,,,,,,,,,
16,1.5110315084457397,0.3125,1.5110315084457397,0.009202973917126656,0.001,3.059169054031372,,,,,,,,,,,,,,,,,
17,1.3639932870864868,0.59375,1.3639932870864868,0.009489134885370731,0.001,3.20327091217041,,,,,,,,,,,,,,,,,
18,1.489830493927002,0.4375,1.489830493927002,0.009916802868247032,0.001,3.351793050765991,,,,,,,,,,,,,,,,,
19,1.4610297679901123,0.375,1.4610297679901123,0.010271498933434486,0.001,3.51621413230896,,,,,,,,,,,,,,,,,
20,1.3914661407470703,0.5,1.3914661407470703,0.010663500055670738,0.001,3.6713459491729736,1.7359408140182495,0.1953125,1.7359408140182495,0.21044817566871643,0.8623978495597839,0.22332468628883362,0.9218627214431763,-0.6985379457473755,0.5351747870445251,0.9020078182220459,3.1498637199401855,0.9024838805198669,0.7018585801124573,0.0,0.20013666152954102,0.04505882039666176,0.0771021693944931
21,1.3812851905822754,0.40625,1.3812851905822754,0.011154664680361748,0.001,4.087767124176025,,,,,,,,,,,,,,,,,
22,1.4483448266983032,0.375,1.4483448266983032,0.011708241887390614,0.001,4.261644124984741,,,,,,,,,,,,,,,,,
23,1.3493672609329224,0.59375,1.3493672609329224,0.012195253744721413,0.001,4.450695037841797,,,,,,,,,,,,,,,,,
24,1.3788936138153076,0.5,1.3788936138153076,0.012637784704566002,0.001,4.639055252075195,,,,,,,,,,,,,,,,,
25,1.1638364791870117,0.8125,1.1638364791870117,0.013079446740448475,0.001,4.823770046234131,,,,,,,,,,,,,,,,,
26,1.2174056768417358,0.65625,1.2174056768417358,0.01356728095561266,0.001,5.004791021347046,,,,,,,,,,,,,,,,,
27,1.1878821849822998,0.65625,1.1878821849822998,0.014034206978976727,0.001,5.179612874984741,,,,,,,,,,,,,,,,,
28,1.3270037174224854,0.53125,1.3270037174224854,0.014540307223796844,0.001,5.3575439453125,,,,,,,,,,,,,,,,,
29,1.2275794744491577,0.625,1.2275794744491577,0.014921206049621105,0.001,5.5388569831848145,,,,,,,,,,,,,,,,,
30,1.1676255464553833,0.65625,1.1676255464553833,0.015296479687094688,0.001,5.710318088531494,1.83788001537323,0.1953125,1.83788001537323,0.292577862739563,0.9164679050445557,0.3061944246292114,1.2467808723449707,-0.9405864477157593,0.38701745867729187,0.909251868724823,4.078273773193359,0.9096897840499878,0.7090161442756653,0.0,0.20020166039466858,0.025254106149077415,0.05761658772826195
