step,train_loss,train_accuracy,ce_loss,pairwise_loss,learning_rate,wall_clock_time_sec,val_loss,val_accuracy,val_nll,val_ece,val_brier,val_positive_logit_mean,val_hard_negative_logit_mean,val_margin_mean,val_positive_drive_mean,val_positive_resistance_mean,val_hard_negative_drive_mean,val_hard_negative_resistance_mean,val_sample_uncertainty_mean,val_ambiguity_mean,val_class_resistance_mean,val_resistance_noise_corr,val_resistance_occlusion_corr
1,1.6094911098480225,0.125,1.6094911098480225,0.0,0.001,0.23113799095153809,,,,,,,,,,,,,,,,,
2,1.610030174255371,0.09375,1.610030174255371,0.0,0.001,0.578700065612793,,,,,,,,,,,,,,,,,
3,1.6092708110809326,0.21875,1.6092708110809326,0.0,0.001,0.7981760501861572,,,,,,,,,,,,,,,,,
4,1.6099108457565308,0.25,1.6099108457565308,0.0,0.001,1.0204908847808838,,,,,,,,,,,,,,,,,
5,1.6122316122055054,0.09375,1.6122316122055054,0.0,0.001,1.2090129852294922,,,,,,,,,,,,,,,,,
6,1.6094504594802856,0.34375,1.6094504594802856,0.0,0.001,1.4590461254119873,,,,,,,,,,,,,,,,,
7,1.610074758529663,0.1875,1.610074758529663,0.0,0.001,1.745445966720581,,,,,,,,,,,,,,,,,
8,1.6090197563171387,0.21875,1.6090197563171387,0.0,0.001,1.940950870513916,,,,,,,,,,,,,,,,,
9,1.6098618507385254,0.15625,1.6098618507385254,0.0,0.001,2.1239500045776367,,,,,,,,,,,,,,,,,
10,1.6088953018188477,0.28125,1.6088953018188477,0.0,0.001,2.315732955932617,1.609452724456787,0.1953125,1.609452724456787,0.005800515413284302,0.8000060319900513,-0.06438322365283966,-0.0595833845436573,-0.004799835383892059,-0.00010330435179639608,0.693139910697937,0.00866980291903019,0.6913936138153076,nan,nan,nan,-0.08430928736925125,0.0843246728181839
11,1.6092898845672607,0.21875,1.6092898845672607,0.0,0.001,2.7249441146850586,,,,,,,,,,,,,,,,,
12,1.6087249517440796,0.28125,1.6087249517440796,0.0,0.001,2.8869941234588623,,,,,,,,,,,,,,,,,
13,1.6089892387390137,0.25,1.6089892387390137,0.0,0.001,3.0434749126434326,,,,,,,,,,,,,,,,,
14,1.6089696884155273,0.21875,1.6089696884155273,0.0,0.001,3.1938211917877197,,,,,,,,,,,,,,,,,
15,1.6099367141723633,0.15625,1.6099367141723633,0.0,0.001,3.3510630130767822,,,,,,,,,,,,,,,,,
16,1.6095008850097656,0.15625,1.6095008850097656,0.0,0.001,3.502631187438965,,,,,,,,,,,,,,,,,
17,1.6097815036773682,0.15625,1.6097815036773682,0.0,0.001,3.6560161113739014,,,,,,,,,,,,,,,,,
18,1.6080957651138306,0.25,1.6080957651138306,0.0,0.001,3.8146958351135254,,,,,,,,,,,,,,,,,
19,1.6097725629806519,0.125,1.6097725629806519,0.0,0.001,3.969776153564453,,,,,,,,,,,,,,,,,
20,1.6077393293380737,0.3125,1.6077393293380737,0.0,0.001,4.1304991245269775,1.609928846359253,0.1953125,1.609928846359253,0.006702616810798645,0.800195574760437,-0.06340903788805008,-0.053611598908901215,-0.00979743991047144,0.0029880362562835217,0.692119836807251,0.030335767194628716,0.6894738674163818,nan,nan,nan,0.009497104212641716,0.028845058754086494
21,1.6074093580245972,0.3125,1.6074093580245972,0.0,0.001,4.516861200332642,,,,,,,,,,,,,,,,,
22,1.6074773073196411,0.1875,1.6074773073196411,0.0,0.001,4.683647871017456,,,,,,,,,,,,,,,,,
23,1.6062911748886108,0.34375,1.6062911748886108,0.0,0.001,4.840458869934082,,,,,,,,,,,,,,,,,
24,1.610312819480896,0.28125,1.610312819480896,0.0,0.001,4.99953818321228,,,,,,,,,,,,,,,,,
25,1.6159031391143799,0.1875,1.6159031391143799,0.0,0.001,5.159140110015869,,,,,,,,,,,,,,,,,
26,1.6079049110412598,0.3125,1.6079049110412598,0.0,0.001,5.323901176452637,,,,,,,,,,,,,,,,,
27,1.612011432647705,0.15625,1.612011432647705,0.0,0.001,5.499109983444214,,,,,,,,,,,,,,,,,
28,1.6055185794830322,0.21875,1.6055185794830322,0.0,0.001,5.672137975692749,,,,,,,,,,,,,,,,,
29,1.610560417175293,0.15625,1.610560417175293,0.0,0.001,5.852018117904663,,,,,,,,,,,,,,,,,
30,1.6083444356918335,0.21875,1.6083444356918335,0.0,0.001,6.023979902267456,1.6114082336425781,0.1953125,1.6114082336425781,0.014963805675506592,0.8007835745811462,-0.05866197496652603,-0.015220995992422104,-0.04344097524881363,0.015108638443052769,0.6903952360153198,0.14230313897132874,0.6694502830505371,nan,nan,nan,0.08004143834114075,-0.057718124240636826
