step,train_loss,train_accuracy,wall_clock_time_sec,val_accuracy,val_loss,val_ece,val_brier
1,0.8294447064399719,0.1171875,0.0033860206604003906,,,,
2,0.8185979127883911,0.109375,0.007028102874755859,,,,
3,0.8153391480445862,0.1796875,0.008845806121826172,,,,
4,0.7944477200508118,0.203125,0.010525941848754883,,,,
5,0.7784051299095154,0.25,0.013792991638183594,,,,
6,0.7652646899223328,0.2421875,0.01581096649169922,,,,
7,0.7603216171264648,0.296875,0.020097017288208008,,,,
8,0.7324346899986267,0.3828125,0.023212194442749023,,,,
9,0.7450342178344727,0.3671875,0.026000022888183594,,,,
10,0.7212628126144409,0.3671875,0.0281980037689209,0.484375,0.6976049542427063,0.06941889226436615,0.5044911503791809
11,0.7215573787689209,0.359375,0.03295302391052246,,,,
12,0.6824734807014465,0.515625,0.034536123275756836,,,,
13,0.6717829704284668,0.5625,0.03786492347717285,,,,
14,0.6734327077865601,0.5625,0.03986501693725586,,,,
15,0.6449069976806641,0.6796875,0.04172801971435547,,,,
16,0.6477420330047607,0.6328125,0.043476104736328125,,,,
17,0.6194647550582886,0.7578125,0.048322200775146484,,,,
18,0.6321436166763306,0.6796875,0.0505831241607666,,,,
19,0.60393226146698,0.8046875,0.05293393135070801,,,,
20,0.5800100564956665,0.796875,0.05687093734741211,0.8203125,0.5727741122245789,0.2416813224554062,0.3824615478515625
21,0.5835321545600891,0.828125,0.06061387062072754,,,,
22,0.5636141896247864,0.8203125,0.06527113914489746,,,,
23,0.5568841695785522,0.890625,0.06837987899780273,,,,
24,0.570936381816864,0.828125,0.07286787033081055,,,,
25,0.5203459858894348,0.921875,0.07541990280151367,,,,
26,0.5273505449295044,0.859375,0.07795095443725586,,,,
27,0.5416498184204102,0.8671875,0.08176803588867188,,,,
28,0.5088278651237488,0.953125,0.08548092842102051,,,,
29,0.45573070645332336,0.984375,0.09136605262756348,,,,
30,0.4747774004936218,0.953125,0.0975790023803711,0.94140625,0.462316632270813,0.2956373691558838,0.2814091742038727
31,0.500906765460968,0.875,0.10305213928222656,,,,
32,0.45487406849861145,0.9453125,0.10703015327453613,,,,
33,0.44187626242637634,0.9453125,0.11064505577087402,,,,
34,0.467816025018692,0.921875,0.1152951717376709,,,,
35,0.45448973774909973,0.953125,0.11818718910217285,,,,
36,0.4150892198085785,0.9375,0.12354683876037598,,,,
37,0.4044478237628937,0.953125,0.12785005569458008,,,,
38,0.38923099637031555,0.9609375,0.13387298583984375,,,,
39,0.43223950266838074,0.921875,0.13672614097595215,,,,
40,0.43876588344573975,0.8984375,0.14089298248291016,0.94921875,0.39030301570892334,0.24091051518917084,0.22240979969501495
