step,train_loss,train_accuracy,wall_clock_time_sec,val_accuracy,val_loss,val_ece,val_brier
1,0.7361727952957153,0.5390625,0.0027511119842529297,,,,
2,0.7180098295211792,0.546875,0.006435871124267578,,,,
3,0.7372359037399292,0.515625,0.00958395004272461,,,,
4,0.6814842224121094,0.5859375,0.01209402084350586,,,,
5,0.7103070616722107,0.5703125,0.014664888381958008,,,,
6,0.7186356782913208,0.5625,0.0175628662109375,,,,
7,0.7433860898017883,0.5234375,0.020256757736206055,,,,
8,0.7216289639472961,0.4765625,0.022183895111083984,,,,
9,0.75373375415802,0.3984375,0.02480173110961914,,,,
10,0.7373850345611572,0.5078125,0.02740192413330078,0.4375,0.7437888979911804,0.15947552025318146,0.5481129884719849
11,0.6994926929473877,0.484375,0.032962799072265625,,,,
12,0.7308619618415833,0.4609375,0.03597402572631836,,,,
13,0.7238214612007141,0.5078125,0.03874993324279785,,,,
14,0.7305489182472229,0.4609375,0.041940927505493164,,,,
15,0.7194684147834778,0.5234375,0.045561790466308594,,,,
16,0.7350923418998718,0.484375,0.048483848571777344,,,,
17,0.7329725623130798,0.4375,0.05218172073364258,,,,
18,0.7287843823432922,0.4765625,0.05556893348693848,,,,
19,0.7144663333892822,0.53125,0.059422969818115234,,,,
20,0.7219423651695251,0.515625,0.06279397010803223,0.53125,0.7117201685905457,0.0769345834851265,0.5170944333076477
21,0.705813467502594,0.4921875,0.06795978546142578,,,,
22,0.7087706923484802,0.5625,0.07107901573181152,,,,
23,0.7292339205741882,0.4375,0.07435989379882812,,,,
24,0.7122259736061096,0.5078125,0.07846784591674805,,,,
25,0.6919400095939636,0.5078125,0.08385682106018066,,,,
26,0.7159484624862671,0.515625,0.08811402320861816,,,,
27,0.7243580222129822,0.4765625,0.09203290939331055,,,,
28,0.7314379215240479,0.4140625,0.10059785842895508,,,,
29,0.6715447306632996,0.5546875,0.10457992553710938,,,,
30,0.7104527354240417,0.515625,0.11063289642333984,0.5,0.7098344564437866,0.06854364275932312,0.5156739950180054
31,0.6937733292579651,0.5546875,0.11798691749572754,,,,
32,0.731807291507721,0.4609375,0.12216997146606445,,,,
33,0.6896337866783142,0.53125,0.12764978408813477,,,,
34,0.6933258175849915,0.53125,0.1313920021057129,,,,
35,0.6997274160385132,0.4609375,0.1356658935546875,,,,
36,0.7197843194007874,0.4453125,0.13945984840393066,,,,
37,0.7074275016784668,0.484375,0.1438448429107666,,,,
38,0.7104215025901794,0.484375,0.14654898643493652,,,,
39,0.7139182686805725,0.484375,0.15001988410949707,,,,
40,0.7197463512420654,0.4921875,0.153792142868042,0.48046875,0.7134751081466675,0.08005613833665848,0.5197919011116028
