step,train_loss,train_accuracy,wall_clock_time_sec,val_accuracy,val_loss,val_ece,val_brier,val_support_evidence_corr,val_conflict_corr
1,0.6751614212989807,0.8984375,0.0074880123138427734,,,,,,
2,0.6729426383972168,0.84375,0.013994932174682617,,,,,,
3,0.6638091206550598,0.8984375,0.02107095718383789,,,,,,
4,0.6550797820091248,0.921875,0.029185056686401367,,,,,,
5,0.6521876454353333,0.875,0.03714895248413086,,,,,,
6,0.6416800022125244,0.890625,0.04427289962768555,,,,,,
7,0.6247044205665588,0.9296875,0.04997992515563965,,,,,,
8,0.61562180519104,0.90625,0.055313825607299805,,,,,,
9,0.5951846837997437,0.9296875,0.06134295463562012,,,,,,
10,0.5813100934028625,0.9140625,0.06785893440246582,0.890625,0.5685896873474121,0.3024871349334717,0.3766879439353943,0.49146029353141785,-0.02833564206957817
11,0.5462976098060608,0.953125,0.07708382606506348,,,,,,
12,0.530686616897583,0.9296875,0.08318591117858887,,,,,,
13,0.5062984824180603,0.921875,0.08826875686645508,,,,,,
14,0.48361778259277344,0.90625,0.09601593017578125,,,,,,
15,0.47780564427375793,0.8671875,0.10267281532287598,,,,,,
16,0.41544219851493835,0.90625,0.11066794395446777,,,,,,
17,0.385916531085968,0.8984375,0.1179349422454834,,,,,,
18,0.40069374442100525,0.859375,0.1252429485321045,,,,,,
19,0.3039664924144745,0.9140625,0.13152599334716797,,,,,,
20,0.2824143171310425,0.9140625,0.13728594779968262,0.890625,0.3233085870742798,0.04059977829456329,0.18755057454109192,0.7222844362258911,0.025626540184020996
21,0.4102107286453247,0.8515625,0.14610695838928223,,,,,,
22,0.27564680576324463,0.9140625,0.15451693534851074,,,,,,
23,0.40443557500839233,0.8671875,0.16238188743591309,,,,,,
24,0.28857699036598206,0.9140625,0.16913700103759766,,,,,,
25,0.25902658700942993,0.921875,0.17593598365783691,,,,,,
26,0.26352065801620483,0.921875,0.1836717128753662,,,,,,
27,0.4060412049293518,0.8671875,0.19303083419799805,,,,,,
28,0.18316733837127686,0.9453125,0.20120978355407715,,,,,,
29,0.10041265934705734,0.9765625,0.20789790153503418,,,,,,
30,0.45780590176582336,0.828125,0.21318578720092773,0.87890625,0.3212573528289795,0.062381189316511154,0.1978057622909546,0.7962420582771301,0.018822668120265007
31,0.32743582129478455,0.875,0.22424602508544922,,,,,,
32,0.2548586130142212,0.8984375,0.23056888580322266,,,,,,
33,0.14956390857696533,0.953125,0.2401578426361084,,,,,,
34,0.2831847667694092,0.8828125,0.2507920265197754,,,,,,
35,0.21667352318763733,0.9140625,0.2616257667541504,,,,,,
36,0.15930399298667908,0.953125,0.26829075813293457,,,,,,
37,0.18845482170581818,0.953125,0.2755320072174072,,,,,,
38,0.220915749669075,0.9140625,0.2819337844848633,,,,,,
39,0.2680334746837616,0.875,0.29124999046325684,,,,,,
40,0.28705069422721863,0.875,0.30028796195983887,0.921875,0.21728019416332245,0.0504123792052269,0.12380409240722656,0.7378994822502136,-0.08166950941085815
