step,train_loss,train_accuracy,learning_rate,wall_clock_time_sec,ce_loss,pairwise_loss,resistance_supervision_loss,val_accuracy,val_ece
1,1.6090995073318481,0.296875,0.001,0.9919795989990234,1.6090995073318481,0.0,0.0,,
2,1.6094571352005005,0.203125,0.001,2.438385486602783,1.6094571352005005,0.0,0.0,,
3,1.6071850061416626,0.203125,0.001,2.4751060009002686,1.6071850061416626,0.0,0.0,,
4,1.604972004890442,0.25,0.001,3.926190137863159,1.604972004890442,0.0,0.0,,
5,1.6105191707611084,0.140625,0.001,5.374737501144409,1.6105191707611084,0.0,0.0,,
6,1.6050764322280884,0.1875,0.001,5.489803791046143,1.6050764322280884,0.0,0.0,,
7,1.6008485555648804,0.21875,0.001,5.5608229637146,1.6008485555648804,0.0,0.0,,
8,1.6034752130508423,0.09375,0.001,5.620215177536011,1.6034752130508423,0.0,0.0,,
9,1.5946521759033203,0.1875,0.001,6.231691360473633,1.5946521759033203,0.0,0.0,,
10,1.586351752281189,0.28125,0.001,7.737145662307739,1.586351752281189,0.0,0.0,,
11,1.5850862264633179,0.296875,0.001,7.75648832321167,1.5850862264633179,0.0,0.0,,
12,1.5742743015289307,0.6875,0.001,7.783151388168335,1.5742743015289307,0.0,0.0,,
13,1.570421814918518,0.8125,0.001,7.807002067565918,1.570421814918518,0.0,0.0,,
14,1.551881194114685,0.828125,0.001,7.831694602966309,1.551881194114685,0.0,0.0,,
15,1.5330747365951538,0.796875,0.001,7.859493255615234,1.5330747365951538,0.0,0.0,,
16,1.5218054056167603,0.875,0.001,7.884480237960815,1.5218054056167603,0.0,0.0,,
17,1.494763731956482,0.9375,0.001,7.908233165740967,1.494763731956482,0.0,0.0,,
18,1.4713537693023682,0.78125,0.001,7.930298089981079,1.4713537693023682,0.0,0.0,,
19,1.4174185991287231,0.8125,0.001,7.9496235847473145,1.4174185991287231,0.0,0.0,,
20,1.398037075996399,0.765625,0.001,7.965224027633667,1.398037075996399,0.0,0.0,,
21,1.3270087242126465,0.84375,0.001,7.977762699127197,1.3270087242126465,0.0,0.0,,
22,1.2915910482406616,0.78125,0.001,8.001830101013184,1.2915910482406616,0.0,0.0,,
23,1.2802525758743286,0.71875,0.001,8.02341079711914,1.2802525758743286,0.0,0.0,,
24,1.2557895183563232,0.65625,0.001,8.037957906723022,1.2557895183563232,0.0,0.0,,
25,1.1968777179718018,0.71875,0.001,8.051941394805908,1.1968777179718018,0.0,0.0,0.7734375,0.4102177321910858
26,1.0593695640563965,0.703125,0.001,8.206779718399048,1.0593695640563965,0.0,0.0,,
27,0.9808399677276611,0.765625,0.001,8.268694400787354,0.9808399677276611,0.0,0.0,,
28,0.9454206824302673,0.640625,0.001,8.375121355056763,0.9454206824302673,0.0,0.0,,
29,0.7037426233291626,0.875,0.001,8.395018339157104,0.7037426233291626,0.0,0.0,,
30,0.7628920674324036,0.734375,0.001,8.421275854110718,0.7628920674324036,0.0,0.0,,
31,0.754224956035614,0.703125,0.001,8.446099758148193,0.754224956035614,0.0,0.0,,
32,0.6283751726150513,0.78125,0.001,8.469578504562378,0.6283751726150513,0.0,0.0,,
33,0.6451771259307861,0.671875,0.001,8.506136894226074,0.6451771259307861,0.0,0.0,,
34,0.6268932223320007,0.71875,0.001,12.854211568832397,0.6268932223320007,0.0,0.0,,
35,0.464061975479126,0.828125,0.001,13.0812406539917,0.464061975479126,0.0,0.0,,
36,0.5141025185585022,0.765625,0.001,13.146591186523438,0.5141025185585022,0.0,0.0,,
37,0.41620635986328125,0.78125,0.001,13.208242416381836,0.41620635986328125,0.0,0.0,,
38,0.6010643839836121,0.734375,0.001,13.27707314491272,0.6010643839836121,0.0,0.0,,
39,0.36739498376846313,0.859375,0.001,13.341869831085205,0.36739498376846313,0.0,0.0,,
40,0.547180712223053,0.796875,0.001,13.406976222991943,0.547180712223053,0.0,0.0,,
41,0.2750166654586792,0.875,0.001,13.473060369491577,0.2750166654586792,0.0,0.0,,
42,0.42223936319351196,0.703125,0.001,13.535228967666626,0.42223936319351196,0.0,0.0,,
