step,train_loss,train_accuracy,learning_rate,wall_clock_time_sec,ce_loss,pairwise_loss,resistance_supervision_loss,val_accuracy,val_ece
1,1.9926204681396484,0.125,0.001,0.004093170166015625,1.9926204681396484,0.006161191966384649,0.0,,
2,2.0066943168640137,0.15625,0.001,0.007152080535888672,2.0066943168640137,0.006234073545783758,0.0,,
3,1.9584165811538696,0.21875,0.001,0.010556459426879883,1.9584165811538696,0.006246889475733042,0.0,,
4,1.9698599576950073,0.15625,0.001,0.01403665542602539,1.9698599576950073,0.00626823166385293,0.0,,
5,1.7785987854003906,0.265625,0.001,0.017889022827148438,1.7785987854003906,0.006290007382631302,0.0,,
6,1.7738958597183228,0.25,0.001,0.02169036865234375,1.7738958597183228,0.006318252068012953,0.0,,
7,1.6823590993881226,0.3125,0.001,0.02646327018737793,1.6823590993881226,0.006383148021996021,0.0,,
8,1.7226073741912842,0.28125,0.001,0.030657529830932617,1.7226073741912842,0.0064663365483284,0.0,,
9,1.6871519088745117,0.359375,0.001,0.037380218505859375,1.6871519088745117,0.006562439259141684,0.0,,
10,1.592942237854004,0.4375,0.001,0.04233574867248535,1.592942237854004,0.006657897029072046,0.0,,
11,1.5453689098358154,0.484375,0.001,0.04735159873962402,1.5453689098358154,0.006743833422660828,0.0,,
12,1.4588370323181152,0.53125,0.001,0.05257058143615723,1.4588370323181152,0.0068326652981340885,0.0,,
13,1.6247315406799316,0.484375,0.001,0.057665348052978516,1.6247315406799316,0.006918489933013916,0.0,,
14,1.541094422340393,0.46875,0.001,0.06352663040161133,1.541094422340393,0.007012564223259687,0.0,,
15,1.5012662410736084,0.46875,0.001,0.06891298294067383,1.5012662410736084,0.007116533815860748,0.0,,
16,1.451470971107483,0.46875,0.001,0.07388925552368164,1.451470971107483,0.00722842151299119,0.0,,
17,1.3647829294204712,0.5625,0.001,0.07897424697875977,1.3647829294204712,0.007349118124693632,0.0,,
18,1.3409597873687744,0.453125,0.001,0.08375310897827148,1.3409597873687744,0.007473975419998169,0.0,,
19,1.295953631401062,0.546875,0.001,0.13836407661437988,1.295953631401062,0.007603827863931656,0.0,,
20,1.3266716003417969,0.484375,0.001,0.14499807357788086,1.3266716003417969,0.007721074856817722,0.0,,
21,1.2314835786819458,0.5625,0.001,0.15354180335998535,1.2314835786819458,0.007857517339289188,0.0,,
22,1.2720000743865967,0.546875,0.001,0.1620166301727295,1.2720000743865967,0.007992503233253956,0.0,,
23,1.3558692932128906,0.4375,0.001,0.17077136039733887,1.3558692932128906,0.008139892481267452,0.0,,
24,1.116042971611023,0.625,0.001,0.1795201301574707,1.116042971611023,0.008301987312734127,0.0,,
25,1.1019370555877686,0.609375,0.001,0.1878070831298828,1.1019370555877686,0.008449955843389034,0.0,0.609375,0.32561835646629333
26,1.145675539970398,0.578125,0.001,0.23064279556274414,1.145675539970398,0.00860054325312376,0.0,,
27,1.0821081399917603,0.5625,0.001,0.23572206497192383,1.0821081399917603,0.008746310137212276,0.0,,
28,0.9808080196380615,0.640625,0.001,0.24157333374023438,0.9808080196380615,0.008885442279279232,0.0,,
29,0.9712907075881958,0.671875,0.001,0.24572205543518066,0.9712907075881958,0.009018657729029655,0.0,,
30,1.0041388273239136,0.625,0.001,0.250690221786499,1.0041388273239136,0.009136945009231567,0.0,,
31,0.9254673719406128,0.703125,0.001,0.25574612617492676,0.9254673719406128,0.009251905605196953,0.0,,
32,0.932097315788269,0.734375,0.001,0.2606048583984375,0.932097315788269,0.009356039576232433,0.0,,
33,0.972550094127655,0.625,0.001,0.2717585563659668,0.972550094127655,0.00944385677576065,0.0,,
34,0.7980656623840332,0.828125,0.001,0.27669239044189453,0.7980656623840332,0.009521587751805782,0.0,,
35,0.8510143756866455,0.75,0.001,0.2894008159637451,0.8510143756866455,0.009574675932526588,0.0,,
36,0.8869355916976929,0.65625,0.001,0.29824352264404297,0.8869355916976929,0.009640219621360302,0.0,,
37,0.9687134027481079,0.609375,0.001,0.30649757385253906,0.9687134027481079,0.009691061452031136,0.0,,
38,0.837592601776123,0.71875,0.001,0.31406140327453613,0.837592601776123,0.009739204309880733,0.0,,
39,0.7905265092849731,0.75,0.001,0.32265758514404297,0.7905265092849731,0.009778461419045925,0.0,,
40,0.8519017696380615,0.6875,0.001,0.33136582374572754,0.8519017696380615,0.009799154475331306,0.0,,
41,0.7773464322090149,0.796875,0.001,0.34131669998168945,0.7773464322090149,0.009810814633965492,0.0,,
42,0.8243569135665894,0.703125,0.001,0.3490157127380371,0.8243569135665894,0.00981058832257986,0.0,,
43,0.741908609867096,0.8125,0.001,0.3568451404571533,0.741908609867096,0.0098052266985178,0.0,,
44,0.7800161242485046,0.796875,0.001,0.36553096771240234,0.7800161242485046,0.009798808954656124,0.0,,
45,0.7425928711891174,0.8125,0.001,0.3800938129425049,0.7425928711891174,0.009791427291929722,0.0,,
46,0.7524471879005432,0.84375,0.001,0.38524532318115234,0.7524471879005432,0.00977267511188984,0.0,,
47,0.7063415050506592,0.84375,0.001,0.3900296688079834,0.7063415050506592,0.009768933989107609,0.0,,
48,0.6326730251312256,0.875,0.001,0.39511728286743164,0.6326730251312256,0.00974604394286871,0.0,,
49,0.6316024661064148,0.9375,0.001,0.40004467964172363,0.6316024661064148,0.009719121269881725,0.0,,
50,0.7280306816101074,0.796875,0.001,0.4086019992828369,0.7280306816101074,0.009676828049123287,0.0,0.96484375,0.3647802174091339
51,0.6880558729171753,0.875,0.001,0.45893239974975586,0.6880558729171753,0.009626008570194244,0.0,,
52,0.5788777470588684,0.890625,0.001,0.46427345275878906,0.5788777470588684,0.00958359707146883,0.0,,
53,0.5277653932571411,0.9375,0.001,0.470736026763916,0.5277653932571411,0.0095460070297122,0.0,,
54,0.6129187345504761,0.921875,0.001,0.4767892360687256,0.6129187345504761,0.00949131604284048,0.0,,
55,0.7155680060386658,0.875,0.001,0.4868311882019043,0.7155680060386658,0.009420692920684814,0.0,,
56,0.5757524371147156,0.890625,0.001,0.49317502975463867,0.5757524371147156,0.009347534738481045,0.0,,
57,0.6107847094535828,0.9375,0.001,0.49946093559265137,0.6107847094535828,0.00925889890640974,0.0,,
58,0.536892831325531,0.875,0.001,0.5049793720245361,0.536892831325531,0.00918659009039402,0.0,,
59,0.6148111820220947,0.90625,0.001,0.5105681419372559,0.6148111820220947,0.00911239068955183,0.0,,
60,0.5721089243888855,0.921875,0.001,0.5183272361755371,0.5721089243888855,0.009012275375425816,0.0,,
61,0.5033079981803894,0.90625,0.001,0.5234096050262451,0.5033079981803894,0.008900937624275684,0.0,,
62,0.5246050953865051,0.921875,0.001,0.5296833515167236,0.5246050953865051,0.008784785866737366,0.0,,
63,0.5353327393531799,0.890625,0.001,0.5359179973602295,0.5353327393531799,0.008667418733239174,0.0,,
64,0.486614853143692,0.9375,0.001,0.5438554286956787,0.486614853143692,0.00853578932583332,0.0,,
65,0.4893978238105774,0.953125,0.001,0.5503256320953369,0.4893978238105774,0.008399932645261288,0.0,,
66,0.47953227162361145,0.9375,0.001,0.5568797588348389,0.47953227162361145,0.00826170202344656,0.0,,
67,0.47349974513053894,0.9375,0.001,0.5630998611450195,0.47349974513053894,0.008108949288725853,0.0,,
68,0.4826573431491852,0.9375,0.001,0.5692722797393799,0.4826573431491852,0.007956326007843018,0.0,,
69,0.4379473030567169,0.953125,0.001,0.576838493347168,0.4379473030567169,0.007812867872416973,0.0,,
70,0.529273509979248,0.953125,0.001,0.5831634998321533,0.529273509979248,0.007647327613085508,0.0,,
71,0.5071735382080078,0.90625,0.001,0.5894579887390137,0.5071735382080078,0.007487839553505182,0.0,,
72,0.5438528060913086,0.875,0.001,0.5957686901092529,0.5438528060913086,0.007330295629799366,0.0,,
73,0.41256293654441833,0.953125,0.001,0.6021935939788818,0.41256293654441833,0.0071832104586064816,0.0,,
74,0.3930886387825012,0.96875,0.001,0.651167631149292,0.3930886387825012,0.007025931961834431,0.0,,
75,0.5202993154525757,0.875,0.001,0.6593186855316162,0.5202993154525757,0.006869378965348005,0.0,0.97265625,0.25943633913993835
76,0.4460121691226959,0.953125,0.001,0.7025711536407471,0.4460121691226959,0.006720402278006077,0.0,,
77,0.39834436774253845,0.953125,0.001,0.7083919048309326,0.39834436774253845,0.00656620878726244,0.0,,
78,0.4706086814403534,0.921875,0.001,0.7154953479766846,0.4706086814403534,0.006408581975847483,0.0,,
79,0.4166690409183502,0.9375,0.001,0.7221229076385498,0.4166690409183502,0.006249540951102972,0.0,,
80,0.37709295749664307,0.96875,0.001,0.7304327487945557,0.37709295749664307,0.006089461501687765,0.0,,
81,0.40072396397590637,0.9375,0.001,0.737445592880249,0.40072396397590637,0.005926580633968115,0.0,,
82,0.37154632806777954,0.953125,0.001,0.7473185062408447,0.37154632806777954,0.005759903229773045,0.0,,
83,0.4293868839740753,0.9375,0.001,0.7555046081542969,0.4293868839740753,0.0055925059132277966,0.0,,
84,0.5302950739860535,0.875,0.001,0.7643032073974609,0.5302950739860535,0.0054234848357737064,0.0,,
85,0.4379776418209076,0.90625,0.001,0.7718498706817627,0.4379776418209076,0.005262342281639576,0.0,,
86,0.3657590448856354,0.953125,0.001,0.7807223796844482,0.3657590448856354,0.0050951228477060795,0.0,,
87,0.37801599502563477,0.9375,0.001,0.7899191379547119,0.37801599502563477,0.004930456634610891,0.0,,
88,0.48493942618370056,0.890625,0.001,0.798271894454956,0.48493942618370056,0.0047629475593566895,0.0,,
89,0.3967902660369873,0.9375,0.001,0.8064897060394287,0.3967902660369873,0.0046030632220208645,0.0,,
90,0.3480614423751831,1.0,0.001,0.8166513442993164,0.3480614423751831,0.004438099451363087,0.0,,
91,0.43778809905052185,0.921875,0.001,0.8233129978179932,0.43778809905052185,0.00428029103204608,0.0,,
92,0.4013649821281433,0.9375,0.001,0.8326139450073242,0.4013649821281433,0.004127532243728638,0.0,,
93,0.3886302709579468,0.9375,0.001,0.8410534858703613,0.3886302709579468,0.003992082085460424,0.0,,
94,0.3463246524333954,0.96875,0.001,0.8624534606933594,0.3463246524333954,0.0038530733436346054,0.0,,
95,0.36803337931632996,0.9375,0.001,0.8713028430938721,0.36803337931632996,0.0037296698428690434,0.0,,
96,0.4118368923664093,0.921875,0.001,0.8800175189971924,0.4118368923664093,0.0036170140374451876,0.0,,
97,0.3574393689632416,0.9375,0.001,0.88887619972229,0.3574393689632416,0.00351438345387578,0.0,,
98,0.3272223472595215,0.953125,0.001,0.8968911170959473,0.3272223472595215,0.0034076012670993805,0.0,,
99,0.34211546182632446,0.953125,0.001,0.9060609340667725,0.34211546182632446,0.0033203691709786654,0.0,,
100,0.36170533299446106,0.9375,0.001,0.9148685932159424,0.36170533299446106,0.003262968035414815,0.0,0.97265625,0.18890485167503357
101,0.3088081479072571,0.984375,0.001,0.9361770153045654,0.3088081479072571,0.003208838403224945,0.0,,
