step,train_loss,train_accuracy,learning_rate,wall_clock_time_sec,ce_loss,pairwise_loss,resistance_supervision_loss,val_accuracy,val_ece
1,2.30851674079895,0.046875,0.001,0.0036661624908447266,2.30851674079895,0.0,0.0,,
2,2.298550844192505,0.125,0.001,0.006520509719848633,2.298550844192505,0.0,0.0,,
3,2.2789676189422607,0.328125,0.001,0.012796401977539062,2.2789676189422607,0.0,0.0,,
4,2.2798497676849365,0.203125,0.001,0.015372276306152344,2.2798497676849365,0.0,0.0,,
5,2.263397693634033,0.3125,0.001,0.018062353134155273,2.263397693634033,0.0,0.0,,
6,2.254060745239258,0.265625,0.001,0.020168781280517578,2.254060745239258,0.0,0.0,,
7,2.242013692855835,0.234375,0.001,0.022301435470581055,2.242013692855835,0.0,0.0,,
8,2.2342495918273926,0.265625,0.001,0.024681568145751953,2.2342495918273926,0.0,0.0,,
9,2.2071828842163086,0.328125,0.001,0.02721095085144043,2.2071828842163086,0.0,0.0,,
10,2.1967172622680664,0.28125,0.001,0.02991318702697754,2.1967172622680664,0.0,0.0,,
11,2.215625524520874,0.25,0.001,0.03224921226501465,2.215625524520874,0.0,0.0,,
12,2.1690797805786133,0.375,0.001,0.03633928298950195,2.1690797805786133,0.0,0.0,,
13,2.164151906967163,0.296875,0.001,0.038898468017578125,2.164151906967163,0.0,0.0,,
14,2.1201460361480713,0.296875,0.001,0.0414423942565918,2.1201460361480713,0.0,0.0,,
15,2.134542942047119,0.359375,0.001,0.0440523624420166,2.134542942047119,0.0,0.0,,
16,2.1053500175476074,0.296875,0.001,0.04712677001953125,2.1053500175476074,0.0,0.0,,
17,2.099881887435913,0.234375,0.001,0.05034899711608887,2.099881887435913,0.0,0.0,,
18,2.0903165340423584,0.328125,0.001,0.05347704887390137,2.0903165340423584,0.0,0.0,,
19,2.0557971000671387,0.25,0.001,0.05965232849121094,2.0557971000671387,0.0,0.0,,
20,2.018798351287842,0.328125,0.001,0.062448740005493164,2.018798351287842,0.0,0.0,,
21,2.02291202545166,0.25,0.001,0.16245245933532715,2.02291202545166,0.0,0.0,,
22,1.9706562757492065,0.328125,0.001,0.17082881927490234,1.9706562757492065,0.0,0.0,,
23,1.9516627788543701,0.328125,0.001,0.17898964881896973,1.9516627788543701,0.0,0.0,,
24,1.9413070678710938,0.328125,0.001,0.18756842613220215,1.9413070678710938,0.0,0.0,,
25,1.9345371723175049,0.296875,0.001,0.19550824165344238,1.9345371723175049,0.0,0.0,0.33984375,0.13613258302211761
26,1.8520244359970093,0.375,0.001,0.236558198928833,1.8520244359970093,0.0,0.0,,
27,1.9015166759490967,0.3125,0.001,0.24040675163269043,1.9015166759490967,0.0,0.0,,
28,1.7886773347854614,0.46875,0.001,0.24430108070373535,1.7886773347854614,0.0,0.0,,
29,1.8777683973312378,0.28125,0.001,0.24724698066711426,1.8777683973312378,0.0,0.0,,
30,1.8352330923080444,0.3125,0.001,0.25078892707824707,1.8352330923080444,0.0,0.0,,
31,1.856286883354187,0.328125,0.001,0.25813937187194824,1.856286883354187,0.0,0.0,,
32,1.6926534175872803,0.34375,0.001,0.2611725330352783,1.6926534175872803,0.0,0.0,,
33,1.7102352380752563,0.40625,0.001,0.26488733291625977,1.7102352380752563,0.0,0.0,,
34,1.5276395082473755,0.53125,0.001,0.2680337429046631,1.5276395082473755,0.0,0.0,,
35,1.643141269683838,0.40625,0.001,0.2712392807006836,1.643141269683838,0.0,0.0,,
36,1.6636292934417725,0.484375,0.001,0.2748394012451172,1.6636292934417725,0.0,0.0,,
37,1.5512996912002563,0.421875,0.001,0.2814667224884033,1.5512996912002563,0.0,0.0,,
38,1.6453863382339478,0.484375,0.001,0.28527116775512695,1.6453863382339478,0.0,0.0,,
39,1.581533432006836,0.484375,0.001,0.28830647468566895,1.581533432006836,0.0,0.0,,
40,1.5233172178268433,0.515625,0.001,0.29250502586364746,1.5233172178268433,0.0,0.0,,
41,1.4929492473602295,0.5,0.001,0.2971048355102539,1.4929492473602295,0.0,0.0,,
42,1.6071974039077759,0.4375,0.001,0.30074310302734375,1.6071974039077759,0.0,0.0,,
43,1.5024913549423218,0.546875,0.001,0.30476999282836914,1.5024913549423218,0.0,0.0,,
44,1.4756238460540771,0.4375,0.001,0.30865931510925293,1.4756238460540771,0.0,0.0,,
45,1.5147695541381836,0.46875,0.001,0.3124260902404785,1.5147695541381836,0.0,0.0,,
46,1.3504202365875244,0.546875,0.001,0.3155343532562256,1.3504202365875244,0.0,0.0,,
47,1.4492278099060059,0.453125,0.001,0.3197057247161865,1.4492278099060059,0.0,0.0,,
48,1.636993646621704,0.484375,0.001,0.35566091537475586,1.636993646621704,0.0,0.0,,
49,1.3792288303375244,0.421875,0.001,0.3635218143463135,1.3792288303375244,0.0,0.0,,
50,1.2914668321609497,0.5,0.001,0.3722069263458252,1.2914668321609497,0.0,0.0,0.44140625,0.08173620700836182
51,1.408448338508606,0.421875,0.001,0.46135711669921875,1.408448338508606,0.0,0.0,,
52,1.3319661617279053,0.5,0.001,0.46845388412475586,1.3319661617279053,0.0,0.0,,
53,1.424992561340332,0.484375,0.001,0.47513651847839355,1.424992561340332,0.0,0.0,,
54,1.2644705772399902,0.5,0.001,0.481870174407959,1.2644705772399902,0.0,0.0,,
55,1.3520861864089966,0.59375,0.001,0.48871946334838867,1.3520861864089966,0.0,0.0,,
56,1.4340442419052124,0.390625,0.001,0.49471402168273926,1.4340442419052124,0.0,0.0,,
57,1.4813625812530518,0.375,0.001,0.5004119873046875,1.4813625812530518,0.0,0.0,,
58,1.5156962871551514,0.484375,0.001,0.5083186626434326,1.5156962871551514,0.0,0.0,,
59,1.432695746421814,0.46875,0.001,0.5147852897644043,1.432695746421814,0.0,0.0,,
60,1.4430912733078003,0.46875,0.001,0.5210115909576416,1.4430912733078003,0.0,0.0,,
61,1.6050431728363037,0.390625,0.001,0.5273101329803467,1.6050431728363037,0.0,0.0,,
62,1.3952199220657349,0.5,0.001,0.5335874557495117,1.3952199220657349,0.0,0.0,,
63,1.4412765502929688,0.421875,0.001,0.5414364337921143,1.4412765502929688,0.0,0.0,,
64,1.421894907951355,0.5625,0.001,0.5476250648498535,1.421894907951355,0.0,0.0,,
65,1.4406427145004272,0.515625,0.001,0.5539455413818359,1.4406427145004272,0.0,0.0,,
66,1.4040966033935547,0.5,0.001,0.5604493618011475,1.4040966033935547,0.0,0.0,,
67,1.3541059494018555,0.5,0.001,0.5672392845153809,1.3541059494018555,0.0,0.0,,
68,1.2304060459136963,0.484375,0.001,0.5749139785766602,1.2304060459136963,0.0,0.0,,
69,1.4986146688461304,0.40625,0.001,0.5851809978485107,1.4986146688461304,0.0,0.0,,
70,1.389130711555481,0.546875,0.001,0.5906479358673096,1.389130711555481,0.0,0.0,,
71,1.2685751914978027,0.5,0.001,0.5957210063934326,1.2685751914978027,0.0,0.0,,
72,1.3633817434310913,0.515625,0.001,0.5999298095703125,1.3633817434310913,0.0,0.0,,
73,1.528210163116455,0.453125,0.001,0.6045143604278564,1.528210163116455,0.0,0.0,,
74,1.3620439767837524,0.53125,0.001,0.6087641716003418,1.3620439767837524,0.0,0.0,,
75,1.6022140979766846,0.34375,0.001,0.6138052940368652,1.6022140979766846,0.0,0.0,0.47265625,0.06937280297279358
76,1.2662017345428467,0.5,0.001,0.6597151756286621,1.2662017345428467,0.0,0.0,,
77,1.3187311887741089,0.5625,0.001,0.6641364097595215,1.3187311887741089,0.0,0.0,,
78,1.4171950817108154,0.46875,0.001,0.6684017181396484,1.4171950817108154,0.0,0.0,,
79,1.1742289066314697,0.640625,0.001,0.6724843978881836,1.1742289066314697,0.0,0.0,,
80,1.2414016723632812,0.53125,0.001,0.677194356918335,1.2414016723632812,0.0,0.0,,
81,1.4626659154891968,0.515625,0.001,0.683417797088623,1.4626659154891968,0.0,0.0,,
82,1.2846717834472656,0.5,0.001,0.6883654594421387,1.2846717834472656,0.0,0.0,,
83,1.52606201171875,0.40625,0.001,0.6934199333190918,1.52606201171875,0.0,0.0,,
84,1.529480218887329,0.421875,0.001,0.6988816261291504,1.529480218887329,0.0,0.0,,
85,1.3851063251495361,0.46875,0.001,0.7041723728179932,1.3851063251495361,0.0,0.0,,
86,1.4396617412567139,0.484375,0.001,0.7108662128448486,1.4396617412567139,0.0,0.0,,
87,1.2289413213729858,0.484375,0.001,0.719313383102417,1.2289413213729858,0.0,0.0,,
88,1.2534295320510864,0.5,0.001,0.7258751392364502,1.2534295320510864,0.0,0.0,,
89,1.3640873432159424,0.546875,0.001,0.73099684715271,1.3640873432159424,0.0,0.0,,
90,1.2352681159973145,0.515625,0.001,0.7362267971038818,1.2352681159973145,0.0,0.0,,
91,1.1625585556030273,0.640625,0.001,0.7415282726287842,1.1625585556030273,0.0,0.0,,
92,1.2904391288757324,0.515625,0.001,0.7472190856933594,1.2904391288757324,0.0,0.0,,
93,1.1990315914154053,0.59375,0.001,0.7526438236236572,1.1990315914154053,0.0,0.0,,
94,1.5225471258163452,0.40625,0.001,0.7593746185302734,1.5225471258163452,0.0,0.0,,
95,1.2790850400924683,0.40625,0.001,0.772254228591919,1.2790850400924683,0.0,0.0,,
96,1.4488837718963623,0.5,0.001,0.7774055004119873,1.4488837718963623,0.0,0.0,,
97,1.3711662292480469,0.515625,0.001,0.7825112342834473,1.3711662292480469,0.0,0.0,,
98,1.4056698083877563,0.46875,0.001,0.7877092361450195,1.4056698083877563,0.0,0.0,,
99,1.1460233926773071,0.53125,0.001,0.7928588390350342,1.1460233926773071,0.0,0.0,,
100,1.1852810382843018,0.578125,0.001,0.7994320392608643,1.1852810382843018,0.0,0.0,0.5,0.0658934935927391
101,1.290677547454834,0.5625,0.001,0.8340046405792236,1.290677547454834,0.0,0.0,,
102,1.4957151412963867,0.328125,0.001,0.8391788005828857,1.4957151412963867,0.0,0.0,,
103,1.3486380577087402,0.46875,0.001,0.8444337844848633,1.3486380577087402,0.0,0.0,,
104,1.560945987701416,0.390625,0.001,0.8510260581970215,1.560945987701416,0.0,0.0,,
105,1.324989914894104,0.53125,0.001,0.8624603748321533,1.324989914894104,0.0,0.0,,
106,1.38690185546875,0.453125,0.001,0.8683807849884033,1.38690185546875,0.0,0.0,,
107,1.2219018936157227,0.578125,0.001,0.8816635608673096,1.2219018936157227,0.0,0.0,,
108,1.325369954109192,0.625,0.001,0.8882594108581543,1.325369954109192,0.0,0.0,,
109,1.2539749145507812,0.484375,0.001,0.8941304683685303,1.2539749145507812,0.0,0.0,,
110,1.2290352582931519,0.53125,0.001,0.9000504016876221,1.2290352582931519,0.0,0.0,,
111,1.326804757118225,0.421875,0.001,0.9057290554046631,1.326804757118225,0.0,0.0,,
112,1.3519299030303955,0.5,0.001,0.9113895893096924,1.3519299030303955,0.0,0.0,,
113,1.393431305885315,0.484375,0.001,1.9881067276000977,1.393431305885315,0.0,0.0,,
114,1.3174865245819092,0.453125,0.001,1.995640516281128,1.3174865245819092,0.0,0.0,,
115,1.2073599100112915,0.53125,0.001,2.0050721168518066,1.2073599100112915,0.0,0.0,,
116,1.4598829746246338,0.453125,0.001,2.0134670734405518,1.4598829746246338,0.0,0.0,,
117,1.150315284729004,0.5625,0.001,2.022338390350342,1.150315284729004,0.0,0.0,,
118,1.2771302461624146,0.546875,0.001,2.030374526977539,1.2771302461624146,0.0,0.0,,
119,1.3153111934661865,0.421875,0.001,2.039196014404297,1.3153111934661865,0.0,0.0,,
120,1.1958348751068115,0.5625,0.001,2.0484025478363037,1.1958348751068115,0.0,0.0,,
121,1.2764465808868408,0.578125,0.001,2.056068181991577,1.2764465808868408,0.0,0.0,,
122,1.3695846796035767,0.5625,0.001,2.0650877952575684,1.3695846796035767,0.0,0.0,,
123,1.2632571458816528,0.46875,0.001,2.074040651321411,1.2632571458816528,0.0,0.0,,
124,1.3740633726119995,0.515625,0.001,2.0825040340423584,1.3740633726119995,0.0,0.0,,
125,1.4370133876800537,0.453125,0.001,2.0909695625305176,1.4370133876800537,0.0,0.0,0.49609375,0.061179712414741516
126,1.4720937013626099,0.5,0.001,2.180943489074707,1.4720937013626099,0.0,0.0,,
127,1.1623048782348633,0.59375,0.001,2.188152313232422,1.1623048782348633,0.0,0.0,,
128,1.532248616218567,0.484375,0.001,2.1945126056671143,1.532248616218567,0.0,0.0,,
129,1.2513245344161987,0.5625,0.001,2.200148105621338,1.2513245344161987,0.0,0.0,,
130,1.499599814414978,0.546875,0.001,2.2059085369110107,1.499599814414978,0.0,0.0,,
131,1.392902135848999,0.5625,0.001,2.2122507095336914,1.392902135848999,0.0,0.0,,
132,1.466439962387085,0.40625,0.001,2.2223546504974365,1.466439962387085,0.0,0.0,,
133,1.5157073736190796,0.40625,0.001,2.2399470806121826,1.5157073736190796,0.0,0.0,,
134,1.3508955240249634,0.515625,0.001,2.2557711601257324,1.3508955240249634,0.0,0.0,,
135,1.3968970775604248,0.5625,0.001,2.2654237747192383,1.3968970775604248,0.0,0.0,,
136,1.2819668054580688,0.546875,0.001,2.2772624492645264,1.2819668054580688,0.0,0.0,,
137,1.382821798324585,0.515625,0.001,2.2862930297851562,1.382821798324585,0.0,0.0,,
138,1.2318965196609497,0.546875,0.001,2.2924716472625732,1.2318965196609497,0.0,0.0,,
139,1.2829993963241577,0.546875,0.001,2.301633358001709,1.2829993963241577,0.0,0.0,,
140,1.1226449012756348,0.5625,0.001,2.3126931190490723,1.1226449012756348,0.0,0.0,,
141,1.275824785232544,0.5,0.001,2.324859619140625,1.275824785232544,0.0,0.0,,
142,1.4694563150405884,0.53125,0.001,2.33544921875,1.4694563150405884,0.0,0.0,,
143,1.289124608039856,0.578125,0.001,2.3419382572174072,1.289124608039856,0.0,0.0,,
144,1.2978932857513428,0.53125,0.001,2.3482613563537598,1.2978932857513428,0.0,0.0,,
145,1.373142957687378,0.4375,0.001,2.3998863697052,1.373142957687378,0.0,0.0,,
146,1.3141998052597046,0.5,0.001,2.407489776611328,1.3141998052597046,0.0,0.0,,
147,1.3125009536743164,0.546875,0.001,2.41384220123291,1.3125009536743164,0.0,0.0,,
148,1.1809403896331787,0.546875,0.001,2.4212396144866943,1.1809403896331787,0.0,0.0,,
149,1.506933569908142,0.484375,0.001,2.4318578243255615,1.506933569908142,0.0,0.0,,
150,1.5080227851867676,0.46875,0.001,2.4436564445495605,1.5080227851867676,0.0,0.0,0.546875,0.11437426507472992
151,1.2824561595916748,0.484375,0.001,2.4889681339263916,1.2824561595916748,0.0,0.0,,
152,1.2053927183151245,0.453125,0.001,2.4955074787139893,1.2053927183151245,0.0,0.0,,
153,1.2803466320037842,0.484375,0.001,2.50250244140625,1.2803466320037842,0.0,0.0,,
154,1.357795238494873,0.5625,0.001,2.510132074356079,1.357795238494873,0.0,0.0,,
155,1.1918309926986694,0.578125,0.001,2.5193610191345215,1.1918309926986694,0.0,0.0,,
156,1.3458775281906128,0.421875,0.001,2.525973320007324,1.3458775281906128,0.0,0.0,,
157,1.410987377166748,0.46875,0.001,2.5701065063476562,1.410987377166748,0.0,0.0,,
158,1.3952622413635254,0.5625,0.001,2.576730489730835,1.3952622413635254,0.0,0.0,,
159,1.3859494924545288,0.53125,0.001,2.5835554599761963,1.3859494924545288,0.0,0.0,,
160,1.2278274297714233,0.609375,0.001,2.5909769535064697,1.2278274297714233,0.0,0.0,,
161,1.323575496673584,0.546875,0.001,2.598156452178955,1.323575496673584,0.0,0.0,,
162,1.5689247846603394,0.4375,0.001,2.605379343032837,1.5689247846603394,0.0,0.0,,
163,1.3625259399414062,0.546875,0.001,2.6128273010253906,1.3625259399414062,0.0,0.0,,
164,1.582748532295227,0.515625,0.001,2.6196165084838867,1.582748532295227,0.0,0.0,,
165,1.5983145236968994,0.421875,0.001,2.6258633136749268,1.5983145236968994,0.0,0.0,,
166,1.205170750617981,0.59375,0.001,2.6325430870056152,1.205170750617981,0.0,0.0,,
167,1.136687994003296,0.59375,0.001,2.6396446228027344,1.136687994003296,0.0,0.0,,
168,1.1504498720169067,0.65625,0.001,2.647606611251831,1.1504498720169067,0.0,0.0,,
169,1.1285812854766846,0.53125,0.001,2.6548142433166504,1.1285812854766846,0.0,0.0,,
170,1.3785849809646606,0.453125,0.001,2.6625874042510986,1.3785849809646606,0.0,0.0,,
171,1.287449598312378,0.5625,0.001,2.6705219745635986,1.287449598312378,0.0,0.0,,
172,1.1389766931533813,0.53125,0.001,2.6780688762664795,1.1389766931533813,0.0,0.0,,
173,1.2822455167770386,0.46875,0.001,2.6854803562164307,1.2822455167770386,0.0,0.0,,
174,1.2987167835235596,0.578125,0.001,2.6920669078826904,1.2987167835235596,0.0,0.0,,
175,1.3577251434326172,0.515625,0.001,2.6985740661621094,1.3577251434326172,0.0,0.0,0.49609375,0.06762055307626724
176,1.396142840385437,0.421875,0.001,2.716506004333496,1.396142840385437,0.0,0.0,,
177,1.3413456678390503,0.46875,0.001,2.7236123085021973,1.3413456678390503,0.0,0.0,,
178,1.220895528793335,0.578125,0.001,2.740365505218506,1.220895528793335,0.0,0.0,,
179,1.0925917625427246,0.59375,0.001,2.7487478256225586,1.0925917625427246,0.0,0.0,,
180,1.2814180850982666,0.484375,0.001,2.756828546524048,1.2814180850982666,0.0,0.0,,
181,1.2933530807495117,0.578125,0.001,2.7644829750061035,1.2933530807495117,0.0,0.0,,
182,1.1858373880386353,0.578125,0.001,2.7733314037323,1.1858373880386353,0.0,0.0,,
183,1.4728177785873413,0.4375,0.001,2.781378746032715,1.4728177785873413,0.0,0.0,,
184,1.1756154298782349,0.609375,0.001,2.7906877994537354,1.1756154298782349,0.0,0.0,,
185,1.4053452014923096,0.53125,0.001,2.799417734146118,1.4053452014923096,0.0,0.0,,
186,1.1567564010620117,0.625,0.001,2.810347557067871,1.1567564010620117,0.0,0.0,,
187,1.3433953523635864,0.46875,0.001,2.8182854652404785,1.3433953523635864,0.0,0.0,,
188,1.4069172143936157,0.546875,0.001,2.8297042846679688,1.4069172143936157,0.0,0.0,,
189,1.1867761611938477,0.53125,0.001,2.8379781246185303,1.1867761611938477,0.0,0.0,,
190,1.3607547283172607,0.46875,0.001,2.8461244106292725,1.3607547283172607,0.0,0.0,,
191,1.2617638111114502,0.546875,0.001,2.856278896331787,1.2617638111114502,0.0,0.0,,
192,1.3803714513778687,0.546875,0.001,2.8643524646759033,1.3803714513778687,0.0,0.0,,
193,1.2940939664840698,0.53125,0.001,2.8721516132354736,1.2940939664840698,0.0,0.0,,
194,1.0830092430114746,0.640625,0.001,2.8810667991638184,1.0830092430114746,0.0,0.0,,
195,1.3743329048156738,0.5,0.001,2.906982898712158,1.3743329048156738,0.0,0.0,,
196,1.2656903266906738,0.515625,0.001,2.9155640602111816,1.2656903266906738,0.0,0.0,,
197,1.2148921489715576,0.5625,0.001,2.927304267883301,1.2148921489715576,0.0,0.0,,
198,1.1979492902755737,0.53125,0.001,2.9348654747009277,1.1979492902755737,0.0,0.0,,
199,1.441596508026123,0.484375,0.001,2.9436140060424805,1.441596508026123,0.0,0.0,,
200,1.3411602973937988,0.5,0.001,2.9523470401763916,1.3411602973937988,0.0,0.0,0.5078125,0.08125349134206772
201,1.3045841455459595,0.484375,0.001,2.9969921112060547,1.3045841455459595,0.0,0.0,,
202,1.3278895616531372,0.4375,0.001,3.0049946308135986,1.3278895616531372,0.0,0.0,,
203,1.2556169033050537,0.484375,0.001,3.0130629539489746,1.2556169033050537,0.0,0.0,,
204,1.367928147315979,0.453125,0.001,3.0212135314941406,1.367928147315979,0.0,0.0,,
205,1.0675427913665771,0.671875,0.001,3.029656410217285,1.0675427913665771,0.0,0.0,,
206,1.1505440473556519,0.625,0.001,3.038796901702881,1.1505440473556519,0.0,0.0,,
207,1.212437629699707,0.59375,0.001,3.046903133392334,1.212437629699707,0.0,0.0,,
208,1.388691782951355,0.40625,0.001,3.055544853210449,1.388691782951355,0.0,0.0,,
209,1.57404625415802,0.390625,0.001,3.063267946243286,1.57404625415802,0.0,0.0,,
210,1.1248639822006226,0.546875,0.001,3.071000099182129,1.1248639822006226,0.0,0.0,,
211,1.1633001565933228,0.5625,0.001,3.0798096656799316,1.1633001565933228,0.0,0.0,,
212,1.1377333402633667,0.65625,0.001,3.088651657104492,1.1377333402633667,0.0,0.0,,
213,1.318557620048523,0.5,0.001,3.0971641540527344,1.318557620048523,0.0,0.0,,
214,1.1823973655700684,0.5625,0.001,3.1090853214263916,1.1823973655700684,0.0,0.0,,
215,1.12281334400177,0.546875,0.001,3.1181118488311768,1.12281334400177,0.0,0.0,,
216,1.2646551132202148,0.515625,0.001,3.126358985900879,1.2646551132202148,0.0,0.0,,
217,1.2720351219177246,0.546875,0.001,3.1352133750915527,1.2720351219177246,0.0,0.0,,
218,1.37086820602417,0.46875,0.001,3.1435799598693848,1.37086820602417,0.0,0.0,,
219,1.512077808380127,0.40625,0.001,3.1533918380737305,1.512077808380127,0.0,0.0,,
220,1.3124051094055176,0.5625,0.001,3.162576198577881,1.3124051094055176,0.0,0.0,,
221,1.3283060789108276,0.53125,0.001,3.1717214584350586,1.3283060789108276,0.0,0.0,,
222,1.2845219373703003,0.5625,0.001,3.1836419105529785,1.2845219373703003,0.0,0.0,,
223,1.4253334999084473,0.46875,0.001,3.193124771118164,1.4253334999084473,0.0,0.0,,
224,1.3047168254852295,0.515625,0.001,3.202284097671509,1.3047168254852295,0.0,0.0,,
225,1.2296037673950195,0.546875,0.001,3.2117574214935303,1.2296037673950195,0.0,0.0,0.50390625,0.0640178918838501
226,1.2390015125274658,0.5,0.001,3.2352709770202637,1.2390015125274658,0.0,0.0,,
227,1.1935590505599976,0.640625,0.001,3.272322654724121,1.1935590505599976,0.0,0.0,,
228,1.1555442810058594,0.53125,0.001,3.281325340270996,1.1555442810058594,0.0,0.0,,
229,1.5144829750061035,0.515625,0.001,3.289776086807251,1.5144829750061035,0.0,0.0,,
230,1.1327345371246338,0.5625,0.001,3.3040223121643066,1.1327345371246338,0.0,0.0,,
231,1.2145025730133057,0.546875,0.001,3.321268320083618,1.2145025730133057,0.0,0.0,,
232,1.3840436935424805,0.59375,0.001,3.3345394134521484,1.3840436935424805,0.0,0.0,,
233,1.1733367443084717,0.59375,0.001,3.395643949508667,1.1733367443084717,0.0,0.0,,
234,1.2215564250946045,0.53125,0.001,3.40683650970459,1.2215564250946045,0.0,0.0,,
235,1.3688628673553467,0.46875,0.001,3.4171712398529053,1.3688628673553467,0.0,0.0,,
236,1.4801775217056274,0.359375,0.001,3.4311068058013916,1.4801775217056274,0.0,0.0,,
237,1.4326229095458984,0.5,0.001,3.44779372215271,1.4326229095458984,0.0,0.0,,
238,1.3974823951721191,0.546875,0.001,3.4597458839416504,1.3974823951721191,0.0,0.0,,
239,1.184410810470581,0.515625,0.001,3.476166248321533,1.184410810470581,0.0,0.0,,
240,1.3468388319015503,0.46875,0.001,3.49300479888916,1.3468388319015503,0.0,0.0,,
241,1.1467528343200684,0.578125,0.001,3.504960536956787,1.1467528343200684,0.0,0.0,,
242,1.3032559156417847,0.578125,0.001,3.5137507915496826,1.3032559156417847,0.0,0.0,,
243,1.2427716255187988,0.5625,0.001,3.5224695205688477,1.2427716255187988,0.0,0.0,,
244,1.1928430795669556,0.59375,0.001,3.5366671085357666,1.1928430795669556,0.0,0.0,,
245,1.1276123523712158,0.671875,0.001,3.55365252494812,1.1276123523712158,0.0,0.0,,
246,1.354875087738037,0.484375,0.001,3.568716049194336,1.354875087738037,0.0,0.0,,
247,1.337355375289917,0.5625,0.001,3.578455924987793,1.337355375289917,0.0,0.0,,
248,1.1577296257019043,0.640625,0.001,3.587388038635254,1.1577296257019043,0.0,0.0,,
249,1.3314695358276367,0.5,0.001,3.63871693611145,1.3314695358276367,0.0,0.0,,
250,1.232433795928955,0.5,0.001,3.647993803024292,1.232433795928955,0.0,0.0,0.52734375,0.04476075991988182
