step,train_loss,train_accuracy,learning_rate,wall_clock_time_sec,ce_loss,pairwise_loss,resistance_supervision_loss,val_accuracy,val_ece
1,2.4193968772888184,0.0625,0.001,0.03419852256774902,2.30625581741333,0.006450628861784935,0.4512738585472107,,
2,2.4450201988220215,0.078125,0.001,0.04509305953979492,2.315706491470337,0.006385995540767908,0.5159783363342285,,
3,2.44521164894104,0.09375,0.001,0.05697917938232422,2.3032426834106445,0.006286385469138622,0.5666191577911377,,
4,2.4278581142425537,0.140625,0.001,0.06920886039733887,2.301776885986328,0.006175474263727665,0.5030896663665771,,
5,2.439403533935547,0.078125,0.001,0.08235311508178711,2.3022680282592773,0.006097192410379648,0.5473219752311707,,
6,2.4266297817230225,0.09375,0.001,0.09533429145812988,2.2937755584716797,0.006033949088305235,0.5302101373672485,,
7,2.421616792678833,0.109375,0.001,0.1081693172454834,2.2949604988098145,0.005959820002317429,0.5054334998130798,,
8,2.4241840839385986,0.078125,0.001,0.12112259864807129,2.296189069747925,0.005907097365707159,0.510798454284668,,
9,2.407500743865967,0.140625,0.001,0.1342160701751709,2.289161443710327,0.005847882479429245,0.47218823432922363,,
10,2.390498161315918,0.078125,0.001,0.14686107635498047,2.2856671810150146,0.005782155320048332,0.4181673526763916,,
11,2.405263900756836,0.1875,0.001,0.16019225120544434,2.2888083457946777,0.005727345589548349,0.4646764397621155,,
12,2.393714427947998,0.15625,0.001,0.17443203926086426,2.2763004302978516,0.005696855951100588,0.4685160517692566,,
13,2.3786208629608154,0.203125,0.001,0.18929529190063477,2.2732396125793457,0.005666773766279221,0.42039185762405396,,
14,2.3662400245666504,0.234375,0.001,0.20221567153930664,2.2620997428894043,0.005644266027957201,0.415432333946228,,
15,2.355914831161499,0.25,0.001,0.21501684188842773,2.268157720565796,0.005627322942018509,0.34990328550338745,,
16,2.355464458465576,0.203125,0.001,0.22723960876464844,2.267073392868042,0.005610720254480839,0.35244208574295044,,
17,2.3303375244140625,0.234375,0.001,0.24212121963500977,2.2575206756591797,0.005592512432485819,0.29014861583709717,,
18,2.3361692428588867,0.1875,0.001,0.256847620010376,2.2586865425109863,0.005575014743953943,0.30881625413894653,,
19,2.3247358798980713,0.203125,0.001,0.26934003829956055,2.254413366317749,0.005550210829824209,0.2801803946495056,,
20,2.2944586277008057,0.296875,0.001,0.2830955982208252,2.2411251068115234,0.005529265850782394,0.21222800016403198,,
21,2.310079574584961,0.234375,0.001,0.29436802864074707,2.243359088897705,0.0055144852958619595,0.26577943563461304,,
22,2.290532112121582,0.296875,0.001,0.30914974212646484,2.2273964881896973,0.0055119493044912815,0.25144004821777344,,
