step,train_loss,train_accuracy,learning_rate,wall_clock_time_sec,ce_loss,pairwise_loss,resistance_supervision_loss,val_accuracy,val_ece
1,2.2392594814300537,0.1875,0.001,0.0028624534606933594,2.2392594814300537,0.0,0.0,,
2,2.274675130844116,0.15625,0.001,0.004744529724121094,2.274675130844116,0.0,0.0,,
3,2.2520148754119873,0.1875,0.001,0.006753444671630859,2.2520148754119873,0.0,0.0,,
4,2.2367076873779297,0.171875,0.001,0.00870823860168457,2.2367076873779297,0.0,0.0,,
5,2.199488639831543,0.234375,0.001,0.010586023330688477,2.199488639831543,0.0,0.0,,
6,2.187739610671997,0.3125,0.001,0.01248788833618164,2.187739610671997,0.0,0.0,,
7,2.1913604736328125,0.359375,0.001,0.014210224151611328,2.1913604736328125,0.0,0.0,,
8,2.1868014335632324,0.28125,0.001,0.01649165153503418,2.1868014335632324,0.0,0.0,,
9,2.1276142597198486,0.328125,0.001,0.02180790901184082,2.1276142597198486,0.0,0.0,,
10,2.1339123249053955,0.359375,0.001,0.024250507354736328,2.1339123249053955,0.0,0.0,,
11,2.130096435546875,0.375,0.001,0.026684999465942383,2.130096435546875,0.0,0.0,,
12,2.1194519996643066,0.328125,0.001,0.029668807983398438,2.1194519996643066,0.0,0.0,,
13,2.097306489944458,0.421875,0.001,0.03226828575134277,2.097306489944458,0.0,0.0,,
14,2.066208600997925,0.390625,0.001,0.03496956825256348,2.066208600997925,0.0,0.0,,
15,2.1114659309387207,0.34375,0.001,0.0375370979309082,2.1114659309387207,0.0,0.0,,
16,2.0852136611938477,0.34375,0.001,0.040132999420166016,2.0852136611938477,0.0,0.0,,
17,2.0662248134613037,0.375,0.001,0.04296588897705078,2.0662248134613037,0.0,0.0,,
18,2.0543649196624756,0.359375,0.001,0.04548335075378418,2.0543649196624756,0.0,0.0,,
19,2.0811691284179688,0.359375,0.001,0.04795956611633301,2.0811691284179688,0.0,0.0,,
20,2.0174906253814697,0.375,0.001,0.05041623115539551,2.0174906253814697,0.0,0.0,,
21,1.9739439487457275,0.40625,0.001,0.05264115333557129,1.9739439487457275,0.0,0.0,,
22,2.038217544555664,0.359375,0.001,0.06213831901550293,2.038217544555664,0.0,0.0,,
23,1.997977375984192,0.421875,0.001,0.06567621231079102,1.997977375984192,0.0,0.0,,
24,1.9948018789291382,0.421875,0.001,0.07033109664916992,1.9948018789291382,0.0,0.0,,
25,1.935929298400879,0.40625,0.001,0.07417917251586914,1.935929298400879,0.0,0.0,0.43359375,0.2679142653942108
26,1.9231340885162354,0.5,0.001,0.12204313278198242,1.9231340885162354,0.0,0.0,,
27,2.0021541118621826,0.421875,0.001,0.12470149993896484,2.0021541118621826,0.0,0.0,,
28,1.9377939701080322,0.375,0.001,0.12763524055480957,1.9377939701080322,0.0,0.0,,
29,1.8902360200881958,0.515625,0.001,0.13051772117614746,1.8902360200881958,0.0,0.0,,
30,1.9273325204849243,0.375,0.001,0.13340997695922852,1.9273325204849243,0.0,0.0,,
31,1.9216984510421753,0.453125,0.001,0.16637229919433594,1.9216984510421753,0.0,0.0,,
32,1.8542842864990234,0.578125,0.001,0.16920757293701172,1.8542842864990234,0.0,0.0,,
