step,train_loss,wall_clock_time_sec,eval_clean_accuracy,eval_clean_ece,eval_clean_aurc,eval_clean_resistance_noise_corr,eval_clean_resistance_occlusion_corr,eval_noisy_accuracy,eval_noisy_ece,eval_noisy_aurc,eval_clean_vs_noisy_auroc,eval_noisy_resistance_noise_corr,eval_noisy_resistance_occlusion_corr,eval_occluded_accuracy,eval_occluded_ece,eval_occluded_aurc,eval_clean_vs_occluded_auroc,eval_occluded_resistance_noise_corr,eval_occluded_resistance_occlusion_corr
1,1.6093664169311523,0.05112600326538086,,,,,,,,,,,,,,,,,
2,1.6096241474151611,0.09757399559020996,,,,,,,,,,,,,,,,,
3,1.6092822551727295,0.14621806144714355,,,,,,,,,,,,,,,,,
4,1.6092039346694946,0.19454598426818848,,,,,,,,,,,,,,,,,
5,1.6098504066467285,0.24230313301086426,,,,,,,,,,,,,,,,,
6,1.6124162673950195,0.2913339138031006,,,,,,,,,,,,,,,,,
7,1.610373616218567,0.33949708938598633,,,,,,,,,,,,,,,,,
8,1.6078486442565918,0.38710522651672363,,,,,,,,,,,,,,,,,
9,1.6093683242797852,0.4349100589752197,,,,,,,,,,,,,,,,,
10,1.6065943241119385,0.48107290267944336,0.171875,0.03252413868904114,0.5274156332015991,-4.5215379032015335e-06,nan,0.22265625,0.01825651526451111,0.44419413805007935,0.4704437255859375,nan,nan,0.21875,0.0143507719039917,0.4502609074115753,0.482696533203125,-2.1466064481501235e-06,-0.007345324382185936
11,1.610013723373413,1.0444681644439697,,,,,,,,,,,,,,,,,
12,1.6033856868743896,1.0959019660949707,,,,,,,,,,,,,,,,,
13,1.607940912246704,1.1492550373077393,,,,,,,,,,,,,,,,,
14,1.6083545684814453,1.2013959884643555,,,,,,,,,,,,,,,,,
15,1.614864468574524,1.2537109851837158,,,,,,,,,,,,,,,,,
16,1.607966661453247,1.306913137435913,,,,,,,,,,,,,,,,,
17,1.6048741340637207,1.4106531143188477,,,,,,,,,,,,,,,,,
18,1.604494571685791,1.4723711013793945,,,,,,,,,,,,,,,,,
19,1.5989748239517212,1.5278081893920898,,,,,,,,,,,,,,,,,
20,1.6080009937286377,1.5824010372161865,0.171875,0.043877214193344116,0.5274156332015991,-2.2097069631854538e-06,nan,0.22265625,0.006909310817718506,0.44419413805007935,0.4750823974609375,nan,nan,0.21875,0.002996295690536499,0.4502609074115753,0.4629669189453125,-2.588761617516866e-06,0.020374760031700134
21,1.6189771890640259,2.1588590145111084,,,,,,,,,,,,,,,,,
22,1.6088944673538208,2.21282696723938,,,,,,,,,,,,,,,,,
23,1.6082125902175903,2.2652769088745117,,,,,,,,,,,,,,,,,
24,1.6098555326461792,2.319344997406006,,,,,,,,,,,,,,,,,
25,1.6180890798568726,2.3747758865356445,,,,,,,,,,,,,,,,,
26,1.614975094795227,2.426456928253174,,,,,,,,,,,,,,,,,
27,1.6023198366165161,2.47697114944458,,,,,,,,,,,,,,,,,
28,1.6110988855361938,2.525820016860962,,,,,,,,,,,,,,,,,
29,1.6114990711212158,2.5739779472351074,,,,,,,,,,,,,,,,,
30,1.5990345478057861,2.62314510345459,0.171875,0.03584364056587219,0.5409512519836426,-1.9701476503541926e-06,nan,0.22265625,0.015428930521011353,0.4458919167518616,0.472320556640625,nan,nan,0.21875,0.010153114795684814,0.4657232463359833,0.4588165283203125,5.854878054378787e-06,-0.021617690101265907
31,1.6067463159561157,3.12526798248291,,,,,,,,,,,,,,,,,
32,1.6027330160140991,3.1727449893951416,,,,,,,,,,,,,,,,,
33,1.6008682250976562,3.219574213027954,,,,,,,,,,,,,,,,,
34,1.6020851135253906,3.2666211128234863,,,,,,,,,,,,,,,,,
35,1.6114853620529175,3.3135361671447754,,,,,,,,,,,,,,,,,
36,1.6035583019256592,3.3608248233795166,,,,,,,,,,,,,,,,,
37,1.6081814765930176,3.4090378284454346,,,,,,,,,,,,,,,,,
38,1.5962308645248413,3.455976963043213,,,,,,,,,,,,,,,,,
39,1.5909010171890259,3.504362106323242,,,,,,,,,,,,,,,,,
40,1.5900111198425293,3.554072856903076,0.2265625,0.004011213779449463,0.4542558193206787,1.5190145177257364e-06,nan,0.26171875,0.039865896105766296,0.40208035707473755,0.4866485595703125,nan,nan,0.28125,0.05664685368537903,0.3974139094352722,0.46051025390625,-9.113873602473177e-07,0.02229197323322296
41,1.5895968675613403,4.046032905578613,,,,,,,,,,,,,,,,,
42,1.5974273681640625,4.092206954956055,,,,,,,,,,,,,,,,,
43,1.5900524854660034,4.139539003372192,,,,,,,,,,,,,,,,,
44,1.5844669342041016,4.18647313117981,,,,,,,,,,,,,,,,,
45,1.546604871749878,4.233910083770752,,,,,,,,,,,,,,,,,
46,1.6453012228012085,4.281001091003418,,,,,,,,,,,,,,,,,
47,1.5810301303863525,4.328526973724365,,,,,,,,,,,,,,,,,
48,1.6020561456680298,4.375223875045776,,,,,,,,,,,,,,,,,
49,1.6148556470870972,4.4219069480896,,,,,,,,,,,,,,,,,
50,1.5393484830856323,4.467168092727661,0.2265625,0.048188187181949615,0.4519033432006836,1.4172182716265525e-07,nan,0.26953125,0.023259621113538742,0.40257376432418823,0.474456787109375,nan,nan,0.2890625,0.014955827966332436,0.3885457515716553,0.443359375,-8.91277949222058e-08,0.06295811384916306
