step,train_loss,train_accuracy,learning_rate,wall_clock_time_sec,ce_loss,pairwise_loss,resistance_supervision_loss,val_accuracy,val_ece
1,1.6092442274093628,0.25,0.001,0.0038802623748779297,1.6092442274093628,0.0,0.0,,
2,1.6066265106201172,0.375,0.001,0.008020162582397461,1.6066265106201172,0.0,0.0,,
3,1.6126432418823242,0.15625,0.001,0.010627985000610352,1.6126432418823242,0.0,0.0,,
4,1.605028510093689,0.28125,0.001,0.013887166976928711,1.605028510093689,0.0,0.0,,
5,1.6096656322479248,0.1875,0.001,0.0169830322265625,1.6096656322479248,0.0,0.0,,
6,1.6013787984848022,0.40625,0.001,0.019865989685058594,1.6013787984848022,0.0,0.0,,
7,1.6102899312973022,0.1875,0.001,0.022572040557861328,1.6102899312973022,0.0,0.0,,
8,1.602391242980957,0.28125,0.001,0.025172948837280273,1.602391242980957,0.0,0.0,,
9,1.5803570747375488,0.46875,0.001,0.028151988983154297,1.5803570747375488,0.0,0.0,,
10,1.6000741720199585,0.25,0.001,0.03113102912902832,1.6000741720199585,0.0,0.0,0.171875,0.04926195740699768
11,1.6006419658660889,0.25,0.001,0.03635597229003906,1.6006419658660889,0.0,0.0,,
12,1.6022756099700928,0.1875,0.001,0.04078412055969238,1.6022756099700928,0.0,0.0,,
13,1.579076886177063,0.3125,0.001,0.04381108283996582,1.579076886177063,0.0,0.0,,
14,1.5728665590286255,0.28125,0.001,0.047204017639160156,1.5728665590286255,0.0,0.0,,
15,1.6237074136734009,0.15625,0.001,0.05084729194641113,1.6237074136734009,0.0,0.0,,
16,1.5992099046707153,0.15625,0.001,0.053640127182006836,1.5992099046707153,0.0,0.0,,
17,1.5396708250045776,0.34375,0.001,0.05758404731750488,1.5396708250045776,0.0,0.0,,
18,1.5698890686035156,0.28125,0.001,0.0602259635925293,1.5698890686035156,0.0,0.0,,
19,1.553501844406128,0.3125,0.001,0.06349420547485352,1.553501844406128,0.0,0.0,,
20,1.6180338859558105,0.125,0.001,0.06654715538024902,1.6180338859558105,0.0,0.0,0.2421875,0.03237573802471161
21,1.6649905443191528,0.0625,0.001,0.07234716415405273,1.6649905443191528,0.0,0.0,,
22,1.5027986764907837,0.40625,0.001,0.0752711296081543,1.5027986764907837,0.0,0.0,,
23,1.4737348556518555,0.40625,0.001,0.07810306549072266,1.4737348556518555,0.0,0.0,,
24,1.451952338218689,0.4375,0.001,0.08197331428527832,1.451952338218689,0.0,0.0,,
25,1.4344794750213623,0.53125,0.001,0.08612298965454102,1.4344794750213623,0.0,0.0,,
26,1.4498025178909302,0.34375,0.001,0.08994412422180176,1.4498025178909302,0.0,0.0,,
27,1.4304521083831787,0.4375,0.001,0.09528708457946777,1.4304521083831787,0.0,0.0,,
28,1.230850338935852,0.59375,0.001,0.09902000427246094,1.230850338935852,0.0,0.0,,
29,1.4466522932052612,0.3125,0.001,0.10260224342346191,1.4466522932052612,0.0,0.0,,
30,1.4399241209030151,0.34375,0.001,0.10618209838867188,1.4399241209030151,0.0,0.0,0.3515625,0.22119638323783875
31,1.4359443187713623,0.34375,0.001,0.11184191703796387,1.4359443187713623,0.0,0.0,,
32,1.3408710956573486,0.4375,0.001,0.11552715301513672,1.3408710956573486,0.0,0.0,,
33,1.3019179105758667,0.4375,0.001,0.11876606941223145,1.3019179105758667,0.0,0.0,,
34,1.5430716276168823,0.25,0.001,0.12354397773742676,1.5430716276168823,0.0,0.0,,
35,1.292777180671692,0.4375,0.001,0.12698912620544434,1.292777180671692,0.0,0.0,,
36,1.4965900182724,0.46875,0.001,0.13051319122314453,1.4965900182724,0.0,0.0,,
37,1.0667598247528076,0.5625,0.001,0.1340961456298828,1.0667598247528076,0.0,0.0,,
38,1.302947759628296,0.34375,0.001,0.13773727416992188,1.302947759628296,0.0,0.0,,
39,1.4698289632797241,0.25,0.001,0.1417231559753418,1.4698289632797241,0.0,0.0,,
40,1.0420289039611816,0.53125,0.001,0.14498615264892578,1.0420289039611816,0.0,0.0,0.359375,0.23694996535778046
