step,train_loss,train_accuracy,learning_rate,wall_clock_time_sec,ce_loss,pairwise_loss,resistance_supervision_loss,val_accuracy,val_ece
1,1.6090871095657349,0.296875,0.001,0.20313501358032227,1.6090871095657349,0.0,0.0,,
2,1.6095300912857056,0.203125,0.001,0.22660303115844727,1.6095300912857056,0.0,0.0,,
3,1.6071584224700928,0.203125,0.001,0.24928855895996094,1.6071584224700928,0.0,0.0,,
4,1.605006456375122,0.25,0.001,0.2744143009185791,1.605006456375122,0.0,0.0,,
5,1.6108342409133911,0.140625,0.001,0.2986752986907959,1.6108342409133911,0.0,0.0,,
6,1.605344295501709,0.1875,0.001,0.3234901428222656,1.605344295501709,0.0,0.0,,
7,1.6010316610336304,0.21875,0.001,0.34294915199279785,1.6010316610336304,0.0,0.0,,
8,1.6034440994262695,0.09375,0.001,0.3669586181640625,1.6034440994262695,0.0,0.0,,
9,1.5948359966278076,0.1875,0.001,0.39725208282470703,1.5948359966278076,0.0,0.0,,
10,1.585869550704956,0.296875,0.001,0.4454464912414551,1.585869550704956,0.0,0.0,,
11,1.5843397378921509,0.53125,0.001,0.49378442764282227,1.5843397378921509,0.0,0.0,,
12,1.5732719898223877,0.78125,0.001,0.5462415218353271,1.5732719898223877,0.0,0.0,,
13,1.5706509351730347,0.75,0.001,0.5815091133117676,1.5706509351730347,0.0,0.0,,
14,1.551520824432373,0.75,0.001,0.6345391273498535,1.551520824432373,0.0,0.0,,
15,1.5342860221862793,0.75,0.001,0.6882510185241699,1.5342860221862793,0.0,0.0,,
16,1.5189028978347778,0.875,0.001,0.7334163188934326,1.5189028978347778,0.0,0.0,,
17,1.4934126138687134,0.796875,0.001,0.7872357368469238,1.4934126138687134,0.0,0.0,,
18,1.4657725095748901,0.8125,0.001,0.8389222621917725,1.4657725095748901,0.0,0.0,,
19,1.4137476682662964,0.828125,0.001,0.8828661441802979,1.4137476682662964,0.0,0.0,,
20,1.4035905599594116,0.859375,0.001,0.93454909324646,1.4035905599594116,0.0,0.0,,
21,1.3284186124801636,0.921875,0.001,0.9607539176940918,1.3284186124801636,0.0,0.0,,
22,1.2833033800125122,0.875,0.001,1.0139973163604736,1.2833033800125122,0.0,0.0,,
23,1.2872438430786133,0.8125,0.001,1.0543084144592285,1.2872438430786133,0.0,0.0,,
24,1.260990023612976,0.84375,0.001,1.0977458953857422,1.260990023612976,0.0,0.0,,
