step,train_loss,train_accuracy,learning_rate,wall_clock_time_sec,ce_loss,pairwise_loss,resistance_supervision_loss,val_accuracy,val_ece
1,1.5867279767990112,0.390625,0.001,0.1387465000152588,1.58578622341156,0.018835697323083878,0.0,,
2,1.590538740158081,0.4375,0.001,0.16083359718322754,1.5896302461624146,0.018169065937399864,0.0,,
3,1.5823627710342407,0.59375,0.001,0.18299531936645508,1.5814847946166992,0.017559923231601715,0.0,,
4,1.5673668384552002,0.6875,0.001,0.2069225311279297,1.5665191411972046,0.01695467345416546,0.0,,
5,1.5682414770126343,0.5625,0.001,0.2294015884399414,1.5674240589141846,0.016347378492355347,0.0,,
6,1.5690399408340454,0.5625,0.001,0.2574751377105713,1.5682512521743774,0.01577337086200714,0.0,,
7,1.5469268560409546,0.765625,0.001,0.2855384349822998,1.5461664199829102,0.015208112075924873,0.0,,
8,1.5466641187667847,0.75,0.001,0.30540895462036133,1.5459328889846802,0.014623843133449554,0.0,,
9,1.5308711528778076,0.90625,0.001,0.3409898281097412,1.5301693677902222,0.014036116190254688,0.0,,
10,1.5352733135223389,0.75,0.001,0.5009448528289795,1.5346009731292725,0.013446466997265816,0.0,,
11,1.521252989768982,0.875,0.001,0.5305655002593994,1.5206103324890137,0.012852643616497517,0.0,,
12,1.5238673686981201,0.875,0.001,0.5627386569976807,1.523254156112671,0.01226485799998045,0.0,,
13,1.510701298713684,0.90625,0.001,0.5863854885101318,1.5101168155670166,0.011690694838762283,0.0,,
14,1.5052800178527832,0.890625,0.001,0.6075644493103027,1.5047239065170288,0.011121073737740517,0.0,,
15,1.4960709810256958,0.875,0.001,0.624706506729126,1.4955418109893799,0.010584055446088314,0.0,,
16,1.484323263168335,0.90625,0.001,0.6416282653808594,1.4838192462921143,0.010080245323479176,0.0,,
17,1.4749730825424194,0.921875,0.001,0.6566798686981201,1.4744937419891357,0.009585772641003132,0.0,,
18,1.4721300601959229,0.859375,0.001,0.6716248989105225,1.4716743230819702,0.009113709442317486,0.0,,
19,1.4699759483337402,0.890625,0.001,0.6875598430633545,1.4695420265197754,0.008679560385644436,0.0,,
20,1.4458212852478027,0.953125,0.001,0.7029635906219482,1.4454072713851929,0.008279635570943356,0.0,,
21,1.4274184703826904,0.90625,0.001,0.7192142009735107,1.4270236492156982,0.00789688341319561,0.0,,
22,1.4320248365402222,0.875,0.001,0.7364447116851807,1.4316483736038208,0.007529727648943663,0.0,,
23,1.4291765689849854,0.875,0.001,0.757028341293335,1.428817868232727,0.007172890938818455,0.0,,
24,1.4101907014846802,0.90625,0.001,0.7735211849212646,1.4098490476608276,0.006834018509835005,0.0,,
25,1.3984206914901733,0.953125,0.001,0.7913703918457031,1.3980951309204102,0.006510627456009388,0.0,0.9765625,0.6364960670471191
26,1.3787894248962402,0.9375,0.001,0.8955647945404053,1.3784778118133545,0.006231278646737337,0.0,,
27,1.367253065109253,0.9375,0.001,0.9218175411224365,1.3669557571411133,0.0059472317807376385,0.0,,
28,1.3704580068588257,0.90625,0.001,0.9449529647827148,1.370173454284668,0.005690007470548153,0.0,,
29,1.3724522590637207,0.828125,0.001,0.9745917320251465,1.3721792697906494,0.005460650660097599,0.0,,
30,1.323676347732544,0.953125,0.001,0.9975144863128662,1.3234139680862427,0.0052469768561422825,0.0,,
31,1.314098834991455,0.953125,0.001,1.0248451232910156,1.3138467073440552,0.005042103584855795,0.0,,
32,1.3153858184814453,0.953125,0.001,1.0507349967956543,1.31514310836792,0.00485316151753068,0.0,,
33,1.3156440258026123,0.921875,0.001,1.075554370880127,1.3154096603393555,0.004686967935413122,0.0,,
34,1.2870830297470093,0.953125,0.001,1.1015985012054443,1.2868562936782837,0.00453415559604764,0.0,,
35,1.2790805101394653,0.921875,0.001,1.124619960784912,1.2788612842559814,0.004383519291877747,0.0,,
36,1.256411075592041,0.984375,0.001,1.1546928882598877,1.2561994791030884,0.004232891835272312,0.0,,
37,1.2725812196731567,0.890625,0.001,1.1773319244384766,1.2723766565322876,0.0040903049521148205,0.0,,
