step,train_loss,train_accuracy,learning_rate,wall_clock_time_sec,ce_loss,pairwise_loss,resistance_supervision_loss,val_accuracy,val_ece
1,1.6094579696655273,0.265625,0.001,0.020252704620361328,1.6094579696655273,0.0,0.0,,
2,1.608869194984436,0.171875,0.001,0.04658031463623047,1.608869194984436,0.0,0.0,,
3,1.6097774505615234,0.15625,0.001,0.0745537281036377,1.6097774505615234,0.0,0.0,,
4,1.6081080436706543,0.25,0.001,0.11134147644042969,1.6081080436706543,0.0,0.0,,
5,1.6076411008834839,0.234375,0.001,0.14047980308532715,1.6076411008834839,0.0,0.0,,
6,1.6067525148391724,0.234375,0.001,0.17190027236938477,1.6067525148391724,0.0,0.0,,
7,1.6066930294036865,0.1875,0.001,0.20288395881652832,1.6066930294036865,0.0,0.0,,
8,1.605393648147583,0.21875,0.001,0.23523902893066406,1.605393648147583,0.0,0.0,,
9,1.6044262647628784,0.171875,0.001,0.270097017288208,1.6044262647628784,0.0,0.0,,
10,1.6021037101745605,0.234375,0.001,0.2990834712982178,1.6021037101745605,0.0,0.0,,
11,1.602560043334961,0.171875,0.001,0.33469605445861816,1.602560043334961,0.0,0.0,,
12,1.5948092937469482,0.25,0.001,0.3700828552246094,1.5948092937469482,0.0,0.0,,
13,1.6030040979385376,0.140625,0.001,0.41045713424682617,1.6030040979385376,0.0,0.0,,
14,1.5888997316360474,0.421875,0.001,0.44294238090515137,1.5888997316360474,0.0,0.0,,
15,1.5855565071105957,0.375,0.001,0.47681117057800293,1.5855565071105957,0.0,0.0,,
16,1.5684304237365723,0.5625,0.001,0.5138504505157471,1.5684304237365723,0.0,0.0,,
17,1.5741196870803833,0.359375,0.001,0.5412266254425049,1.5741196870803833,0.0,0.0,,
18,1.5566117763519287,0.515625,0.001,0.5813453197479248,1.5566117763519287,0.0,0.0,,
19,1.5500962734222412,0.46875,0.001,0.6130132675170898,1.5500962734222412,0.0,0.0,,
20,1.5283823013305664,0.453125,0.001,0.6613209247589111,1.5283823013305664,0.0,0.0,,
21,1.5208351612091064,0.4375,0.001,0.6979820728302002,1.5208351612091064,0.0,0.0,,
22,1.493809700012207,0.484375,0.001,0.7353134155273438,1.493809700012207,0.0,0.0,,
23,1.4912950992584229,0.421875,0.001,0.7767417430877686,1.4912950992584229,0.0,0.0,,
24,1.4619742631912231,0.421875,0.001,0.8097598552703857,1.4619742631912231,0.0,0.0,,
25,1.4253499507904053,0.546875,0.001,0.8515353202819824,1.4253499507904053,0.0,0.0,0.69921875,0.42582371830940247
26,1.3922451734542847,0.640625,0.001,0.9616715908050537,1.3922451734542847,0.0,0.0,,
27,1.359813928604126,0.6875,0.001,0.9900805950164795,1.359813928604126,0.0,0.0,,
28,1.306384563446045,0.625,0.001,1.0268900394439697,1.306384563446045,0.0,0.0,,
29,1.2683327198028564,0.6875,0.001,1.055201768875122,1.2683327198028564,0.0,0.0,,
30,1.2114497423171997,0.78125,0.001,1.0897126197814941,1.2114497423171997,0.0,0.0,,
31,1.1604902744293213,0.75,0.001,1.123744249343872,1.1604902744293213,0.0,0.0,,
32,1.1074979305267334,0.796875,0.001,1.161365270614624,1.1074979305267334,0.0,0.0,,
33,1.0761834383010864,0.78125,0.001,1.1931233406066895,1.0761834383010864,0.0,0.0,,
34,1.0056593418121338,0.78125,0.001,1.2207586765289307,1.0056593418121338,0.0,0.0,,
35,0.9561336636543274,0.734375,0.001,1.261826515197754,0.9561336636543274,0.0,0.0,,
36,0.9447454214096069,0.78125,0.001,1.284909963607788,0.9447454214096069,0.0,0.0,,
37,0.9199407696723938,0.734375,0.001,1.3081393241882324,0.9199407696723938,0.0,0.0,,
38,0.9208469986915588,0.6875,0.001,1.3337655067443848,0.9208469986915588,0.0,0.0,,
39,0.8565967082977295,0.875,0.001,1.3611040115356445,0.8565967082977295,0.0,0.0,,
40,0.8233627676963806,0.796875,0.001,1.3908965587615967,0.8233627676963806,0.0,0.0,,
41,0.7850121855735779,0.796875,0.001,1.413893222808838,0.7850121855735779,0.0,0.0,,
42,0.7723780870437622,0.890625,0.001,1.4363610744476318,0.7723780870437622,0.0,0.0,,
43,0.782100260257721,0.78125,0.001,1.4589221477508545,0.782100260257721,0.0,0.0,,
44,0.7356461882591248,0.84375,0.001,1.4775691032409668,0.7356461882591248,0.0,0.0,,
45,0.7721585035324097,0.75,0.001,1.5002315044403076,0.7721585035324097,0.0,0.0,,
46,0.782435953617096,0.828125,0.001,2.9413459300994873,0.782435953617096,0.0,0.0,,
47,0.6614193320274353,0.875,0.001,2.9749956130981445,0.6614193320274353,0.0,0.0,,
48,0.6943386793136597,0.828125,0.001,3.005521297454834,0.6943386793136597,0.0,0.0,,
