step,train_loss,train_accuracy,learning_rate,wall_clock_time_sec,ce_loss,pairwise_loss,resistance_supervision_loss,val_accuracy,val_ece
1,2.3026156425476074,0.046875,0.001,0.02162933349609375,2.3026156425476074,0.0,0.0,,
2,2.302525520324707,0.046875,0.001,0.03940987586975098,2.302525520324707,0.0,0.0,,
3,2.3017821311950684,0.15625,0.001,0.056070804595947266,2.3017821311950684,0.0,0.0,,
4,2.3032965660095215,0.078125,0.001,0.07674431800842285,2.3032965660095215,0.0,0.0,,
5,2.3008058071136475,0.09375,0.001,0.09237241744995117,2.3008058071136475,0.0,0.0,,
6,2.3022406101226807,0.09375,0.001,0.11308741569519043,2.3022406101226807,0.0,0.0,,
7,2.3012194633483887,0.078125,0.001,0.1278374195098877,2.3012194633483887,0.0,0.0,,
8,2.300468921661377,0.140625,0.001,0.14529871940612793,2.300468921661377,0.0,0.0,,
9,2.2996749877929688,0.09375,0.001,0.16183900833129883,2.2996749877929688,0.0,0.0,,
10,2.3003201484680176,0.234375,0.001,0.1829066276550293,2.3003201484680176,0.0,0.0,,
11,2.297652244567871,0.203125,0.001,0.2005167007446289,2.297652244567871,0.0,0.0,,
12,2.2938239574432373,0.21875,0.001,0.21541619300842285,2.2938239574432373,0.0,0.0,,
13,2.2975516319274902,0.109375,0.001,0.23179244995117188,2.2975516319274902,0.0,0.0,,
14,2.293414831161499,0.21875,0.001,0.25228142738342285,2.293414831161499,0.0,0.0,,
15,2.2921111583709717,0.21875,0.001,0.27114272117614746,2.2921111583709717,0.0,0.0,,
16,2.2858548164367676,0.21875,0.001,0.28655314445495605,2.2858548164367676,0.0,0.0,,
17,2.288095235824585,0.171875,0.001,0.305051326751709,2.288095235824585,0.0,0.0,,
18,2.2866480350494385,0.171875,0.001,0.3219938278198242,2.2866480350494385,0.0,0.0,,
19,2.276322603225708,0.1875,0.001,0.3409998416900635,2.276322603225708,0.0,0.0,,
20,2.268158197402954,0.234375,0.001,0.3599393367767334,2.268158197402954,0.0,0.0,,
21,2.2653772830963135,0.15625,0.001,0.3754098415374756,2.2653772830963135,0.0,0.0,,
22,2.2528247833251953,0.203125,0.001,0.3908085823059082,2.2528247833251953,0.0,0.0,,
23,2.2338552474975586,0.171875,0.001,0.40731310844421387,2.2338552474975586,0.0,0.0,,
24,2.211160898208618,0.203125,0.001,0.4248650074005127,2.211160898208618,0.0,0.0,,
25,2.2139010429382324,0.09375,0.001,0.4431891441345215,2.2139010429382324,0.0,0.0,0.17578125,0.04547577723860741
26,2.1723239421844482,0.125,0.001,0.5527949333190918,2.1723239421844482,0.0,0.0,,
27,2.1628270149230957,0.1875,0.001,0.5673828125,2.1628270149230957,0.0,0.0,,
28,2.121074676513672,0.25,0.001,0.5821247100830078,2.121074676513672,0.0,0.0,,
29,2.1200411319732666,0.234375,0.001,0.5990457534790039,2.1200411319732666,0.0,0.0,,
30,2.1254544258117676,0.078125,0.001,0.6157596111297607,2.1254544258117676,0.0,0.0,,
31,2.110247850418091,0.25,0.001,0.6307196617126465,2.110247850418091,0.0,0.0,,
32,1.9837599992752075,0.125,0.001,0.6451075077056885,1.9837599992752075,0.0,0.0,,
33,2.024322748184204,0.140625,0.001,0.6620504856109619,2.024322748184204,0.0,0.0,,
34,1.8774107694625854,0.25,0.001,0.6784679889678955,1.8774107694625854,0.0,0.0,,
35,1.936744213104248,0.171875,0.001,0.6930513381958008,1.936744213104248,0.0,0.0,,
36,1.8938943147659302,0.203125,0.001,0.7083187103271484,1.8938943147659302,0.0,0.0,,
37,1.8049108982086182,0.171875,0.001,0.7283766269683838,1.8049108982086182,0.0,0.0,,
38,2.041558265686035,0.25,0.001,0.7578442096710205,2.041558265686035,0.0,0.0,,
39,1.8765430450439453,0.21875,0.001,0.7771933078765869,1.8765430450439453,0.0,0.0,,
40,1.8871848583221436,0.25,0.001,0.7912945747375488,1.8871848583221436,0.0,0.0,,
41,1.8876221179962158,0.265625,0.001,0.8081531524658203,1.8876221179962158,0.0,0.0,,
42,1.8955720663070679,0.140625,0.001,0.8293492794036865,1.8955720663070679,0.0,0.0,,
43,1.8408005237579346,0.25,0.001,0.850867748260498,1.8408005237579346,0.0,0.0,,
44,1.7851004600524902,0.1875,0.001,0.871678352355957,1.7851004600524902,0.0,0.0,,
45,1.8669968843460083,0.171875,0.001,0.8955368995666504,1.8669968843460083,0.0,0.0,,
46,1.8241554498672485,0.203125,0.001,0.9201033115386963,1.8241554498672485,0.0,0.0,,
47,1.8217874765396118,0.203125,0.001,0.9427840709686279,1.8217874765396118,0.0,0.0,,
48,1.886674404144287,0.234375,0.001,0.9672389030456543,1.886674404144287,0.0,0.0,,
49,1.7802106142044067,0.1875,0.001,0.9882702827453613,1.7802106142044067,0.0,0.0,,
50,1.742100715637207,0.328125,0.001,1.0094428062438965,1.742100715637207,0.0,0.0,0.1640625,0.11804705858230591
51,1.889350414276123,0.1875,0.001,1.131091833114624,1.889350414276123,0.0,0.0,,
52,1.8173109292984009,0.15625,0.001,1.1547837257385254,1.8173109292984009,0.0,0.0,,
53,1.7891217470169067,0.15625,0.001,1.1746060848236084,1.7891217470169067,0.0,0.0,,
54,1.7531087398529053,0.171875,0.001,1.1971611976623535,1.7531087398529053,0.0,0.0,,
55,1.7719241380691528,0.203125,0.001,1.2241754531860352,1.7719241380691528,0.0,0.0,,
56,1.75984787940979,0.25,0.001,1.2477591037750244,1.75984787940979,0.0,0.0,,
57,1.8052122592926025,0.203125,0.001,1.2760047912597656,1.8052122592926025,0.0,0.0,,
58,1.9149043560028076,0.171875,0.001,1.299438714981079,1.9149043560028076,0.0,0.0,,
59,1.7238669395446777,0.234375,0.001,1.3287205696105957,1.7238669395446777,0.0,0.0,,
60,1.9256623983383179,0.125,0.001,1.3538250923156738,1.9256623983383179,0.0,0.0,,
61,1.8710533380508423,0.171875,0.001,1.376852035522461,1.8710533380508423,0.0,0.0,,
62,1.8236700296401978,0.21875,0.001,1.405078649520874,1.8236700296401978,0.0,0.0,,
63,1.8679964542388916,0.1875,0.001,1.4310338497161865,1.8679964542388916,0.0,0.0,,
64,1.8065277338027954,0.1875,0.001,1.4566388130187988,1.8065277338027954,0.0,0.0,,
65,1.8695199489593506,0.125,0.001,1.4820713996887207,1.8695199489593506,0.0,0.0,,
66,1.8316590785980225,0.28125,0.001,1.5086989402770996,1.8316590785980225,0.0,0.0,,
67,1.703946828842163,0.296875,0.001,1.5354647636413574,1.703946828842163,0.0,0.0,,
68,1.7913457155227661,0.28125,0.001,1.5659432411193848,1.7913457155227661,0.0,0.0,,
69,1.8477206230163574,0.296875,0.001,1.5965421199798584,1.8477206230163574,0.0,0.0,,
70,1.786916732788086,0.25,0.001,1.6219072341918945,1.786916732788086,0.0,0.0,,
71,1.7614374160766602,0.234375,0.001,1.6535794734954834,1.7614374160766602,0.0,0.0,,
72,1.7443593740463257,0.203125,0.001,1.6861379146575928,1.7443593740463257,0.0,0.0,,
73,1.9293649196624756,0.25,0.001,1.7186212539672852,1.9293649196624756,0.0,0.0,,
74,1.7809340953826904,0.25,0.001,1.75022554397583,1.7809340953826904,0.0,0.0,,
75,1.9712556600570679,0.125,0.001,1.78043532371521,1.9712556600570679,0.0,0.0,0.1953125,0.194582998752594
76,1.6258872747421265,0.28125,0.001,1.9036848545074463,1.6258872747421265,0.0,0.0,,
77,1.775180697441101,0.21875,0.001,1.93168044090271,1.775180697441101,0.0,0.0,,
78,1.77174973487854,0.25,0.001,1.9581217765808105,1.77174973487854,0.0,0.0,,
79,1.6601885557174683,0.28125,0.001,1.991272211074829,1.6601885557174683,0.0,0.0,,
80,1.6779438257217407,0.296875,0.001,2.024735689163208,1.6779438257217407,0.0,0.0,,
81,1.7248146533966064,0.203125,0.001,2.0547537803649902,1.7248146533966064,0.0,0.0,,
82,1.6995694637298584,0.28125,0.001,2.084174633026123,1.6995694637298584,0.0,0.0,,
83,1.8570222854614258,0.265625,0.001,2.116434335708618,1.8570222854614258,0.0,0.0,,
84,1.7857131958007812,0.203125,0.001,2.1433358192443848,1.7857131958007812,0.0,0.0,,
85,1.724173903465271,0.328125,0.001,2.168437957763672,1.724173903465271,0.0,0.0,,
86,1.7208572626113892,0.28125,0.001,2.193582773208618,1.7208572626113892,0.0,0.0,,
87,1.6341979503631592,0.296875,0.001,2.2198479175567627,1.6341979503631592,0.0,0.0,,
88,1.6426888704299927,0.328125,0.001,2.2437376976013184,1.6426888704299927,0.0,0.0,,
89,1.6180076599121094,0.34375,0.001,2.2651498317718506,1.6180076599121094,0.0,0.0,,
90,1.6341099739074707,0.359375,0.001,2.2883973121643066,1.6341099739074707,0.0,0.0,,
91,1.5401268005371094,0.484375,0.001,2.316261053085327,1.5401268005371094,0.0,0.0,,
92,1.687849760055542,0.359375,0.001,2.3367414474487305,1.687849760055542,0.0,0.0,,
93,1.6457949876785278,0.3125,0.001,2.358527421951294,1.6457949876785278,0.0,0.0,,
94,1.7109265327453613,0.359375,0.001,2.3835818767547607,1.7109265327453613,0.0,0.0,,
95,1.5229395627975464,0.359375,0.001,2.405391216278076,1.5229395627975464,0.0,0.0,,
96,1.7969622611999512,0.296875,0.001,2.42824125289917,1.7969622611999512,0.0,0.0,,
97,1.6742199659347534,0.34375,0.001,2.449445962905884,1.6742199659347534,0.0,0.0,,
98,1.6511027812957764,0.359375,0.001,2.478398323059082,1.6511027812957764,0.0,0.0,,
99,1.5768756866455078,0.28125,0.001,2.50140118598938,1.5768756866455078,0.0,0.0,,
100,1.5255681276321411,0.515625,0.001,2.5250775814056396,1.5255681276321411,0.0,0.0,0.375,0.10268552601337433
101,1.61380136013031,0.453125,0.001,2.641953468322754,1.61380136013031,0.0,0.0,,
102,1.6854138374328613,0.328125,0.001,2.6697027683258057,1.6854138374328613,0.0,0.0,,
103,1.6839039325714111,0.328125,0.001,2.6982505321502686,1.6839039325714111,0.0,0.0,,
104,1.758034348487854,0.25,0.001,2.724886894226074,1.758034348487854,0.0,0.0,,
105,1.5639365911483765,0.421875,0.001,2.754000425338745,1.5639365911483765,0.0,0.0,,
106,1.6826008558273315,0.328125,0.001,2.784762144088745,1.6826008558273315,0.0,0.0,,
107,1.5692800283432007,0.3125,0.001,2.8143258094787598,1.5692800283432007,0.0,0.0,,
108,1.6198755502700806,0.296875,0.001,2.8392417430877686,1.6198755502700806,0.0,0.0,,
109,1.5073792934417725,0.453125,0.001,2.864659547805786,1.5073792934417725,0.0,0.0,,
110,1.4915964603424072,0.375,0.001,2.889411449432373,1.4915964603424072,0.0,0.0,,
111,1.6191370487213135,0.359375,0.001,2.918973684310913,1.6191370487213135,0.0,0.0,,
112,1.6780716180801392,0.265625,0.001,2.947895050048828,1.6780716180801392,0.0,0.0,,
113,1.4789832830429077,0.34375,0.001,2.9746108055114746,1.4789832830429077,0.0,0.0,,
114,1.5581918954849243,0.328125,0.001,3.004373073577881,1.5581918954849243,0.0,0.0,,
115,1.531208872795105,0.328125,0.001,3.0320358276367188,1.531208872795105,0.0,0.0,,
116,1.6871466636657715,0.265625,0.001,3.073411226272583,1.6871466636657715,0.0,0.0,,
117,1.423644781112671,0.4375,0.001,3.1208722591400146,1.423644781112671,0.0,0.0,,
118,1.5676480531692505,0.34375,0.001,3.1637561321258545,1.5676480531692505,0.0,0.0,,
119,1.5118547677993774,0.40625,0.001,3.1869678497314453,1.5118547677993774,0.0,0.0,,
120,1.504407286643982,0.4375,0.001,3.215595006942749,1.504407286643982,0.0,0.0,,
121,1.552764654159546,0.390625,0.001,3.2438385486602783,1.552764654159546,0.0,0.0,,
122,1.5647368431091309,0.421875,0.001,3.268876791000366,1.5647368431091309,0.0,0.0,,
123,1.4610241651535034,0.390625,0.001,3.295715570449829,1.4610241651535034,0.0,0.0,,
124,1.657936453819275,0.328125,0.001,3.3287572860717773,1.657936453819275,0.0,0.0,,
125,1.649922490119934,0.1875,0.001,3.361501455307007,1.649922490119934,0.0,0.0,0.3515625,0.11990497261285782
126,1.6288385391235352,0.328125,0.001,3.4831268787384033,1.6288385391235352,0.0,0.0,,
127,1.4263901710510254,0.34375,0.001,3.5104658603668213,1.4263901710510254,0.0,0.0,,
128,1.7637354135513306,0.28125,0.001,3.5476741790771484,1.7637354135513306,0.0,0.0,,
129,1.4612067937850952,0.234375,0.001,3.5800211429595947,1.4612067937850952,0.0,0.0,,
130,1.8322367668151855,0.234375,0.001,3.614495038986206,1.8322367668151855,0.0,0.0,,
131,1.608855962753296,0.296875,0.001,3.6477761268615723,1.608855962753296,0.0,0.0,,
132,1.6261452436447144,0.34375,0.001,3.6871848106384277,1.6261452436447144,0.0,0.0,,
133,1.6184002161026,0.296875,0.001,3.718498706817627,1.6184002161026,0.0,0.0,,
134,1.5977171659469604,0.34375,0.001,3.749990940093994,1.5977171659469604,0.0,0.0,,
135,1.5662593841552734,0.328125,0.001,3.781400203704834,1.5662593841552734,0.0,0.0,,
136,1.5568773746490479,0.28125,0.001,3.814319133758545,1.5568773746490479,0.0,0.0,,
137,1.5374480485916138,0.3125,0.001,3.850001573562622,1.5374480485916138,0.0,0.0,,
138,1.5098936557769775,0.21875,0.001,3.884822368621826,1.5098936557769775,0.0,0.0,,
139,1.5888019800186157,0.328125,0.001,3.913463592529297,1.5888019800186157,0.0,0.0,,
140,1.3559917211532593,0.34375,0.001,3.9442760944366455,1.3559917211532593,0.0,0.0,,
141,1.5720680952072144,0.40625,0.001,4.018357515335083,1.5720680952072144,0.0,0.0,,
142,1.587673544883728,0.359375,0.001,4.045307159423828,1.587673544883728,0.0,0.0,,
143,1.66323983669281,0.34375,0.001,4.075403928756714,1.66323983669281,0.0,0.0,,
144,1.4376634359359741,0.390625,0.001,4.106610536575317,1.4376634359359741,0.0,0.0,,
145,1.4636436700820923,0.40625,0.001,4.139200687408447,1.4636436700820923,0.0,0.0,,
146,1.6037043333053589,0.34375,0.001,4.1704277992248535,1.6037043333053589,0.0,0.0,,
147,1.537522315979004,0.421875,0.001,4.19948410987854,1.537522315979004,0.0,0.0,,
148,1.3548977375030518,0.40625,0.001,4.232985258102417,1.3548977375030518,0.0,0.0,,
149,1.613202691078186,0.3125,0.001,4.262071132659912,1.613202691078186,0.0,0.0,,
150,1.634139060974121,0.421875,0.001,4.294676303863525,1.634139060974121,0.0,0.0,0.36328125,0.12090981006622314
151,1.5597407817840576,0.34375,0.001,5.0781190395355225,1.5597407817840576,0.0,0.0,,
152,1.3539379835128784,0.390625,0.001,5.111023426055908,1.3539379835128784,0.0,0.0,,
153,1.4513602256774902,0.4375,0.001,5.1444737911224365,1.4513602256774902,0.0,0.0,,
154,1.566130518913269,0.375,0.001,5.181749582290649,1.566130518913269,0.0,0.0,,
155,1.4467034339904785,0.375,0.001,5.216244459152222,1.4467034339904785,0.0,0.0,,
156,1.6154966354370117,0.34375,0.001,5.250258922576904,1.6154966354370117,0.0,0.0,,
157,1.5918432474136353,0.34375,0.001,5.288691997528076,1.5918432474136353,0.0,0.0,,
158,1.609015703201294,0.3125,0.001,5.325094938278198,1.609015703201294,0.0,0.0,,
159,1.5924288034439087,0.3125,0.001,5.357526540756226,1.5924288034439087,0.0,0.0,,
160,1.4508622884750366,0.34375,0.001,5.392533540725708,1.4508622884750366,0.0,0.0,,
161,1.6293615102767944,0.296875,0.001,5.430048704147339,1.6293615102767944,0.0,0.0,,
