step,train_loss,train_accuracy,pairwise_loss,learning_rate,wall_clock_time_sec,val_loss,val_accuracy,val_nll,val_ece,val_brier,val_positive_logit_mean,val_hard_negative_logit_mean,val_margin_mean,val_positive_drive_mean,val_positive_resistance_mean,val_hard_negative_drive_mean,val_hard_negative_resistance_mean,val_sample_uncertainty_mean,val_ambiguity_mean,val_class_resistance_mean,val_resistance_noise_corr,val_resistance_occlusion_corr
1,2.3058128356933594,0.078125,0.0,0.001,0.0023365020751953125,,,,,,,,,,,,,,,,,
2,2.2959606647491455,0.1875,0.0,0.001,0.004606008529663086,,,,,,,,,,,,,,,,,
3,2.2818665504455566,0.25,0.0,0.001,0.006956338882446289,,,,,,,,,,,,,,,,,
4,2.2738289833068848,0.140625,0.0,0.001,0.009353876113891602,,,,,,,,,,,,,,,,,
5,2.260613441467285,0.25,0.0,0.001,0.011739015579223633,,,,,,,,,,,,,,,,,
6,2.23797869682312,0.296875,0.0,0.001,0.013995170593261719,,,,,,,,,,,,,,,,,
7,2.219886541366577,0.34375,0.0,0.001,0.016062259674072266,,,,,,,,,,,,,,,,,
8,2.208620548248291,0.359375,0.0,0.001,0.023916959762573242,,,,,,,,,,,,,,,,,
9,2.2024283409118652,0.375,0.0,0.001,0.026041746139526367,,,,,,,,,,,,,,,,,
10,2.1594223976135254,0.40625,0.0,0.001,0.0283203125,,,,,,,,,,,,,,,,,
11,2.1608786582946777,0.375,0.0,0.001,0.030577421188354492,,,,,,,,,,,,,,,,,
12,2.1304497718811035,0.328125,0.0,0.001,0.03288125991821289,,,,,,,,,,,,,,,,,
13,2.1114919185638428,0.28125,0.0,0.001,0.03519177436828613,,,,,,,,,,,,,,,,,
14,2.1157310009002686,0.296875,0.0,0.001,0.037581443786621094,,,,,,,,,,,,,,,,,
15,2.0840139389038086,0.265625,0.0,0.001,0.03986549377441406,,,,,,,,,,,,,,,,,
16,2.0713462829589844,0.25,0.0,0.001,0.04213881492614746,,,,,,,,,,,,,,,,,
17,1.9776015281677246,0.390625,0.0,0.001,0.04446697235107422,,,,,,,,,,,,,,,,,
18,2.002370834350586,0.328125,0.0,0.001,0.046765804290771484,,,,,,,,,,,,,,,,,
19,1.9186941385269165,0.21875,0.0,0.001,0.04913449287414551,,,,,,,,,,,,,,,,,
20,1.9108771085739136,0.296875,0.0,0.001,0.0515897274017334,,,,,,,,,,,,,,,,,
21,1.9064016342163086,0.265625,0.0,0.001,0.054062604904174805,,,,,,,,,,,,,,,,,
22,1.7975897789001465,0.421875,0.0,0.001,0.0566713809967041,,,,,,,,,,,,,,,,,
23,1.9002652168273926,0.296875,0.0,0.001,0.05917477607727051,,,,,,,,,,,,,,,,,
24,1.837160348892212,0.296875,0.0,0.001,0.06172990798950195,,,,,,,,,,,,,,,,,
25,1.8844918012619019,0.296875,0.0,0.001,0.06430292129516602,,,,,,,,,,,,,,,,,
26,1.8912140130996704,0.296875,0.0,0.001,0.06690335273742676,,,,,,,,,,,,,,,,,
27,1.7489830255508423,0.359375,0.0,0.001,0.06951785087585449,,,,,,,,,,,,,,,,,
28,1.736950397491455,0.234375,0.0,0.001,0.07213592529296875,,,,,,,,,,,,,,,,,
29,1.6588736772537231,0.28125,0.0,0.001,0.07480406761169434,,,,,,,,,,,,,,,,,
