step,train_loss,train_accuracy,pairwise_loss,learning_rate,wall_clock_time_sec,val_loss,val_accuracy,val_nll,val_ece,val_brier,val_positive_logit_mean,val_hard_negative_logit_mean,val_margin_mean,val_positive_drive_mean,val_positive_resistance_mean,val_hard_negative_drive_mean,val_hard_negative_resistance_mean,val_sample_uncertainty_mean,val_ambiguity_mean,val_class_resistance_mean,val_resistance_noise_corr,val_resistance_occlusion_corr
1,2.31423282623291,0.125,0.0,0.001,0.0016522407531738281,,,,,,,,,,,,,,,,,
2,2.335297107696533,0.171875,0.0,0.001,0.00323486328125,,,,,,,,,,,,,,,,,
3,2.2786765098571777,0.28125,0.0,0.001,0.004843711853027344,,,,,,,,,,,,,,,,,
4,2.259754180908203,0.375,0.0,0.001,0.006405830383300781,,,,,,,,,,,,,,,,,
5,2.2546558380126953,0.234375,0.0,0.001,0.007980585098266602,,,,,,,,,,,,,,,,,
6,2.2751593589782715,0.1875,0.0,0.001,0.009587526321411133,,,,,,,,,,,,,,,,,
7,2.1945688724517822,0.296875,0.0,0.001,0.011181831359863281,,,,,,,,,,,,,,,,,
8,2.208470582962036,0.265625,0.0,0.001,0.012835979461669922,,,,,,,,,,,,,,,,,
9,2.161097764968872,0.34375,0.0,0.001,0.014464139938354492,,,,,,,,,,,,,,,,,
10,2.2198519706726074,0.265625,0.0,0.001,0.01644730567932129,,,,,,,,,,,,,,,,,
11,2.1830077171325684,0.234375,0.0,0.001,0.02224588394165039,,,,,,,,,,,,,,,,,
12,2.2034733295440674,0.25,0.0,0.001,0.024098634719848633,,,,,,,,,,,,,,,,,
13,2.1972060203552246,0.28125,0.0,0.001,0.02850508689880371,,,,,,,,,,,,,,,,,
14,2.141623020172119,0.25,0.0,0.001,0.030245542526245117,,,,,,,,,,,,,,,,,
15,2.075817584991455,0.4375,0.0,0.001,0.03197026252746582,,,,,,,,,,,,,,,,,
16,2.103487968444824,0.34375,0.0,0.001,0.03372526168823242,,,,,,,,,,,,,,,,,
17,2.0725672245025635,0.328125,0.0,0.001,0.03549504280090332,,,,,,,,,,,,,,,,,
18,2.0799560546875,0.296875,0.0,0.001,0.037294626235961914,,,,,,,,,,,,,,,,,
19,2.112098455429077,0.25,0.0,0.001,0.039101600646972656,,,,,,,,,,,,,,,,,
20,2.0338690280914307,0.359375,0.0,0.001,0.041132211685180664,,,,,,,,,,,,,,,,,
21,2.0067079067230225,0.453125,0.0,0.001,0.04314541816711426,,,,,,,,,,,,,,,,,
22,2.068722724914551,0.25,0.0,0.001,0.04521965980529785,,,,,,,,,,,,,,,,,
23,2.0151069164276123,0.328125,0.0,0.001,0.047403812408447266,,,,,,,,,,,,,,,,,
24,2.0204501152038574,0.375,0.0,0.001,0.04949831962585449,,,,,,,,,,,,,,,,,
25,2.046093463897705,0.25,0.0,0.001,0.05142712593078613,,,,,,,,,,,,,,,,,
26,2.087888240814209,0.234375,0.0,0.001,0.05338001251220703,,,,,,,,,,,,,,,,,
27,2.079484701156616,0.3125,0.0,0.001,0.05535721778869629,,,,,,,,,,,,,,,,,
28,2.0185086727142334,0.265625,0.0,0.001,0.05736684799194336,,,,,,,,,,,,,,,,,
29,1.9899729490280151,0.3125,0.0,0.001,0.059420108795166016,,,,,,,,,,,,,,,,,
30,2.005598306655884,0.328125,0.0,0.001,0.06160259246826172,,,,,,,,,,,,,,,,,
31,2.0077085494995117,0.28125,0.0,0.001,0.06386446952819824,,,,,,,,,,,,,,,,,
32,1.9562748670578003,0.3125,0.0,0.001,0.06616544723510742,,,,,,,,,,,,,,,,,
33,1.9534565210342407,0.328125,0.0,0.001,0.06847047805786133,,,,,,,,,,,,,,,,,
34,2.029771089553833,0.34375,0.0,0.001,0.07077980041503906,,,,,,,,,,,,,,,,,
35,1.9599545001983643,0.28125,0.0,0.001,0.07289791107177734,,,,,,,,,,,,,,,,,
36,1.9472298622131348,0.421875,0.0,0.001,0.07519364356994629,,,,,,,,,,,,,,,,,
37,1.9291921854019165,0.375,0.0,0.001,0.07737517356872559,,,,,,,,,,,,,,,,,
38,1.926153540611267,0.296875,0.0,0.001,0.079559326171875,,,,,,,,,,,,,,,,,
39,1.9256645441055298,0.375,0.0,0.001,0.08174276351928711,,,,,,,,,,,,,,,,,
40,1.9022754430770874,0.46875,0.0,0.001,0.08397483825683594,,,,,,,,,,,,,,,,,
41,1.9136962890625,0.3125,0.0,0.001,0.08622217178344727,,,,,,,,,,,,,,,,,
42,1.8645983934402466,0.40625,0.0,0.001,0.08851099014282227,,,,,,,,,,,,,,,,,
43,1.8736138343811035,0.34375,0.0,0.001,0.09079265594482422,,,,,,,,,,,,,,,,,
44,1.8174463510513306,0.4375,0.0,0.001,0.09311175346374512,,,,,,,,,,,,,,,,,
45,1.8519278764724731,0.421875,0.0,0.001,0.09546184539794922,,,,,,,,,,,,,,,,,
