step,train_loss,train_accuracy,pairwise_loss,learning_rate,wall_clock_time_sec,val_loss,val_accuracy,val_nll,val_ece,val_brier,val_positive_logit_mean,val_hard_negative_logit_mean,val_margin_mean,val_positive_drive_mean,val_positive_resistance_mean,val_hard_negative_drive_mean,val_hard_negative_resistance_mean,val_sample_uncertainty_mean,val_ambiguity_mean,val_class_resistance_mean,val_resistance_noise_corr,val_resistance_occlusion_corr
1,2.315624952316284,0.171875,0.008030921220779419,0.001,0.0038301944732666016,,,,,,,,,,,,,,,,,
2,2.3458242416381836,0.203125,0.008245584554970264,0.001,0.0074672698974609375,,,,,,,,,,,,,,,,,
3,2.254692554473877,0.28125,0.008371494710445404,0.001,0.011258125305175781,,,,,,,,,,,,,,,,,
4,2.366016387939453,0.15625,0.008453646674752235,0.001,0.014815092086791992,,,,,,,,,,,,,,,,,
5,2.2742831707000732,0.21875,0.008512210100889206,0.001,0.017856121063232422,,,,,,,,,,,,,,,,,
6,2.2696151733398438,0.1875,0.008565783500671387,0.001,0.020916461944580078,,,,,,,,,,,,,,,,,
7,2.1738924980163574,0.34375,0.00860642734915018,0.001,0.02401447296142578,,,,,,,,,,,,,,,,,
8,2.2155203819274902,0.21875,0.008638578467071056,0.001,0.02741217613220215,,,,,,,,,,,,,,,,,
9,2.1176223754882812,0.34375,0.008660313673317432,0.001,0.03086996078491211,,,,,,,,,,,,,,,,,
10,2.260127067565918,0.1875,0.008674551732838154,0.001,0.03432607650756836,,,,,,,,,,,,,,,,,
11,2.153165578842163,0.1875,0.00867418386042118,0.001,0.03762054443359375,,,,,,,,,,,,,,,,,
12,2.1723670959472656,0.203125,0.008666297420859337,0.001,0.04081320762634277,,,,,,,,,,,,,,,,,
13,2.0822863578796387,0.234375,0.00865653995424509,0.001,0.04406237602233887,,,,,,,,,,,,,,,,,
14,2.102515459060669,0.21875,0.008643236011266708,0.001,0.04742884635925293,,,,,,,,,,,,,,,,,
15,2.0925705432891846,0.3125,0.008625981397926807,0.001,0.05090141296386719,,,,,,,,,,,,,,,,,
16,2.0739309787750244,0.234375,0.008602295070886612,0.001,0.05455899238586426,,,,,,,,,,,,,,,,,
17,2.019413709640503,0.265625,0.008576623164117336,0.001,0.05822157859802246,,,,,,,,,,,,,,,,,
