step,train_loss,train_accuracy,pairwise_loss,learning_rate,wall_clock_time_sec,val_loss,val_accuracy,val_nll,val_ece,val_brier,val_positive_logit_mean,val_hard_negative_logit_mean,val_margin_mean,val_positive_drive_mean,val_positive_resistance_mean,val_hard_negative_drive_mean,val_hard_negative_resistance_mean,val_sample_uncertainty_mean,val_ambiguity_mean,val_class_resistance_mean,val_resistance_noise_corr,val_resistance_occlusion_corr
1,2.317920207977295,0.09375,0.012446453794836998,0.001,0.006593227386474609,,,,,,,,,,,,,,,,,
2,2.320695161819458,0.109375,0.012714307755231857,0.001,0.01305389404296875,,,,,,,,,,,,,,,,,
3,2.3171894550323486,0.078125,0.012893248349428177,0.001,0.020207643508911133,,,,,,,,,,,,,,,,,
4,2.3124067783355713,0.109375,0.01311609335243702,0.001,0.027136802673339844,,,,,,,,,,,,,,,,,
5,2.318573236465454,0.0625,0.013353340327739716,0.001,0.03333306312561035,,,,,,,,,,,,,,,,,
6,2.3037734031677246,0.09375,0.013603448867797852,0.001,0.03968000411987305,,,,,,,,,,,,,,,,,
7,2.2984933853149414,0.21875,0.013858244754374027,0.001,0.052805423736572266,,,,,,,,,,,,,,,,,
8,2.30037784576416,0.15625,0.01411155890673399,0.001,0.06061840057373047,,,,,,,,,,,,,,,,,
9,2.2958271503448486,0.171875,0.014369835145771503,0.001,0.0681765079498291,,,,,,,,,,,,,,,,,
10,2.2939469814300537,0.203125,0.014629668556153774,0.001,0.07564783096313477,,,,,,,,,,,,,,,,,
11,2.2851905822753906,0.203125,0.014876436442136765,0.001,0.08325839042663574,,,,,,,,,,,,,,,,,
12,2.291712522506714,0.1875,0.015082831494510174,0.001,0.09125161170959473,,,,,,,,,,,,,,,,,
13,2.295361042022705,0.125,0.015283473767340183,0.001,0.09820199012756348,,,,,,,,,,,,,,,,,
14,2.2811574935913086,0.203125,0.015478760935366154,0.001,0.105804443359375,,,,,,,,,,,,,,,,,
15,2.281304121017456,0.09375,0.01567632332444191,0.001,0.11390089988708496,,,,,,,,,,,,,,,,,
16,2.27321195602417,0.203125,0.015870941802859306,0.001,0.12098288536071777,,,,,,,,,,,,,,,,,
17,2.269296169281006,0.203125,0.016055282205343246,0.001,0.1285557746887207,,,,,,,,,,,,,,,,,
18,2.253800630569458,0.296875,0.016239240765571594,0.001,0.13752436637878418,,,,,,,,,,,,,,,,,
19,2.2567102909088135,0.1875,0.016423087567090988,0.001,0.14511513710021973,,,,,,,,,,,,,,,,,
20,2.251749277114868,0.296875,0.016604352742433548,0.001,0.15301847457885742,,,,,,,,,,,,,,,,,
21,2.2333149909973145,0.328125,0.016787206754088402,0.001,0.16199588775634766,,,,,,,,,,,,,,,,,
22,2.2365667819976807,0.3125,0.01695730909705162,0.001,0.16952919960021973,,,,,,,,,,,,,,,,,
23,2.2304799556732178,0.265625,0.01712418720126152,0.001,0.17780256271362305,,,,,,,,,,,,,,,,,
24,2.222874164581299,0.375,0.01729661226272583,0.001,0.1869676113128662,,,,,,,,,,,,,,,,,
25,2.2174630165100098,0.15625,0.01748051866889,0.001,0.19470524787902832,,,,,,,,,,,,,,,,,
26,2.1882822513580322,0.390625,0.01763724535703659,0.001,0.20293974876403809,,,,,,,,,,,,,,,,,
27,2.198298692703247,0.34375,0.017791004851460457,0.001,0.21155595779418945,,,,,,,,,,,,,,,,,
28,2.1745924949645996,0.359375,0.017938410863280296,0.001,0.21966791152954102,,,,,,,,,,,,,,,,,
29,2.152796506881714,0.375,0.01808791235089302,0.001,0.22788119316101074,,,,,,,,,,,,,,,,,
30,2.1460578441619873,0.3125,0.018235553056001663,0.001,0.2362804412841797,,,,,,,,,,,,,,,,,
31,2.171495199203491,0.1875,0.018375147134065628,0.001,0.24784302711486816,,,,,,,,,,,,,,,,,
32,2.128080368041992,0.3125,0.018510213121771812,0.001,0.2622823715209961,,,,,,,,,,,,,,,,,
33,2.1380677223205566,0.3125,0.018624838441610336,0.001,0.26970481872558594,,,,,,,,,,,,,,,,,
34,2.114413261413574,0.375,0.01873064413666725,0.001,0.2787618637084961,,,,,,,,,,,,,,,,,
