step,train_loss,train_accuracy,pairwise_loss,learning_rate,wall_clock_time_sec,val_loss,val_accuracy,val_nll,val_ece,val_brier,val_positive_logit_mean,val_hard_negative_logit_mean,val_margin_mean,val_positive_drive_mean,val_positive_resistance_mean,val_hard_negative_drive_mean,val_hard_negative_resistance_mean,val_sample_uncertainty_mean,val_ambiguity_mean,val_class_resistance_mean,val_resistance_noise_corr,val_resistance_occlusion_corr
1,2.317925214767456,0.09375,0.012446453794836998,0.001,0.006560564041137695,,,,,,,,,,,,,,,,,
2,2.3207075595855713,0.109375,0.012714306823909283,0.001,0.012965202331542969,,,,,,,,,,,,,,,,,
3,2.3172051906585693,0.078125,0.012893261387944221,0.001,0.020478248596191406,,,,,,,,,,,,,,,,,
4,2.31242036819458,0.109375,0.013116088695824146,0.001,0.027856111526489258,,,,,,,,,,,,,,,,,
5,2.318603515625,0.0625,0.013353349640965462,0.001,0.034180402755737305,,,,,,,,,,,,,,,,,
6,2.303781032562256,0.09375,0.013603487983345985,0.001,0.0418696403503418,,,,,,,,,,,,,,,,,
7,2.2984907627105713,0.21875,0.013858305290341377,0.001,0.05019402503967285,,,,,,,,,,,,,,,,,
8,2.3003883361816406,0.15625,0.014111630618572235,0.001,0.057939767837524414,,,,,,,,,,,,,,,,,
9,2.2958202362060547,0.171875,0.014369922690093517,0.001,0.06535768508911133,,,,,,,,,,,,,,,,,
10,2.2939369678497314,0.203125,0.014629760757088661,0.001,0.07306480407714844,,,,,,,,,,,,,,,,,
11,2.285141944885254,0.203125,0.014876490458846092,0.001,0.08163118362426758,,,,,,,,,,,,,,,,,
12,2.2916903495788574,0.1875,0.015082765370607376,0.001,0.09001016616821289,,,,,,,,,,,,,,,,,
13,2.2953619956970215,0.125,0.015283294022083282,0.001,0.09732389450073242,,,,,,,,,,,,,,,,,
14,2.2811038494110107,0.203125,0.01547847781330347,0.001,0.10529041290283203,,,,,,,,,,,,,,,,,
15,2.2812952995300293,0.09375,0.01567598059773445,0.001,0.1138453483581543,,,,,,,,,,,,,,,,,
16,2.2731428146362305,0.203125,0.015870563685894012,0.001,0.12170219421386719,,,,,,,,,,,,,,,,,
17,2.2692580223083496,0.203125,0.016054900363087654,0.001,0.13036394119262695,,,,,,,,,,,,,,,,,
18,2.2536633014678955,0.296875,0.01623890921473503,0.001,0.13937163352966309,,,,,,,,,,,,,,,,,
19,2.256620407104492,0.1875,0.016422880813479424,0.001,0.147599458694458,,,,,,,,,,,,,,,,,
20,2.2515811920166016,0.296875,0.016604339703917503,0.001,0.15549683570861816,,,,,,,,,,,,,,,,,
21,2.2330398559570312,0.328125,0.01678745076060295,0.001,0.16504716873168945,,,,,,,,,,,,,,,,,
22,2.2363648414611816,0.3125,0.016957836225628853,0.001,0.17403674125671387,,,,,,,,,,,,,,,,,
23,2.230325698852539,0.265625,0.017125103622674942,0.001,0.18199372291564941,,,,,,,,,,,,,,,,,
24,2.2226145267486572,0.375,0.017298100516200066,0.001,0.1934959888458252,,,,,,,,,,,,,,,,,
25,2.217228412628174,0.15625,0.017482800409197807,0.001,0.20519280433654785,,,,,,,,,,,,,,,,,
26,2.1879475116729736,0.390625,0.017640309408307076,0.001,0.21455740928649902,,,,,,,,,,,,,,,,,
27,2.1979715824127197,0.34375,0.017794985324144363,0.001,0.22386455535888672,,,,,,,,,,,,,,,,,
28,2.1742160320281982,0.359375,0.017943505197763443,0.001,0.23273849487304688,,,,,,,,,,,,,,,,,
29,2.152348041534424,0.375,0.018094277009367943,0.001,0.24127554893493652,,,,,,,,,,,,,,,,,
30,2.145534038543701,0.3125,0.01824336126446724,0.001,0.25028419494628906,,,,,,,,,,,,,,,,,
31,2.171098232269287,0.1875,0.018384378403425217,0.001,0.2605936527252197,,,,,,,,,,,,,,,,,
32,2.1275081634521484,0.3125,0.01852080412209034,0.001,0.2704579830169678,,,,,,,,,,,,,,,,,
33,2.137556552886963,0.3125,0.01863684318959713,0.001,0.27944302558898926,,,,,,,,,,,,,,,,,
34,2.1137759685516357,0.375,0.01874413900077343,0.001,0.28942394256591797,,,,,,,,,,,,,,,,,
35,2.08907413482666,0.34375,0.018825743347406387,0.001,0.29949259757995605,,,,,,,,,,,,,,,,,
36,2.04744029045105,0.34375,0.01889045350253582,0.001,0.3084371089935303,,,,,,,,,,,,,,,,,
37,2.058040142059326,0.328125,0.018957683816552162,0.001,0.31852173805236816,,,,,,,,,,,,,,,,,
38,2.031176805496216,0.359375,0.01899626851081848,0.001,0.3291511535644531,,,,,,,,,,,,,,,,,
39,2.03763747215271,0.3125,0.019031014293432236,0.001,0.3389904499053955,,,,,,,,,,,,,,,,,
40,2.0436697006225586,0.390625,0.01907300390303135,0.001,0.3485069274902344,,,,,,,,,,,,,,,,,
41,1.9638441801071167,0.34375,0.019115589559078217,0.001,0.35779666900634766,,,,,,,,,,,,,,,,,
42,1.969097375869751,0.34375,0.019152304157614708,0.001,0.3670027256011963,,,,,,,,,,,,,,,,,
43,1.9664164781570435,0.296875,0.01917906291782856,0.001,0.3775784969329834,,,,,,,,,,,,,,,,,
44,1.9983655214309692,0.375,0.019209541380405426,0.001,0.38860273361206055,,,,,,,,,,,,,,,,,
45,1.9613244533538818,0.3125,0.019249452278017998,0.001,0.39864611625671387,,,,,,,,,,,,,,,,,
46,1.933640718460083,0.390625,0.019308388233184814,0.001,0.4092135429382324,,,,,,,,,,,,,,,,,
47,2.0003726482391357,0.328125,0.019362252205610275,0.001,0.41968464851379395,,,,,,,,,,,,,,,,,
48,1.934569239616394,0.34375,0.019388530403375626,0.001,0.4340651035308838,,,,,,,,,,,,,,,,,
49,1.940840244293213,0.265625,0.019405050203204155,0.001,0.4435408115386963,,,,,,,,,,,,,,,,,
50,1.8924126625061035,0.375,0.019385982304811478,0.001,0.4545915126800537,,,,,,,,,,,,,,,,,
51,1.8370885848999023,0.390625,0.019390571862459183,0.001,0.4649980068206787,,,,,,,,,,,,,,,,,
52,1.8673537969589233,0.421875,0.01938590034842491,0.001,0.47601795196533203,,,,,,,,,,,,,,,,,
53,1.9072105884552002,0.25,0.01935979165136814,0.001,0.48694896697998047,,,,,,,,,,,,,,,,,
54,1.8565587997436523,0.546875,0.019331496208906174,0.001,0.4976823329925537,,,,,,,,,,,,,,,,,
55,1.847913384437561,0.40625,0.01929689198732376,0.001,0.508296012878418,,,,,,,,,,,,,,,,,
56,1.8100016117095947,0.421875,0.019249750301241875,0.001,0.5190598964691162,,,,,,,,,,,,,,,,,
57,1.8507051467895508,0.375,0.019192134961485863,0.001,0.529987096786499,,,,,,,,,,,,,,,,,
58,1.7706252336502075,0.40625,0.01915493607521057,0.001,0.541187047958374,,,,,,,,,,,,,,,,,
59,1.823004126548767,0.34375,0.019118979573249817,0.001,0.5521278381347656,,,,,,,,,,,,,,,,,
60,1.8414463996887207,0.4375,0.019074831157922745,0.001,0.5631635189056396,,,,,,,,,,,,,,,,,
61,1.7764251232147217,0.453125,0.0190446637570858,0.001,0.5743908882141113,,,,,,,,,,,,,,,,,
62,1.9122010469436646,0.34375,0.019019076600670815,0.001,0.5858824253082275,,,,,,,,,,,,,,,,,
63,1.8159070014953613,0.4375,0.018979070708155632,0.001,0.5973143577575684,,,,,,,,,,,,,,,,,
64,1.7779377698898315,0.40625,0.018937956541776657,0.001,0.608788013458252,,,,,,,,,,,,,,,,,
65,1.7935454845428467,0.4375,0.018886471167206764,0.001,0.6201562881469727,,,,,,,,,,,,,,,,,
66,1.7597582340240479,0.328125,0.018828745931386948,0.001,0.6317315101623535,1.7722347974777222,0.388671875,1.7722347974777222,0.17082317173480988,0.7753868103027344,1.0535086393356323,1.2395493984222412,-0.18604078888893127,5.28696346282959,0.7245489358901978,6.3288373947143555,0.715567946434021,0.5298066139221191,0.1085958480834961,0.20033083856105804,nan,nan
67,1.7174278497695923,0.40625,0.018770039081573486,0.001,0.6507339477539062,,,,,,,,,,,,,,,,,
68,1.7301627397537231,0.359375,0.01871611550450325,0.001,0.6633622646331787,,,,,,,,,,,,,,,,,
69,1.7472705841064453,0.359375,0.018649298697710037,0.001,0.67574143409729,,,,,,,,,,,,,,,,,
70,1.8474204540252686,0.375,0.01856687292456627,0.001,0.6879427433013916,,,,,,,,,,,,,,,,,
71,1.8299922943115234,0.421875,0.01849786750972271,0.001,0.7001693248748779,,,,,,,,,,,,,,,,,
72,1.7291988134384155,0.4375,0.01844884641468525,0.001,0.7124993801116943,,,,,,,,,,,,,,,,,
73,1.7098593711853027,0.34375,0.01841037906706333,0.001,0.725243091583252,,,,,,,,,,,,,,,,,
74,1.7583431005477905,0.453125,0.01836424693465233,0.001,0.7381801605224609,,,,,,,,,,,,,,,,,
75,1.804504632949829,0.34375,0.01829245500266552,0.001,0.7500827312469482,,,,,,,,,,,,,,,,,
76,1.6884677410125732,0.515625,0.018213288858532906,0.001,0.7626988887786865,,,,,,,,,,,,,,,,,
77,1.6833313703536987,0.390625,0.018115045502781868,0.001,0.775360107421875,,,,,,,,,,,,,,,,,
78,1.6525490283966064,0.5625,0.01802283711731434,0.001,0.7880969047546387,,,,,,,,,,,,,,,,,
79,1.6489847898483276,0.453125,0.017924251034855843,0.001,0.800896167755127,,,,,,,,,,,,,,,,,
80,1.6027119159698486,0.453125,0.017840338870882988,0.001,0.8137836456298828,,,,,,,,,,,,,,,,,
81,1.6592540740966797,0.546875,0.01778477057814598,0.001,0.826737642288208,,,,,,,,,,,,,,,,,
82,1.7049291133880615,0.421875,0.017739051952958107,0.001,0.8397893905639648,,,,,,,,,,,,,,,,,
83,1.7359906435012817,0.390625,0.017692802473902702,0.001,0.8533074855804443,,,,,,,,,,,,,,,,,
84,1.746686577796936,0.34375,0.017647869884967804,0.001,0.8671202659606934,,,,,,,,,,,,,,,,,
85,1.7211062908172607,0.390625,0.017588675022125244,0.001,0.8796913623809814,,,,,,,,,,,,,,,,,
86,1.7464869022369385,0.421875,0.017515720799565315,0.001,0.8934969902038574,,,,,,,,,,,,,,,,,
87,1.5615824460983276,0.546875,0.017441263422369957,0.001,0.9084937572479248,,,,,,,,,,,,,,,,,
88,1.706974744796753,0.359375,0.01734570972621441,0.001,0.923053503036499,,,,,,,,,,,,,,,,,
89,1.7534245252609253,0.4375,0.01725067012012005,0.001,0.9365565776824951,,,,,,,,,,,,,,,,,
90,1.738641619682312,0.40625,0.01711631380021572,0.001,0.9491591453552246,,,,,,,,,,,,,,,,,
91,1.721567153930664,0.484375,0.01696857623755932,0.001,0.9629254341125488,,,,,,,,,,,,,,,,,
92,1.7229524850845337,0.296875,0.016855856403708458,0.001,0.976738452911377,,,,,,,,,,,,,,,,,
93,1.7112679481506348,0.4375,0.016723832115530968,0.001,0.9908888339996338,,,,,,,,,,,,,,,,,
94,1.8024238348007202,0.390625,0.016606509685516357,0.001,1.0049872398376465,,,,,,,,,,,,,,,,,
95,1.5929287672042847,0.578125,0.016455762088298798,0.001,1.0200018882751465,,,,,,,,,,,,,,,,,
96,1.6139425039291382,0.421875,0.01630045287311077,0.001,1.033076524734497,,,,,,,,,,,,,,,,,
97,1.6581451892852783,0.453125,0.0161543358117342,0.001,1.047337293624878,,,,,,,,,,,,,,,,,
98,1.6900718212127686,0.390625,0.016003107652068138,0.001,1.0615949630737305,,,,,,,,,,,,,,,,,
99,1.5967143774032593,0.375,0.015849830582737923,0.001,1.0808677673339844,,,,,,,,,,,,,,,,,
100,1.7475066184997559,0.34375,0.015724338591098785,0.001,1.095477819442749,,,,,,,,,,,,,,,,,
101,1.5826109647750854,0.40625,0.015603509731590748,0.001,1.1099958419799805,,,,,,,,,,,,,,,,,
102,1.5812066793441772,0.453125,0.015501275658607483,0.001,1.1250569820404053,,,,,,,,,,,,,,,,,
103,1.687761902809143,0.46875,0.015405823476612568,0.001,1.140751838684082,,,,,,,,,,,,,,,,,
104,1.6419986486434937,0.46875,0.015307776629924774,0.001,1.1544005870819092,,,,,,,,,,,,,,,,,
105,1.5512877702713013,0.40625,0.0152137391269207,0.001,1.1705081462860107,,,,,,,,,,,,,,,,,
106,1.5134391784667969,0.53125,0.015127102844417095,0.001,1.191786527633667,,,,,,,,,,,,,,,,,
107,1.6314976215362549,0.453125,0.015041211619973183,0.001,1.2070481777191162,,,,,,,,,,,,,,,,,
108,1.579176902770996,0.421875,0.014944106340408325,0.001,1.222367525100708,,,,,,,,,,,,,,,,,
109,1.6302086114883423,0.5,0.014843694865703583,0.001,1.2371118068695068,,,,,,,,,,,,,,,,,
110,1.649522304534912,0.40625,0.014741676859557629,0.001,1.2535130977630615,,,,,,,,,,,,,,,,,
111,1.5106267929077148,0.46875,0.01463367696851492,0.001,1.2694473266601562,,,,,,,,,,,,,,,,,
112,1.5845208168029785,0.515625,0.014520506374537945,0.001,1.283670425415039,,,,,,,,,,,,,,,,,
113,1.6200369596481323,0.390625,0.014433390460908413,0.001,1.299637794494629,,,,,,,,,,,,,,,,,
114,1.6223618984222412,0.359375,0.014363410882651806,0.001,1.3157880306243896,,,,,,,,,,,,,,,,,
115,1.5249078273773193,0.53125,0.01432973425835371,0.001,1.3303039073944092,,,,,,,,,,,,,,,,,
116,1.5682936906814575,0.46875,0.014289755374193192,0.001,1.3460490703582764,,,,,,,,,,,,,,,,,
117,1.5528734922409058,0.515625,0.014238900505006313,0.001,1.362640380859375,,,,,,,,,,,,,,,,,
118,1.6662341356277466,0.5,0.014164863154292107,0.001,1.3789665699005127,,,,,,,,,,,,,,,,,
119,1.6533433198928833,0.359375,0.014091048389673233,0.001,1.395498275756836,,,,,,,,,,,,,,,,,
120,1.6432971954345703,0.515625,0.014026201330125332,0.001,1.412738561630249,,,,,,,,,,,,,,,,,
121,1.59385085105896,0.421875,0.013957527466118336,0.001,1.427297830581665,,,,,,,,,,,,,,,,,
122,1.6619548797607422,0.421875,0.013872096315026283,0.001,1.4434268474578857,,,,,,,,,,,,,,,,,
123,1.5444177389144897,0.4375,0.013792244717478752,0.001,1.460099220275879,,,,,,,,,,,,,,,,,
124,1.5202525854110718,0.578125,0.013712659478187561,0.001,1.4748167991638184,,,,,,,,,,,,,,,,,
