step,train_loss,train_accuracy,ce_loss,pairwise_loss,learning_rate,wall_clock_time_sec,val_loss,val_accuracy,val_nll,val_ece,val_brier,val_positive_logit_mean,val_hard_negative_logit_mean,val_margin_mean,val_positive_drive_mean,val_positive_resistance_mean,val_hard_negative_drive_mean,val_hard_negative_resistance_mean,val_sample_uncertainty_mean,val_ambiguity_mean,val_class_resistance_mean,val_resistance_noise_corr,val_resistance_occlusion_corr
1,2.314636707305908,0.046875,2.314636707305908,0.0,0.001,0.014165639877319336,,,,,,,,,,,,,,,,,
2,2.252573013305664,0.171875,2.252573013305664,0.0,0.001,0.027766704559326172,,,,,,,,,,,,,,,,,
3,2.2166929244995117,0.234375,2.2166929244995117,0.0,0.001,0.040679931640625,,,,,,,,,,,,,,,,,
4,2.217754602432251,0.25,2.217754602432251,0.0,0.001,0.055055856704711914,,,,,,,,,,,,,,,,,
5,2.2188735008239746,0.171875,2.2188735008239746,0.0,0.001,0.06968188285827637,,,,,,,,,,,,,,,,,
6,2.1865291595458984,0.234375,2.1865291595458984,0.0,0.001,0.08393192291259766,,,,,,,,,,,,,,,,,
7,2.2056901454925537,0.171875,2.2056901454925537,0.0,0.001,0.09898734092712402,,,,,,,,,,,,,,,,,
8,2.13230562210083,0.3125,2.13230562210083,0.0,0.001,0.11310648918151855,,,,,,,,,,,,,,,,,
9,2.195413827896118,0.234375,2.195413827896118,0.0,0.001,0.12645721435546875,,,,,,,,,,,,,,,,,
10,2.164158821105957,0.1875,2.164158821105957,0.0,0.001,0.14092803001403809,,,,,,,,,,,,,,,,,
11,2.0758118629455566,0.296875,2.0758118629455566,0.0,0.001,0.1555032730102539,,,,,,,,,,,,,,,,,
12,2.1148860454559326,0.21875,2.1148860454559326,0.0,0.001,0.17079973220825195,,,,,,,,,,,,,,,,,
13,2.0667643547058105,0.265625,2.0667643547058105,0.0,0.001,0.18507933616638184,,,,,,,,,,,,,,,,,
14,2.1267268657684326,0.25,2.1267268657684326,0.0,0.001,0.19849467277526855,,,,,,,,,,,,,,,,,
15,2.0804800987243652,0.28125,2.0804800987243652,0.0,0.001,0.21320772171020508,,,,,,,,,,,,,,,,,
16,2.0123794078826904,0.40625,2.0123794078826904,0.0,0.001,0.22787165641784668,,,,,,,,,,,,,,,,,
17,2.0775935649871826,0.28125,2.0775935649871826,0.0,0.001,0.2424769401550293,,,,,,,,,,,,,,,,,
18,2.108643054962158,0.25,2.108643054962158,0.0,0.001,0.25766468048095703,,,,,,,,,,,,,,,,,
19,1.98778235912323,0.3125,1.98778235912323,0.0,0.001,0.27171778678894043,,,,,,,,,,,,,,,,,
20,2.0872890949249268,0.25,2.0872890949249268,0.0,0.001,0.2861316204071045,,,,,,,,,,,,,,,,,
21,1.9869153499603271,0.21875,1.9869153499603271,0.0,0.001,0.3012537956237793,,,,,,,,,,,,,,,,,
22,2.0739312171936035,0.25,2.0739312171936035,0.0,0.001,0.3162672519683838,,,,,,,,,,,,,,,,,
23,1.9894239902496338,0.296875,1.9894239902496338,0.0,0.001,0.329390287399292,,,,,,,,,,,,,,,,,
24,2.0612659454345703,0.265625,2.0612659454345703,0.0,0.001,0.34427618980407715,,,,,,,,,,,,,,,,,
25,2.0442652702331543,0.21875,2.0442652702331543,0.0,0.001,0.35934901237487793,,,,,,,,,,,,,,,,,
26,2.0145339965820312,0.171875,2.0145339965820312,0.0,0.001,0.37423086166381836,,,,,,,,,,,,,,,,,
27,1.8705506324768066,0.234375,1.8705506324768066,0.0,0.001,0.38950657844543457,,,,,,,,,,,,,,,,,
28,1.9389419555664062,0.34375,1.9389419555664062,0.0,0.001,0.4037344455718994,,,,,,,,,,,,,,,,,
29,1.882056713104248,0.3125,1.882056713104248,0.0,0.001,0.4185330867767334,,,,,,,,,,,,,,,,,
30,2.008260488510132,0.28125,2.008260488510132,0.0,0.001,0.4337449073791504,,,,,,,,,,,,,,,,,
31,1.9037716388702393,0.375,1.9037716388702393,0.0,0.001,0.44910311698913574,,,,,,,,,,,,,,,,,
32,2.0139057636260986,0.171875,2.0139057636260986,0.0,0.001,0.46367764472961426,,,,,,,,,,,,,,,,,
33,1.8740423917770386,0.375,1.8740423917770386,0.0,0.001,0.47872328758239746,,,,,,,,,,,,,,,,,
34,1.911372423171997,0.265625,1.911372423171997,0.0,0.001,0.4938974380493164,,,,,,,,,,,,,,,,,
35,1.8824596405029297,0.328125,1.8824596405029297,0.0,0.001,0.5091748237609863,,,,,,,,,,,,,,,,,
36,1.9137630462646484,0.328125,1.9137630462646484,0.0,0.001,0.5236999988555908,,,,,,,,,,,,,,,,,
37,1.823134422302246,0.328125,1.823134422302246,0.0,0.001,0.5383989810943604,,,,,,,,,,,,,,,,,
38,1.891292929649353,0.265625,1.891292929649353,0.0,0.001,0.5536096096038818,,,,,,,,,,,,,,,,,
39,1.8432878255844116,0.3125,1.8432878255844116,0.0,0.001,0.5691924095153809,,,,,,,,,,,,,,,,,
40,1.8577892780303955,0.375,1.8577892780303955,0.0,0.001,0.5837128162384033,,,,,,,,,,,,,,,,,
41,1.9284367561340332,0.34375,1.9284367561340332,0.0,0.001,0.5985276699066162,,,,,,,,,,,,,,,,,
42,1.8328592777252197,0.328125,1.8328592777252197,0.0,0.001,0.6141557693481445,,,,,,,,,,,,,,,,,
43,1.8218613862991333,0.3125,1.8218613862991333,0.0,0.001,0.6294543743133545,,,,,,,,,,,,,,,,,
44,1.8074262142181396,0.328125,1.8074262142181396,0.0,0.001,0.6436822414398193,,,,,,,,,,,,,,,,,
45,1.8532326221466064,0.359375,1.8532326221466064,0.0,0.001,0.6589674949645996,,,,,,,,,,,,,,,,,
46,1.7202104330062866,0.328125,1.7202104330062866,0.0,0.001,0.6743581295013428,,,,,,,,,,,,,,,,,
47,1.9592654705047607,0.234375,1.9592654705047607,0.0,0.001,0.6896693706512451,,,,,,,,,,,,,,,,,
48,1.8961628675460815,0.296875,1.8961628675460815,0.0,0.001,0.7040455341339111,,,,,,,,,,,,,,,,,
49,1.9785511493682861,0.25,1.9785511493682861,0.0,0.001,0.7196521759033203,,,,,,,,,,,,,,,,,
50,1.78188157081604,0.234375,1.78188157081604,0.0,0.001,0.7351102828979492,,,,,,,,,,,,,,,,,
51,1.763256311416626,0.34375,1.763256311416626,0.0,0.001,0.7504129409790039,,,,,,,,,,,,,,,,,
52,1.8270807266235352,0.296875,1.8270807266235352,0.0,0.001,0.7653927803039551,,,,,,,,,,,,,,,,,
53,1.8120465278625488,0.375,1.8120465278625488,0.0,0.001,0.7811934947967529,,,,,,,,,,,,,,,,,
54,1.7222877740859985,0.34375,1.7222877740859985,0.0,0.001,0.7966749668121338,,,,,,,,,,,,,,,,,
55,1.8483706712722778,0.296875,1.8483706712722778,0.0,0.001,0.8108365535736084,,,,,,,,,,,,,,,,,
56,1.8569939136505127,0.28125,1.8569939136505127,0.0,0.001,0.8262710571289062,,,,,,,,,,,,,,,,,
57,1.794215202331543,0.3125,1.794215202331543,0.0,0.001,0.842212438583374,,,,,,,,,,,,,,,,,
58,1.8099677562713623,0.3125,1.8099677562713623,0.0,0.001,0.8578906059265137,,,,,,,,,,,,,,,,,
59,1.6172715425491333,0.375,1.6172715425491333,0.0,0.001,0.8735907077789307,,,,,,,,,,,,,,,,,
60,1.6966544389724731,0.28125,1.6966544389724731,0.0,0.001,0.8901448249816895,,,,,,,,,,,,,,,,,
