step,train_loss,train_accuracy,ce_loss,pairwise_loss,learning_rate,wall_clock_time_sec,val_loss,val_accuracy,val_nll,val_ece,val_brier,val_positive_logit_mean,val_hard_negative_logit_mean,val_margin_mean,val_positive_drive_mean,val_positive_resistance_mean,val_hard_negative_drive_mean,val_hard_negative_resistance_mean,val_sample_uncertainty_mean,val_ambiguity_mean,val_class_resistance_mean,val_resistance_noise_corr,val_resistance_occlusion_corr
1,2.300178050994873,0.125,2.300178050994873,0.010318007320165634,0.001,0.021764755249023438,,,,,,,,,,,,,,,,,
2,2.2792470455169678,0.234375,2.2792470455169678,0.010235684923827648,0.001,0.043234825134277344,,,,,,,,,,,,,,,,,
3,2.25747013092041,0.3125,2.25747013092041,0.010249653831124306,0.001,0.06347393989562988,,,,,,,,,,,,,,,,,
4,2.26383900642395,0.203125,2.26383900642395,0.010172966867685318,0.001,0.08337569236755371,,,,,,,,,,,,,,,,,
5,2.266124963760376,0.15625,2.266124963760376,0.010152962990105152,0.001,0.103607177734375,,,,,,,,,,,,,,,,,
6,2.2571539878845215,0.1875,2.2571539878845215,0.010171717964112759,0.001,0.12284588813781738,,,,,,,,,,,,,,,,,
7,2.2429890632629395,0.28125,2.2429890632629395,0.010243624448776245,0.001,0.1425340175628662,,,,,,,,,,,,,,,,,
8,2.236292600631714,0.1875,2.236292600631714,0.010316712781786919,0.001,0.16372013092041016,,,,,,,,,,,,,,,,,
9,2.2484171390533447,0.1875,2.2484171390533447,0.010438843630254269,0.001,0.18327784538269043,,,,,,,,,,,,,,,,,
10,2.225095272064209,0.296875,2.225095272064209,0.01057099737226963,0.001,0.20285844802856445,,,,,,,,,,,,,,,,,
11,2.2312684059143066,0.25,2.2312684059143066,0.010725556872785091,0.001,0.22306394577026367,,,,,,,,,,,,,,,,,
12,2.200855016708374,0.34375,2.200855016708374,0.01093889120966196,0.001,0.24259376525878906,,,,,,,,,,,,,,,,,
13,2.212474822998047,0.171875,2.212474822998047,0.011236943304538727,0.001,0.2635927200317383,,,,,,,,,,,,,,,,,
14,2.1994142532348633,0.3125,2.1994142532348633,0.01159451063722372,0.001,0.2863330841064453,,,,,,,,,,,,,,,,,
15,2.223022937774658,0.234375,2.223022937774658,0.012032978236675262,0.001,0.308197021484375,,,,,,,,,,,,,,,,,
16,2.1884360313415527,0.3125,2.1884360313415527,0.012547270394861698,0.001,0.3291807174682617,,,,,,,,,,,,,,,,,
17,2.204658269882202,0.296875,2.204658269882202,0.013102673925459385,0.001,0.35172009468078613,,,,,,,,,,,,,,,,,
18,2.158806085586548,0.296875,2.158806085586548,0.013732303865253925,0.001,0.37685084342956543,,,,,,,,,,,,,,,,,
19,2.189040422439575,0.265625,2.189040422439575,0.014457108452916145,0.001,0.4037642478942871,,,,,,,,,,,,,,,,,
20,2.177205801010132,0.234375,2.177205801010132,0.01527547836303711,0.001,0.4281880855560303,,,,,,,,,,,,,,,,,
21,2.165886878967285,0.25,2.165886878967285,0.016177313402295113,0.001,0.454423189163208,,,,,,,,,,,,,,,,,
22,2.160256862640381,0.3125,2.160256862640381,0.01716022752225399,0.001,0.47943806648254395,,,,,,,,,,,,,,,,,
23,2.1169934272766113,0.359375,2.1169934272766113,0.018203208222985268,0.001,0.506666898727417,,,,,,,,,,,,,,,,,
24,2.127422571182251,0.296875,2.127422571182251,0.019320620223879814,0.001,0.5318617820739746,,,,,,,,,,,,,,,,,
25,2.142551898956299,0.3125,2.142551898956299,0.020522503182291985,0.001,0.5589473247528076,,,,,,,,,,,,,,,,,
26,2.112474203109741,0.28125,2.112474203109741,0.02178819291293621,0.001,0.5842795372009277,,,,,,,,,,,,,,,,,
27,2.116638660430908,0.390625,2.116638660430908,0.02311801351606846,0.001,0.6107661724090576,,,,,,,,,,,,,,,,,
28,2.1111748218536377,0.21875,2.1111748218536377,0.024479273706674576,0.001,0.6342072486877441,,,,,,,,,,,,,,,,,
29,2.055715799331665,0.40625,2.055715799331665,0.02586297318339348,0.001,0.6583664417266846,,,,,,,,,,,,,,,,,
30,2.0607235431671143,0.453125,2.0607235431671143,0.027276145294308662,0.001,0.6812260150909424,,,,,,,,,,,,,,,,,
31,2.1278247833251953,0.25,2.1278247833251953,0.028651461005210876,0.001,0.7035074234008789,,,,,,,,,,,,,,,,,
32,2.0881540775299072,0.296875,2.0881540775299072,0.029978662729263306,0.001,0.7256247997283936,,,,,,,,,,,,,,,,,
33,2.0302329063415527,0.296875,2.0302329063415527,0.03129640221595764,0.001,0.7505025863647461,,,,,,,,,,,,,,,,,
34,2.059143304824829,0.328125,2.059143304824829,0.03262675181031227,0.001,0.7735154628753662,,,,,,,,,,,,,,,,,
35,2.010810136795044,0.375,2.010810136795044,0.03387967124581337,0.001,0.7942919731140137,,,,,,,,,,,,,,,,,
36,2.0769824981689453,0.265625,2.0769824981689453,0.03509645164012909,0.001,0.8154759407043457,,,,,,,,,,,,,,,,,
37,1.970561146736145,0.390625,1.970561146736145,0.03625262528657913,0.001,0.8386621475219727,,,,,,,,,,,,,,,,,
38,1.9861290454864502,0.375,1.9861290454864502,0.037369370460510254,0.001,0.8624267578125,,,,,,,,,,,,,,,,,
39,2.0582079887390137,0.25,2.0582079887390137,0.0384318083524704,0.001,0.8873319625854492,,,,,,,,,,,,,,,,,
40,1.9767045974731445,0.296875,1.9767045974731445,0.039418529719114304,0.001,0.9115147590637207,,,,,,,,,,,,,,,,,
41,1.9481760263442993,0.390625,1.9481760263442993,0.040340323001146317,0.001,0.9352366924285889,,,,,,,,,,,,,,,,,
42,2.0441832542419434,0.265625,2.0441832542419434,0.04120248183608055,0.001,0.95914626121521,,,,,,,,,,,,,,,,,
43,1.9550999402999878,0.34375,1.9550999402999878,0.04201880097389221,0.001,0.9832935333251953,,,,,,,,,,,,,,,,,
44,1.9572100639343262,0.375,1.9572100639343262,0.04277694597840309,0.001,1.005561113357544,,,,,,,,,,,,,,,,,
