step,train_loss,train_accuracy,ce_loss,pairwise_loss,learning_rate,wall_clock_time_sec,val_loss,val_accuracy,val_nll,val_ece,val_brier,val_positive_logit_mean,val_hard_negative_logit_mean,val_margin_mean,val_positive_drive_mean,val_positive_resistance_mean,val_hard_negative_drive_mean,val_hard_negative_resistance_mean,val_sample_uncertainty_mean,val_ambiguity_mean,val_class_resistance_mean,val_resistance_noise_corr,val_resistance_occlusion_corr
1,2.300693988800049,0.125,2.300178050994873,0.010318007320165634,0.001,0.019159793853759766,,,,,,,,,,,,,,,,,
2,2.279702663421631,0.234375,2.2791988849639893,0.010076971724629402,0.001,0.0387723445892334,,,,,,,,,,,,,,,,,
3,2.2579703330993652,0.3125,2.257474184036255,0.009924253448843956,0.001,0.05989813804626465,,,,,,,,,,,,,,,,,
4,2.2642886638641357,0.203125,2.2638039588928223,0.009693372063338757,0.001,0.08054995536804199,,,,,,,,,,,,,,,,,
5,2.2666563987731934,0.15625,2.266180992126465,0.009506652131676674,0.001,0.0996100902557373,,,,,,,,,,,,,,,,,
6,2.257662057876587,0.1875,2.2571938037872314,0.009365535341203213,0.001,0.12058544158935547,,,,,,,,,,,,,,,,,
7,2.2434775829315186,0.265625,2.243013381958008,0.009283815510571003,0.001,0.14245223999023438,,,,,,,,,,,,,,,,,
8,2.236755847930908,0.1875,2.236295223236084,0.009211366064846516,0.001,0.16266083717346191,,,,,,,,,,,,,,,,,
9,2.248818874359131,0.1875,2.248358964920044,0.009199571795761585,0.001,0.18118977546691895,,,,,,,,,,,,,,,,,
10,2.2255964279174805,0.296875,2.2251365184783936,0.009199273772537708,0.001,0.20185065269470215,,,,,,,,,,,,,,,,,
11,2.231856107711792,0.265625,2.2313950061798096,0.00922281201928854,0.001,0.22233986854553223,,,,,,,,,,,,,,,,,
12,2.2016355991363525,0.34375,2.2011704444885254,0.009304370731115341,0.001,0.24264311790466309,,,,,,,,,,,,,,,,,
13,2.213209629058838,0.171875,2.212735652923584,0.00948052853345871,0.001,0.26623964309692383,,,,,,,,,,,,,,,,,
14,2.2000627517700195,0.3125,2.1995768547058105,0.009719574823975563,0.001,0.2890353202819824,,,,,,,,,,,,,,,,,
15,2.2238857746124268,0.203125,2.223383903503418,0.010039158165454865,0.001,0.31037378311157227,,,,,,,,,,,,,,,,,
16,2.188845157623291,0.328125,2.188323497772217,0.010431136004626751,0.001,0.33177924156188965,,,,,,,,,,,,,,,,,
17,2.2054946422576904,0.296875,2.204951286315918,0.010865738615393639,0.001,0.3512132167816162,,,,,,,,,,,,,,,,,
18,2.1598448753356934,0.296875,2.1592764854431152,0.011367671191692352,0.001,0.37418055534362793,,,,,,,,,,,,,,,,,
19,2.1901862621307373,0.265625,2.1895880699157715,0.011963297612965107,0.001,0.39640045166015625,,,,,,,,,,,,,,,,,
20,2.178266763687134,0.203125,2.1776347160339355,0.012643263675272465,0.001,0.4168994426727295,,,,,,,,,,,,,,,,,
21,2.166728973388672,0.25,2.1660592555999756,0.013392736203968525,0.001,0.43845701217651367,,,,,,,,,,,,,,,,,
22,2.161275863647461,0.3125,2.1605653762817383,0.014209646731615067,0.001,0.45844173431396484,,,,,,,,,,,,,,,,,
23,2.1180436611175537,0.359375,2.1172895431518555,0.015082240104675293,0.001,0.48027944564819336,,,,,,,,,,,,,,,,,
24,2.1291842460632324,0.296875,2.128382921218872,0.016024449840188026,0.001,0.5014867782592773,,,,,,,,,,,,,,,,,
25,2.1438934803009033,0.3125,2.1430411338806152,0.017045335844159126,0.001,0.5236515998840332,,,,,,,,,,,,,,,,,
26,2.113497495651245,0.28125,2.112591505050659,0.01812085323035717,0.001,0.5452272891998291,,,,,,,,,,,,,,,,,
27,2.118105173110962,0.375,2.117142677307129,0.01925041526556015,0.001,0.5676357746124268,,,,,,,,,,,,,,,,,
28,2.112445116043091,0.234375,2.1114249229431152,0.02040570229291916,0.001,0.5901510715484619,,,,,,,,,,,,,,,,,
29,2.0572619438171387,0.40625,2.056183099746704,0.021575404331088066,0.001,0.612802267074585,,,,,,,,,,,,,,,,,
30,2.0616183280944824,0.453125,2.0604796409606934,0.022772101685404778,0.001,0.6347079277038574,,,,,,,,,,,,,,,,,
31,2.129779815673828,0.234375,2.1285834312438965,0.023929236456751823,0.001,0.6571073532104492,,,,,,,,,,,,,,,,,
32,2.0901103019714355,0.296875,2.0888588428497314,0.025029728189110756,0.001,0.6799881458282471,,,,,,,,,,,,,,,,,
33,2.0322182178497314,0.296875,2.0309126377105713,0.026112178340554237,0.001,0.7021803855895996,,,,,,,,,,,,,,,,,
34,2.0601186752319336,0.296875,2.0587587356567383,0.027201155200600624,0.001,0.722736120223999,,,,,,,,,,,,,,,,,
35,2.013561487197876,0.375,2.012151002883911,0.02820773236453533,0.001,0.7485508918762207,,,,,,,,,,,,,,,,,
36,2.0787806510925293,0.265625,2.077321767807007,0.02917632646858692,0.001,0.7717106342315674,,,,,,,,,,,,,,,,,
37,1.9723964929580688,0.390625,1.9708924293518066,0.030082188546657562,0.001,0.7934205532073975,,,,,,,,,,,,,,,,,
38,1.9877982139587402,0.375,1.9862501621246338,0.030960876494646072,0.001,0.8181216716766357,,,,,,,,,,,,,,,,,
39,2.059274911880493,0.265625,2.057685375213623,0.03179014474153519,0.001,0.8437280654907227,,,,,,,,,,,,,,,,,
40,1.977922797203064,0.3125,1.9762957096099854,0.03254256397485733,0.001,0.866680383682251,,,,,,,,,,,,,,,,,
41,1.9510611295700073,0.390625,1.949399471282959,0.03323281183838844,0.001,0.890021800994873,,,,,,,,,,,,,,,,,
42,2.0462136268615723,0.265625,2.044520139694214,0.03386921063065529,0.001,0.9129998683929443,,,,,,,,,,,,,,,,,
43,1.9584298133850098,0.359375,1.95670747756958,0.034447334706783295,0.001,0.9364578723907471,,,,,,,,,,,,,,,,,
44,1.9579099416732788,0.375,1.9561610221862793,0.03497821092605591,0.001,0.9606001377105713,,,,,,,,,,,,,,,,,
45,1.983819603919983,0.375,1.9820467233657837,0.03545796871185303,0.001,0.9831335544586182,,,,,,,,,,,,,,,,,
46,1.9887619018554688,0.3125,1.9869686365127563,0.03586478903889656,0.001,1.005741834640503,,,,,,,,,,,,,,,,,
47,1.9917583465576172,0.328125,1.9899502992630005,0.0361609011888504,0.001,1.029634714126587,,,,,,,,,,,,,,,,,
48,1.9118694067001343,0.40625,1.910050392150879,0.036380585283041,0.001,1.0529236793518066,,,,,,,,,,,,,,,,,
49,1.9252698421478271,0.28125,1.9234402179718018,0.036592207849025726,0.001,1.076446294784546,,,,,,,,,,,,,,,,,
50,1.9578392505645752,0.3125,1.955999493598938,0.03679464012384415,0.001,1.1008169651031494,,,,,,,,,,,,,,,,,
51,1.9365122318267822,0.375,1.9346638917922974,0.036966610699892044,0.001,1.1234898567199707,,,,,,,,,,,,,,,,,
52,1.9823209047317505,0.390625,1.980466365814209,0.03708984702825546,0.001,1.1461646556854248,,,,,,,,,,,,,,,,,
53,1.9765726327896118,0.34375,1.9747145175933838,0.03716309368610382,0.001,1.1691703796386719,,,,,,,,,,,,,,,,,
54,1.9754846096038818,0.359375,1.9736231565475464,0.03722919523715973,0.001,1.1922214031219482,,,,,,,,,,,,,,,,,
55,1.9825565814971924,0.3125,1.9806950092315674,0.0372307188808918,0.001,1.215850830078125,,,,,,,,,,,,,,,,,
56,1.9168484210968018,0.296875,1.91498863697052,0.03719612956047058,0.001,1.239811897277832,,,,,,,,,,,,,,,,,
57,1.8325833082199097,0.484375,1.8307256698608398,0.03715341538190842,0.001,1.2628412246704102,,,,,,,,,,,,,,,,,
58,1.9839972257614136,0.453125,1.9821428060531616,0.03708949312567711,0.001,1.2859392166137695,,,,,,,,,,,,,,,,,
59,1.8204069137573242,0.359375,1.818556547164917,0.037007469683885574,0.001,1.3093838691711426,,,,,,,,,,,,,,,,,
60,1.9799153804779053,0.3125,1.9780688285827637,0.03693107143044472,0.001,1.3327577114105225,,,,,,,,,,,,,,,,,
61,1.8448315858840942,0.40625,1.842991828918457,0.03679397329688072,0.001,1.356325387954712,,,,,,,,,,,,,,,,,
62,1.8691200017929077,0.359375,1.8672854900360107,0.03669087588787079,0.001,1.3797504901885986,,,,,,,,,,,,,,,,,
63,1.8388503789901733,0.3125,1.8370234966278076,0.036538634449243546,0.001,1.4046216011047363,,,,,,,,,,,,,,,,,
64,1.9515453577041626,0.265625,1.9497265815734863,0.036374859511852264,0.001,1.430626630783081,,,,,,,,,,,,,,,,,
65,1.9260880947113037,0.34375,1.9242781400680542,0.036198291927576065,0.001,1.4547348022460938,,,,,,,,,,,,,,,,,
66,1.7985789775848389,0.40625,1.7967791557312012,0.03599650785326958,0.001,1.4804768562316895,1.834702730178833,0.330078125,1.834702730178833,0.0859220027923584,0.7924606204032898,1.330765724182129,1.719381332397461,-0.3886156380176544,4.341433525085449,0.878880500793457,5.851096153259277,0.8786824941635132,0.6786900758743286,0.0,0.2002178430557251,nan,nan
67,1.7934316396713257,0.375,1.7916406393051147,0.0358208566904068,0.001,1.5932707786560059,,,,,,,,,,,,,,,,,
68,1.719541072845459,0.375,1.7177585363388062,0.03564987704157829,0.001,1.618523120880127,,,,,,,,,,,,,,,,,
69,1.8461424112319946,0.359375,1.8443655967712402,0.035537317395210266,0.001,1.6431477069854736,,,,,,,,,,,,,,,,,
70,1.807418704032898,0.359375,1.8056483268737793,0.03540844842791557,0.001,1.668865442276001,,,,,,,,,,,,,,,,,
71,1.7498916387557983,0.375,1.7481275796890259,0.035280611366033554,0.001,1.695220708847046,,,,,,,,,,,,,,,,,
72,1.885115146636963,0.296875,1.883354902267456,0.03520582243800163,0.001,1.7209279537200928,,,,,,,,,,,,,,,,,
73,1.8674744367599487,0.3125,1.8657164573669434,0.03515981510281563,0.001,1.7453439235687256,,,,,,,,,,,,,,,,,
74,1.8959909677505493,0.328125,1.8942362070083618,0.035095274448394775,0.001,1.769970178604126,,,,,,,,,,,,,,,,,
75,1.8524971008300781,0.328125,1.850746750831604,0.03500658646225929,0.001,1.7949471473693848,,,,,,,,,,,,,,,,,
76,1.8060111999511719,0.359375,1.8042649030685425,0.03492476046085358,0.001,1.820141315460205,,,,,,,,,,,,,,,,,
77,1.7452174425125122,0.375,1.743478775024414,0.03477335721254349,0.001,1.846743106842041,,,,,,,,,,,,,,,,,
78,1.7890429496765137,0.390625,1.7873125076293945,0.03460807725787163,0.001,1.8769733905792236,,,,,,,,,,,,,,,,,
79,1.6885247230529785,0.375,1.686806321144104,0.03436864912509918,0.001,1.9030849933624268,,,,,,,,,,,,,,,,,
