step,train_loss,train_accuracy,ce_loss,pairwise_loss,learning_rate,wall_clock_time_sec,val_loss,val_accuracy,val_nll,val_ece,val_brier,val_positive_logit_mean,val_hard_negative_logit_mean,val_margin_mean,val_positive_drive_mean,val_positive_resistance_mean,val_hard_negative_drive_mean,val_hard_negative_resistance_mean,val_sample_uncertainty_mean,val_ambiguity_mean,val_class_resistance_mean,val_resistance_noise_corr,val_resistance_occlusion_corr
1,2.3006937503814697,0.125,2.300177812576294,0.010318007320165634,0.001,0.021262645721435547,,,,,,,,,,,,,,,,,
2,2.2796831130981445,0.234375,2.279179334640503,0.010076973587274551,0.001,0.04158663749694824,,,,,,,,,,,,,,,,,
3,2.2579054832458496,0.3125,2.2574093341827393,0.009924372658133507,0.001,0.06406307220458984,,,,,,,,,,,,,,,,,
4,2.2642366886138916,0.203125,2.263751983642578,0.009693550877273083,0.001,0.08706140518188477,,,,,,,,,,,,,,,,,
5,2.2665979862213135,0.15625,2.266122579574585,0.009506828151643276,0.001,0.10883426666259766,,,,,,,,,,,,,,,,,
6,2.257564067840576,0.1875,2.2570958137512207,0.009365837089717388,0.001,0.13022208213806152,,,,,,,,,,,,,,,,,
7,2.2433226108551025,0.265625,2.242858409881592,0.009284209460020065,0.001,0.15015244483947754,,,,,,,,,,,,,,,,,
8,2.236546039581299,0.1875,2.2360854148864746,0.00921175442636013,0.001,0.1698012351989746,,,,,,,,,,,,,,,,,
9,2.2486371994018555,0.1875,2.2481772899627686,0.009199928492307663,0.001,0.19194269180297852,,,,,,,,,,,,,,,,,
10,2.2253668308258057,0.296875,2.2249069213867188,0.009199423715472221,0.001,0.21304059028625488,,,,,,,,,,,,,,,,,
11,2.2315337657928467,0.25,2.2310726642608643,0.009222623892128468,0.001,0.23210620880126953,,,,,,,,,,,,,,,,,
12,2.2012345790863037,0.34375,2.2007694244384766,0.009303723461925983,0.001,0.2544693946838379,,,,,,,,,,,,,,,,,
13,2.2129464149475098,0.171875,2.212472438812256,0.00947946310043335,0.001,0.27842068672180176,,,,,,,,,,,,,,,,,
14,2.1996145248413086,0.3125,2.1991286277770996,0.00971767958253622,0.001,0.30309224128723145,,,,,,,,,,,,,,,,,
15,2.2234175205230713,0.203125,2.2229156494140625,0.010036165826022625,0.001,0.3277091979980469,,,,,,,,,,,,,,,,,
16,2.188284397125244,0.328125,2.187762975692749,0.010426715016365051,0.001,0.34959912300109863,,,,,,,,,,,,,,,,,
17,2.205010175704956,0.296875,2.204467296600342,0.010859147645533085,0.001,0.3719005584716797,,,,,,,,,,,,,,,,,
18,2.1588573455810547,0.296875,2.1582894325256348,0.011358637362718582,0.001,0.3925034999847412,,,,,,,,,,,,,,,,,
19,2.1895859241485596,0.265625,2.188988447189331,0.011951407417654991,0.001,0.4137914180755615,,,,,,,,,,,,,,,,,
20,2.1776435375213623,0.203125,2.1770122051239014,0.01262806449085474,0.001,0.43433356285095215,,,,,,,,,,,,,,,,,
21,2.165884017944336,0.25,2.165215253829956,0.013373608700931072,0.001,0.4559204578399658,,,,,,,,,,,,,,,,,
22,2.160372018814087,0.3125,2.1596627235412598,0.014185866340994835,0.001,0.47710251808166504,,,,,,,,,,,,,,,,,
23,2.116847515106201,0.359375,2.1160948276519775,0.015053095296025276,0.001,0.4981663227081299,,,,,,,,,,,,,,,,,
24,2.127772092819214,0.296875,2.1269726753234863,0.015989037230610847,0.001,0.5200448036193848,,,,,,,,,,,,,,,,,
25,2.1429903507232666,0.3125,2.1421401500701904,0.017003247514367104,0.001,0.542527437210083,,,,,,,,,,,,,,,,,
26,2.1123669147491455,0.28125,2.1114633083343506,0.01807163655757904,0.001,0.5647354125976562,,,,,,,,,,,,,,,,,
27,2.1170949935913086,0.375,2.116135358810425,0.019193338230252266,0.001,0.5861763954162598,,,,,,,,,,,,,,,,,
28,2.111443281173706,0.234375,2.110426425933838,0.020339149981737137,0.001,0.608269453048706,,,,,,,,,,,,,,,,,
29,2.0555779933929443,0.40625,2.0545032024383545,0.02149776741862297,0.001,0.631446361541748,,,,,,,,,,,,,,,,,
30,2.0596725940704346,0.453125,2.0585384368896484,0.022682176902890205,0.001,0.6542251110076904,,,,,,,,,,,,,,,,,
31,2.128417730331421,0.234375,2.1272263526916504,0.023825624957680702,0.001,0.6780822277069092,,,,,,,,,,,,,,,,,
32,2.0886292457580566,0.296875,2.08738374710083,0.024911748245358467,0.001,0.7016580104827881,,,,,,,,,,,,,,,,,
33,2.0316293239593506,0.296875,2.0303304195404053,0.025978989899158478,0.001,0.7243916988372803,,,,,,,,,,,,,,,,,
34,2.058811902999878,0.328125,2.0574591159820557,0.027054056525230408,0.001,0.747136116027832,,,,,,,,,,,,,,,,,
35,2.0112814903259277,0.359375,2.0098791122436523,0.028046278282999992,0.001,0.7711451053619385,,,,,,,,,,,,,,,,,
36,2.078217029571533,0.265625,2.0767669677734375,0.02900109626352787,0.001,0.7945613861083984,,,,,,,,,,,,,,,,,
37,1.9703233242034912,0.375,1.9688286781311035,0.029892541468143463,0.001,0.8178346157073975,,,,,,,,,,,,,,,,,
38,1.9861410856246948,0.375,1.9846031665802002,0.030758459120988846,0.001,0.8429882526397705,,,,,,,,,,,,,,,,,
39,2.057034969329834,0.265625,2.0554561614990234,0.03157709911465645,0.001,0.8677799701690674,,,,,,,,,,,,,,,,,
40,1.9772647619247437,0.28125,1.9756487607955933,0.03232104703783989,0.001,0.8911757469177246,,,,,,,,,,,,,,,,,
41,1.9494984149932861,0.40625,1.9478482007980347,0.03300429508090019,0.001,0.9145781993865967,,,,,,,,,,,,,,,,,
42,2.0447816848754883,0.28125,2.043099880218506,0.03363470733165741,0.001,0.9380745887756348,,,,,,,,,,,,,,,,,
43,1.957596778869629,0.359375,1.9558864831924438,0.03420655056834221,0.001,0.9616069793701172,,,,,,,,,,,,,,,,,
44,1.9567844867706299,0.375,1.9550479650497437,0.0347297303378582,0.001,0.9857685565948486,,,,,,,,,,,,,,,,,
45,1.980103611946106,0.375,1.9783434867858887,0.035201944410800934,0.001,1.0082316398620605,,,,,,,,,,,,,,,,,
46,1.9858286380767822,0.34375,1.9840484857559204,0.035602834075689316,0.001,1.0292952060699463,,,,,,,,,,,,,,,,,
47,1.9900938272476196,0.328125,1.988299012184143,0.03589537367224693,0.001,1.0516014099121094,,,,,,,,,,,,,,,,,
48,1.907422661781311,0.40625,1.905617117881775,0.03611049801111221,0.001,1.077256202697754,,,,,,,,,,,,,,,,,
49,1.9209283590316772,0.296875,1.9191124439239502,0.036318350583314896,0.001,1.1021113395690918,,,,,,,,,,,,,,,,,
50,1.9547467231750488,0.3125,1.9529207944869995,0.0365174263715744,0.001,1.12644362449646,,,,,,,,,,,,,,,,,
51,1.9330906867980957,0.359375,1.9312561750411987,0.03668911010026932,0.001,1.150230884552002,,,,,,,,,,,,,,,,,
52,1.9795953035354614,0.390625,1.9777547121047974,0.03681156411767006,0.001,1.1767408847808838,,,,,,,,,,,,,,,,,
53,1.9768661260604858,0.328125,1.9750220775604248,0.036881864070892334,0.001,1.2005865573883057,,,,,,,,,,,,,,,,,
