step,train_loss,train_accuracy,ce_loss,pairwise_loss,learning_rate,wall_clock_time_sec,val_loss,val_accuracy,val_nll,val_ece,val_brier,val_positive_logit_mean,val_hard_negative_logit_mean,val_margin_mean,val_positive_drive_mean,val_positive_resistance_mean,val_hard_negative_drive_mean,val_hard_negative_resistance_mean,val_sample_uncertainty_mean,val_ambiguity_mean,val_class_resistance_mean,val_resistance_noise_corr,val_resistance_occlusion_corr
1,2.3053228855133057,0.03125,2.304835319519043,0.009751415811479092,0.001,0.024076223373413086,,,,,,,,,,,,,,,,,
2,2.282390832901001,0.140625,2.281913995742798,0.009538838639855385,0.001,0.05237579345703125,,,,,,,,,,,,,,,,,
3,2.27427339553833,0.21875,2.273806571960449,0.009336331859230995,0.001,0.07454299926757812,,,,,,,,,,,,,,,,,
4,2.2683544158935547,0.171875,2.2679009437561035,0.009068522602319717,0.001,0.09836483001708984,,,,,,,,,,,,,,,,,
5,2.2537405490875244,0.171875,2.2532970905303955,0.008867558091878891,0.001,0.12264084815979004,,,,,,,,,,,,,,,,,
6,2.262915849685669,0.171875,2.262484550476074,0.00862734206020832,0.001,0.1462564468383789,,,,,,,,,,,,,,,,,
7,2.2834250926971436,0.15625,2.2830045223236084,0.008412688970565796,0.001,0.17044758796691895,,,,,,,,,,,,,,,,,
8,2.250736713409424,0.265625,2.2503256797790527,0.008223054930567741,0.001,0.1959974765777588,,,,,,,,,,,,,,,,,
9,2.24521803855896,0.1875,2.24481463432312,0.00806613638997078,0.001,0.22376084327697754,,,,,,,,,,,,,,,,,
10,2.241379499435425,0.28125,2.2409839630126953,0.00791037268936634,0.001,0.2487199306488037,,,,,,,,,,,,,,,,,
11,2.2256407737731934,0.3125,2.2252516746520996,0.007781590335071087,0.001,0.2719123363494873,,,,,,,,,,,,,,,,,
12,2.2389445304870605,0.234375,2.238560914993286,0.007670494727790356,0.001,0.2963392734527588,,,,,,,,,,,,,,,,,
13,2.224783182144165,0.21875,2.224402666091919,0.007609037682414055,0.001,0.32605600357055664,,,,,,,,,,,,,,,,,
14,2.2370927333831787,0.125,2.236713171005249,0.007592214737087488,0.001,0.35166478157043457,,,,,,,,,,,,,,,,,
15,2.2117912769317627,0.3125,2.2114078998565674,0.007665412966161966,0.001,0.3757054805755615,,,,,,,,,,,,,,,,,
16,2.184279203414917,0.265625,2.183889389038086,0.00779797974973917,0.001,0.4028456211090088,,,,,,,,,,,,,,,,,
17,2.180213689804077,0.328125,2.1798148155212402,0.00797757226973772,0.001,0.43184351921081543,,,,,,,,,,,,,,,,,
