step,train_loss,train_accuracy,pairwise_loss,learning_rate,wall_clock_time_sec,val_loss,val_accuracy,val_nll,val_ece,val_brier,val_positive_logit_mean,val_hard_negative_logit_mean,val_margin_mean,val_positive_drive_mean,val_positive_resistance_mean,val_hard_negative_drive_mean,val_hard_negative_resistance_mean,val_sample_uncertainty_mean,val_ambiguity_mean,val_class_resistance_mean,val_resistance_noise_corr,val_resistance_occlusion_corr
1,2.3049230575561523,0.046875,0.0,0.001,0.0026047229766845703,,,,,,,,,,,,,,,,,
2,2.2908854484558105,0.265625,0.0,0.001,0.005315303802490234,,,,,,,,,,,,,,,,,
3,2.27581787109375,0.390625,0.0,0.001,0.007416963577270508,,,,,,,,,,,,,,,,,
4,2.252997875213623,0.59375,0.0,0.001,0.009610176086425781,,,,,,,,,,,,,,,,,
5,2.2394051551818848,0.5,0.0,0.001,0.01172327995300293,,,,,,,,,,,,,,,,,
6,2.2355639934539795,0.46875,0.0,0.001,0.013832807540893555,,,,,,,,,,,,,,,,,
7,2.2289505004882812,0.5,0.0,0.001,0.0159759521484375,,,,,,,,,,,,,,,,,
8,2.2160520553588867,0.40625,0.0,0.001,0.018206119537353516,,,,,,,,,,,,,,,,,
9,2.178759813308716,0.5,0.0,0.001,0.027197599411010742,,,,,,,,,,,,,,,,,
10,2.1551806926727295,0.53125,0.0,0.001,0.029526710510253906,,,,,,,,,,,,,,,,,
11,2.1258957386016846,0.609375,0.0,0.001,0.03174781799316406,,,,,,,,,,,,,,,,,
12,2.1118316650390625,0.515625,0.0,0.001,0.03397226333618164,,,,,,,,,,,,,,,,,
13,2.104281187057495,0.546875,0.0,0.001,0.03617548942565918,,,,,,,,,,,,,,,,,
14,2.0735790729522705,0.484375,0.0,0.001,0.038442373275756836,,,,,,,,,,,,,,,,,
15,2.0215249061584473,0.59375,0.0,0.001,0.040444374084472656,,,,,,,,,,,,,,,,,
16,2.0136420726776123,0.5625,0.0,0.001,0.04249763488769531,,,,,,,,,,,,,,,,,
17,1.9647266864776611,0.515625,0.0,0.001,0.04474639892578125,,,,,,,,,,,,,,,,,
