step,train_loss,train_accuracy,pairwise_loss,learning_rate,wall_clock_time_sec,val_loss,val_accuracy,val_nll,val_ece,val_brier,val_positive_logit_mean,val_hard_negative_logit_mean,val_margin_mean,val_positive_drive_mean,val_positive_resistance_mean,val_hard_negative_drive_mean,val_hard_negative_resistance_mean,val_sample_uncertainty_mean,val_ambiguity_mean,val_class_resistance_mean,val_resistance_noise_corr,val_resistance_occlusion_corr
1,2.309548854827881,0.15625,0.012446453794836998,0.001,0.007927894592285156,,,,,,,,,,,,,,,,,
2,2.314612865447998,0.125,0.012744090519845486,0.001,0.01406717300415039,,,,,,,,,,,,,,,,,
3,2.313023567199707,0.125,0.012987391091883183,0.001,0.020431041717529297,,,,,,,,,,,,,,,,,
4,2.3147966861724854,0.109375,0.013242190703749657,0.001,0.026891231536865234,,,,,,,,,,,,,,,,,
5,2.3111886978149414,0.125,0.013524298556149006,0.001,0.034102439880371094,,,,,,,,,,,,,,,,,
6,2.295034646987915,0.203125,0.013806466944515705,0.001,0.04141855239868164,,,,,,,,,,,,,,,,,
7,2.2964413166046143,0.171875,0.014056474901735783,0.001,0.04860854148864746,,,,,,,,,,,,,,,,,
8,2.288952350616455,0.25,0.014311162754893303,0.001,0.055375099182128906,,,,,,,,,,,,,,,,,
9,2.289102554321289,0.15625,0.014536007307469845,0.001,0.06245613098144531,,,,,,,,,,,,,,,,,
10,2.282881736755371,0.265625,0.01475917175412178,0.001,0.07008028030395508,,,,,,,,,,,,,,,,,
11,2.277953624725342,0.28125,0.014979340136051178,0.001,0.07781386375427246,,,,,,,,,,,,,,,,,
12,2.2775514125823975,0.25,0.015206578187644482,0.001,0.0851907730102539,,,,,,,,,,,,,,,,,
13,2.267235279083252,0.296875,0.015430539846420288,0.001,0.09338665008544922,,,,,,,,,,,,,,,,,
14,2.269854784011841,0.21875,0.01564967632293701,0.001,0.10303235054016113,,,,,,,,,,,,,,,,,
