step,train_loss,train_accuracy,ce_loss,pairwise_loss,learning_rate,wall_clock_time_sec,val_loss,val_accuracy,val_nll,val_ece,val_brier,val_positive_logit_mean,val_hard_negative_logit_mean,val_margin_mean,val_positive_drive_mean,val_positive_resistance_mean,val_hard_negative_drive_mean,val_hard_negative_resistance_mean,val_sample_uncertainty_mean,val_ambiguity_mean,val_class_resistance_mean,val_resistance_noise_corr,val_resistance_occlusion_corr
1,2.289666175842285,0.109375,2.289666175842285,0.0,0.001,0.028641462326049805,,,,,,,,,,,,,,,,,
2,2.2358765602111816,0.203125,2.2358765602111816,0.0,0.001,0.042273759841918945,,,,,,,,,,,,,,,,,
3,2.2751896381378174,0.1875,2.2751896381378174,0.0,0.001,0.05605816841125488,,,,,,,,,,,,,,,,,
4,2.241596221923828,0.171875,2.241596221923828,0.0,0.001,0.06967020034790039,,,,,,,,,,,,,,,,,
5,2.221724510192871,0.21875,2.221724510192871,0.0,0.001,0.0832529067993164,,,,,,,,,,,,,,,,,
6,2.217109203338623,0.265625,2.217109203338623,0.0,0.001,0.09682536125183105,,,,,,,,,,,,,,,,,
7,2.186260223388672,0.28125,2.186260223388672,0.0,0.001,0.11046290397644043,,,,,,,,,,,,,,,,,
8,2.2308454513549805,0.1875,2.2308454513549805,0.0,0.001,0.1239778995513916,,,,,,,,,,,,,,,,,
9,2.195068597793579,0.203125,2.195068597793579,0.0,0.001,0.13749289512634277,,,,,,,,,,,,,,,,,
10,2.16485595703125,0.234375,2.16485595703125,0.0,0.001,0.150954008102417,,,,,,,,,,,,,,,,,
11,2.153573513031006,0.296875,2.153573513031006,0.0,0.001,0.16408467292785645,,,,,,,,,,,,,,,,,
12,2.1723783016204834,0.1875,2.1723783016204834,0.0,0.001,0.1766059398651123,,,,,,,,,,,,,,,,,
13,2.109177827835083,0.375,2.109177827835083,0.0,0.001,0.1889970302581787,,,,,,,,,,,,,,,,,
14,2.1307244300842285,0.3125,2.1307244300842285,0.0,0.001,0.20139265060424805,,,,,,,,,,,,,,,,,
15,2.0669431686401367,0.34375,2.0669431686401367,0.0,0.001,0.2137153148651123,,,,,,,,,,,,,,,,,
16,2.0533199310302734,0.359375,2.0533199310302734,0.0,0.001,0.22603487968444824,,,,,,,,,,,,,,,,,
17,2.0819835662841797,0.3125,2.0819835662841797,0.0,0.001,0.23845458030700684,,,,,,,,,,,,,,,,,
18,2.1246962547302246,0.203125,2.1246962547302246,0.0,0.001,0.2526102066040039,,,,,,,,,,,,,,,,,
19,2.030329942703247,0.28125,2.030329942703247,0.0,0.001,0.2676224708557129,,,,,,,,,,,,,,,,,
20,2.0091896057128906,0.3125,2.0091896057128906,0.0,0.001,0.28559160232543945,,,,,,,,,,,,,,,,,
