step,train_loss,train_accuracy,ce_loss,pairwise_loss,learning_rate,wall_clock_time_sec,val_loss,val_accuracy,val_nll,val_ece,val_brier,val_positive_logit_mean,val_hard_negative_logit_mean,val_margin_mean,val_positive_drive_mean,val_positive_resistance_mean,val_hard_negative_drive_mean,val_hard_negative_resistance_mean,val_sample_uncertainty_mean,val_ambiguity_mean,val_class_resistance_mean,val_resistance_noise_corr,val_resistance_occlusion_corr
1,2.309875726699829,0.125,2.3095786571502686,0.005942074581980705,0.001,0.022011756896972656,,,,,,,,,,,,,,,,,
2,2.2744646072387695,0.25,2.274174451828003,0.005800818093121052,0.001,0.044571876525878906,,,,,,,,,,,,,,,,,
3,2.262714385986328,0.1875,2.2624351978302,0.0055822948925197124,0.001,0.0645143985748291,,,,,,,,,,,,,,,,,
4,2.289292812347412,0.171875,2.289025068283081,0.005356622394174337,0.001,0.08427214622497559,,,,,,,,,,,,,,,,,
5,2.2767672538757324,0.21875,2.2765097618103027,0.0051518878899514675,0.001,0.1052544116973877,,,,,,,,,,,,,,,,,
6,2.259840965270996,0.25,2.2595927715301514,0.004964559338986874,0.001,0.12561249732971191,,,,,,,,,,,,,,,,,
7,2.246645450592041,0.21875,2.2464065551757812,0.004777105990797281,0.001,0.14545130729675293,,,,,,,,,,,,,,,,,
8,2.23679256439209,0.28125,2.236562490463257,0.004603767301887274,0.001,0.16708111763000488,,,,,,,,,,,,,,,,,
9,2.257756471633911,0.1875,2.2575340270996094,0.004447016399353743,0.001,0.19114160537719727,,,,,,,,,,,,,,,,,
10,2.243232250213623,0.21875,2.2430167198181152,0.00431161280721426,0.001,0.21538567543029785,,,,,,,,,,,,,,,,,
11,2.236642360687256,0.3125,2.2364323139190674,0.004200628958642483,0.001,0.23745393753051758,,,,,,,,,,,,,,,,,
12,2.235649347305298,0.28125,2.2354440689086914,0.004105699714273214,0.001,0.2590827941894531,,,,,,,,,,,,,,,,,
13,2.2687573432922363,0.203125,2.268555164337158,0.004041650332510471,0.001,0.279862642288208,,,,,,,,,,,,,,,,,
14,2.2262675762176514,0.34375,2.226066827774048,0.004016092978417873,0.001,0.30353426933288574,,,,,,,,,,,,,,,,,
15,2.2135071754455566,0.34375,2.213306427001953,0.004015921615064144,0.001,0.3300180435180664,,,,,,,,,,,,,,,,,
16,2.206744909286499,0.296875,2.2065422534942627,0.004050795454531908,0.001,0.36004018783569336,,,,,,,,,,,,,,,,,
