step,train_loss,train_accuracy,ce_loss,pairwise_loss,learning_rate,wall_clock_time_sec,val_loss,val_accuracy,val_nll,val_ece,val_brier,val_positive_logit_mean,val_hard_negative_logit_mean,val_margin_mean,val_positive_drive_mean,val_positive_resistance_mean,val_hard_negative_drive_mean,val_hard_negative_resistance_mean,val_sample_uncertainty_mean,val_ambiguity_mean,val_class_resistance_mean,val_resistance_noise_corr,val_resistance_occlusion_corr
1,2.300872802734375,0.109375,2.300872802734375,0.00789126567542553,0.001,0.02716851234436035,,,,,,,,,,,,,,,,,
2,2.281829595565796,0.203125,2.281829595565796,0.007996425963938236,0.001,0.05608391761779785,,,,,,,,,,,,,,,,,
3,2.265872001647949,0.171875,2.265872001647949,0.007955733686685562,0.001,0.08064985275268555,,,,,,,,,,,,,,,,,
4,2.2745890617370605,0.1875,2.2745890617370605,0.007939652539789677,0.001,0.1038215160369873,,,,,,,,,,,,,,,,,
5,2.255549430847168,0.25,2.255549430847168,0.007946859113872051,0.001,0.12869715690612793,,,,,,,,,,,,,,,,,
6,2.2528269290924072,0.21875,2.2528269290924072,0.007989222183823586,0.001,0.1603412628173828,,,,,,,,,,,,,,,,,
7,2.25602126121521,0.21875,2.25602126121521,0.008036205545067787,0.001,0.1970963478088379,,,,,,,,,,,,,,,,,
8,2.217982292175293,0.3125,2.217982292175293,0.008106738328933716,0.001,0.2265763282775879,,,,,,,,,,,,,,,,,
9,2.2297725677490234,0.234375,2.2297725677490234,0.008221291936933994,0.001,0.2584960460662842,,,,,,,,,,,,,,,,,
10,2.2363946437835693,0.265625,2.2363946437835693,0.008358728140592575,0.001,0.2855515480041504,,,,,,,,,,,,,,,,,
11,2.243293285369873,0.09375,2.243293285369873,0.008537044748663902,0.001,0.3159909248352051,,,,,,,,,,,,,,,,,
12,2.193635940551758,0.21875,2.193635940551758,0.008783906698226929,0.001,0.3438699245452881,,,,,,,,,,,,,,,,,
13,2.213340997695923,0.234375,2.213340997695923,0.009072237648069859,0.001,0.3757517337799072,,,,,,,,,,,,,,,,,
14,2.212615966796875,0.28125,2.212615966796875,0.009404398500919342,0.001,0.4046158790588379,,,,,,,,,,,,,,,,,
15,2.202383279800415,0.265625,2.202383279800415,0.009781083092093468,0.001,0.4370086193084717,,,,,,,,,,,,,,,,,
16,2.1931538581848145,0.21875,2.1931538581848145,0.010233331471681595,0.001,0.4657459259033203,,,,,,,,,,,,,,,,,
17,2.173248767852783,0.328125,2.173248767852783,0.010752689093351364,0.001,0.4975733757019043,,,,,,,,,,,,,,,,,
18,2.1842589378356934,0.25,2.1842589378356934,0.011334584094583988,0.001,0.5252823829650879,,,,,,,,,,,,,,,,,
19,2.1725621223449707,0.3125,2.1725621223449707,0.011972128413617611,0.001,0.5547380447387695,,,,,,,,,,,,,,,,,
20,2.177263021469116,0.234375,2.177263021469116,0.0126553475856781,0.001,0.5879206657409668,,,,,,,,,,,,,,,,,
21,2.1656432151794434,0.296875,2.1656432151794434,0.013390064239501953,0.001,0.6463286876678467,,,,,,,,,,,,,,,,,
22,2.181631088256836,0.328125,2.181631088256836,0.014149168506264687,0.001,0.6989774703979492,,,,,,,,,,,,,,,,,
23,2.146880865097046,0.3125,2.146880865097046,0.014943457208573818,0.001,0.7579135894775391,,,,,,,,,,,,,,,,,
24,2.142798900604248,0.34375,2.142798900604248,0.015780366957187653,0.001,0.7911694049835205,,,,,,,,,,,,,,,,,
25,2.1775310039520264,0.265625,2.1775310039520264,0.01665351167321205,0.001,0.8203907012939453,,,,,,,,,,,,,,,,,
26,2.1502716541290283,0.234375,2.1502716541290283,0.017550714313983917,0.001,0.8479504585266113,,,,,,,,,,,,,,,,,
27,2.1267638206481934,0.28125,2.1267638206481934,0.018456032499670982,0.001,0.8746793270111084,,,,,,,,,,,,,,,,,
28,2.096311569213867,0.328125,2.096311569213867,0.019402705132961273,0.001,0.9008688926696777,,,,,,,,,,,,,,,,,
29,2.16214919090271,0.25,2.16214919090271,0.020402468740940094,0.001,0.9276077747344971,,,,,,,,,,,,,,,,,
30,2.0697925090789795,0.421875,2.0697925090789795,0.021381070837378502,0.001,0.9595856666564941,,,,,,,,,,,,,,,,,
31,2.093658447265625,0.3125,2.093658447265625,0.022388551384210587,0.001,0.9904603958129883,,,,,,,,,,,,,,,,,
32,2.083073377609253,0.234375,2.083073377609253,0.02341805398464203,0.001,1.0213489532470703,,,,,,,,,,,,,,,,,
33,2.0643951892852783,0.34375,2.0643951892852783,0.024469969794154167,0.001,1.050006628036499,,,,,,,,,,,,,,,,,
34,2.071843385696411,0.34375,2.071843385696411,0.025525499135255814,0.001,1.0805420875549316,,,,,,,,,,,,,,,,,
35,2.1180150508880615,0.203125,2.1180150508880615,0.026583749800920486,0.001,1.1089057922363281,,,,,,,,,,,,,,,,,
36,2.053520917892456,0.296875,2.053520917892456,0.02762557752430439,0.001,1.1371705532073975,,,,,,,,,,,,,,,,,
37,2.071613311767578,0.3125,2.071613311767578,0.028680091723799706,0.001,1.164978265762329,,,,,,,,,,,,,,,,,
38,2.106320381164551,0.28125,2.106320381164551,0.029682865366339684,0.001,1.1920640468597412,,,,,,,,,,,,,,,,,
39,1.9683178663253784,0.28125,1.9683178663253784,0.03065829910337925,0.001,1.2208077907562256,,,,,,,,,,,,,,,,,
40,2.050769567489624,0.25,2.050769567489624,0.03168372064828873,0.001,1.250112771987915,,,,,,,,,,,,,,,,,
41,2.11484432220459,0.25,2.11484432220459,0.032696399837732315,0.001,1.2790756225585938,,,,,,,,,,,,,,,,,
42,2.0439414978027344,0.390625,2.0439414978027344,0.03359318897128105,0.001,1.3093061447143555,,,,,,,,,,,,,,,,,
43,1.9929757118225098,0.3125,1.9929757118225098,0.03443349525332451,0.001,1.3369603157043457,,,,,,,,,,,,,,,,,
44,2.0468099117279053,0.28125,2.0468099117279053,0.03525529056787491,0.001,1.3658862113952637,,,,,,,,,,,,,,,,,
45,1.9705477952957153,0.265625,1.9705477952957153,0.036035675555467606,0.001,1.3941655158996582,,,,,,,,,,,,,,,,,
46,2.000911235809326,0.3125,2.000911235809326,0.03679937496781349,0.001,1.4269521236419678,,,,,,,,,,,,,,,,,
47,2.134551763534546,0.21875,2.134551763534546,0.037473082542419434,0.001,1.453453779220581,,,,,,,,,,,,,,,,,
48,1.9848062992095947,0.328125,1.9848062992095947,0.038028284907341,0.001,1.479659080505371,,,,,,,,,,,,,,,,,
49,2.0121498107910156,0.28125,2.0121498107910156,0.038529522716999054,0.001,1.528623104095459,,,,,,,,,,,,,,,,,
50,1.9712802171707153,0.390625,1.9712802171707153,0.038973402231931686,0.001,1.5781264305114746,,,,,,,,,,,,,,,,,
51,2.0299599170684814,0.34375,2.0299599170684814,0.03939220309257507,0.001,1.6345679759979248,,,,,,,,,,,,,,,,,
52,1.956605076789856,0.359375,1.956605076789856,0.039743438363075256,0.001,1.6977612972259521,,,,,,,,,,,,,,,,,
