step,train_loss,train_accuracy,ce_loss,pairwise_loss,learning_rate,wall_clock_time_sec,val_loss,val_accuracy,val_nll,val_ece,val_brier,val_positive_logit_mean,val_hard_negative_logit_mean,val_margin_mean,val_positive_drive_mean,val_positive_resistance_mean,val_hard_negative_drive_mean,val_hard_negative_resistance_mean,val_sample_uncertainty_mean,val_ambiguity_mean,val_class_resistance_mean,val_resistance_noise_corr,val_resistance_occlusion_corr
1,2.3006904125213623,0.125,2.3001744747161865,0.010318007320165634,0.001,0.019230365753173828,,,,,,,,,,,,,,,,,
2,2.2797698974609375,0.234375,2.279266119003296,0.010076979175209999,0.001,0.04411888122558594,,,,,,,,,,,,,,,,,
3,2.258180856704712,0.3125,2.2576847076416016,0.009924734011292458,0.001,0.08894681930541992,,,,,,,,,,,,,,,,,
4,2.2644004821777344,0.203125,2.263915777206421,0.009693903848528862,0.001,0.13955163955688477,,,,,,,,,,,,,,,,,
5,2.2668046951293945,0.15625,2.266329288482666,0.009507916867733002,0.001,0.1914515495300293,,,,,,,,,,,,,,,,,
6,2.258070230484009,0.1875,2.257601737976074,0.009367771446704865,0.001,0.22159790992736816,,,,,,,,,,,,,,,,,
7,2.243967294692993,0.265625,2.2435028553009033,0.009286695159971714,0.001,0.24049711227416992,,,,,,,,,,,,,,,,,
8,2.237133741378784,0.1875,2.236672878265381,0.009215256199240685,0.001,0.2589542865753174,,,,,,,,,,,,,,,,,
9,2.2498185634613037,0.1875,2.2493584156036377,0.009203835390508175,0.001,0.27703237533569336,,,,,,,,,,,,,,,,,
10,2.226977586746216,0.296875,2.22651743888855,0.009204496629536152,0.001,0.2967071533203125,,,,,,,,,,,,,,,,,
11,2.232917308807373,0.265625,2.2324557304382324,0.009229411371052265,0.001,0.31572437286376953,,,,,,,,,,,,,,,,,
12,2.2038142681121826,0.34375,2.2033486366271973,0.009312174282968044,0.001,0.3342478275299072,,,,,,,,,,,,,,,,,
13,2.214648723602295,0.171875,2.214174270629883,0.00948843453079462,0.001,0.35304713249206543,,,,,,,,,,,,,,,,,
14,2.2024779319763184,0.328125,2.201991558074951,0.00972778256982565,0.001,0.3733553886413574,,,,,,,,,,,,,,,,,
15,2.226226568222046,0.234375,2.225724220275879,0.010046308860182762,0.001,0.39873719215393066,,,,,,,,,,,,,,,,,
16,2.192866325378418,0.328125,2.1923446655273438,0.01043551042675972,0.001,0.42376089096069336,,,,,,,,,,,,,,,,,
17,2.208940267562866,0.296875,2.2083969116210938,0.010866659693419933,0.001,0.44980597496032715,,,,,,,,,,,,,,,,,
18,2.1669459342956543,0.296875,2.1663777828216553,0.011363132856786251,0.001,0.4762246608734131,,,,,,,,,,,,,,,,,
19,2.194293975830078,0.265625,2.1936962604522705,0.011952003464102745,0.001,0.50101637840271,,,,,,,,,,,,,,,,,
20,2.184063196182251,0.21875,2.18343186378479,0.012625147588551044,0.001,0.5229041576385498,,,,,,,,,,,,,,,,,
21,2.1731362342834473,0.25,2.1724679470062256,0.013367925770580769,0.001,0.5447585582733154,,,,,,,,,,,,,,,,,
22,2.1698739528656006,0.3125,2.1691648960113525,0.014180650003254414,0.001,0.5668175220489502,,,,,,,,,,,,,,,,,
23,2.130648136138916,0.359375,2.1298959255218506,0.015045967884361744,0.001,0.5898401737213135,,,,,,,,,,,,,,,,,
24,2.143498420715332,0.296875,2.1426994800567627,0.01597980037331581,0.001,0.6134231090545654,,,,,,,,,,,,,,,,,
25,2.1556150913238525,0.3125,2.1547656059265137,0.016987446695566177,0.001,0.6359529495239258,,,,,,,,,,,,,,,,,
26,2.1253974437713623,0.28125,2.124495267868042,0.01804361864924431,0.001,0.6569204330444336,,,,,,,,,,,,,,,,,
27,2.133784294128418,0.359375,2.132826566696167,0.01915387064218521,0.001,0.6789958477020264,,,,,,,,,,,,,,,,,
28,2.127378225326538,0.203125,2.126363515853882,0.020291998982429504,0.001,0.7027709484100342,,,,,,,,,,,,,,,,,
29,2.0845718383789062,0.40625,2.0834996700286865,0.021442605182528496,0.001,0.7265453338623047,,,,,,,,,,,,,,,,,
30,2.0891172885894775,0.453125,2.087986469268799,0.02261538617312908,0.001,0.749727725982666,,,,,,,,,,,,,,,,,
31,2.143882989883423,0.21875,2.142695665359497,0.023744933307170868,0.001,0.77323317527771,,,,,,,,,,,,,,,,,
32,2.111999034881592,0.28125,2.110757827758789,0.024826278910040855,0.001,0.7987699508666992,,,,,,,,,,,,,,,,,
33,2.0598621368408203,0.265625,2.058567523956299,0.02589012309908867,0.001,0.8263962268829346,,,,,,,,,,,,,,,,,
34,2.086390733718872,0.265625,2.085042715072632,0.026959838345646858,0.001,0.8508834838867188,,,,,,,,,,,,,,,,,
35,2.0521535873413086,0.375,2.0507559776306152,0.027953848242759705,0.001,0.8724851608276367,,,,,,,,,,,,,,,,,
36,2.0998470783233643,0.3125,2.0984017848968506,0.028906123712658882,0.001,0.8957018852233887,,,,,,,,,,,,,,,,,
37,2.0159385204315186,0.375,2.014448881149292,0.02979297935962677,0.001,0.9210083484649658,,,,,,,,,,,,,,,,,
38,2.0271408557891846,0.375,2.025608539581299,0.030648034065961838,0.001,0.9448378086090088,,,,,,,,,,,,,,,,,
39,2.0917012691497803,0.234375,2.0901291370391846,0.03144307807087898,0.001,0.9677228927612305,,,,,,,,,,,,,,,,,
40,2.0049889087677,0.328125,2.0033810138702393,0.03215824067592621,0.001,0.9915847778320312,,,,,,,,,,,,,,,,,
41,1.9933407306671143,0.390625,1.9916999340057373,0.03281516209244728,0.001,1.0158183574676514,,,,,,,,,,,,,,,,,
42,2.076153516769409,0.28125,2.0744824409484863,0.03342052549123764,0.001,1.0373213291168213,,,,,,,,,,,,,,,,,
43,1.9967797994613647,0.375,1.9950813055038452,0.03397020697593689,0.001,1.0664196014404297,,,,,,,,,,,,,,,,,
44,1.9959133863449097,0.390625,1.9941896200180054,0.034474436193704605,0.001,1.1163196563720703,,,,,,,,,,,,,,,,,
45,2.0260367393493652,0.390625,2.0242910385131836,0.03491552919149399,0.001,1.1646907329559326,,,,,,,,,,,,,,,,,
46,2.028747797012329,0.328125,2.0269832611083984,0.03529125452041626,0.001,1.2171728610992432,,,,,,,,,,,,,,,,,
47,2.0373764038085938,0.328125,2.035598039627075,0.035568129271268845,0.001,1.2391397953033447,,,,,,,,,,,,,,,,,
48,1.9691369533538818,0.375,1.9673484563827515,0.035771097987890244,0.001,1.2608745098114014,,,,,,,,,,,,,,,,,
49,1.977203607559204,0.265625,1.9754055738449097,0.03596154972910881,0.001,1.2823703289031982,,,,,,,,,,,,,,,,,
50,2.0006511211395264,0.296875,1.9988441467285156,0.03613871708512306,0.001,1.3042504787445068,,,,,,,,,,,,,,,,,
51,1.983845591545105,0.34375,1.9820317029953003,0.03627808019518852,0.001,1.3262386322021484,,,,,,,,,,,,,,,,,
