run_id,timestamp,status,reason,mode,task_name,model_name,dataset_name,seed,device,git_commit,hostname,python_version,torch_version,torchvision_version,cuda_available,num_params,trainable_params,total_train_time_sec,best_metric,final_metric,run_dir,metrics_json
frozen_cifar10_linear_seed0,2026-04-24T08:59:48Z,COMPLETED,,head_ablation,image_classification,linear,cifar10,0,cuda,unknown,user-NF5468M6,3.10.20,2.7.1+cu118,0.22.1+cu118,True,650,650,2.037179946899414,0.5390625,0.53125,reports/real_cifar_20260424_165937/runs/20260424_085946_frozen_cifar10_linear_seed0,"{""best_metric"": 0.5390625, ""best_step"": 300, ""best_val_accuracy"": 0.5390625, ""final_metric"": 0.53125, ""final_train_accuracy"": 0.625, ""final_train_loss"": 1.1005603075027466, ""test_accuracy"": 0.53125, ""test_ambiguity_mean"": NaN, ""test_brier"": 0.6124521493911743, ""test_class_resistance_mean"": NaN, ""test_ece"": 0.06617292761802673, ""test_hard_negative_drive_mean"": NaN, ""test_hard_negative_logit_mean"": 1.5030205249786377, ""test_hard_negative_resistance_mean"": NaN, ""test_loss"": 1.3403586149215698, ""test_margin_mean"": -0.1183549165725708, ""test_nll"": 1.3403586149215698, ""test_positive_drive_mean"": NaN, ""test_positive_logit_mean"": 1.384665608406067, ""test_positive_resistance_mean"": NaN, ""test_resistance_noise_corr"": NaN, ""test_resistance_occlusion_corr"": NaN, ""test_sample_uncertainty_mean"": NaN, ""total_train_time_sec"": 2.037179946899414, ""val_accuracy"": 0.5390625, ""val_ambiguity_mean"": NaN, ""val_brier"": 0.6213698387145996, ""val_class_resistance_mean"": NaN, ""val_ece"": 0.06255050003528595, ""val_hard_negative_drive_mean"": NaN, ""val_hard_negative_logit_mean"": 1.5094168186187744, ""val_hard_negative_resistance_mean"": NaN, ""val_loss"": 1.3540712594985962, ""val_margin_mean"": -0.13892030715942383, ""val_nll"": 1.3540712594985962, ""val_positive_drive_mean"": NaN, ""val_positive_logit_mean"": 1.3704965114593506, ""val_positive_resistance_mean"": NaN, ""val_resistance_noise_corr"": NaN, ""val_resistance_occlusion_corr"": NaN, ""val_sample_uncertainty_mean"": NaN}"
frozen_cifar10_mlp_seed0,2026-04-24T08:59:50Z,COMPLETED,,head_ablation,image_classification,mlp,cifar10,0,cuda,unknown,user-NF5468M6,3.10.20,2.7.1+cu118,0.22.1+cu118,True,9738,9738,1.8988125324249268,0.546875,0.5390625,reports/real_cifar_20260424_165937/runs/20260424_085948_frozen_cifar10_mlp_seed0,"{""best_metric"": 0.546875, ""best_step"": 300, ""best_val_accuracy"": 0.546875, ""final_metric"": 0.5390625, ""final_train_accuracy"": 0.640625, ""final_train_loss"": 0.9354971647262573, ""test_accuracy"": 0.5390625, ""test_ambiguity_mean"": NaN, ""test_brier"": 0.6262638568878174, ""test_class_resistance_mean"": NaN, ""test_ece"": 0.12386400252580643, ""test_hard_negative_drive_mean"": NaN, ""test_hard_negative_logit_mean"": 2.4071998596191406, ""test_hard_negative_resistance_mean"": NaN, ""test_loss"": 1.387267827987671, ""test_margin_mean"": -0.0011736322194337845, ""test_nll"": 1.387267827987671, ""test_positive_drive_mean"": NaN, ""test_positive_logit_mean"": 2.4060263633728027, ""test_positive_resistance_mean"": NaN, ""test_resistance_noise_corr"": NaN, ""test_resistance_occlusion_corr"": NaN, ""test_sample_uncertainty_mean"": NaN, ""total_train_time_sec"": 1.8988125324249268, ""val_accuracy"": 0.546875, ""val_ambiguity_mean"": NaN, ""val_brier"": 0.628438413143158, ""val_class_resistance_mean"": NaN, ""val_ece"": 0.12396658211946487, ""val_hard_negative_drive_mean"": NaN, ""val_hard_negative_logit_mean"": 2.4298248291015625, ""val_hard_negative_resistance_mean"": NaN, ""val_loss"": 1.3919986486434937, ""val_margin_mean"": -0.04505656287074089, ""val_nll"": 1.3919986486434937, ""val_positive_drive_mean"": NaN, ""val_positive_logit_mean"": 2.38476824760437, ""val_positive_resistance_mean"": NaN, ""val_resistance_noise_corr"": NaN, ""val_resistance_occlusion_corr"": NaN, ""val_sample_uncertainty_mean"": NaN}"
frozen_cifar10_cosine_prototype_seed0,2026-04-24T08:59:54Z,COMPLETED,,head_ablation,image_classification,cosine_prototype,cifar10,0,cuda,unknown,user-NF5468M6,3.10.20,2.7.1+cu118,0.22.1+cu118,True,640,640,3.326413869857788,0.5234375,0.517578125,reports/real_cifar_20260424_165937/runs/20260424_085950_frozen_cifar10_cosine_prototype_seed0,"{""best_metric"": 0.5234375, ""best_step"": 300, ""best_val_accuracy"": 0.5234375, ""final_metric"": 0.517578125, ""final_train_accuracy"": 0.609375, ""final_train_loss"": 1.1760107278823853, ""test_accuracy"": 0.517578125, ""test_ambiguity_mean"": NaN, ""test_brier"": 0.6305670738220215, ""test_class_resistance_mean"": NaN, ""test_ece"": 0.09187990427017212, ""test_hard_negative_drive_mean"": NaN, ""test_hard_negative_logit_mean"": 1.7637715339660645, ""test_hard_negative_resistance_mean"": NaN, ""test_loss"": 1.38865327835083, ""test_margin_mean"": -0.1395147144794464, ""test_nll"": 1.38865327835083, ""test_positive_drive_mean"": NaN, ""test_positive_logit_mean"": 1.6242567300796509, ""test_positive_resistance_mean"": NaN, ""test_resistance_noise_corr"": NaN, ""test_resistance_occlusion_corr"": NaN, ""test_sample_uncertainty_mean"": NaN, ""total_train_time_sec"": 3.326413869857788, ""val_accuracy"": 0.5234375, ""val_ambiguity_mean"": NaN, ""val_brier"": 0.6356748342514038, ""val_class_resistance_mean"": NaN, ""val_ece"": 0.08493652939796448, ""val_hard_negative_drive_mean"": NaN, ""val_hard_negative_logit_mean"": 1.75624418258667, ""val_hard_negative_resistance_mean"": NaN, ""val_loss"": 1.3914690017700195, ""val_margin_mean"": -0.14006607234477997, ""val_nll"": 1.3914690017700195, ""val_positive_drive_mean"": NaN, ""val_positive_logit_mean"": 1.616178035736084, ""val_positive_resistance_mean"": NaN, ""val_resistance_noise_corr"": NaN, ""val_resistance_occlusion_corr"": NaN, ""val_sample_uncertainty_mean"": NaN}"
frozen_cifar10_eml_no_ambiguity_seed0,2026-04-24T09:00:00Z,COMPLETED,,head_ablation,image_classification,eml_no_ambiguity,cifar10,0,cuda,unknown,user-NF5468M6,3.10.20,2.7.1+cu118,0.22.1+cu118,True,18977,18977,6.424711465835571,0.537109375,0.513671875,reports/real_cifar_20260424_165937/runs/20260424_085954_frozen_cifar10_eml_no_ambiguity_seed0,"{""best_metric"": 0.537109375, ""best_step"": 300, ""best_val_accuracy"": 0.537109375, ""final_metric"": 0.513671875, ""final_train_accuracy"": 0.59375, ""final_train_loss"": 1.2865864038467407, ""test_accuracy"": 0.513671875, ""test_ambiguity_mean"": 0.0, ""test_brier"": 0.6478941440582275, ""test_class_resistance_mean"": 0.2032231092453003, ""test_ece"": 0.06897716224193573, ""test_hard_negative_drive_mean"": 5.534973621368408, ""test_hard_negative_logit_mean"": 1.8021501302719116, ""test_hard_negative_resistance_mean"": 10.902721405029297, ""test_loss"": 1.4781172275543213, ""test_margin_mean"": -0.17985275387763977, ""test_nll"": 1.4781172275543213, ""test_positive_drive_mean"": 5.24199104309082, ""test_positive_logit_mean"": 1.6222972869873047, ""test_positive_resistance_mean"": 10.903149604797363, ""test_resistance_noise_corr"": NaN, ""test_resistance_occlusion_corr"": NaN, ""test_sample_uncertainty_mean"": 10.699285507202148, ""total_train_time_sec"": 6.424711465835571, ""val_accuracy"": 0.537109375, ""val_ambiguity_mean"": 0.0, ""val_brier"": 0.6447920799255371, ""val_class_resistance_mean"": 0.2032231092453003, ""val_ece"": 0.09212149679660797, ""val_hard_negative_drive_mean"": 5.56062126159668, ""val_hard_negative_logit_mean"": 1.801123857498169, ""val_hard_negative_resistance_mean"": 10.389824867248535, ""val_loss"": 1.4720230102539062, ""val_margin_mean"": -0.16344255208969116, ""val_nll"": 1.4720230102539062, ""val_positive_drive_mean"": 5.1932878494262695, ""val_positive_logit_mean"": 1.637681245803833, ""val_positive_resistance_mean"": 10.388630867004395, ""val_resistance_noise_corr"": NaN, ""val_resistance_occlusion_corr"": NaN, ""val_sample_uncertainty_mean"": 10.185951232910156}"
frozen_cifar10_eml_raw_ambiguity_seed0,2026-04-24T09:00:06Z,COMPLETED,,head_ablation,image_classification,eml_raw_ambiguity,cifar10,0,cuda,unknown,user-NF5468M6,3.10.20,2.7.1+cu118,0.22.1+cu118,True,18977,18977,6.291307687759399,0.541015625,0.513671875,reports/real_cifar_20260424_165937/runs/20260424_090000_frozen_cifar10_eml_raw_ambiguity_seed0,"{""best_metric"": 0.541015625, ""best_step"": 300, ""best_val_accuracy"": 0.541015625, ""final_metric"": 0.513671875, ""final_train_accuracy"": 0.578125, ""final_train_loss"": 1.2830618619918823, ""test_accuracy"": 0.513671875, ""test_ambiguity_mean"": 2.284419059753418, ""test_brier"": 0.6468328237533569, ""test_class_resistance_mean"": 0.1976543515920639, ""test_ece"": 0.08112794160842896, ""test_hard_negative_drive_mean"": 5.533006191253662, ""test_hard_negative_logit_mean"": 1.868472695350647, ""test_hard_negative_resistance_mean"": 2.349977731704712, ""test_loss"": 1.4757386445999146, ""test_margin_mean"": -0.1769145429134369, ""test_nll"": 1.4757386445999146, ""test_positive_drive_mean"": 5.240011215209961, ""test_positive_logit_mean"": 1.6915581226348877, ""test_positive_resistance_mean"": 2.2648048400878906, ""test_resistance_noise_corr"": NaN, ""test_resistance_occlusion_corr"": NaN, ""test_sample_uncertainty_mean"": 0.00018775169155560434, ""total_train_time_sec"": 6.291307687759399, ""val_accuracy"": 0.541015625, ""val_ambiguity_mean"": 2.2853307723999023, ""val_brier"": 0.6433606147766113, ""val_class_resistance_mean"": 0.1976543515920639, ""val_ece"": 0.09370698034763336, ""val_hard_negative_drive_mean"": 5.560137748718262, ""val_hard_negative_logit_mean"": 1.864696741104126, ""val_hard_negative_resistance_mean"": 2.3489861488342285, ""val_loss"": 1.4688438177108765, ""val_margin_mean"": -0.15923254191875458, ""val_nll"": 1.4688438177108765, ""val_positive_drive_mean"": 5.192787170410156, ""val_positive_logit_mean"": 1.705464243888855, ""val_positive_resistance_mean"": 2.275695323944092, ""val_resistance_noise_corr"": NaN, ""val_resistance_occlusion_corr"": NaN, ""val_sample_uncertainty_mean"": 0.0001876075257314369}"
frozen_cifar10_eml_centered_ambiguity_seed0,2026-04-24T09:00:13Z,COMPLETED,,head_ablation,image_classification,eml_centered_ambiguity,cifar10,0,cuda,unknown,user-NF5468M6,3.10.20,2.7.1+cu118,0.22.1+cu118,True,18977,18977,6.323503255844116,0.541015625,0.513671875,reports/real_cifar_20260424_165937/runs/20260424_090006_frozen_cifar10_eml_centered_ambiguity_seed0,"{""best_metric"": 0.541015625, ""best_step"": 300, ""best_val_accuracy"": 0.541015625, ""final_metric"": 0.513671875, ""final_train_accuracy"": 0.578125, ""final_train_loss"": 1.2819877862930298, ""test_accuracy"": 0.513671875, ""test_ambiguity_mean"": 0.14503100514411926, ""test_brier"": 0.6464294195175171, ""test_class_resistance_mean"": 0.200969859957695, ""test_ece"": 0.0846291333436966, ""test_hard_negative_drive_mean"": 5.535200595855713, ""test_hard_negative_logit_mean"": 1.9500370025634766, ""test_hard_negative_resistance_mean"": 0.7664505839347839, ""test_loss"": 1.4748058319091797, ""test_margin_mean"": -0.1765996515750885, ""test_nll"": 1.4748058319091797, ""test_positive_drive_mean"": 5.246472358703613, ""test_positive_logit_mean"": 1.7734373807907104, ""test_positive_resistance_mean"": 0.6778001189231873, ""test_resistance_noise_corr"": NaN, ""test_resistance_occlusion_corr"": NaN, ""test_sample_uncertainty_mean"": 0.556189775466919, ""total_train_time_sec"": 6.323503255844116, ""val_accuracy"": 0.541015625, ""val_ambiguity_mean"": 0.1457958072423935, ""val_brier"": 0.6429780721664429, ""val_class_resistance_mean"": 0.200969859957695, ""val_ece"": 0.09288346767425537, ""val_hard_negative_drive_mean"": 5.564777374267578, ""val_hard_negative_logit_mean"": 1.94636869430542, ""val_hard_negative_resistance_mean"": 0.7623600363731384, ""val_loss"": 1.4678705930709839, ""val_margin_mean"": -0.15894725918769836, ""val_nll"": 1.4678705930709839, ""val_positive_drive_mean"": 5.19970178604126, ""val_positive_logit_mean"": 1.7874213457107544, ""val_positive_resistance_mean"": 0.6853060722351074, ""val_resistance_noise_corr"": NaN, ""val_resistance_occlusion_corr"": NaN, ""val_sample_uncertainty_mean"": 0.5529153943061829}"
frozen_cifar10_linear_seed1,2026-04-24T09:00:19Z,COMPLETED,,head_ablation,image_classification,linear,cifar10,1,cuda,unknown,user-NF5468M6,3.10.20,2.7.1+cu118,0.22.1+cu118,True,650,650,1.7023751735687256,0.51953125,0.4921875,reports/real_cifar_20260424_165937/runs/20260424_090017_frozen_cifar10_linear_seed1,"{""best_metric"": 0.51953125, ""best_step"": 200, ""best_val_accuracy"": 0.51953125, ""final_metric"": 0.4921875, ""final_train_accuracy"": 0.640625, ""final_train_loss"": 1.0545482635498047, ""test_accuracy"": 0.4921875, ""test_ambiguity_mean"": NaN, ""test_brier"": 0.6280338764190674, ""test_class_resistance_mean"": NaN, ""test_ece"": 0.046169742941856384, ""test_hard_negative_drive_mean"": NaN, ""test_hard_negative_logit_mean"": 1.3279402256011963, ""test_hard_negative_resistance_mean"": NaN, ""test_loss"": 1.3546308279037476, ""test_margin_mean"": -0.03286176174879074, ""test_nll"": 1.3546308279037476, ""test_positive_drive_mean"": NaN, ""test_positive_logit_mean"": 1.2950783967971802, ""test_positive_resistance_mean"": NaN, ""test_resistance_noise_corr"": NaN, ""test_resistance_occlusion_corr"": NaN, ""test_sample_uncertainty_mean"": NaN, ""total_train_time_sec"": 1.7023751735687256, ""val_accuracy"": 0.513671875, ""val_ambiguity_mean"": NaN, ""val_brier"": 0.5955448746681213, ""val_class_resistance_mean"": NaN, ""val_ece"": 0.06024681776762009, ""val_hard_negative_drive_mean"": NaN, ""val_hard_negative_logit_mean"": 1.3006055355072021, ""val_hard_negative_resistance_mean"": NaN, ""val_loss"": 1.2985665798187256, ""val_margin_mean"": 0.05547112226486206, ""val_nll"": 1.2985665798187256, ""val_positive_drive_mean"": NaN, ""val_positive_logit_mean"": 1.356076717376709, ""val_positive_resistance_mean"": NaN, ""val_resistance_noise_corr"": NaN, ""val_resistance_occlusion_corr"": NaN, ""val_sample_uncertainty_mean"": NaN}"
frozen_cifar10_mlp_seed1,2026-04-24T09:00:20Z,COMPLETED,,head_ablation,image_classification,mlp,cifar10,1,cuda,unknown,user-NF5468M6,3.10.20,2.7.1+cu118,0.22.1+cu118,True,9738,9738,1.8083760738372803,0.5390625,0.51171875,reports/real_cifar_20260424_165937/runs/20260424_090019_frozen_cifar10_mlp_seed1,"{""best_metric"": 0.5390625, ""best_step"": 300, ""best_val_accuracy"": 0.5390625, ""final_metric"": 0.51171875, ""final_train_accuracy"": 0.625, ""final_train_loss"": 0.9257045984268188, ""test_accuracy"": 0.51171875, ""test_ambiguity_mean"": NaN, ""test_brier"": 0.6374867558479309, ""test_class_resistance_mean"": NaN, ""test_ece"": 0.10993260145187378, ""test_hard_negative_drive_mean"": NaN, ""test_hard_negative_logit_mean"": 2.4561195373535156, ""test_hard_negative_resistance_mean"": NaN, ""test_loss"": 1.3843024969100952, ""test_margin_mean"": -0.06908448040485382, ""test_nll"": 1.3843024969100952, ""test_positive_drive_mean"": NaN, ""test_positive_logit_mean"": 2.3870348930358887, ""test_positive_resistance_mean"": NaN, ""test_resistance_noise_corr"": NaN, ""test_resistance_occlusion_corr"": NaN, ""test_sample_uncertainty_mean"": NaN, ""total_train_time_sec"": 1.8083760738372803, ""val_accuracy"": 0.5390625, ""val_ambiguity_mean"": NaN, ""val_brier"": 0.5999587774276733, ""val_class_resistance_mean"": NaN, ""val_ece"": 0.09040320664644241, ""val_hard_negative_drive_mean"": NaN, ""val_hard_negative_logit_mean"": 2.4666876792907715, ""val_hard_negative_resistance_mean"": NaN, ""val_loss"": 1.3582772016525269, ""val_margin_mean"": 0.0515202060341835, ""val_nll"": 1.3582772016525269, ""val_positive_drive_mean"": NaN, ""val_positive_logit_mean"": 2.5182080268859863, ""val_positive_resistance_mean"": NaN, ""val_resistance_noise_corr"": NaN, ""val_resistance_occlusion_corr"": NaN, ""val_sample_uncertainty_mean"": NaN}"
frozen_cifar10_cosine_prototype_seed1,2026-04-24T09:00:23Z,COMPLETED,,head_ablation,image_classification,cosine_prototype,cifar10,1,cuda,unknown,user-NF5468M6,3.10.20,2.7.1+cu118,0.22.1+cu118,True,640,640,3.018566608428955,0.525390625,0.49609375,reports/real_cifar_20260424_165937/runs/20260424_090020_frozen_cifar10_cosine_prototype_seed1,"{""best_metric"": 0.525390625, ""best_step"": 100, ""best_val_accuracy"": 0.525390625, ""final_metric"": 0.49609375, ""final_train_accuracy"": 0.625, ""final_train_loss"": 1.1237897872924805, ""test_accuracy"": 0.49609375, ""test_ambiguity_mean"": NaN, ""test_brier"": 0.6372949481010437, ""test_class_resistance_mean"": NaN, ""test_ece"": 0.0694826990365982, ""test_hard_negative_drive_mean"": NaN, ""test_hard_negative_logit_mean"": 1.620300531387329, ""test_hard_negative_resistance_mean"": NaN, ""test_loss"": 1.3982319831848145, ""test_margin_mean"": -0.06078808009624481, ""test_nll"": 1.3982319831848145, ""test_positive_drive_mean"": NaN, ""test_positive_logit_mean"": 1.5595123767852783, ""test_positive_resistance_mean"": NaN, ""test_resistance_noise_corr"": NaN, ""test_resistance_occlusion_corr"": NaN, ""test_sample_uncertainty_mean"": NaN, ""total_train_time_sec"": 3.018566608428955, ""val_accuracy"": 0.51171875, ""val_ambiguity_mean"": NaN, ""val_brier"": 0.609774649143219, ""val_class_resistance_mean"": NaN, ""val_ece"": 0.07351262867450714, ""val_hard_negative_drive_mean"": NaN, ""val_hard_negative_logit_mean"": 1.6052354574203491, ""val_hard_negative_resistance_mean"": NaN, ""val_loss"": 1.3398228883743286, ""val_margin_mean"": 0.019237425178289413, ""val_nll"": 1.3398228883743286, ""val_positive_drive_mean"": NaN, ""val_positive_logit_mean"": 1.6244728565216064, ""val_positive_resistance_mean"": NaN, ""val_resistance_noise_corr"": NaN, ""val_resistance_occlusion_corr"": NaN, ""val_sample_uncertainty_mean"": NaN}"
frozen_cifar10_eml_no_ambiguity_seed1,2026-04-24T09:00:30Z,COMPLETED,,head_ablation,image_classification,eml_no_ambiguity,cifar10,1,cuda,unknown,user-NF5468M6,3.10.20,2.7.1+cu118,0.22.1+cu118,True,18977,18977,6.257176876068115,0.517578125,0.4921875,reports/real_cifar_20260424_165937/runs/20260424_090024_frozen_cifar10_eml_no_ambiguity_seed1,"{""best_metric"": 0.517578125, ""best_step"": 200, ""best_val_accuracy"": 0.517578125, ""final_metric"": 0.4921875, ""final_train_accuracy"": 0.625, ""final_train_loss"": 1.202779769897461, ""test_accuracy"": 0.4921875, ""test_ambiguity_mean"": 0.0, ""test_brier"": 0.6524157524108887, ""test_class_resistance_mean"": 0.20404052734375, ""test_ece"": 0.1038714125752449, ""test_hard_negative_drive_mean"": 5.768949508666992, ""test_hard_negative_logit_mean"": 1.7556496858596802, ""test_hard_negative_resistance_mean"": 17.53388214111328, ""test_loss"": 1.482173204421997, ""test_margin_mean"": -0.1594391018152237, ""test_nll"": 1.482173204421997, ""test_positive_drive_mean"": 5.666196823120117, ""test_positive_logit_mean"": 1.5962104797363281, ""test_positive_resistance_mean"": 17.530385971069336, ""test_resistance_noise_corr"": NaN, ""test_resistance_occlusion_corr"": NaN, ""test_sample_uncertainty_mean"": 17.325469970703125, ""total_train_time_sec"": 6.257176876068115, ""val_accuracy"": 0.515625, ""val_ambiguity_mean"": 0.0, ""val_brier"": 0.6205562353134155, ""val_class_resistance_mean"": 0.20404052734375, ""val_ece"": 0.09680873900651932, ""val_hard_negative_drive_mean"": 5.655335903167725, ""val_hard_negative_logit_mean"": 1.76333749294281, ""val_hard_negative_resistance_mean"": 16.643951416015625, ""val_loss"": 1.3982325792312622, ""val_margin_mean"": -0.049451615661382675, ""val_nll"": 1.3982325792312622, ""val_positive_drive_mean"": 5.8787841796875, ""val_positive_logit_mean"": 1.71388578414917, ""val_positive_resistance_mean"": 16.63522720336914, ""val_resistance_noise_corr"": NaN, ""val_resistance_occlusion_corr"": NaN, ""val_sample_uncertainty_mean"": 16.43384552001953}"
