step,train_loss,train_accuracy,top1_accuracy,top5_accuracy,learning_rate,grad_norm,step_time_sec,wall_clock_time_sec,examples_per_sec,peak_memory_mb,resistance_noise_corr,resistance_occlusion_corr,warmup_eta,responsibility_temperature,ambiguity_weight,null_threshold,attractor_entropy_weight,precision_update_threshold
1,1.6003265380859375,0.25,0.25,1.0,0.001,309.7808837890625,0.02810978889465332,0.029807090759277344,284.59836642606933,0.0,0.4906305968761444,-0.5339505076408386,0.02,nan,nan,nan,nan,nan
2,1.5977704524993896,0.375,0.375,1.0,0.001,3.772949695587158,0.028164148330688477,0.06041097640991211,284.04906500520616,0.0,-0.6962364315986633,-0.2045191079378128,0.04,nan,nan,nan,nan,nan
3,1.6077855825424194,0.25,0.25,1.0,0.001,1.7544586658477783,0.02129983901977539,0.08372902870178223,375.58969307573483,0.0,0.0990825667977333,0.024615243077278137,0.06,nan,nan,nan,nan,nan
4,1.6158899068832397,0.25,0.25,1.0,0.001,1.6036251783370972,0.020839214324951172,0.10653090476989746,383.8916321533991,0.0,0.20645774900913239,-0.3458430767059326,0.08,nan,nan,nan,nan,nan
5,1.6196575164794922,0.25,0.25,1.0,0.001,1.005634069442749,0.020488977432250977,0.12912702560424805,390.4538440950929,0.0,-0.6057363152503967,0.7287011742591858,0.1,nan,nan,nan,nan,nan
6,1.6541508436203003,0.0,0.0,1.0,0.001,3.361424684524536,0.031153202056884766,0.16316008567810059,256.7954326297583,0.0,-0.3007093369960785,0.3551613986492157,0.12,nan,nan,nan,nan,nan
7,1.6176846027374268,0.125,0.125,1.0,0.001,2.2856431007385254,0.019536256790161133,0.1857140064239502,409.4950269096057,0.0,0.2661222517490387,-0.8206561207771301,0.14,nan,nan,nan,nan,nan
8,1.6514405012130737,0.125,0.125,1.0,0.001,0.9936596751213074,0.01989912986755371,0.20812106132507324,402.0276290092616,0.0,0.4800308644771576,0.3042781352996826,0.16,nan,nan,nan,nan,nan
9,1.5919547080993652,0.25,0.25,1.0,0.001,1.4328482151031494,0.01994490623474121,0.2309269905090332,401.10491901261133,0.0,0.042193684726953506,0.08154872059822083,0.18,nan,nan,nan,nan,nan
10,1.5719417333602905,0.75,0.75,1.0,0.001,3.869701385498047,0.025856971740722656,0.2596750259399414,309.3943126913289,0.0,0.02066630683839321,nan,0.2,nan,nan,nan,nan,nan
11,1.5866365432739258,0.25,0.25,1.0,0.001,0.8724876642227173,0.021481037139892578,0.28386402130126953,372.42149659259917,0.0,0.15717729926109314,0.42828691005706787,0.22,nan,nan,nan,nan,nan
12,1.6441950798034668,0.125,0.125,1.0,0.001,1.4106504917144775,0.020418167114257812,0.3069579601287842,391.80794021485286,0.0,0.32693934440612793,-0.4870608448982239,0.24,nan,nan,nan,nan,nan
13,1.5847671031951904,0.375,0.375,1.0,0.001,1.0409018993377686,0.02093982696533203,0.33095598220825195,382.04709204353964,0.0,-0.05115848407149315,nan,0.26,nan,nan,nan,nan,nan
14,1.5904618501663208,0.25,0.25,1.0,0.001,0.2995130717754364,0.027663707733154297,0.36170005798339844,289.18755494268726,0.0,-0.6294435858726501,0.08200787007808685,0.28,nan,nan,nan,nan,nan
15,1.5607988834381104,0.375,0.375,1.0,0.001,0.9364127516746521,0.022034883499145508,0.3870198726654053,363.0606896700966,0.0,-0.08997742086648941,0.7660323977470398,0.3,nan,nan,nan,nan,nan
16,1.6188337802886963,0.125,0.125,1.0,0.001,1.308274269104004,0.021844148635864258,0.41187286376953125,366.2307986160378,0.0,-0.35322028398513794,0.6807862520217896,0.32,nan,nan,nan,nan,nan
17,1.5262773036956787,0.5,0.5,1.0,0.001,1.7637250423431396,0.022786855697631836,0.4379429817199707,351.07959194349985,0.0,-0.06541693955659866,0.594451904296875,0.34,nan,nan,nan,nan,nan
18,1.5982557535171509,0.25,0.25,1.0,0.001,0.3968696594238281,0.025442123413085938,0.46663808822631836,314.4391633555739,0.0,-0.23715797066688538,0.6991380453109741,0.36,nan,nan,nan,nan,nan
19,1.7256593704223633,0.0,0.0,1.0,0.001,1.966138243675232,0.020639896392822266,0.49048686027526855,387.5988448654268,0.0,0.07380639761686325,0.14856533706188202,0.38,nan,nan,nan,nan,nan
20,1.5887144804000854,0.25,0.25,1.0,0.001,0.6583016514778137,0.030823945999145508,0.5248730182647705,259.53847700816027,0.0,-0.2802957594394684,-0.6952852010726929,0.4,nan,nan,nan,nan,nan
21,1.4960108995437622,0.5,0.5,1.0,0.001,1.4478604793548584,0.021105051040649414,0.5494918823242188,379.0561787598423,0.0,-0.32070907950401306,0.8081135153770447,0.42,nan,nan,nan,nan,nan
22,1.6002657413482666,0.25,0.25,1.0,0.001,0.7817304134368896,0.03238987922668457,0.5856359004974365,246.99073263012227,0.0,-0.1225426197052002,0.4783177673816681,0.44,nan,nan,nan,nan,nan
23,1.487280011177063,0.5,0.5,1.0,0.001,1.4209442138671875,0.023344993591308594,0.6124429702758789,342.68589403161894,0.0,-0.48357251286506653,nan,0.46,nan,nan,nan,nan,nan
24,1.66363525390625,0.125,0.125,1.0,0.001,1.0991617441177368,0.023205280303955078,0.6401820182800293,344.7491215452584,0.0,-0.16242295503616333,-0.4238993525505066,0.48,nan,nan,nan,nan,nan
