step,train_loss,train_accuracy,top1_accuracy,top5_accuracy,learning_rate,grad_norm,step_time_sec,wall_clock_time_sec,examples_per_sec,peak_memory_mb,resistance_noise_corr,resistance_occlusion_corr,warmup_eta,responsibility_temperature,ambiguity_weight,null_threshold,attractor_entropy_weight,precision_update_threshold
1,1.6066416501998901,0.25,0.25,1.0,0.001,0.9619442820549011,0.02187490463256836,0.024231910705566406,365.7158801089918,0.0,-0.41593822836875916,nan,0.0033333333333333335,nan,nan,nan,nan,nan
2,1.6138880252838135,0.25,0.25,1.0,0.001,0.7412235140800476,0.008828878402709961,0.03553891181945801,906.1173611298642,0.0,-0.6491146087646484,0.47096824645996094,0.006666666666666667,nan,nan,nan,nan,nan
3,1.5744636058807373,0.625,0.625,1.0,0.001,1.012406826019287,0.009209871292114258,0.04669785499572754,868.63320303399,0.0,-0.18448786437511444,0.3733947277069092,0.01,nan,nan,nan,nan,nan
4,1.5679192543029785,0.375,0.375,1.0,0.001,0.6400395035743713,0.008302927017211914,0.05710291862487793,963.5156353194544,0.0,-0.18561725318431854,0.10587196797132492,0.013333333333333334,nan,nan,nan,nan,nan
5,1.5709311962127686,0.5,0.5,1.0,0.001,0.9020418524742126,0.008332967758178711,0.06794095039367676,960.0421161054047,0.0,-0.3471517264842987,0.5611981749534607,0.016666666666666666,nan,nan,nan,nan,nan
6,1.6211562156677246,0.125,0.125,1.0,0.001,0.688651442527771,0.00891876220703125,0.07880592346191406,896.9854576561163,0.0,-0.5172367691993713,-0.22885751724243164,0.02,nan,nan,nan,nan,nan
7,1.6616860628128052,0.125,0.125,1.0,0.001,0.7454744577407837,0.008744955062866211,0.08968114852905273,914.8131628452248,0.0,-0.1719142198562622,0.793857216835022,0.023333333333333334,nan,nan,nan,nan,nan
8,1.637097716331482,0.0,0.0,1.0,0.001,0.6803569793701172,0.008841991424560547,0.10122394561767578,904.7735533624549,0.0,-0.13876676559448242,0.3224031925201416,0.02666666666666667,nan,nan,nan,nan,nan
9,1.5975701808929443,0.25,0.25,1.0,0.001,0.5946834683418274,0.009016036987304688,0.11235809326171875,887.3078062195896,0.0,-0.43410563468933105,-0.5081450343132019,0.03,nan,nan,nan,nan,nan
10,1.5190484523773193,0.375,0.375,1.0,0.001,0.5901727676391602,0.008502006530761719,0.1229701042175293,940.9543466068424,0.0,-0.687066912651062,0.40063050389289856,0.03333333333333333,nan,nan,nan,nan,nan
11,1.6082887649536133,0.0,0.0,1.0,0.001,0.7077575922012329,0.008668899536132812,0.13424205780029297,922.8391639163916,0.0,0.19824178516864777,-0.825222373008728,0.03666666666666667,nan,nan,nan,nan,nan
12,1.5750477313995361,0.375,0.375,1.0,0.001,0.5956453680992126,0.009919166564941406,0.14659500122070312,806.5193731371984,0.0,0.5944428443908691,0.02121121808886528,0.04,nan,nan,nan,nan,nan
13,1.6173436641693115,0.125,0.125,1.0,0.001,0.6564125418663025,0.009462118148803711,0.15929794311523438,845.4766548239978,0.0,-0.42263486981391907,-0.39830437302589417,0.043333333333333335,nan,nan,nan,nan,nan
14,1.6314094066619873,0.25,0.25,1.0,0.001,0.7540128827095032,0.008810043334960938,0.17048382759094238,908.0545572634769,0.0,0.22513970732688904,0.53964763879776,0.04666666666666667,nan,nan,nan,nan,nan
15,1.5682843923568726,0.25,0.25,1.0,0.001,0.5176613926887512,0.008585929870605469,0.18650197982788086,931.7569698989225,0.0,-0.6566725969314575,0.3907097578048706,0.05,nan,nan,nan,nan,nan
16,1.6010459661483765,0.375,0.375,1.0,0.001,0.5090563893318176,0.009217023849487305,0.19815802574157715,867.9591298274657,0.0,-0.12995512783527374,-0.6413296461105347,0.05333333333333334,nan,nan,nan,nan,nan
17,1.661698341369629,0.25,0.25,1.0,0.001,0.6054329872131348,0.009904861450195312,0.21091794967651367,807.684190256114,0.0,0.3652072548866272,-0.02369583584368229,0.056666666666666664,nan,nan,nan,nan,nan
18,1.6283984184265137,0.125,0.125,1.0,0.001,0.5363181233406067,0.008726835250854492,0.22206878662109375,916.7126191842199,0.0,0.2702435851097107,nan,0.06,nan,nan,nan,nan,nan
19,1.5271775722503662,0.5,0.5,1.0,0.001,0.7144762277603149,0.00844717025756836,0.23340296745300293,947.0627152130962,0.0,-0.3126026690006256,0.48066291213035583,0.06333333333333334,nan,nan,nan,nan,nan
20,1.594855785369873,0.25,0.25,1.0,0.001,0.511914074420929,0.009443044662475586,0.2453169822692871,847.1843865983286,0.0,0.554155170917511,0.07608815282583237,0.06666666666666667,nan,nan,nan,nan,nan
