step,train_loss,train_accuracy,top1_accuracy,top5_accuracy,learning_rate,grad_norm,step_time_sec,wall_clock_time_sec,examples_per_sec,peak_memory_mb,resistance_noise_corr,resistance_occlusion_corr,warmup_eta,responsibility_temperature,ambiguity_weight,null_threshold,attractor_entropy_weight,precision_update_threshold
1,1.5691958665847778,0.375,0.375,1.0,0.001,65.34454345703125,0.011213064193725586,0.012950658798217773,713.4535093874254,0.0,0.07276032865047455,-0.12356378883123398,0.0033333333333333335,nan,nan,nan,nan,nan
2,1.614922285079956,0.375,0.375,1.0,0.001,11.290933609008789,0.004676103591918945,0.019464969635009766,1710.8260847397135,0.0,-0.35227763652801514,-0.20471598207950592,0.006666666666666667,nan,nan,nan,nan,nan
3,1.5597319602966309,0.375,0.375,1.0,0.001,5.341100692749023,0.003838062286376953,0.024933815002441406,2084.3851410113057,0.0,-0.26447075605392456,0.14661356806755066,0.01,nan,nan,nan,nan,nan
4,1.7261899709701538,0.125,0.125,1.0,0.001,11.91114330291748,0.006101131439208984,0.03271985054016113,1311.2322000781555,0.0,-0.4624226987361908,-0.6521428227424622,0.013333333333333334,nan,nan,nan,nan,nan
5,1.7079510688781738,0.0,0.0,1.0,0.001,4.080521583557129,0.0035588741302490234,0.03790998458862305,2247.9019226904265,0.0,-0.7991430759429932,0.16675904393196106,0.016666666666666666,nan,nan,nan,nan,nan
6,1.6817047595977783,0.125,0.125,1.0,0.001,3.4836368560791016,0.003724813461303711,0.04331493377685547,2147.7585610958204,0.0,0.0027152863331139088,nan,0.02,nan,nan,nan,nan,nan
7,1.6332391500473022,0.25,0.25,1.0,0.001,2.4838249683380127,0.004518985748291016,0.04998779296875,1770.3087474939327,0.0,-0.7303730845451355,-0.2665257751941681,0.023333333333333334,nan,nan,nan,nan,nan
8,1.6860649585723877,0.0,0.0,1.0,0.001,3.835097074508667,0.0037899017333984375,0.05553269386291504,2110.8726723704076,0.0,-0.5496067404747009,-0.37187737226486206,0.02666666666666667,nan,nan,nan,nan,nan
9,1.6242141723632812,0.125,0.125,1.0,0.001,3.926494598388672,0.004580974578857422,0.06218981742858887,1746.3532840637035,0.0,-0.22410695254802704,0.18860915303230286,0.03,nan,nan,nan,nan,nan
10,1.5764676332473755,0.375,0.375,1.0,0.001,3.6309268474578857,0.0035228729248046875,0.0679478645324707,2270.8738494856525,0.0,0.053565461188554764,nan,0.03333333333333333,nan,nan,nan,nan,nan
11,1.6119627952575684,0.125,0.125,1.0,0.001,3.8579189777374268,0.0035009384155273438,0.07330894470214844,2285.101607191501,0.0,0.16894997656345367,-0.3083952069282532,0.03666666666666667,nan,nan,nan,nan,nan
