step,train_mse,val_mse,best_val_mse,warmup_eta
1,0.9061954021453857,0.9589885473251343,0.9589885473251343,0.02
25,0.5350326299667358,0.4929482638835907,0.4929482638835907,0.5
50,0.23200774192810059,0.25118619203567505,0.25118619203567505,1.0
75,0.1724490523338318,0.15209700167179108,0.15209700167179108,1.0
100,0.09651993215084076,0.07713083177804947,0.07713083177804947,1.0
125,0.03572878986597061,0.03970017284154892,0.03970017284154892,1.0
150,0.025272613391280174,0.02508247271180153,0.02508247271180153,1.0
175,0.01161511242389679,0.01735420897603035,0.01735420897603035,1.0
200,0.006610632874071598,0.013241011649370193,0.013241011649370193,1.0
225,0.005086375866085291,0.010617789812386036,0.010617789812386036,1.0
250,0.0035284985788166523,0.00890783779323101,0.00890783779323101,1.0
275,0.00464455783367157,0.007933654822409153,0.007933654822409153,1.0
300,0.002183298347517848,0.006818845402449369,0.006818845402449369,1.0
325,0.0017880921950563788,0.006539853289723396,0.006539853289723396,1.0
350,0.0016529613640159369,0.0059323785826563835,0.0059323785826563835,1.0
375,0.002805036259815097,0.0057950434274971485,0.0057950434274971485,1.0
400,0.0014408299466595054,0.005390975624322891,0.005390975624322891,1.0
425,0.0006876481347717345,0.005291718058288097,0.005291718058288097,1.0
450,0.0006714759510941803,0.005040441174060106,0.005040441174060106,1.0
475,0.001309953280724585,0.004953403025865555,0.004953403025865555,1.0
500,0.0009739282540977001,0.004911794327199459,0.004911794327199459,1.0
