step,train_mse,val_mse,best_val_mse,warmup_eta
1,1.022247076034546,1.0016939640045166,1.0016939640045166,0.005
50,0.5096726417541504,0.47284579277038574,0.47284579277038574,0.25
100,0.19864359498023987,0.22201931476593018,0.22201931476593018,0.5
150,0.12365347146987915,0.15588007867336273,0.15588007867336273,0.75
200,0.13523876667022705,0.12850168347358704,0.12850168347358704,1.0
250,0.10168932378292084,0.11601715534925461,0.11601715534925461,1.0
300,0.10632113367319107,0.1065588891506195,0.1065588891506195,1.0
350,0.109872967004776,0.09879960119724274,0.09879960119724274,1.0
400,0.06865761429071426,0.08828026056289673,0.08828026056289673,1.0
450,0.08775033801794052,0.07958929985761642,0.07958929985761642,1.0
500,0.06214912235736847,0.06684112548828125,0.06684112548828125,1.0
550,0.06556368619203568,0.0570732057094574,0.0570732057094574,1.0
600,0.03817443549633026,0.04574113339185715,0.04574113339185715,1.0
650,0.034770283848047256,0.03513413667678833,0.03513413667678833,1.0
700,0.020967204123735428,0.02703569084405899,0.02703569084405899,1.0
750,0.018238626420497894,0.020381014794111252,0.020381014794111252,1.0
800,0.015060922130942345,0.016275208443403244,0.016275208443403244,1.0
850,0.013597117736935616,0.012393644079566002,0.012393644079566002,1.0
900,0.009148075245320797,0.010052969679236412,0.010052969679236412,1.0
950,0.007757627870887518,0.008276022970676422,0.008276022970676422,1.0
1000,0.005495828110724688,0.006887511350214481,0.006887511350214481,1.0
1050,0.0063623529858887196,0.006490140222012997,0.006490140222012997,1.0
1100,0.0049842484295368195,0.006157473661005497,0.006157473661005497,1.0
1150,0.0051305266097188,0.004898379556834698,0.004898379556834698,1.0
1200,0.0031817760318517685,0.004282839596271515,0.004282839596271515,1.0
1250,0.0037152832373976707,0.0035923165269196033,0.0035923165269196033,1.0
1300,0.0025640837848186493,0.0036860895343124866,0.0035923165269196033,1.0
1350,0.0029657436534762383,0.003085472621023655,0.003085472621023655,1.0
1400,0.0027260605711489916,0.002810501027852297,0.002810501027852297,1.0
1450,0.0024779050145298243,0.0032557272352278233,0.002810501027852297,1.0
1500,0.0019292639335617423,0.0024490721989423037,0.0024490721989423037,1.0
1550,0.0020567476749420166,0.0023590615019202232,0.0024490721989423037,1.0
1600,0.0020263004116714,0.0019875396974384785,0.0019875396974384785,1.0
1650,0.0017237195279449224,0.001875732559710741,0.001875732559710741,1.0
1700,0.0016449878457933664,0.0017053678166121244,0.0017053678166121244,1.0
1750,0.0012739046942442656,0.0016783609753474593,0.0017053678166121244,1.0
1800,0.0014790641143918037,0.0014047188451513648,0.0014047188451513648,1.0
1850,0.0020126241724938154,0.001469734706915915,0.0014047188451513648,1.0
1900,0.0010606884025037289,0.0012939738808199763,0.0012939738808199763,1.0
1950,0.0015146887162700295,0.0012152688577771187,0.0012939738808199763,1.0
2000,0.00112257432192564,0.00103793665766716,0.00103793665766716,1.0
2050,0.0012270831502974033,0.0012060536537319422,0.00103793665766716,1.0
2100,0.0012689195573329926,0.0010396901052445173,0.00103793665766716,1.0
2150,0.0012116580037400126,0.0011496847728267312,0.00103793665766716,1.0
2200,0.0011538224061951041,0.000819564622361213,0.000819564622361213,1.0
2250,0.0009575457079336047,0.0009032355737872422,0.000819564622361213,1.0
2300,0.0008358433842658997,0.0009842346189543605,0.000819564622361213,1.0
2350,0.0007153032347559929,0.0008617143612354994,0.000819564622361213,1.0
2400,0.0009844668675214052,0.0007140655070543289,0.0007140655070543289,1.0
2450,0.0008521757554262877,0.0008914861246012151,0.0007140655070543289,1.0
2500,0.0007773264078423381,0.0006783761782571673,0.0007140655070543289,1.0
2550,0.0007697109249420464,0.0007110804435797036,0.0007140655070543289,1.0
2600,0.0009047658531926572,0.0007069812854751945,0.0007140655070543289,1.0
2650,0.0006001802394166589,0.0007731497753411531,0.0007140655070543289,1.0
2700,0.0009376970701850951,0.0008427973370999098,0.0007140655070543289,1.0
2750,0.0005962330615147948,0.0005717946332879364,0.0005717946332879364,1.0
2800,0.0005912147462368011,0.0005883560515940189,0.0005717946332879364,1.0
2850,0.0006459672003984451,0.0006310496246442199,0.0005717946332879364,1.0
2900,0.0005112051730975509,0.0005761150969192386,0.0005717946332879364,1.0
2950,0.0006811352213844657,0.0005739638581871986,0.0005717946332879364,1.0
3000,0.0006171857239678502,0.0006811254424974322,0.0005717946332879364,1.0
3050,0.0006528198719024658,0.0005355915054678917,0.0005717946332879364,1.0
3100,0.0005010283784940839,0.0006856190739199519,0.0005717946332879364,1.0
3150,0.0005366120021790266,0.0005282046040520072,0.0005717946332879364,1.0
3200,0.0005927978199906647,0.0005466473521664739,0.0005717946332879364,1.0
3250,0.0005245243664830923,0.0005526068853214383,0.0005717946332879364,1.0
3300,0.0004137278301641345,0.0004671196511480957,0.0004671196511480957,1.0
3350,0.0003835849929600954,0.0004121813108213246,0.0004671196511480957,1.0
3400,0.0005110112251713872,0.00056323257740587,0.0004671196511480957,1.0
3450,0.0006177863688208163,0.00048030694597400725,0.0004671196511480957,1.0
3500,0.0004918826161883771,0.0004529962898232043,0.0004671196511480957,1.0
3550,0.0005611937376670539,0.0005710330442525446,0.0004671196511480957,1.0
3600,0.0003462198073975742,0.0004281344008632004,0.0004671196511480957,1.0
3650,0.0003397375694476068,0.000416539260186255,0.0004671196511480957,1.0
3700,0.00043031672248616815,0.00035359367029741406,0.00035359367029741406,1.0
3750,0.000473356427391991,0.0006146130617707968,0.00035359367029741406,1.0
3800,0.000499360088724643,0.00036090874345973134,0.00035359367029741406,1.0
3850,0.0004143121186643839,0.0006103850901126862,0.00035359367029741406,1.0
3900,0.00039732008008286357,0.0005075848894193769,0.00035359367029741406,1.0
3950,0.0006380619015544653,0.00040626563713885844,0.00035359367029741406,1.0
4000,0.0004496202745940536,0.0003967589873354882,0.00035359367029741406,1.0
4050,0.0002682823105715215,0.00037800922291353345,0.00035359367029741406,1.0
4100,0.0003869037900585681,0.000324486056342721,0.00035359367029741406,1.0
4150,0.0005468965391628444,0.0005113681545481086,0.00035359367029741406,1.0
4200,0.0005477679660543799,0.0005707073723897338,0.00035359367029741406,1.0
4250,0.00041296370909549296,0.00033638422610238194,0.00035359367029741406,1.0
4300,0.0007361084572039545,0.0011069782776758075,0.00035359367029741406,1.0
