step,train_loss,train_accuracy,top1_accuracy,top5_accuracy,learning_rate,grad_norm,step_time_sec,wall_clock_time_sec,examples_per_sec,peak_memory_mb,resistance_noise_corr,resistance_occlusion_corr
1,1.5980708599090576,0.3125,0.3125,1.0,0.001,4.306559085845947,0.0943138599395752,0.09776091575622559,169.64632780644166,0.0,0.09686129540205002,0.1071787104010582
2,1.546707272529602,0.4375,0.4375,1.0,0.001,4.310675621032715,0.08101606369018555,0.1832740306854248,197.49169820426948,0.0,0.16615058481693268,0.013205115683376789
3,1.6633248329162598,0.125,0.125,1.0,0.001,1.074537754058838,0.06814312934875488,0.2548489570617676,234.79990063433084,0.0,0.008930987678468227,0.10216639935970306
4,1.5462086200714111,0.375,0.375,1.0,0.001,1.1858303546905518,0.06709575653076172,0.32552504539489746,238.46515528391728,0.0,0.06456290930509567,0.25533491373062134
5,1.670721173286438,0.125,0.125,1.0,0.001,1.077854037284851,0.06805205345153809,0.3972649574279785,235.11413966948228,0.0,0.04069245234131813,0.15686754882335663
6,1.6102185249328613,0.25,0.25,1.0,0.001,0.7351843118667603,0.06701326370239258,0.46887803077697754,238.75870411350746,0.0,-0.15749578177928925,0.10709892958402634
7,1.5983572006225586,0.25,0.25,1.0,0.001,0.555481493473053,0.07134795188903809,0.5440809726715088,224.25310855290638,0.0,0.1690811961889267,0.3427127003669739
8,1.6955806016921997,0.0,0.0,1.0,0.001,1.8976625204086304,0.0683591365814209,0.6169447898864746,234.0579591865206,0.0,0.045612309128046036,0.15638993680477142
9,1.6135276556015015,0.1875,0.1875,1.0,0.001,0.606521725654602,0.07456207275390625,0.6953411102294922,214.5863092192776,0.0,0.5423230528831482,0.14288786053657532
10,1.5943557024002075,0.125,0.125,1.0,0.001,1.7006863355636597,0.07789897918701172,0.7774348258972168,205.3942191153606,0.0,-0.2966492474079132,-0.14310070872306824
11,1.6225357055664062,0.1875,0.1875,1.0,0.001,1.0432078838348389,0.07423901557922363,0.8557970523834229,215.52009917111192,0.0,-0.02838156186044216,-0.09204940497875214
12,1.6338444948196411,0.0625,0.0625,1.0,0.001,1.27903151512146,0.07027602195739746,0.93019700050354,227.6736723899864,0.0,0.2886556386947632,0.0029135483782738447
13,1.6044723987579346,0.25,0.25,1.0,0.001,0.4270970821380615,0.06687784194946289,1.0009679794311523,239.24216950796063,0.0,-0.7200124263763428,0.30098387598991394
14,1.6053162813186646,0.25,0.25,1.0,0.001,0.3702894151210785,0.07378387451171875,1.0789859294891357,216.84955020163375,0.0,-0.13082849979400635,-0.3525524139404297
15,1.6108816862106323,0.1875,0.1875,1.0,0.001,0.8225868940353394,0.0711219310760498,1.1544671058654785,224.96577016295294,0.0,0.07428716868162155,-0.2666964530944824
16,1.596495270729065,0.25,0.25,1.0,0.001,1.1406241655349731,0.06375002861022949,1.2229349613189697,250.98027951994675,0.0,-0.25690287351608276,-0.08396287262439728
17,1.610435962677002,0.125,0.125,1.0,0.001,1.114569067955017,0.06543326377868652,1.2997608184814453,244.52394815756776,0.0,0.24627569317817688,0.22229088842868805
18,1.621959924697876,0.375,0.375,1.0,0.001,0.9026439785957336,0.06741714477539062,1.3714799880981445,237.3283539863068,0.0,0.17585304379463196,-0.18434788286685944
19,1.6204339265823364,0.1875,0.1875,1.0,0.001,1.3446036577224731,0.07075214385986328,1.4786508083343506,226.14155737373466,0.0,-0.1387307494878769,0.27345946431159973
20,1.5816668272018433,0.25,0.25,1.0,0.001,0.6228981018066406,0.07089900970458984,1.5540738105773926,225.673109774962,0.0,0.012693420983850956,-0.012753198854625225
21,1.6184401512145996,0.25,0.25,1.0,0.001,1.4963840246200562,0.07860374450683594,1.6583569049835205,203.5526437116304,0.0,-0.04723973572254181,0.2744101583957672
22,1.6294362545013428,0.125,0.125,1.0,0.001,1.0959153175354004,0.10769987106323242,1.7712340354919434,148.56099493941016,0.0,0.41394031047821045,0.12011408805847168
23,1.6087082624435425,0.3125,0.3125,1.0,0.001,0.9434798955917358,0.09206700325012207,1.877652883529663,173.7864754491049,0.0,-0.0804794654250145,0.4669778645038605
24,1.6141235828399658,0.125,0.125,1.0,0.001,1.0161447525024414,0.08831381797790527,1.9717020988464355,181.17210156176182,0.0,-0.20782583951950073,0.07596961408853531
25,1.5458515882492065,0.375,0.375,1.0,0.001,1.2038754224777222,0.08715987205505371,2.0648908615112305,183.5707146276414,0.0,0.30057013034820557,0.03731658309698105
26,1.6427409648895264,0.0625,0.0625,1.0,0.001,1.6639825105667114,0.08576512336730957,2.157834053039551,186.55601918131907,0.0,0.029624782502651215,-0.0383933000266552
27,1.6356972455978394,0.0625,0.0625,1.0,0.001,1.7380965948104858,0.0810389518737793,2.2446329593658447,197.43591976510876,0.0,-0.2057095468044281,-0.06857611238956451
28,1.5993903875350952,0.3125,0.3125,1.0,0.001,1.015082597732544,0.07459616661071777,2.324491024017334,214.48823347044703,0.0,-0.10651329159736633,-0.3382837176322937
29,1.642834186553955,0.1875,0.1875,1.0,0.001,1.032187581062317,0.07174205780029297,2.402337074279785,223.02120249378547,0.0,-0.03346065804362297,-0.06689666211605072
