step,train_loss,train_accuracy,top1_accuracy,top5_accuracy,learning_rate,grad_norm,step_time_sec,wall_clock_time_sec,examples_per_sec,peak_memory_mb,resistance_noise_corr,resistance_occlusion_corr
1,1.6054673194885254,0.25,0.25,1.0,0.001,186.9312744140625,0.05105113983154297,0.05405092239379883,313.41121966710875,0.0,-0.13188304007053375,-0.3626311123371124
2,1.675293207168579,0.0,0.0,1.0,0.001,3.473127841949463,0.04602193832397461,0.10338711738586426,347.66028078537016,0.0,0.5571720600128174,-0.7969374060630798
3,1.5777605772018433,0.5,0.5,1.0,0.001,2.9171226024627686,0.04467892646789551,0.15112590789794922,358.11066345779284,0.0,-0.28139275312423706,0.0009069507359527051
4,1.651216745376587,0.125,0.125,1.0,0.001,1.449981927871704,0.044554948806762695,0.1990811824798584,359.10713463936173,0.0,0.14259915053844452,-0.3924795985221863
5,1.643269419670105,0.0625,0.0625,1.0,0.001,1.0994211435317993,0.04833984375,0.25073719024658203,330.989898989899,0.0,0.05665186047554016,-0.31118863821029663
6,1.6081854104995728,0.25,0.25,1.0,0.001,1.7987204790115356,0.044840097427368164,0.29910707473754883,356.8234887517081,0.0,-0.5017042756080627,-0.1904059499502182
7,1.6198453903198242,0.1875,0.1875,1.0,0.001,0.42747387290000916,0.04441690444946289,0.3466982841491699,360.2232122728102,0.0,-0.4806651771068573,-0.27385038137435913
8,1.6148593425750732,0.1875,0.1875,1.0,0.001,1.459977388381958,0.045439958572387695,0.39531993865966797,352.1129970774809,0.0,-0.17883293330669403,0.3361514210700989
9,1.598536491394043,0.3125,0.3125,1.0,0.001,0.9777811169624329,0.0440821647644043,0.44265007972717285,362.9585816738239,0.0,-0.20876072347164154,-0.11387787759304047
10,1.6070374250411987,0.25,0.25,1.0,0.001,0.4499337673187256,0.04633975028991699,0.4925112724304199,345.2759218575552,0.0,-0.09198412299156189,0.5382028222084045
11,1.6240333318710327,0.125,0.125,1.0,0.001,0.9255614280700684,0.046067237854003906,0.5422520637512207,347.318414242832,0.0,-0.038017041981220245,-0.030930940061807632
12,1.6074241399765015,0.125,0.125,1.0,0.001,0.8355371356010437,0.04620695114135742,0.5923099517822266,346.2682476290724,0.0,-0.591704249382019,0.2513895332813263
13,1.606318712234497,0.1875,0.1875,1.0,0.001,0.7853370904922485,0.04417300224304199,0.6402430534362793,362.21219268654704,0.0,0.061152227222919464,0.25449785590171814
14,1.6175249814987183,0.0625,0.0625,1.0,0.001,0.7474793791770935,0.04517316818237305,0.6891958713531494,354.19255818863144,0.0,-0.21182376146316528,-0.2907414138317108
15,1.598807692527771,0.3125,0.3125,1.0,0.001,0.701059877872467,0.04615592956542969,0.7390000820159912,346.65101863713375,0.0,-0.10059089213609695,-0.1784413754940033
16,1.6135258674621582,0.125,0.125,1.0,0.001,0.8246312737464905,0.04586219787597656,0.7886331081390381,348.8711998336452,0.0,-0.3704134523868561,0.3676709830760956
17,1.58739173412323,0.3125,0.3125,1.0,0.001,0.5332251191139221,0.04664111137390137,0.8390071392059326,343.0449989009697,0.0,0.21591609716415405,-0.0411568209528923
18,1.5955979824066162,0.1875,0.1875,1.0,0.001,0.4770485758781433,0.04542684555053711,0.8881251811981201,352.2146388571069,0.0,-0.27566033601760864,0.11167331039905548
19,1.639941692352295,0.125,0.125,1.0,0.001,0.5895477533340454,0.04554295539855957,0.9373879432678223,351.31668245899664,0.0,0.3055482506752014,-0.05142561346292496
20,1.5823404788970947,0.0625,0.0625,1.0,0.001,1.5281630754470825,0.04457592964172363,0.9861710071563721,358.9381114112267,0.0,-0.13685689866542816,0.040572311729192734
21,1.6111055612564087,0.25,0.25,1.0,0.001,0.27606001496315,0.04730415344238281,1.0374610424041748,338.2366840046772,0.0,-0.12693043053150177,0.253055602312088
22,1.6295368671417236,0.25,0.25,1.0,0.001,0.5747061967849731,0.045607805252075195,1.0870361328125,350.8171443806099,0.0,-0.1970948576927185,0.026709996163845062
23,1.5902001857757568,0.25,0.25,1.0,0.001,0.5326747894287109,0.045928955078125,1.1374220848083496,348.3641196013289,0.0,0.058305773884058,0.1763569563627243
24,1.5704611539840698,0.25,0.25,1.0,0.001,0.9096348881721497,0.044538259506225586,1.186232089996338,359.2416986515495,0.0,0.17674140632152557,-0.16394998133182526
25,1.5999528169631958,0.25,0.25,1.0,0.001,0.27695348858833313,0.04569602012634277,1.2361111640930176,350.1399018068172,0.0,-0.5140465497970581,0.4487053453922272
26,1.6681853532791138,0.0,0.0,1.0,0.001,1.7444689273834229,0.04319000244140625,1.283607006072998,370.45610316198554,0.0,-0.01049537118524313,-0.38644084334373474
27,1.6639530658721924,0.0625,0.0625,1.0,0.001,1.1954736709594727,0.04403185844421387,1.332240104675293,363.3732612097486,0.0,0.16660967469215393,0.06299836188554764
28,1.578560709953308,0.375,0.375,1.0,0.001,0.9026114344596863,0.04359698295593262,1.3802080154418945,366.99787267785564,0.0,0.2730378210544586,-0.14057081937789917
29,1.6290570497512817,0.25,0.25,1.0,0.001,0.5760059356689453,0.04444098472595215,1.4293019771575928,360.02802590142653,0.0,-0.06998466700315475,0.24961380660533905
30,1.5738986730575562,0.3125,0.3125,1.0,0.001,0.5922529697418213,0.044206857681274414,1.4782299995422363,361.9347956228393,0.0,-0.3258799910545349,0.1827385425567627
31,1.6209681034088135,0.25,0.25,1.0,0.001,0.5449854135513306,0.044801950454711914,1.5278551578521729,357.1273089142316,0.0,-0.1623980700969696,0.33761727809906006
32,1.554505467414856,0.4375,0.4375,1.0,0.001,1.0397435426712036,0.045783042907714844,1.5781819820404053,349.4743683212865,0.0,0.028625886887311935,-0.17307281494140625
33,1.553270697593689,0.375,0.375,1.0,0.001,0.6964414715766907,0.047369956970214844,1.6303560733795166,337.7668257131928,0.0,0.046236976981163025,0.1798933446407318
34,1.5865192413330078,0.3125,0.3125,1.0,0.001,0.39936262369155884,0.04578709602355957,1.6809592247009277,349.44343252883436,0.0,-0.43714672327041626,0.35801610350608826
35,1.6281346082687378,0.1875,0.1875,1.0,0.001,0.5741970539093018,0.04579591751098633,1.73197603225708,349.3761206151539,0.0,-0.13332109153270721,0.09147302806377411
36,1.6422444581985474,0.1875,0.1875,1.0,0.001,0.6212248206138611,0.04595470428466797,1.782954216003418,348.1689252287961,0.0,0.04243095591664314,0.26852333545684814
37,1.656624674797058,0.125,0.125,1.0,0.001,1.0053491592407227,0.04446911811828613,1.8321099281311035,359.8002541323311,0.0,-0.07623802870512009,0.004536954220384359
38,1.4629936218261719,0.5625,0.5625,1.0,0.001,1.806816577911377,0.047080278396606445,1.8841791152954102,339.84505922448585,0.0,-0.15803410112857819,0.1576099395751953
39,1.6254935264587402,0.1875,0.1875,1.0,0.001,0.6276700496673584,0.04425811767578125,1.9333720207214355,361.51560075848994,0.0,0.7991673350334167,-0.279703825712204
40,1.6428903341293335,0.1875,0.1875,1.0,0.001,0.6151295304298401,0.04348421096801758,1.9818248748779297,367.9496452578597,0.0,-0.31312406063079834,0.6218543648719788
41,1.5460164546966553,0.375,0.375,1.0,0.001,0.6377232074737549,0.04548001289367676,2.03194522857666,351.8028905885498,0.0,-0.2158489227294922,0.5023195147514343
42,1.600044846534729,0.25,0.25,1.0,0.001,0.2672773599624634,0.0457758903503418,2.0827581882476807,349.5289742601485,0.0,0.2816297709941864,0.3572494387626648
43,1.6534134149551392,0.125,0.125,1.0,0.001,0.9926120638847351,0.046694040298461914,2.1346840858459473,342.6561483591951,0.0,0.003179373452439904,0.21857233345508575
44,1.593860149383545,0.3125,0.3125,1.0,0.001,0.6054039001464844,0.050247907638549805,2.1904361248016357,318.4212189509146,0.0,-0.3686329424381256,-0.011236093938350677
45,1.5756182670593262,0.3125,0.3125,1.0,0.001,0.3360575735569,0.049121856689453125,2.245131015777588,325.72058709326706,0.0,-0.3261427879333496,-0.43693020939826965
46,1.636238694190979,0.1875,0.1875,1.0,0.001,0.5252164602279663,0.04797005653381348,2.298610210418701,333.54140386976206,0.0,-0.04396342486143112,0.1956203132867813
47,1.585011601448059,0.3125,0.3125,1.0,0.001,0.3859494626522064,0.04872393608093262,2.3536360263824463,328.3806951356165,0.0,0.07952988147735596,-0.3389110565185547
48,1.5583194494247437,0.375,0.375,1.0,0.001,0.7020061016082764,0.04921889305114746,2.4081709384918213,325.07842025973775,0.0,-0.1769997477531433,0.30829060077667236
49,1.636768102645874,0.125,0.125,1.0,0.001,0.8960736393928528,0.045842885971069336,2.4604060649871826,349.0181663104135,0.0,-0.0671258196234703,0.11953306943178177
50,1.629384160041809,0.1875,0.1875,1.0,0.001,0.4829307198524475,0.04856514930725098,2.5147151947021484,329.4543562251776,0.0,-0.010877012275159359,-0.03466308116912842
