step,train_loss,train_accuracy,top1_accuracy,top5_accuracy,learning_rate,grad_norm,step_time_sec,wall_clock_time_sec,examples_per_sec,peak_memory_mb,resistance_noise_corr,resistance_occlusion_corr
1,1.6348928213119507,0.125,0.125,1.0,0.001,319.5925598144531,0.054808855056762695,0.058077335357666016,291.92363138090786,0.0,-0.06799405068159103,0.13421283662319183
2,1.6222237348556519,0.125,0.125,1.0,0.001,2.7655131816864014,0.05441474914550781,0.11639618873596191,294.03792632058605,0.0,nan,nan
3,1.61255943775177,0.3125,0.3125,1.0,0.001,3.7071166038513184,0.05309176445007324,0.17258310317993164,301.365007656624,0.0,nan,nan
4,1.676301121711731,0.0,0.0,1.0,0.001,2.633535146713257,0.050440073013305664,0.22652530670166016,317.20810546367244,0.0,nan,nan
5,1.629345417022705,0.1875,0.1875,1.0,0.001,2.488016128540039,0.0524601936340332,0.28240323066711426,304.993155603225,0.0,nan,nan
6,1.6286028623580933,0.0625,0.0625,1.0,0.001,1.5606870651245117,0.0525820255279541,0.3390820026397705,304.2864902854293,0.0,nan,nan
7,1.5851542949676514,0.3125,0.3125,1.0,0.001,1.1700056791305542,0.049677133560180664,0.39231109619140625,322.07977500587924,0.0,0.041443414986133575,-0.008691657334566116
8,1.6206331253051758,0.25,0.25,1.0,0.001,0.9576988816261292,0.05107283592224121,0.44727230072021484,313.27808043320965,0.0,nan,nan
9,1.6282448768615723,0.1875,0.1875,1.0,0.001,0.5924018621444702,0.04939103126525879,0.5001552104949951,323.9454530534222,0.0,nan,nan
10,1.655192255973816,0.0625,0.0625,1.0,0.001,0.9691823720932007,0.05147385597229004,0.5556333065032959,310.83740857909095,0.0,0.047996848821640015,-0.036301083862781525
11,1.6122287511825562,0.1875,0.1875,1.0,0.001,0.4748706519603729,0.0507357120513916,0.6102941036224365,315.3597210539424,0.0,nan,nan
12,1.5720499753952026,0.375,0.375,1.0,0.001,0.7877288460731506,0.05204510688781738,0.666067361831665,307.4256343538272,0.0,nan,nan
13,1.6366941928863525,0.125,0.125,1.0,0.001,0.7313616275787354,0.0527951717376709,0.722811222076416,303.05801597731204,0.0,nan,nan
