step,next_token_loss,train_loss,token_accuracy,char_accuracy,perplexity,bits_per_char,learning_rate,grad_norm,step_time_sec,wall_clock_time_sec,tokens_per_sec,peak_memory_mb,corruption_resistance_corr
1,4.433876991271973,4.433876991271973,0.024640657007694244,0.024640657007694244,84.25744988619022,6.396732347219753,0.001,2.9633922576904297,0.019166946411132812,0.02231311798095703,25408.32480843865,0.0,-0.10681155323982239
2,4.4040141105651855,4.4040141105651855,0.08313538879156113,0.08313538879156113,81.77847854866708,6.353649317317412,0.001,2.419402837753296,0.016785144805908203,0.04280400276184082,25081.701997102355,0.0,-0.14441323280334473
3,4.3877153396606445,4.3877153396606445,0.1235697939991951,0.1235697939991951,80.456393311603,6.330135161360846,0.001,1.2786401510238647,0.017575979232788086,0.06408905982971191,24863.479537161384,0.0,0.0027354455087333918
4,4.376119613647461,4.376119613647461,0.15521064400672913,0.15521064400672913,79.52883128966182,6.313406064946118,0.001,0.9947161078453064,0.01574873924255371,0.08416104316711426,28637.21298917569,0.0,-0.028159847483038902
5,4.3679375648498535,4.3679375648498535,0.1661721020936966,0.1661721020936966,78.88077733116587,6.3016018637214986,0.001,0.775216281414032,0.016427993774414062,0.10403203964233398,20513.764774178566,0.0,0.06698160618543625
6,4.365990161895752,4.365990161895752,0.1540404111146927,0.1540404111146927,78.72731414819647,6.298792355137004,0.001,0.547664999961853,0.01813983917236328,0.1260371208190918,21830.403028231955,0.0,-0.10703114420175552
7,4.35352087020874,4.35352087020874,0.17773018777370453,0.17773018777370453,77.75173533323111,6.2808029698567545,0.001,0.779949963092804,0.015943050384521484,0.1457211971282959,29291.759653058172,0.0,-0.013699108734726906
8,4.35524845123291,4.35524845123291,0.16814158856868744,0.16814158856868744,77.88617384906713,6.283295342433058,0.001,0.7145791053771973,0.01554417610168457,0.16575217247009277,29078.414773685905,0.0,-0.0738232210278511
9,4.34168004989624,4.34168004989624,0.20813396573066711,0.20813396573066711,76.83652014856212,6.263720277111854,0.001,0.7051982283592224,0.01762104034423828,0.1871480941772461,23721.641392000867,0.0,0.002014643745496869
10,4.324146270751953,4.324146270751953,0.24472573399543762,0.24472573399543762,75.50102790151871,6.238424380892348,0.001,0.6104007363319397,0.0169522762298584,0.20827007293701172,27960.84688409772,0.0,-0.012435215525329113
11,4.324658393859863,4.324658393859863,0.23641304671764374,0.23641304671764374,75.53970362509864,6.239163218360455,0.001,0.6731231808662415,0.016746044158935547,0.22865700721740723,21975.339161137847,0.0,0.01332505326718092
12,4.314093589782715,4.314093589782715,0.21252796053886414,0.21252796053886414,74.74584233464687,6.223921427910389,0.001,0.7191483378410339,0.015213251113891602,0.24822211265563965,29382.279741102353,0.0,0.052483636885881424
13,4.297072887420654,4.297072887420654,0.24528302252292633,0.24528302252292633,73.48438152800519,6.199365745020197,0.001,0.6180611252784729,0.01650404930114746,0.2684640884399414,19267.998670961962,0.0,0.002124400809407234
14,4.282176494598389,4.282176494598389,0.3095238208770752,0.3095238208770752,72.39784216512345,6.177874792968381,0.001,0.7600368857383728,0.017528057098388672,0.2899160385131836,19169.266628580757,0.0,0.017697179690003395
15,4.295886039733887,4.295886039733887,0.23960880935192108,0.23960880935192108,73.39721849462893,6.197653485748207,0.001,0.5707285404205322,0.0176389217376709,0.3118269443511963,23187.35839314437,0.0,0.01850651577115059
16,4.281711101531982,4.281711101531982,0.25598084926605225,0.25598084926605225,72.36415655049078,6.177203372699412,0.001,0.5487030148506165,0.016231775283813477,0.33229804039001465,25751.958284984063,0.0,0.05410005897283554
17,4.264318943023682,4.264318943023682,0.2749490737915039,0.2749490737915039,71.11646910895035,6.152111791869132,0.001,0.6059900522232056,0.016893863677978516,0.3533601760864258,29063.80738942674,0.0,-0.010225880891084671
18,4.255122184753418,4.255122184753418,0.25287356972694397,0.25287356972694397,70.46542646321768,6.138843674320368,0.001,0.5863444805145264,0.016047000885009766,0.37366414070129395,27107.869134995395,0.0,-0.03318677470088005
19,4.24328088760376,4.24328088760376,0.2823779284954071,0.2823779284954071,69.63594516914272,6.121760293644863,0.001,0.45963943004608154,0.016624927520751953,0.39470911026000977,28330.950580811703,0.0,-0.03930198401212692
20,4.250391960144043,4.250391960144043,0.29567307233810425,0.29567307233810425,70.13289626015693,6.132019402734132,0.001,0.5179012417793274,0.015105009078979492,0.41416096687316895,27540.532933470127,0.0,0.010484878905117512
21,4.233783721923828,4.233783721923828,0.2783018946647644,0.2783018946647644,68.9777315896551,6.108058779815925,0.001,0.5981272459030151,0.0173189640045166,0.4361579418182373,24481.833895458487,0.0,-0.025597618892788887
22,4.213653087615967,4.213653087615967,0.2739361822605133,0.2739361822605133,67.60304913749697,6.079016413530025,0.001,0.7289124131202698,0.01687002182006836,0.4575071334838867,22288.05653071031,0.0,-0.018842170014977455
23,4.194700717926025,4.194700717926025,0.3435448706150055,0.3435448706150055,66.33387606623991,6.051673923765252,0.001,0.5294179320335388,0.01661396026611328,0.47843408584594727,27506.987658572987,0.0,0.017397701740264893
24,4.200469017028809,4.200469017028809,0.3141361176967621,0.3141361176967621,66.71761540164758,6.059995820275201,0.001,0.5150133967399597,0.015443801879882812,0.49869322776794434,24734.842040261825,0.0,-0.1446574479341507
25,4.174103736877441,4.174103736877441,0.3132183849811554,0.3132183849811554,64.98157296627697,6.021958761349175,0.001,0.6236364841461182,0.016581058502197266,0.5196061134338379,20987.80364075576,0.0,-0.045862939208745956
26,4.160033702850342,4.160033702850342,0.3298538625240326,0.3298538625240326,64.07368202926324,6.00165999303314,0.001,0.5071459412574768,0.015513896942138672,0.5402729511260986,30875.543506992468,0.0,-0.03732116520404816
27,4.156801700592041,4.156801700592041,0.3384615480899811,0.3384615480899811,63.86693003567691,5.996997199402948,0.001,0.6218942403793335,0.01590132713317871,0.5609622001647949,32701.672988979684,0.0,-0.04125635325908661
28,4.137109756469727,4.137109756469727,0.33264032006263733,0.33264032006263733,62.62156806021774,5.968587729272222,0.001,0.5888602137565613,0.014877796173095703,0.5806441307067871,32330.057113554052,0.0,-0.021145416423678398
29,4.135891914367676,4.135891914367676,0.3117154836654663,0.3117154836654663,62.545351297548805,5.966830754511007,0.001,0.626078724861145,0.016391992568969727,0.60219407081604,29160.57934926476,0.0,-0.06566476076841354
30,4.100215911865234,4.100215911865234,0.35974302887916565,0.35974302887916565,60.353317187976884,5.915361162621993,0.001,0.6057486534118652,0.015060901641845703,0.6227431297302246,31007.439734050975,0.0,-0.015248371288180351
31,4.130971431732178,4.130971431732178,0.29025423526763916,0.29025423526763916,62.23835388966184,5.959731998613994,0.001,0.49782127141952515,0.017368078231811523,0.6451590061187744,27176.293986025506,0.0,-0.04566511884331703
