step,next_token_loss,train_loss,token_accuracy,char_accuracy,perplexity,bits_per_char,learning_rate,grad_norm,step_time_sec,wall_clock_time_sec,tokens_per_sec,peak_memory_mb,corruption_resistance_corr
1,4.432525634765625,4.432525634765625,0.009868420660495758,0.009868420660495758,84.14366493241289,6.394782751889572,0.001,2.6102254390716553,0.0163729190826416,0.019830942153930664,37134.49000334921,0.0,0.012371706776320934
2,4.402010917663574,4.402010917663574,0.06855791807174683,0.06855791807174683,81.61482445102286,6.350759320852314,0.001,1.3177199363708496,0.016640186309814453,0.03986001014709473,25420.388457460525,0.0,0.018385471776127815
3,4.387942790985107,4.387942790985107,0.07211538404226303,0.07211538404226303,80.47469530615078,6.330463304258692,0.001,0.7216460704803467,0.014797687530517578,0.0582127571105957,28112.500628363356,0.0,-0.01486263982951641
4,4.379159927368164,4.379159927368164,0.1184210553765297,0.1184210553765297,79.77099182208356,6.317792310473724,0.001,0.7442666292190552,0.014905214309692383,0.07669997215270996,25494.433833997155,0.0,0.035974446684122086
5,4.363701820373535,4.363701820373535,0.1459566056728363,0.1459566056728363,78.54736513722074,6.295490976171042,0.001,0.7867220044136047,0.014204025268554688,0.09450292587280273,35694.10715724453,0.0,0.02475026436150074
6,4.359246730804443,4.359246730804443,0.14691942930221558,0.14691942930221558,78.1982079309328,6.289063640542997,0.001,0.7247405648231506,0.016160964965820312,0.11401486396789551,26112.302136197333,0.0,0.045953042805194855
7,4.347513198852539,4.347513198852539,0.1735537201166153,0.1735537201166153,77.28602876666862,6.272135732183872,0.001,0.8458583354949951,0.014261007308959961,0.13160490989685059,25454.022435843854,0.0,-0.026248445734381676
8,4.345796585083008,4.345796585083008,0.17249999940395355,0.17249999940395355,77.15347231216393,6.269659182011448,0.001,0.7664684653282166,0.01469111442565918,0.15016388893127441,27227.342215874974,0.0,-0.05783579498529434
9,4.330220699310303,4.330220699310303,0.2418879121541977,0.2418879121541977,75.96104927054485,6.247187928849713,0.001,0.8185995221138,0.015932083129882812,0.16978001594543457,21277.8201843649,0.0,-0.0492209792137146
10,4.333230972290039,4.333230972290039,0.2192307710647583,0.2192307710647583,76.19005728005368,6.251530834749301,0.001,0.7500389814376831,0.014999151229858398,0.1891019344329834,34668.6283797746,0.0,-0.041386429220438004
11,4.3158464431762695,4.3158464431762695,0.2922252118587494,0.2922252118587494,74.8769757332731,6.226450260808676,0.001,0.9303722977638245,0.01635003089904785,0.20911884307861328,22813.41254356417,0.0,0.029590804129838943
