step,next_token_loss,train_loss,token_accuracy,char_accuracy,perplexity,bits_per_char,learning_rate,grad_norm,step_time_sec,wall_clock_time_sec,tokens_per_sec,peak_memory_mb,corruption_resistance_corr
1,4.420192241668701,4.420192241668701,0.02500000037252903,0.02500000037252903,83.11226146249119,6.376989426831305,0.001,2.485264301300049,0.01964712142944336,0.022829771041870117,22395.138218090917,0.0,-0.007491116877645254
2,4.4047770500183105,4.4047770500183105,0.06679389625787735,0.06679389625787735,81.84089438309212,6.354750006282934,0.001,1.3743224143981934,0.01745295524597168,0.04418802261352539,30023.568651557995,0.0,0.05505207180976868
3,4.402482986450195,4.402482986450195,0.034161489456892014,0.034161489456892014,81.65336135749142,6.351440372149731,0.001,0.8914222121238708,0.017149925231933594,0.06451582908630371,18775.592059166993,0.0,0.03900463134050369
4,4.374603271484375,4.374603271484375,0.0972222238779068,0.0972222238779068,79.40832975346541,6.311218445627143,0.001,0.6196588277816772,0.017261028289794922,0.08580684661865234,29198.72394265035,0.0,0.01840745471417904
5,4.3760247230529785,4.3760247230529785,0.10585585236549377,0.10585585236549377,79.52128510961867,6.313269166756032,0.001,0.5642034411430359,0.01732921600341797,0.10674595832824707,25621.470695063563,0.0,0.04092942178249359
6,4.361069679260254,4.361069679260254,0.13702623546123505,0.13702623546123505,78.34088924415494,6.2916935992399905,0.001,0.7811630964279175,0.015894174575805664,0.12629413604736328,21580.233585839647,0.0,0.040077630430459976
7,4.361526012420654,4.361526012420654,0.11638955026865005,0.11638955026865005,78.37664694782474,6.292351948827494,0.001,0.6699556708335876,0.016476869583129883,0.14637184143066406,25550.96997496708,0.0,-0.07201995700597763
8,4.343574047088623,4.343574047088623,0.13223139941692352,0.13223139941692352,76.98218620400122,6.266452737468762,0.001,0.7244610786437988,0.016775131225585938,0.16681790351867676,21639.17498578738,0.0,0.018435128033161163
9,4.330570697784424,4.330570697784424,0.20977596938610077,0.20977596938610077,75.98764017499873,6.247692869912647,0.001,0.6634235382080078,0.017105817794799805,0.18842601776123047,28703.684669742288,0.0,0.04603821411728859
10,4.321463108062744,4.321463108062744,0.21786493062973022,0.21786493062973022,75.29871789715934,6.234553395386728,0.001,0.5350558161735535,0.01657891273498535,0.20920610427856445,27685.77212131671,0.0,-0.06778532266616821
11,4.319519519805908,4.319519519805908,0.24932976067066193,0.24932976067066193,75.15251032298708,6.23174939024706,0.001,0.6023924946784973,0.017686128616333008,0.23058199882507324,21089.974413933487,0.0,0.03230458125472069
12,4.300853729248047,4.300853729248047,0.285035640001297,0.285035640001297,73.76274023487805,6.204820346774962,0.001,0.7992495894432068,0.015702009201049805,0.2506089210510254,26811.855388025935,0.0,0.05358336865901947
13,4.304520606994629,4.304520606994629,0.21897810697555542,0.21897810697555542,74.0337156988939,6.210110533115502,0.001,0.7261145114898682,0.017035722732543945,0.2714569568634033,24125.774201223183,0.0,0.02204704098403454
14,4.283905982971191,4.283905982971191,0.2653721570968628,0.2653721570968628,72.52316172949152,6.1803699172670985,0.001,0.7355106472969055,0.01574087142944336,0.2912111282348633,19630.425252188663,0.0,-0.02614903450012207
15,4.275645732879639,4.275645732879639,0.2666666805744171,0.2666666805744171,71.92656966819551,6.1684528954235125,0.001,0.7014473080635071,0.016613006591796875,0.3121328353881836,29795.931113662456,0.0,-0.05749737471342087
16,4.2691969871521,4.2691969871521,0.3073170781135559,0.3073170781135559,71.46422588037804,6.159149321942438,0.001,0.5862329602241516,0.03692913055419922,0.35300302505493164,11102.346409110864,0.0,-0.014187861233949661
17,4.260436058044434,4.260436058044434,0.2970588207244873,0.2970588207244873,70.84086745030609,6.146509972965228,0.001,0.5186764597892761,0.016089200973510742,0.37290096282958984,21132.186772965044,0.0,-0.0742393508553505
18,4.24050760269165,4.24050760269165,0.3071748912334442,0.3071748912334442,69.44309239451401,6.117759289255191,0.001,0.5779021978378296,0.017807960510253906,0.3950979709625244,25044.97916778236,0.0,-0.04190255329012871
19,4.2559943199157715,4.2559943199157715,0.27149322628974915,0.27149322628974915,70.52690864585611,6.140101899394081,0.001,0.4993866980075836,0.01695704460144043,0.4165530204772949,26065.86291354414,0.0,0.004321549087762833
20,4.242794036865234,4.242794036865234,0.27397260069847107,0.27397260069847107,69.60205110915274,6.1210579164987395,0.001,0.5367037653923035,0.0166168212890625,0.4371950626373291,21965.69329660239,0.0,0.04482254013419151
21,4.213518142700195,4.213518142700195,0.2938496470451355,0.2938496470451355,67.59392706522769,6.078821729169247,0.001,0.5835806727409363,0.015939950942993164,0.4573400020599365,27540.862677057,0.0,0.004253141116350889
22,4.214069843292236,4.214069843292236,0.32634031772613525,0.32634031772613525,67.63122896360152,6.079617664877441,0.001,0.6000398993492126,0.016756057739257812,0.47887086868286133,25602.68093340922,0.0,-0.10670877248048782
23,4.202095985412598,4.202095985412598,0.2889908254146576,0.2889908254146576,66.8262512020907,6.062343039494177,0.001,0.6450481414794922,0.015418767929077148,0.4988067150115967,28277.226948709624,0.0,-0.05730067566037178
24,4.195188999176025,4.195188999176025,0.3253968358039856,0.3253968358039856,66.36627356306433,6.052378364703186,0.001,0.5387985110282898,0.01625204086303711,0.519881010055542,31011.489833641404,0.0,-0.033584706485271454
25,4.16966438293457,4.16966438293457,0.3340857923030853,0.3340857923030853,64.69373614160699,6.015554127431044,0.001,0.5864064693450928,0.015838146209716797,0.5401208400726318,27970.445160319134,0.0,-0.11760059744119644
26,4.1719069480896,4.1719069480896,0.30946290493011475,0.30946290493011475,64.83897885728344,6.018789465059076,0.001,0.5687894225120544,0.017071247100830078,0.5619199275970459,22904.009161755257,0.0,0.009753064252436161
27,4.162646293640137,4.162646293640137,0.34541577100753784,0.34541577100753784,64.24129920300224,6.005429164809449,0.001,0.5271304249763489,0.018002986907958984,0.5849518775939941,26051.232631439543,0.0,-0.005758605431765318
