step,train_loss,train_accuracy,top1_accuracy,top5_accuracy,learning_rate,grad_norm,step_time_sec,wall_clock_time_sec,examples_per_sec,peak_memory_mb
1,1.5996874570846558,0.3125,0.3125,1.0,0.001,7.150813102722168,0.0454096794128418,0.08194303512573242,1409.391143640201,634.10888671875
2,1.647342562675476,0.125,0.125,1.0,0.001,1.949670672416687,0.02856612205505371,0.11464476585388184,2240.416108166757,634.10888671875
3,1.5884612798690796,0.203125,0.203125,1.0,0.001,1.0623966455459595,0.029653549194335938,0.15404367446899414,2158.2576702900883,634.10888671875
4,1.6599327325820923,0.140625,0.140625,1.0,0.001,1.5561342239379883,0.032463788986206055,0.1934058666229248,1971.4273040400108,634.10888671875
5,1.6221874952316284,0.140625,0.140625,1.0,0.001,0.8488824367523193,0.02873826026916504,0.22899937629699707,2226.9963247799433,634.10888671875
6,1.6238210201263428,0.125,0.125,1.0,0.001,0.9055740237236023,0.029886245727539062,0.26728200912475586,2141.4533154636542,634.10888671875
7,1.5983011722564697,0.265625,0.265625,1.0,0.001,0.5605191588401794,0.030248165130615234,0.30625104904174805,2115.83081894853,634.10888671875
8,1.6249072551727295,0.15625,0.15625,1.0,0.001,0.673260509967804,0.029202938079833984,0.3447988033294678,2191.560308933266,634.10888671875
9,1.6111088991165161,0.234375,0.234375,1.0,0.001,0.4832285940647125,0.02942800521850586,0.3829500675201416,2174.799125010127,634.10888671875
10,1.6263360977172852,0.171875,0.171875,1.0,0.001,0.8358592987060547,0.029814720153808594,0.4221656322479248,2146.5906662828265,634.10888671875
11,1.6116164922714233,0.234375,0.234375,1.0,0.001,0.46221351623535156,0.028948307037353516,0.46100306510925293,2210.837404668171,634.10888671875
12,1.6033329963684082,0.28125,0.28125,1.0,0.001,0.5368981957435608,0.029327392578125,0.5003461837768555,2182.260145681582,634.10888671875
13,1.6047146320343018,0.25,0.25,1.0,0.001,0.4116612672805786,0.029102325439453125,0.538877010345459,2199.1369773233714,634.10888671875
14,1.6157618761062622,0.171875,0.171875,1.0,0.001,0.4800739586353302,0.029743671417236328,0.5785553455352783,2151.718229475608,634.10888671875
15,1.608612060546875,0.25,0.25,1.0,0.001,0.32756757736206055,0.027261734008789062,0.6147990226745605,2347.61295739173,634.10888671875
16,1.6238914728164673,0.140625,0.140625,1.0,0.001,0.6231792569160461,0.027161121368408203,0.6496078968048096,2356.3091940099366,634.10888671875
17,1.612234115600586,0.140625,0.140625,1.0,0.001,0.5504892468452454,0.03511309623718262,0.6924839019775391,1822.681758614836,634.10888671875
18,1.6173596382141113,0.203125,0.203125,1.0,0.001,0.4000381827354431,0.027132272720336914,0.7274160385131836,2358.8145622621946,634.10888671875
19,1.6110658645629883,0.15625,0.15625,1.0,0.001,0.3437928855419159,0.03562307357788086,0.7710723876953125,1796.5883785990604,634.10888671875
20,1.6112027168273926,0.1875,0.1875,1.0,0.001,0.2705594003200531,0.027094364166259766,0.8061447143554688,2362.1148519033454,634.10888671875
21,1.6129440069198608,0.203125,0.203125,1.0,0.001,0.30723509192466736,0.04395437240600586,0.8585946559906006,1456.0553705290793,634.10888671875
22,1.6041386127471924,0.234375,0.234375,1.0,0.001,0.4811534881591797,0.030390024185180664,0.9010276794433594,2105.9542305730984,634.10888671875
23,1.6156116724014282,0.140625,0.140625,1.0,0.001,0.4941818416118622,0.036746978759765625,0.9473791122436523,1741.6397799231806,634.10888671875
24,1.6170053482055664,0.203125,0.203125,1.0,0.001,0.5370538830757141,0.02782440185546875,0.9840061664581299,2300.139292569235,634.10888671875
25,1.6159917116165161,0.109375,0.109375,1.0,0.001,0.40898939967155457,0.03637576103210449,1.0291917324066162,1759.4133616480196,634.10888671875
26,1.6025605201721191,0.375,0.375,1.0,0.001,0.7922912240028381,0.027158737182617188,1.0651741027832031,2356.5160474752442,634.10888671875
27,1.6092787981033325,0.21875,0.21875,1.0,0.001,0.22699186205863953,0.03561830520629883,1.1098556518554688,1796.8288954040993,634.10888671875
28,1.6142197847366333,0.109375,0.109375,1.0,0.001,0.6264349818229675,0.027230024337768555,1.146094799041748,2350.3467792069064,634.10888671875
