step,train_loss,train_accuracy,top1_accuracy,learning_rate,grad_norm,step_time_sec,wall_clock_time_sec,examples_per_sec,peak_memory_mb,early_stop_triggered,early_stop_step,completed_steps,val_loss,val_accuracy,test_loss,test_accuracy,best_eval_accuracy
1,2.3087496757507324,0.0625,0.0625,0.001,1.591752052307129,0.11455726623535156,0.3972899913787842,2234.6343891779397,3963.04833984375,False,,1,,,,,
2,2.2737576961517334,0.1953125,0.1953125,0.001,0.5809594988822937,0.07095170021057129,0.47003173828125,3607.9791936882143,4163.7412109375,False,,2,,,,,
3,2.267141580581665,0.14453125,0.14453125,0.001,0.5371447205543518,0.0663156509399414,0.537642240524292,3860.186742786474,4310.771484375,False,,3,,,,,
4,2.2583513259887695,0.1796875,0.1796875,0.001,0.6115126013755798,0.0689704418182373,0.6078901290893555,3711.606654844742,4456.0517578125,False,,4,,,,,
5,2.268341541290283,0.1640625,0.1640625,0.001,0.7468936443328857,0.0646824836730957,0.6739487648010254,3957.6489598537455,4600.83203125,False,,5,,,,,
6,2.2410855293273926,0.16796875,0.16796875,0.001,0.6950708031654358,0.0676119327545166,0.7430200576782227,3786.1937276529125,4600.83203125,False,,6,,,,,
7,2.237764835357666,0.203125,0.203125,0.001,0.5771282911300659,0.06315016746520996,0.8076536655426025,4053.6915735427365,4600.83203125,False,,7,,,,,
8,2.2394237518310547,0.1953125,0.1953125,0.001,0.6436729431152344,0.06292724609375,0.8720216751098633,4068.035977055913,4600.83203125,False,,8,,,,,
9,2.2365880012512207,0.15234375,0.15234375,0.001,0.9279487729072571,0.06275200843811035,0.9363536834716797,4079.380210628695,4600.83203125,False,,9,,,,,
10,2.2432048320770264,0.14453125,0.14453125,0.001,0.30166351795196533,0.06655216217041016,1.0047626495361328,3846.4827887615575,4600.83203125,False,,10,,,,,
11,2.2367143630981445,0.18359375,0.18359375,0.001,0.4193063974380493,0.06747746467590332,1.0740876197814941,3793.738557750062,4600.83203125,False,,11,,,,,
12,2.2378101348876953,0.14453125,0.14453125,0.001,0.2715993821620941,0.06278061866760254,1.1389079093933105,4077.5831814315225,4600.83203125,False,,12,,,,,
13,2.2555928230285645,0.1484375,0.1484375,0.001,0.5839952230453491,0.06411290168762207,1.2049601078033447,3992.8224365791802,4600.83203125,False,,13,,,,,
14,2.2414615154266357,0.17578125,0.17578125,0.001,0.2597877085208893,0.06443524360656738,1.2713687419891357,3972.8340221481403,4600.83203125,False,,14,,,,,
15,2.2477188110351562,0.1875,0.1875,0.001,0.4243677854537964,0.0631716251373291,1.3366830348968506,4052.2688122940826,4600.83203125,False,,15,,,,,
16,2.214510202407837,0.22265625,0.22265625,0.001,0.38407573103904724,0.06847691535949707,1.408409595489502,3738.355995167518,4600.83203125,False,,16,,,,,
17,2.228637218475342,0.20703125,0.20703125,0.001,0.3026168942451477,0.06309318542480469,1.4739830493927002,4057.383167258038,4600.83203125,False,,17,,,,,
18,2.223172187805176,0.25390625,0.25390625,0.001,0.34081757068634033,0.06733036041259766,1.5436694622039795,3802.013441259994,4602.08203125,False,,18,,,,,
19,2.2181556224823,0.203125,0.203125,0.001,0.3002076745033264,0.06354689598083496,1.6101939678192139,4028.4151240705028,4602.08203125,False,,19,,,,,
20,2.237917423248291,0.15234375,0.15234375,0.001,0.3830253779888153,0.06643414497375488,1.6790711879730225,3853.301839191832,4602.08203125,False,,20,2.176631546020508,0.2111328125,2.176631546020508,0.2111328125,0.2111328125
21,2.2118024826049805,0.20703125,0.20703125,0.001,0.3561157286167145,0.06414961814880371,2.416905641555786,3990.507533243643,4602.08203125,False,,21,,,,,
22,2.221198320388794,0.171875,0.171875,0.001,0.36577266454696655,0.06366634368896484,2.483362913131714,4020.78212156616,4602.08203125,False,,22,,,,,
23,2.218224287033081,0.140625,0.140625,0.001,0.20694030821323395,0.06380391120910645,2.550022840499878,4012.1282994051357,4602.08203125,False,,23,,,,,
24,2.232171058654785,0.1796875,0.1796875,0.001,0.47932901978492737,0.06682014465332031,2.6198525428771973,3831.0569480470826,4602.08203125,False,,24,,,,,
25,2.208784580230713,0.1953125,0.1953125,0.001,0.4198380410671234,0.06332659721374512,2.686450481414795,4042.428690826676,4666.916015625,False,,25,,,,,
26,2.220149278640747,0.1875,0.1875,0.001,0.4885593354701996,0.06513452529907227,2.7545344829559326,3930.212165357501,4812.9462890625,False,,26,,,,,
27,2.207249879837036,0.25,0.25,0.001,0.33980366587638855,0.06293249130249023,2.8205409049987793,4067.7277528166505,4812.9462890625,False,,27,,,,,
28,2.198906898498535,0.2109375,0.2109375,0.001,0.335940420627594,0.06676936149597168,2.890427827835083,3833.95697365931,4812.9462890625,False,,28,,,,,
29,2.213970422744751,0.17578125,0.17578125,0.001,0.5602638721466064,0.06282448768615723,2.956538200378418,4074.7205033527757,4812.9462890625,False,,29,,,,,
30,2.2062883377075195,0.1796875,0.1796875,0.001,0.4795885980129242,0.06617522239685059,3.0262420177459717,3868.3919760202907,4812.9462890625,False,,30,,,,,
