step,train_loss,train_accuracy,top1_accuracy,top5_accuracy,learning_rate,grad_norm,step_time_sec,wall_clock_time_sec,examples_per_sec,peak_memory_mb
1,1.5953665971755981,0.28125,0.28125,1.0,0.001,0.4173469543457031,1.0793848037719727,1.1650257110595703,59.293034121240446,94.78857421875
2,1.5850169658660889,0.28125,0.28125,1.0,0.001,0.41671907901763916,0.008452415466308594,1.1997840404510498,7571.800067697168,96.091796875
3,1.5775028467178345,0.3125,0.3125,1.0,0.001,0.2912556529045105,0.011177778244018555,1.2390289306640625,5725.645884435723,96.1279296875
4,1.5803401470184326,0.328125,0.328125,1.0,0.001,0.33014360070228577,0.010592222213745117,1.278820276260376,6042.169311454746,96.1279296875
5,1.6028056144714355,0.234375,0.234375,1.0,0.001,0.32890114188194275,0.010566473007202148,1.3184971809387207,6056.893341456261,96.1279296875
6,1.585095763206482,0.34375,0.34375,1.0,0.001,0.4037698209285736,0.01042938232421875,1.358844518661499,6136.509144111193,96.1640625
7,1.5596415996551514,0.34375,0.34375,1.0,0.001,0.28759586811065674,0.010345458984375,1.397798776626587,6186.289085545723,96.1640625
8,1.5992306470870972,0.21875,0.21875,1.0,0.001,0.34702402353286743,0.010257244110107422,1.4386394023895264,6239.492724652503,96.1640625
9,1.5656627416610718,0.328125,0.328125,1.0,0.001,0.4697551429271698,0.010244369506835938,1.476926326751709,6247.334202196984,96.1640625
10,1.5907176733016968,0.296875,0.296875,1.0,0.001,0.4897942543029785,0.010506868362426758,1.517726182937622,6091.253624997164,96.1640625
11,1.5730514526367188,0.328125,0.328125,1.0,0.001,0.4360094368457794,0.010273456573486328,1.5561492443084717,6229.646228823392,96.1640625
12,1.561045527458191,0.296875,0.296875,1.0,0.001,0.4126685559749603,0.009709358215332031,1.5945026874542236,6591.5788232983,96.1640625
13,1.5818283557891846,0.265625,0.265625,1.0,0.001,0.49750131368637085,0.00941014289855957,1.6332240104675293,6801.171957738985,96.1640625
14,1.5889616012573242,0.15625,0.15625,1.0,0.001,0.8059609532356262,0.009807348251342773,1.6724765300750732,6525.719119970828,96.1640625
15,1.5202183723449707,0.5625,0.5625,1.0,0.001,0.5579441785812378,0.010248422622680664,1.7117235660552979,6244.86346399907,96.1640625
16,1.53620445728302,0.4375,0.4375,1.0,0.001,0.46407151222229004,0.010961532592773438,1.7540855407714844,5838.599617191579,96.1640625
17,1.5237964391708374,0.46875,0.46875,1.0,0.001,0.4832874834537506,0.009831428527832031,1.7947273254394531,6509.735570860414,96.1640625
18,1.521056890487671,0.46875,0.46875,1.0,0.001,0.5350827574729919,0.007509708404541016,1.831587791442871,8522.301606451203,96.1640625
19,1.5108304023742676,0.546875,0.546875,1.0,0.001,0.5275017023086548,0.009326457977294922,1.870528221130371,6862.1978628764255,96.1640625
20,1.4999274015426636,0.46875,0.46875,1.0,0.001,0.6082040071487427,0.012661457061767578,1.9145581722259521,5054.710503521259,96.1640625
21,1.4998174905776978,0.453125,0.453125,1.0,0.001,0.643884003162384,0.01414632797241211,1.9582245349884033,4524.142245592746,96.1640625
22,1.4578839540481567,0.6875,0.6875,1.0,0.001,0.6372072100639343,0.01323080062866211,2.0031557083129883,4837.197823188092,96.1640625
23,1.4710867404937744,0.546875,0.546875,1.0,0.001,0.6711886525154114,0.010675668716430664,2.045456647872925,5994.940616834536,96.1640625
24,1.444724440574646,0.65625,0.65625,1.0,0.001,0.801974892616272,0.013627290725708008,2.0899713039398193,4696.458106618612,96.1640625
25,1.4563592672348022,0.625,0.625,1.0,0.001,0.6888595223426819,0.013349771499633789,2.1360585689544678,4794.0895469076495,96.1640625
26,1.4715397357940674,0.53125,0.53125,1.0,0.001,0.6062752604484558,0.010879039764404297,2.18080735206604,5882.8721455182995,96.1640625
27,1.4180798530578613,0.734375,0.734375,1.0,0.001,0.7840228080749512,0.012233734130859375,2.2250471115112305,5231.436233239788,96.1640625
28,1.4032094478607178,0.75,0.75,1.0,0.001,0.7200390100479126,0.010997772216796875,2.266735553741455,5819.360388484218,96.1640625
29,1.3960686922073364,0.78125,0.78125,1.0,0.001,0.5165809988975525,0.01076364517211914,2.3104248046875,5945.941080051389,96.1640625
30,1.4347957372665405,0.59375,0.59375,1.0,0.001,0.669273853302002,0.00950169563293457,2.350184917449951,6735.639876546307,96.1640625
31,1.3716769218444824,0.71875,0.71875,1.0,0.001,0.6144009232521057,0.010064363479614258,2.390848398208618,6359.070807571127,96.1640625
32,1.3859753608703613,0.8125,0.8125,1.0,0.001,0.7042370438575745,0.010471582412719727,2.4313619136810303,6111.779239999089,96.1640625
33,1.364726185798645,0.765625,0.765625,1.0,0.001,0.6008999943733215,0.011391878128051758,2.474790096282959,5618.037630020301,96.1640625
34,1.3583914041519165,0.75,0.75,1.0,0.001,0.6520248651504517,0.01035451889038086,2.5155298709869385,6180.876260649321,96.1640625
35,1.382818579673767,0.78125,0.78125,1.0,0.001,0.7216112017631531,0.010254144668579102,2.5571365356445312,6241.378688181543,96.1640625
36,1.3832097053527832,0.765625,0.765625,1.0,0.001,0.6530640125274658,0.009495258331298828,2.5977401733398438,6740.206297393663,96.1640625
37,1.3610193729400635,0.78125,0.78125,1.0,0.001,0.8297551274299622,0.01009058952331543,2.638141632080078,6342.543203459112,96.1640625
