run_id,timestamp,status,reason,mode,task_name,model_name,dataset_name,seed,device,git_commit,hostname,python_version,torch_version,torchvision_version,cuda_available,num_params,trainable_params,total_train_time_sec,best_metric,final_metric,run_dir,metrics_json
local_causal_conv_seed0,2026-04-24T08:52:13Z,COMPLETED,,smoke,text_synthetic,LocalCausalConvLM,SyntheticTextEnergyDataset,0,cpu,19568db,BMW-Pro.local,3.12.12,2.10.0,unavailable,False,11668,11668,0.026391029357910156,0.028409091755747795,0.028409091755747795,reports/text_representation_ablation/runs/20260424_085213_local_causal_conv_seed0,"{""ambiguity_weight"": NaN, ""attractor_entropy_weight"": NaN, ""best_metric"": 0.028409091755747795, ""bits_per_char"": 6.354826366579918, ""char_accuracy"": 0.028409091755747795, ""completed_steps"": 4, ""corruption_resistance_corr"": NaN, ""early_stop_step"": """", ""early_stop_triggered"": false, ""final_diagnostics"": {}, ""final_metric"": 0.028409091755747795, ""final_train_accuracy"": 0.028409091755747795, ""final_train_loss"": 4.404829978942871, ""grad_norm"": 0.2833009958267212, ""learning_rate"": 0.001, ""next_token_loss"": 4.404829978942871, ""null_threshold"": NaN, ""peak_memory_mb"": 0.0, ""perplexity"": 81.84522624825635, ""precision_update_threshold"": NaN, ""responsibility_temperature"": NaN, ""step"": 4, ""step_time_sec"": 0.0007958412170410156, ""token_accuracy"": 0.028409091755747795, ""tokens_per_sec"": 221149.64170161774, ""total_train_time_sec"": 0.026391029357910156, ""train_loss"": 4.404829978942871, ""wall_clock_time_sec"": 0.02599191665649414, ""warmup_eta"": 1.0}"
small_gru_seed0,2026-04-24T08:52:13Z,COMPLETED,,smoke,text_synthetic,SmallGRULM,SyntheticTextEnergyDataset,0,cpu,19568db,BMW-Pro.local,3.12.12,2.10.0,unavailable,False,11796,11796,0.024447917938232422,0.04545454680919647,0.04545454680919647,reports/text_representation_ablation/runs/20260424_085213_small_gru_seed0,"{""ambiguity_weight"": NaN, ""attractor_entropy_weight"": NaN, ""best_metric"": 0.04545454680919647, ""bits_per_char"": 6.287921675741267, ""char_accuracy"": 0.04545454680919647, ""completed_steps"": 4, ""corruption_resistance_corr"": NaN, ""early_stop_step"": """", ""early_stop_triggered"": false, ""final_diagnostics"": {}, ""final_metric"": 0.04545454680919647, ""final_train_accuracy"": 0.04545454680919647, ""final_train_loss"": 4.358455181121826, ""grad_norm"": 0.3609938323497772, ""learning_rate"": 0.001, ""next_token_loss"": 4.358455181121826, ""null_threshold"": NaN, ""peak_memory_mb"": 0.0, ""perplexity"": 78.13633465538021, ""precision_update_threshold"": NaN, ""responsibility_temperature"": NaN, ""step"": 4, ""step_time_sec"": 0.0038750171661376953, ""token_accuracy"": 0.04545454680919647, ""tokens_per_sec"": 45419.15363317541, ""total_train_time_sec"": 0.024447917938232422, ""train_loss"": 4.358455181121826, ""wall_clock_time_sec"": 0.02393317222595215, ""warmup_eta"": 1.0}"
old_eml_text_backbone_seed0,2026-04-24T08:52:13Z,COMPLETED,,smoke,text_synthetic,EMLTextBackbone,SyntheticTextEnergyDataset,0,cpu,19568db,BMW-Pro.local,3.12.12,2.10.0,unavailable,False,107370,107370,0.058004140853881836,0.028409091755747795,0.028409091755747795,reports/text_representation_ablation/runs/20260424_085213_old_eml_text_backbone_seed0,"{""ambiguity_weight"": NaN, ""attractor_entropy_weight"": NaN, ""best_metric"": 0.028409091755747795, ""bits_per_char"": 6.384284242950303, ""char_accuracy"": 0.028409091755747795, ""completed_steps"": 4, ""corruption_resistance_corr"": 0.014923653565347195, ""early_stop_step"": """", ""early_stop_triggered"": false, ""final_diagnostics"": {""drive_mean"": 0.003761024447157979, ""drive_std"": 0.011945731937885284, ""energy_mean"": -0.6249697208404541, ""energy_std"": 0.2553912401199341, ""gate_activation_rate"": 0.32614898681640625, ""gate_mean"": 0.32614898681640625, ""gate_std"": 0.0940953865647316, ""resistance_mean"": -0.0036008802708238363, ""resistance_std"": 0.011102741584181786}, ""final_metric"": 0.028409091755747795, ""final_train_accuracy"": 0.028409091755747795, ""final_train_loss"": 4.425248622894287, ""grad_norm"": 0.17558538913726807, ""learning_rate"": 0.001, ""next_token_loss"": 4.425248622894287, ""null_threshold"": NaN, ""peak_memory_mb"": 0.0, ""perplexity"": 83.53357299919963, ""precision_update_threshold"": NaN, ""responsibility_temperature"": NaN, ""step"": 4, ""step_time_sec"": 0.010425090789794922, ""token_accuracy"": 0.028409091755747795, ""tokens_per_sec"": 16882.346978914145, ""total_train_time_sec"": 0.058004140853881836, ""train_loss"": 4.425248622894287, ""wall_clock_time_sec"": 0.05736994743347168, ""warmup_eta"": 1.0}"
efficient_window8_seed0,2026-04-24T08:52:13Z,COMPLETED,,smoke,text_synthetic,EfficientEMLTextEncoder_window8,SyntheticTextEnergyDataset,0,cpu,19568db,BMW-Pro.local,3.12.12,2.10.0,unavailable,False,72752,72752,0.047341108322143555,0.21022726595401764,0.21022726595401764,reports/text_representation_ablation/runs/20260424_085213_efficient_window8_seed0,"{""ambiguity_weight"": NaN, ""attractor_entropy_weight"": NaN, ""best_metric"": 0.21022726595401764, ""bits_per_char"": 6.279995339328303, ""char_accuracy"": 0.21022726595401764, ""completed_steps"": 4, ""corruption_resistance_corr"": -0.007225173991173506, ""early_stop_step"": """", ""early_stop_triggered"": false, ""final_diagnostics"": {""attractor_activation_mean"": 0.4583333432674408, ""attractor_activation_std"": 0.49826085567474365, ""attractor_diversity"": 0.7598979473114014, ""drive_mean"": 0.028967326506972313, ""drive_std"": 0.3785274922847748, ""energy_mean"": -0.07924890518188477, ""energy_std"": 0.10614064335823059, ""null_weight_mean"": 0.6267347931861877, ""null_weight_std"": 0.41174277663230896, ""resistance_mean"": 1.5721080303192139, ""resistance_std"": 0.25166505575180054, ""update_gate_mean"": 0.03984721750020981, ""update_gate_std"": 0.04384664446115494, ""update_strength_mean"": 0.41579923033714294, ""update_strength_std"": 0.4590284824371338}, ""final_metric"": 0.21022726595401764, ""final_train_accuracy"": 0.21022726595401764, ""final_train_loss"": 4.35296106338501, ""grad_norm"": 2.0848379135131836, ""learning_rate"": 0.001, ""next_token_loss"": 4.35296106338501, ""null_threshold"": NaN, ""peak_memory_mb"": 0.0, ""perplexity"": 77.70822156202408, ""precision_update_threshold"": NaN, ""responsibility_temperature"": NaN, ""step"": 4, ""step_time_sec"": 0.007925033569335938, ""token_accuracy"": 0.21022726595401764, ""tokens_per_sec"": 22208.107821901325, ""total_train_time_sec"": 0.047341108322143555, ""train_loss"": 4.35296106338501, ""wall_clock_time_sec"": 0.046407222747802734, ""warmup_eta"": 1.0}"
efficient_window8_thresholded_null_seed0,2026-04-24T08:52:13Z,COMPLETED,,smoke,text_synthetic,EfficientEMLTextEncoder_window8_thresholded_null,SyntheticTextEnergyDataset,0,cpu,19568db,BMW-Pro.local,3.12.12,2.10.0,unavailable,False,72752,72752,0.04422593116760254,0.21022726595401764,0.21022726595401764,reports/text_representation_ablation/runs/20260424_085213_efficient_window8_thresholded_null_seed0,"{""ambiguity_weight"": NaN, ""attractor_entropy_weight"": NaN, ""best_metric"": 0.21022726595401764, ""bits_per_char"": 6.279995339328303, ""char_accuracy"": 0.21022726595401764, ""completed_steps"": 4, ""corruption_resistance_corr"": -0.007225173991173506, ""early_stop_step"": """", ""early_stop_triggered"": false, ""final_diagnostics"": {""attractor_activation_mean"": 0.4583333432674408, ""attractor_activation_std"": 0.49826085567474365, ""attractor_diversity"": 0.7598979473114014, ""drive_mean"": 0.028967326506972313, ""drive_std"": 0.3785274922847748, ""energy_mean"": -0.07924890518188477, ""energy_std"": 0.10614064335823059, ""null_weight_mean"": 0.6267347931861877, ""null_weight_std"": 0.41174277663230896, ""resistance_mean"": 1.5721080303192139, ""resistance_std"": 0.25166505575180054, ""update_gate_mean"": 0.03984721750020981, ""update_gate_std"": 0.04384664446115494, ""update_strength_mean"": 0.41579923033714294, ""update_strength_std"": 0.4590284824371338}, ""final_metric"": 0.21022726595401764, ""final_train_accuracy"": 0.21022726595401764, ""final_train_loss"": 4.35296106338501, ""grad_norm"": 2.0848379135131836, ""learning_rate"": 0.001, ""next_token_loss"": 4.35296106338501, ""null_threshold"": NaN, ""peak_memory_mb"": 0.0, ""perplexity"": 77.70822156202408, ""precision_update_threshold"": NaN, ""responsibility_temperature"": NaN, ""step"": 4, ""step_time_sec"": 0.007924318313598633, ""token_accuracy"": 0.21022726595401764, ""tokens_per_sec"": 22210.112344676116, ""total_train_time_sec"": 0.04422593116760254, ""train_loss"": 4.35296106338501, ""wall_clock_time_sec"": 0.043621063232421875, ""warmup_eta"": 1.0}"
efficient_window8_precision_identity_seed0,2026-04-24T08:52:14Z,COMPLETED,,smoke,text_synthetic,EfficientEMLTextEncoder_window8_precision_identity,SyntheticTextEnergyDataset,0,cpu,19568db,BMW-Pro.local,3.12.12,2.10.0,unavailable,False,72752,72752,0.0438079833984375,0.21022726595401764,0.21022726595401764,reports/text_representation_ablation/runs/20260424_085214_efficient_window8_precision_identity_seed0,"{""ambiguity_weight"": NaN, ""attractor_entropy_weight"": NaN, ""best_metric"": 0.21022726595401764, ""bits_per_char"": 6.279995339328303, ""char_accuracy"": 0.21022726595401764, ""completed_steps"": 4, ""corruption_resistance_corr"": -0.007225173991173506, ""early_stop_step"": """", ""early_stop_triggered"": false, ""final_diagnostics"": {""attractor_activation_mean"": 0.4583333432674408, ""attractor_activation_std"": 0.49826085567474365, ""attractor_diversity"": 0.7598979473114014, ""drive_mean"": 0.028967326506972313, ""drive_std"": 0.3785274922847748, ""energy_mean"": -0.07924890518188477, ""energy_std"": 0.10614064335823059, ""null_weight_mean"": 0.6267347931861877, ""null_weight_std"": 0.41174277663230896, ""resistance_mean"": 1.5721080303192139, ""resistance_std"": 0.25166505575180054, ""update_gate_mean"": 0.03984721750020981, ""update_gate_std"": 0.04384664446115494, ""update_strength_mean"": 0.41579923033714294, ""update_strength_std"": 0.4590284824371338}, ""final_metric"": 0.21022726595401764, ""final_train_accuracy"": 0.21022726595401764, ""final_train_loss"": 4.35296106338501, ""grad_norm"": 2.0848379135131836, ""learning_rate"": 0.001, ""next_token_loss"": 4.35296106338501, ""null_threshold"": NaN, ""peak_memory_mb"": 0.0, ""perplexity"": 77.70822156202408, ""precision_update_threshold"": NaN, ""responsibility_temperature"": NaN, ""step"": 4, ""step_time_sec"": 0.00785207748413086, ""token_accuracy"": 0.21022726595401764, ""tokens_per_sec"": 22414.450233800937, ""total_train_time_sec"": 0.0438079833984375, ""train_loss"": 4.35296106338501, ""wall_clock_time_sec"": 0.04324793815612793, ""warmup_eta"": 1.0}"
efficient_window8_chunk_seed0,2026-04-24T08:52:14Z,COMPLETED,,smoke,text_synthetic,EfficientEMLTextEncoder_window8_chunk,SyntheticTextEnergyDataset,0,cpu,19568db,BMW-Pro.local,3.12.12,2.10.0,unavailable,False,72752,72752,0.047743797302246094,0.21022726595401764,0.21022726595401764,reports/text_representation_ablation/runs/20260424_085214_efficient_window8_chunk_seed0,"{""ambiguity_weight"": NaN, ""attractor_entropy_weight"": NaN, ""best_metric"": 0.21022726595401764, ""bits_per_char"": 6.279995339328303, ""char_accuracy"": 0.21022726595401764, ""completed_steps"": 4, ""corruption_resistance_corr"": -0.007225173991173506, ""early_stop_step"": """", ""early_stop_triggered"": false, ""final_diagnostics"": {""attractor_activation_mean"": 0.5, ""attractor_activation_std"": 0.5, ""attractor_diversity"": 0.9716184139251709, ""drive_mean"": 0.029433060437440872, ""drive_std"": 0.3813468813896179, ""energy_mean"": -0.08011577278375626, ""energy_std"": 0.1066993996500969, ""null_weight_mean"": 0.6203582286834717, ""null_weight_std"": 0.4143337309360504, ""resistance_mean"": 1.5853403806686401, ""resistance_std"": 0.22909015417099, ""update_gate_mean"": 0.03984721750020981, ""update_gate_std"": 0.04384664446115494, ""update_strength_mean"": 0.3873468339443207, ""update_strength_std"": 0.42433398962020874}, ""final_metric"": 0.21022726595401764, ""final_train_accuracy"": 0.21022726595401764, ""final_train_loss"": 4.35296106338501, ""grad_norm"": 2.0848379135131836, ""learning_rate"": 0.001, ""next_token_loss"": 4.35296106338501, ""null_threshold"": NaN, ""peak_memory_mb"": 0.0, ""perplexity"": 77.70822156202408, ""precision_update_threshold"": NaN, ""responsibility_temperature"": NaN, ""step"": 4, ""step_time_sec"": 0.008311748504638672, ""token_accuracy"": 0.21022726595401764, ""tokens_per_sec"": 21174.846652515633, ""total_train_time_sec"": 0.047743797302246094, ""train_loss"": 4.35296106338501, ""wall_clock_time_sec"": 0.04704403877258301, ""warmup_eta"": 1.0}"
efficient_window8_chunk_attractor_seed0,2026-04-24T08:52:14Z,COMPLETED,,smoke,text_synthetic,EfficientEMLTextEncoder_window8_chunk_attractor,SyntheticTextEnergyDataset,0,cpu,19568db,BMW-Pro.local,3.12.12,2.10.0,unavailable,False,92950,92950,0.049546003341674805,0.10795454680919647,0.10795454680919647,reports/text_representation_ablation/runs/20260424_085214_efficient_window8_chunk_attractor_seed0,"{""ambiguity_weight"": NaN, ""attractor_entropy_weight"": NaN, ""best_metric"": 0.10795454680919647, ""bits_per_char"": 6.291620678596025, ""char_accuracy"": 0.10795454680919647, ""completed_steps"": 4, ""corruption_resistance_corr"": 0.04268408939242363, ""early_stop_step"": """", ""early_stop_triggered"": false, ""final_diagnostics"": {""attractor_activation_mean"": 0.6897829174995422, ""attractor_activation_std"": 0.08766528218984604, ""attractor_diversity"": 0.05706101283431053, ""drive_mean"": -0.020547930151224136, ""drive_std"": 0.3834875524044037, ""energy_mean"": -0.08157572895288467, ""energy_std"": 0.10445886850357056, ""null_weight_mean"": 0.598718523979187, ""null_weight_std"": 0.40833213925361633, ""resistance_mean"": 1.6092811822891235, ""resistance_std"": 0.24641981720924377, ""update_gate_mean"": 0.043046534061431885, ""update_gate_std"": 0.04366670921444893, ""update_strength_mean"": 0.3978762924671173, ""update_strength_std"": 0.40546491742134094}, ""final_metric"": 0.10795454680919647, ""final_train_accuracy"": 0.10795454680919647, ""final_train_loss"": 4.361019134521484, ""grad_norm"": 1.552194356918335, ""learning_rate"": 0.001, ""next_token_loss"": 4.361019134521484, ""null_threshold"": NaN, ""peak_memory_mb"": 0.0, ""perplexity"": 78.33692962444293, ""precision_update_threshold"": NaN, ""responsibility_temperature"": NaN, ""step"": 4, ""step_time_sec"": 0.009307861328125, ""token_accuracy"": 0.10795454680919647, ""tokens_per_sec"": 18908.747540983608, ""total_train_time_sec"": 0.049546003341674805, ""train_loss"": 4.361019134521484, ""wall_clock_time_sec"": 0.04891085624694824, ""warmup_eta"": 1.0}"
efficient_window8_staged_seed0,2026-04-24T08:52:14Z,COMPLETED,,smoke,text_synthetic,EfficientEMLTextEncoder_window8_staged,SyntheticTextEnergyDataset,0,cpu,19568db,BMW-Pro.local,3.12.12,2.10.0,unavailable,False,92950,92950,0.04886198043823242,0.10795454680919647,0.10795454680919647,reports/text_representation_ablation/runs/20260424_085214_efficient_window8_staged_seed0,"{""ambiguity_weight"": 1.0, ""attractor_entropy_weight"": 0.0, ""best_metric"": 0.10795454680919647, ""bits_per_char"": 6.291808483650767, ""char_accuracy"": 0.10795454680919647, ""completed_steps"": 4, ""corruption_resistance_corr"": 0.04178370162844658, ""early_stop_step"": """", ""early_stop_triggered"": false, ""final_diagnostics"": {""attractor_activation_mean"": 0.6834902763366699, ""attractor_activation_std"": 0.08893851190805435, ""attractor_diversity"": 0.05706086754798889, ""drive_mean"": -0.020652100443840027, ""drive_std"": 0.38339075446128845, ""energy_mean"": -0.08159460872411728, ""energy_std"": 0.10448016971349716, ""null_weight_mean"": 0.6025723218917847, ""null_weight_std"": 0.40477854013442993, ""resistance_mean"": 1.6093655824661255, ""resistance_std"": 0.24630025029182434, ""update_gate_mean"": 0.042650673538446426, ""update_gate_std"": 0.04330263286828995, ""update_strength_mean"": 0.3937967121601105, ""update_strength_std"": 0.40168365836143494}, ""final_metric"": 0.10795454680919647, ""final_train_accuracy"": 0.10795454680919647, ""final_train_loss"": 4.361149311065674, ""grad_norm"": 1.5515327453613281, ""learning_rate"": 0.001, ""next_token_loss"": 4.361149311065674, ""null_threshold"": 0.0, ""peak_memory_mb"": 0.0, ""perplexity"": 78.34712791899882, ""precision_update_threshold"": 0.0, ""responsibility_temperature"": 0.8, ""step"": 4, ""step_time_sec"": 0.009157180786132812, ""token_accuracy"": 0.10795454680919647, ""tokens_per_sec"": 19219.889189752135, ""total_train_time_sec"": 0.04886198043823242, ""train_loss"": 4.361149311065674, ""wall_clock_time_sec"": 0.04828286170959473, ""warmup_eta"": 1.0}"
best_text_config_seed0,2026-04-24T08:52:14Z,COMPLETED,,smoke,text_synthetic,EfficientEMLTextEncoder_best_text_config,SyntheticTextEnergyDataset,0,cpu,19568db,BMW-Pro.local,3.12.12,2.10.0,unavailable,False,92950,92950,0.04852294921875,0.10795454680919647,0.10795454680919647,reports/text_representation_ablation/runs/20260424_085214_best_text_config_seed0,"{""ambiguity_weight"": 1.0, ""attractor_entropy_weight"": 0.0, ""best_metric"": 0.10795454680919647, ""bits_per_char"": 6.291808483650767, ""char_accuracy"": 0.10795454680919647, ""completed_steps"": 4, ""corruption_resistance_corr"": 0.04178370162844658, ""early_stop_step"": """", ""early_stop_triggered"": false, ""final_diagnostics"": {""attractor_activation_mean"": 0.6834902763366699, ""attractor_activation_std"": 0.08893851190805435, ""attractor_diversity"": 0.05706086754798889, ""drive_mean"": -0.020652100443840027, ""drive_std"": 0.38339075446128845, ""energy_mean"": -0.08159460872411728, ""energy_std"": 0.10448016971349716, ""null_weight_mean"": 0.6025723218917847, ""null_weight_std"": 0.40477854013442993, ""resistance_mean"": 1.6093655824661255, ""resistance_std"": 0.24630025029182434, ""update_gate_mean"": 0.042650673538446426, ""update_gate_std"": 0.04330263286828995, ""update_strength_mean"": 0.3937967121601105, ""update_strength_std"": 0.40168365836143494}, ""final_metric"": 0.10795454680919647, ""final_train_accuracy"": 0.10795454680919647, ""final_train_loss"": 4.361149311065674, ""grad_norm"": 1.5515327453613281, ""learning_rate"": 0.001, ""next_token_loss"": 4.361149311065674, ""null_threshold"": 0.0, ""peak_memory_mb"": 0.0, ""perplexity"": 78.34712791899882, ""precision_update_threshold"": 0.0, ""responsibility_temperature"": 0.8, ""step"": 4, ""step_time_sec"": 0.009257078170776367, ""token_accuracy"": 0.10795454680919647, ""tokens_per_sec"": 19012.47853297963, ""total_train_time_sec"": 0.04852294921875, ""train_loss"": 4.361149311065674, ""wall_clock_time_sec"": 0.0476839542388916, ""warmup_eta"": 1.0}"
